
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
8.11045,,Surface,5,Image 1,1,0,
26.0929,,Surface,5,Image 1,1,1,
9.7033,,Surface,5,Image 1,1,2,
15.3147,,Surface,5,Image 1,1,3,
12.837,,Surface,5,Image 1,1,4,
7.29548,,Surface,5,Image 1,1,5,
8.77903,,Surface,5,Image 1,1,6,
8.03449,,Surface,5,Image 1,1,7,
8.75487,,Surface,5,Image 1,1,8,
19.8041,,Surface,5,Image 1,1,9,
15.3028,,Surface,5,Image 1,1,10,
18.6813,,Surface,5,Image 1,1,11,
25.719,,Surface,5,Image 1,1,12,
21.5296,,Surface,5,Image 1,1,13,
25.764,,Surface,5,Image 1,1,14,
29.5563,,Surface,5,Image 1,1,15,
32.943,,Surface,5,Image 1,1,16,
16.3104,,Surface,5,Image 1,1,17,
20.6827,,Surface,5,Image 1,1,18,
27.0462,,Surface,5,Image 1,1,19,
16.6908,,Surface,5,Image 1,1,20,
27.3303,,Surface,5,Image 1,1,21,
25.1625,,Surface,5,Image 1,1,22,
17.6721,,Surface,5,Image 1,1,23,
18.0436,,Surface,5,Image 1,1,24,
22.2302,,Surface,5,Image 1,1,25,
25.3322,,Surface,5,Image 1,1,26,
22.996,,Surface,5,Image 1,1,27,
20.582,,Surface,5,Image 1,1,28,
17.1624,,Surface,5,Image 1,1,29,
20.0862,,Surface,5,Image 1,1,30,
19.0512,,Surface,5,Image 1,1,31,
9.9168,,Surface,5,Image 1,1,32,
15.8689,,Surface,5,Image 1,1,33,
17.8532,,Surface,5,Image 1,1,34,
15.5945,,Surface,5,Image 1,1,35,
15.1608,,Surface,5,Image 1,1,36,
18.0681,,Surface,5,Image 1,1,37,
22.063,,Surface,5,Image 1,1,38,
20.6679,,Surface,5,Image 1,1,39,
14.3472,,Surface,5,Image 1,1,40,
6.44691,,Surface,5,Image 1,1,41,
16.8253,,Surface,5,Image 1,1,42,
18.024,,Surface,5,Image 1,1,43,
10.7473,,Surface,5,Image 1,1,44,
14.0484,,Surface,5,Image 1,1,45,
18.7965,,Surface,5,Image 1,1,46,
24.2758,,Surface,5,Image 1,1,47,
16.4029,,Surface,5,Image 1,1,48,
22.8361,,Surface,5,Image 1,1,49,
20.455,,Surface,5,Image 1,1,50,
19.7238,,Surface,5,Image 1,1,51,
22.1139,,Surface,5,Image 1,1,52,
16.7925,,Surface,5,Image 1,1,53,
21.8552,,Surface,5,Image 1,1,54,
20.12,,Surface,5,Image 1,1,55,
23.9658,,Surface,5,Image 1,1,56,
18.1679,,Surface,5,Image 1,1,57,
18.3754,,Surface,5,Image 1,1,58,
20.1999,,Surface,5,Image 1,1,59,
16.1829,,Surface,5,Image 1,1,60,
17.6303,,Surface,5,Image 1,1,61,
18.3613,,Surface,5,Image 1,1,62,
16.328,,Surface,5,Image 1,1,63,
11.2589,,Surface,5,Image 1,1,64,
8.12139,,Surface,5,Image 1,1,65,
15.1464,,Surface,5,Image 1,1,66,
14.0652,,Surface,5,Image 1,1,67,
15.8343,,Surface,5,Image 1,1,68,
4.39144,,Surface,5,Image 1,1,69,
14.678,,Surface,5,Image 1,1,70,
7.22926,,Surface,5,Image 1,1,71,
14.2945,,Surface,5,Image 1,1,72,
5.78664,,Surface,5,Image 1,1,73,
13.2402,,Surface,5,Image 1,1,74,
35.6324,,Surface,5,Image 1,1,75,
17.3524,,Surface,5,Image 1,1,76,
5.32826,,Surface,5,Image 1,1,77,
5.64637,,Surface,5,Image 1,1,78,
10.7843,,Surface,5,Image 1,1,79,
13.7661,,Surface,5,Image 1,1,80,
16.2375,,Surface,5,Image 1,1,81,
4.83845,,Surface,5,Image 1,1,82,
17.8487,,Surface,5,Image 1,1,83,
5.2696,,Surface,5,Image 1,1,84,
17.1466,,Surface,5,Image 1,1,85,
5.00372,,Surface,5,Image 1,1,86,
5.18636,,Surface,5,Image 1,1,87,
5.90375,,Surface,5,Image 1,1,88,
12.8662,,Surface,5,Image 1,1,89,
15.2916,,Surface,5,Image 1,1,90,
12.1225,,Surface,5,Image 1,1,91,
16.0167,,Surface,5,Image 1,1,92,
6.83564,,Surface,5,Image 1,1,93,
11.5188,,Surface,5,Image 1,1,94,
8.53864,,Surface,5,Image 1,1,95,
6.38238,,Surface,5,Image 1,1,96,
6.48228,,Surface,5,Image 1,1,97,
6.70886,,Surface,5,Image 1,1,98,
11.1716,,Surface,5,Image 1,1,99,
11.0732,,Surface,5,Image 1,1,100,
7.18461,,Surface,5,Image 1,1,101,
3.02222,,Surface,5,Image 1,1,102,
3.40484,,Surface,5,Image 1,1,103,
11.776,,Surface,5,Image 1,1,104,
6.27589,,Surface,5,Image 1,1,105,
5.48678,,Surface,5,Image 1,1,106,
23.1908,,Surface,5,Image 1,1,107,
20.437,,Surface,5,Image 1,1,108,
21.2974,,Surface,5,Image 1,1,109,
17.6395,,Surface,5,Image 1,1,110,
16.3384,,Surface,5,Image 1,1,111,
22.0213,,Surface,5,Image 1,1,112,
11.2791,,Surface,5,Image 1,1,113,
12.5724,,Surface,5,Image 1,1,114,
16.1649,,Surface,5,Image 1,1,115,
10.4627,,Surface,5,Image 1,1,116,
9.03784,,Surface,5,Image 1,1,117,
8.75269,,Surface,5,Image 1,1,118,
13.9161,,Surface,5,Image 1,1,119,
10.6665,,Surface,5,Image 1,1,120,
9.32993,,Surface,5,Image 1,1,121,
14.2854,,Surface,5,Image 1,1,122,
18.204,,Surface,5,Image 1,1,123,
7.34233,,Surface,5,Image 1,1,124,
7.51542,,Surface,5,Image 1,1,125,
10.4419,,Surface,5,Image 1,1,126,
8.4811,,Surface,5,Image 1,1,127,
11.0499,,Surface,5,Image 1,1,128,
24.2419,,Surface,5,Image 1,1,129,
13.1024,,Surface,5,Image 1,1,130,
6.41177,,Surface,5,Image 1,1,131,
6.42,,Surface,5,Image 1,1,132,
10.3632,,Surface,5,Image 1,1,133,
13.45,,Surface,5,Image 1,1,134,
18.4833,,Surface,5,Image 1,1,135,
14.6977,,Surface,5,Image 1,1,136,
9.33941,,Surface,5,Image 1,1,137,
20.3466,,Surface,5,Image 1,1,138,
17.8683,,Surface,5,Image 1,1,139,
15.7692,,Surface,5,Image 1,1,140,
16.2159,,Surface,5,Image 1,1,141,
13.6785,,Surface,5,Image 1,1,142,
14.2555,,Surface,5,Image 1,1,143,
16.9701,,Surface,5,Image 1,1,144,
17.5064,,Surface,5,Image 1,1,145,
17.3923,,Surface,5,Image 1,1,146,
16.0147,,Surface,5,Image 1,1,147,
22.3538,,Surface,5,Image 1,1,148,
23.159,,Surface,5,Image 1,1,149,
19.8102,,Surface,5,Image 1,1,150,
19.8957,,Surface,5,Image 1,1,151,
17.5611,,Surface,5,Image 1,1,152,
23.5825,,Surface,5,Image 1,1,153,
21.5713,,Surface,5,Image 1,1,154,
26.4832,,Surface,5,Image 1,1,155,
17.7541,,Surface,5,Image 1,1,156,
11.6909,,Surface,5,Image 1,1,157,
20.4994,,Surface,5,Image 1,1,158,
10.483,,Surface,5,Image 1,1,159,
15.2155,,Surface,5,Image 1,1,160,
10.7256,,Surface,5,Image 1,1,161,
12.3431,,Surface,5,Image 1,1,162,
13.8182,,Surface,5,Image 1,1,163,
20.0838,,Surface,5,Image 1,1,164,
18.9405,,Surface,5,Image 1,1,165,
11.4017,,Surface,5,Image 1,1,166,
19.9517,,Surface,5,Image 1,1,167,
12.6749,,Surface,5,Image 1,1,168,
7.99239,,Surface,5,Image 1,1,169,
11.2442,,Surface,5,Image 1,1,170,
6.43152,,Surface,5,Image 1,1,171,
6.85201,,Surface,5,Image 1,1,172,
6.4564,,Surface,5,Image 1,1,173,
11.366,,Surface,5,Image 1,1,174,
12.688,,Surface,5,Image 1,1,175,
11.3358,,Surface,5,Image 1,1,176,
16.278,,Surface,5,Image 1,1,177,
12.6588,,Surface,5,Image 1,1,178,
14.1005,,Surface,5,Image 1,1,179,
13.6987,,Surface,5,Image 1,1,180,
25.9458,,Surface,5,Image 1,1,181,
15.3219,,Surface,5,Image 1,1,182,
26.1087,,Surface,5,Image 1,1,183,
25.1356,,Surface,5,Image 1,1,184,
12.1174,,Surface,5,Image 1,1,185,
18.4495,,Surface,5,Image 1,1,186,
23.68,,Surface,5,Image 1,1,187,
16.0063,,Surface,5,Image 1,1,188,
13.8764,,Surface,5,Image 1,1,189,
16.4965,,Surface,5,Image 1,1,190,
15.4302,,Surface,5,Image 1,1,191,
19.1095,,Surface,5,Image 1,1,192,
15.7846,,Surface,5,Image 1,1,193,
18.2676,,Surface,5,Image 1,1,194,
19.1738,,Surface,5,Image 1,1,195,
11.8816,,Surface,5,Image 1,1,196,
16.1715,,Surface,5,Image 1,1,197,
18.7818,,Surface,5,Image 1,1,198,
11.3848,,Surface,5,Image 1,1,199,
15.2296,,Surface,5,Image 1,1,200,
16.7565,,Surface,5,Image 1,1,201,
6.00241,,Surface,5,Image 1,1,202,
5.79262,,Surface,5,Image 1,1,203,
8.23779,,Surface,5,Image 1,1,204,
15.534,,Surface,5,Image 1,1,205,
12.2857,,Surface,5,Image 1,1,206,
13.7578,,Surface,5,Image 1,1,207,
6.09538,,Surface,5,Image 1,1,208,
12.0844,,Surface,5,Image 1,1,209,
7.98525,,Surface,5,Image 1,1,210,
5.96947,,Surface,5,Image 1,1,211,
6.003,,Surface,5,Image 1,1,212,
7.52826,,Surface,5,Image 1,1,213,
5.90636,,Surface,5,Image 1,1,214,
13.2041,,Surface,5,Image 1,1,215,
4.98066,,Surface,5,Image 1,1,216,
9.1806,,Surface,5,Image 1,1,217,
9.86109,,Surface,5,Image 1,1,218,
30.6768,,Surface,5,Image 1,1,219,
9.4043,,Surface,5,Image 1,1,220,
6.13586,,Surface,5,Image 1,1,221,
8.40133,,Surface,5,Image 1,1,222,
5.56231,,Surface,5,Image 1,1,223,
8.03653,,Surface,5,Image 1,1,224,
26.5418,,Surface,5,Image 1,1,225,
20.1079,,Surface,5,Image 1,1,226,
18.5244,,Surface,5,Image 1,1,227,
35.538,,Surface,5,Image 1,1,228,
