
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
163.5,93.0311,254.094,um,Surface,Position,1,0,
168.642,90.131,254.786,um,Surface,Position,1,1,
174.297,95.4054,255.68,um,Surface,Position,1,2,
164.495,98.5315,256.103,um,Surface,Position,1,3,
171.023,101.615,257.187,um,Surface,Position,1,4,
168.549,108.861,256.692,um,Surface,Position,1,5,
100.538,125.293,251.979,um,Surface,Position,1,6,
106.324,127.783,253.176,um,Surface,Position,1,7,
100.296,130.645,254.373,um,Surface,Position,1,8,
110.735,113.253,251.792,um,Surface,Position,1,9,
117.665,110.267,250.856,um,Surface,Position,1,10,
119.179,125.931,251.649,um,Surface,Position,1,11,
121.854,114.649,252.262,um,Surface,Position,1,12,
128.677,117.695,253.051,um,Surface,Position,1,13,
132.686,127.581,252.568,um,Surface,Position,1,14,
116.182,119.196,252.349,um,Surface,Position,1,15,
113.472,129.196,253.078,um,Surface,Position,1,16,
128.266,131.542,254.217,um,Surface,Position,1,17,
121.794,119.447,254.514,um,Surface,Position,1,18,
126.091,124.086,254.227,um,Surface,Position,1,19,
118.268,129.381,254.987,um,Surface,Position,1,20,
122.552,131.277,255.043,um,Surface,Position,1,21,
135.31,114.191,251.835,um,Surface,Position,1,22,
155.311,118.502,252.652,um,Surface,Position,1,23,
153.413,109.325,253.165,um,Surface,Position,1,24,
155.658,124.543,253.826,um,Surface,Position,1,25,
137.828,127.58,253.788,um,Surface,Position,1,26,
143.161,123.736,254.345,um,Surface,Position,1,27,
137.963,109.888,254.875,um,Surface,Position,1,28,
145.768,127.608,255.093,um,Surface,Position,1,29,
151.663,116.544,255.492,um,Surface,Position,1,30,
139.726,116.588,255.084,um,Surface,Position,1,31,
146.502,116.511,255.275,um,Surface,Position,1,32,
156.102,112.491,256.137,um,Surface,Position,1,33,
134.311,127.601,256.672,um,Surface,Position,1,34,
174.678,113.48,252.133,um,Surface,Position,1,35,
179.925,114.376,253.179,um,Surface,Position,1,36,
173.848,109.899,253.34,um,Surface,Position,1,37,
181.272,111.186,254.336,um,Surface,Position,1,38,
161.097,110.243,255.051,um,Surface,Position,1,39,
158.389,127.809,255.993,um,Surface,Position,1,40,
160.657,118.576,255.483,um,Surface,Position,1,41,
164.475,114.358,256.203,um,Surface,Position,1,42,
104.29,146.67,250.582,um,Surface,Position,1,43,
101.636,138.411,250.021,um,Surface,Position,1,44,
105.621,140.824,252.379,um,Surface,Position,1,45,
100.272,158.342,252.52,um,Surface,Position,1,46,
99.1237,142.779,254.395,um,Surface,Position,1,47,
102.761,156.763,256.169,um,Surface,Position,1,48,
123.198,138.403,252.982,um,Surface,Position,1,49,
117.492,140.718,247.528,um,Surface,Position,1,50,
110.327,142.43,250.851,um,Surface,Position,1,51,
130.629,141.448,254.825,um,Surface,Position,1,52,
131.485,137.458,255.499,um,Surface,Position,1,53,
113.307,157.793,255.436,um,Surface,Position,1,54,
123.913,146.307,255.934,um,Surface,Position,1,55,
110.167,150.535,255.282,um,Surface,Position,1,56,
118.811,141.213,256.615,um,Surface,Position,1,57,
146.459,135.848,250.944,um,Surface,Position,1,58,
148.755,144.75,251.225,um,Surface,Position,1,59,
142.816,149.439,251.435,um,Surface,Position,1,60,
143.152,153.221,251.309,um,Surface,Position,1,61,
157.687,147.769,252.117,um,Surface,Position,1,62,
138.37,150.245,253.02,um,Surface,Position,1,63,
153.629,147.308,253.375,um,Surface,Position,1,64,
139.805,137.302,254.522,um,Surface,Position,1,65,
135.528,146.094,254.829,um,Surface,Position,1,66,
135.191,156.911,254.415,um,Surface,Position,1,67,
99.574,168.434,254.201,um,Surface,Position,1,68,
103.122,167.048,254.961,um,Surface,Position,1,69,
114.735,170.091,251.204,um,Surface,Position,1,70,
125.219,163.095,252.469,um,Surface,Position,1,71,
126.543,159.1,253.402,um,Surface,Position,1,72,
110.916,160.552,255.492,um,Surface,Position,1,73,
118.599,162.326,256.47,um,Surface,Position,1,74,
139.528,165.411,254.483,um,Surface,Position,1,75,
134.959,163.357,255.671,um,Surface,Position,1,76,
139.457,131.921,257.586,um,Surface,Position,1,77,
130.07,144.035,257.532,um,Surface,Position,1,78,
146.114,133.823,258.1,um,Surface,Position,1,79,
107.055,62.2492,245.991,um,Surface,Position,1,80,
108.493,70.3954,242.64,um,Surface,Position,1,81,
102.64,75.1657,246.766,um,Surface,Position,1,82,
112.861,78.5395,244.794,um,Surface,Position,1,83,
124.034,82.8733,245.025,um,Surface,Position,1,84,
111.804,60.2863,245.079,um,Surface,Position,1,85,
131.966,60.7825,245.323,um,Surface,Position,1,86,
131.548,80.3691,246.484,um,Surface,Position,1,87,
121.833,68.8811,246.485,um,Surface,Position,1,88,
124.599,65.8571,246.637,um,Surface,Position,1,89,
112.831,66.4769,247.696,um,Surface,Position,1,90,
129.351,66.6752,246.115,um,Surface,Position,1,91,
117.619,73.1375,247.203,um,Surface,Position,1,92,
112.146,81.5904,248.575,um,Surface,Position,1,93,
127.412,78.5609,248.961,um,Surface,Position,1,94,
132.173,73.7215,249.422,um,Surface,Position,1,95,
122.54,80.6675,249.664,um,Surface,Position,1,96,
157.63,62.6344,245.633,um,Surface,Position,1,97,
140.994,71.602,244.958,um,Surface,Position,1,98,
138.887,66.7525,245.934,um,Surface,Position,1,99,
145.696,75.9084,245.688,um,Surface,Position,1,100,
157.155,74.0558,246.839,um,Surface,Position,1,101,
137.549,75.3852,246.753,um,Surface,Position,1,102,
151.241,81.4241,248.306,um,Surface,Position,1,103,
149.651,73.8586,248.828,um,Surface,Position,1,104,
140.017,58.0126,248.246,um,Surface,Position,1,105,
135.218,64.4744,248.558,um,Surface,Position,1,106,
148.548,63.9862,247.876,um,Surface,Position,1,107,
141.062,63.9723,249.641,um,Surface,Position,1,108,
146.186,68.8459,250.248,um,Surface,Position,1,109,
138.298,76.6638,250.546,um,Surface,Position,1,110,
139.606,83.2788,250.014,um,Surface,Position,1,111,
145.015,80.4054,250.033,um,Surface,Position,1,112,
168.923,80.8073,245.128,um,Surface,Position,1,113,
179.979,78.4898,245.568,um,Surface,Position,1,114,
163.381,80.1018,247.001,um,Surface,Position,1,115,
172.456,62.8731,247.351,um,Surface,Position,1,116,
174.788,67.4614,249.022,um,Surface,Position,1,117,
158.043,67.552,248.892,um,Surface,Position,1,118,
168.281,72.61,248.211,um,Surface,Position,1,119,
170.629,81.9587,249.206,um,Surface,Position,1,120,
162.919,60.9865,249.79,um,Surface,Position,1,121,
168.189,69.056,251.4,um,Surface,Position,1,122,
183.738,69.1259,245.59,um,Surface,Position,1,123,
227.792,71.0771,251.628,um,Surface,Position,1,124,
100.464,86.5997,247.364,um,Surface,Position,1,125,
105.928,86.2662,247.377,um,Surface,Position,1,126,
102.413,90.9921,247.71,um,Surface,Position,1,127,
105.4,99.0693,249.593,um,Surface,Position,1,128,
101.916,102.684,250.985,um,Surface,Position,1,129,
132.305,104.991,245.628,um,Surface,Position,1,130,
128.883,88.2984,247.105,um,Surface,Position,1,131,
112.628,93.7578,247.232,um,Surface,Position,1,132,
123.182,93.1927,246.644,um,Surface,Position,1,133,
131.503,95.4063,248.346,um,Surface,Position,1,134,
109.62,103.696,248.456,um,Surface,Position,1,135,
127.272,86.9143,250.131,um,Surface,Position,1,136,
114.303,87.9954,249.008,um,Surface,Position,1,137,
121.515,99.6689,249.838,um,Surface,Position,1,138,
118.215,104.009,250.17,um,Surface,Position,1,139,
113.717,93.0582,250.678,um,Surface,Position,1,140,
111.805,98.5357,249.908,um,Surface,Position,1,141,
121.109,91.7107,250.733,um,Surface,Position,1,142,
130.151,87.2786,250.945,um,Surface,Position,1,143,
132.284,108.377,251.53,um,Surface,Position,1,144,
142.812,101.186,246.664,um,Surface,Position,1,145,
155.38,94.3861,246.664,um,Surface,Position,1,146,
152.135,101.784,248.237,um,Surface,Position,1,147,
142.198,89.143,246.467,um,Surface,Position,1,148,
137.149,105.551,248.385,um,Surface,Position,1,149,
158.179,89.3562,248.8,um,Surface,Position,1,150,
146.787,106.315,249.338,um,Surface,Position,1,151,
138.863,89.1202,250.251,um,Surface,Position,1,152,
136.678,92.2101,249.613,um,Surface,Position,1,153,
182.387,94.0825,245.559,um,Surface,Position,1,154,
159.364,84.9379,245.207,um,Surface,Position,1,155,
165.189,104.707,247.399,um,Surface,Position,1,156,
167.304,96.2616,247.459,um,Surface,Position,1,157,
181.664,101.273,247.213,um,Surface,Position,1,158,
180.052,90.8024,247.998,um,Surface,Position,1,159,
176.665,83.5357,249.395,um,Surface,Position,1,160,
178.184,105.495,249.566,um,Surface,Position,1,161,
