
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
32.8365,,Surface,3,Image 1,1,0,
55.5352,,Surface,3,Image 1,1,1,
68.7117,,Surface,3,Image 1,1,2,
62.6877,,Surface,3,Image 1,1,3,
46.7894,,Surface,3,Image 1,1,4,
54.1326,,Surface,3,Image 1,1,5,
57.3735,,Surface,3,Image 1,1,6,
42.7503,,Surface,3,Image 1,1,7,
51.1227,,Surface,3,Image 1,1,8,
33.2037,,Surface,3,Image 1,1,9,
39.3114,,Surface,3,Image 1,1,10,
31.5427,,Surface,3,Image 1,1,11,
32.8417,,Surface,3,Image 1,1,12,
28.8382,,Surface,3,Image 1,1,13,
33.9915,,Surface,3,Image 1,1,14,
39.9993,,Surface,3,Image 1,1,15,
46.7351,,Surface,3,Image 1,1,16,
17.0844,,Surface,3,Image 1,1,17,
24.7205,,Surface,3,Image 1,1,18,
38.1858,,Surface,3,Image 1,1,19,
33.4185,,Surface,3,Image 1,1,20,
32.2386,,Surface,3,Image 1,1,21,
28.1262,,Surface,3,Image 1,1,22,
32.4488,,Surface,3,Image 1,1,23,
23.3333,,Surface,3,Image 1,1,24,
19,,Surface,3,Image 1,1,25,
34.1945,,Surface,3,Image 1,1,26,
21.5432,,Surface,3,Image 1,1,27,
20.3752,,Surface,3,Image 1,1,28,
50.0981,,Surface,3,Image 1,1,29,
13.6667,,Surface,3,Image 1,1,30,
38.0435,,Surface,3,Image 1,1,31,
21.5789,,Surface,3,Image 1,1,32,
15.7326,,Surface,3,Image 1,1,33,
18.4594,,Surface,3,Image 1,1,34,
23.9282,,Surface,3,Image 1,1,35,
33.6359,,Surface,3,Image 1,1,36,
22.2115,,Surface,3,Image 1,1,37,
16.6667,,Surface,3,Image 1,1,38,
26.2354,,Surface,3,Image 1,1,39,
38.0082,,Surface,3,Image 1,1,40,
27.4085,,Surface,3,Image 1,1,41,
48.6484,,Surface,3,Image 1,1,42,
33.6792,,Surface,3,Image 1,1,43,
22.9574,,Surface,3,Image 1,1,44,
17.3698,,Surface,3,Image 1,1,45,
30.7424,,Surface,3,Image 1,1,46,
19.49,,Surface,3,Image 1,1,47,
19.6842,,Surface,3,Image 1,1,48,
20,,Surface,3,Image 1,1,49,
55.6543,,Surface,3,Image 1,1,51,
42.0949,,Surface,3,Image 1,1,52,
30.9372,,Surface,3,Image 1,1,53,
39.9483,,Surface,3,Image 1,1,54,
47.9279,,Surface,3,Image 1,1,55,
42.3671,,Surface,3,Image 1,1,56,
38.5258,,Surface,3,Image 1,1,57,
32.0733,,Surface,3,Image 1,1,58,
41.5,,Surface,3,Image 1,1,59,
30.6567,,Surface,3,Image 1,1,60,
51.7866,,Surface,3,Image 1,1,61,
35.2485,,Surface,3,Image 1,1,62,
25.0908,,Surface,3,Image 1,1,63,
17.1393,,Surface,3,Image 1,1,64,
29.951,,Surface,3,Image 1,1,65,
32.9684,,Surface,3,Image 1,1,66,
23.1592,,Surface,3,Image 1,1,67,
28.8663,,Surface,3,Image 1,1,68,
22.1776,,Surface,3,Image 1,1,69,
21.0225,,Surface,3,Image 1,1,70,
17.1588,,Surface,3,Image 1,1,71,
23.4462,,Surface,3,Image 1,1,72,
29.1982,,Surface,3,Image 1,1,73,
25.3974,,Surface,3,Image 1,1,74,
34.6868,,Surface,3,Image 1,1,75,
21.7509,,Surface,3,Image 1,1,76,
10.2683,,Surface,3,Image 1,1,77,
32.8829,,Surface,3,Image 1,1,78,
20.2183,,Surface,3,Image 1,1,79,
8.84314,,Surface,3,Image 1,1,80,
7.83558,,Surface,3,Image 1,1,81,
