
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2.73017,,Surface,4,Image 1,1,0,
2.50515,,Surface,4,Image 1,1,1,
2.38434,,Surface,4,Image 1,1,2,
2.5882,,Surface,4,Image 1,1,3,
2.53681,,Surface,4,Image 1,1,4,
2.53588,,Surface,4,Image 1,1,5,
2.77768,,Surface,4,Image 1,1,6,
2.80262,,Surface,4,Image 1,1,7,
2.49402,,Surface,4,Image 1,1,8,
2.35168,,Surface,4,Image 1,1,9,
2.42152,,Surface,4,Image 1,1,10,
2.38663,,Surface,4,Image 1,1,11,
2.55451,,Surface,4,Image 1,1,12,
2.47357,,Surface,4,Image 1,1,13,
2.46491,,Surface,4,Image 1,1,14,
2.25472,,Surface,4,Image 1,1,15,
2.87222,,Surface,4,Image 1,1,16,
1.95173,,Surface,4,Image 1,1,17,
2.13032,,Surface,4,Image 1,1,18,
2.35745,,Surface,4,Image 1,1,19,
2.37056,,Surface,4,Image 1,1,20,
3.16368,,Surface,4,Image 1,1,21,
2.1683,,Surface,4,Image 1,1,22,
2.18823,,Surface,4,Image 1,1,23,
2.84602,,Surface,4,Image 1,1,24,
3.128,,Surface,4,Image 1,1,25,
2.74595,,Surface,4,Image 1,1,26,
2.68654,,Surface,4,Image 1,1,27,
3.12255,,Surface,4,Image 1,1,28,
3.36783,,Surface,4,Image 1,1,29,
3.55634,,Surface,4,Image 1,1,30,
2.81189,,Surface,4,Image 1,1,31,
2.53148,,Surface,4,Image 1,1,32,
2.82454,,Surface,4,Image 1,1,33,
2.94008,,Surface,4,Image 1,1,34,
2.41706,,Surface,4,Image 1,1,35,
2.53019,,Surface,4,Image 1,1,36,
2.40719,,Surface,4,Image 1,1,37,
2.36432,,Surface,4,Image 1,1,38,
2.48403,,Surface,4,Image 1,1,39,
2.56847,,Surface,4,Image 1,1,40,
2.60071,,Surface,4,Image 1,1,41,
2.64445,,Surface,4,Image 1,1,42,
3.30215,,Surface,4,Image 1,1,43,
2.32271,,Surface,4,Image 1,1,44,
2.42252,,Surface,4,Image 1,1,45,
2.37794,,Surface,4,Image 1,1,46,
2.43575,,Surface,4,Image 1,1,47,
2.50526,,Surface,4,Image 1,1,48,
1.99312,,Surface,4,Image 1,1,49,
2.02033,,Surface,4,Image 1,1,50,
2.49314,,Surface,4,Image 1,1,51,
2.36478,,Surface,4,Image 1,1,52,
2.28425,,Surface,4,Image 1,1,53,
2.32078,,Surface,4,Image 1,1,54,
2.73873,,Surface,4,Image 1,1,55,
3.31979,,Surface,4,Image 1,1,56,
3.0466,,Surface,4,Image 1,1,57,
2.79252,,Surface,4,Image 1,1,58,
3.14798,,Surface,4,Image 1,1,59,
3.24987,,Surface,4,Image 1,1,60,
3.24094,,Surface,4,Image 1,1,61,
3.57718,,Surface,4,Image 1,1,62,
3.32137,,Surface,4,Image 1,1,63,
3.98425,,Surface,4,Image 1,1,64,
3.44048,,Surface,4,Image 1,1,65,
3.17641,,Surface,4,Image 1,1,66,
3.10778,,Surface,4,Image 1,1,67,
3.2279,,Surface,4,Image 1,1,68,
3.4502,,Surface,4,Image 1,1,69,
3.04008,,Surface,4,Image 1,1,70,
3.06024,,Surface,4,Image 1,1,71,
2.76689,,Surface,4,Image 1,1,72,
3.51495,,Surface,4,Image 1,1,73,
1.91594,,Surface,4,Image 1,1,74,
2.30155,,Surface,4,Image 1,1,75,
2.62558,,Surface,4,Image 1,1,76,
2.74335,,Surface,4,Image 1,1,77,
3.08288,,Surface,4,Image 1,1,78,
3.54464,,Surface,4,Image 1,1,79,
3.25839,,Surface,4,Image 1,1,80,
2.57489,,Surface,4,Image 1,1,81,
2.79205,,Surface,4,Image 1,1,82,
3.54363,,Surface,4,Image 1,1,83,
2.80051,,Surface,4,Image 1,1,84,
3.03327,,Surface,4,Image 1,1,85,
2.92013,,Surface,4,Image 1,1,86,
2.80356,,Surface,4,Image 1,1,87,
2.89839,,Surface,4,Image 1,1,88,
2.51603,,Surface,4,Image 1,1,89,
3.20499,,Surface,4,Image 1,1,90,
2.76789,,Surface,4,Image 1,1,91,
3.07613,,Surface,4,Image 1,1,92,
2.89273,,Surface,4,Image 1,1,93,
3.06182,,Surface,4,Image 1,1,94,
3.20783,,Surface,4,Image 1,1,95,
3.19166,,Surface,4,Image 1,1,96,
3.33108,,Surface,4,Image 1,1,97,
2.98884,,Surface,4,Image 1,1,98,
3.27501,,Surface,4,Image 1,1,99,
