
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
7.97867,,Surface,2,Image 1,1,0,
12.0476,,Surface,2,Image 1,1,1,
7.28646,,Surface,2,Image 1,1,2,
7.87031,,Surface,2,Image 1,1,3,
5.26361,,Surface,2,Image 1,1,4,
8.31178,,Surface,2,Image 1,1,5,
1.24772,,Surface,2,Image 1,1,6,
6.28488,,Surface,2,Image 1,1,7,
3.71974,,Surface,2,Image 1,1,8,
12.3134,,Surface,2,Image 1,1,9,
13.3157,,Surface,2,Image 1,1,10,
9.27127,,Surface,2,Image 1,1,11,
4.03187,,Surface,2,Image 1,1,12,
6.84523,,Surface,2,Image 1,1,13,
3.73131,,Surface,2,Image 1,1,14,
6.38875,,Surface,2,Image 1,1,15,
2.92851,,Surface,2,Image 1,1,16,
4.34679,,Surface,2,Image 1,1,17,
3.45785,,Surface,2,Image 1,1,18,
1.70269,,Surface,2,Image 1,1,19,
3.47255,,Surface,2,Image 1,1,20,
4.00683,,Surface,2,Image 1,1,21,
2.93261,,Surface,2,Image 1,1,22,
5.98607,,Surface,2,Image 1,1,23,
2.70542,,Surface,2,Image 1,1,24,
2.40848,,Surface,2,Image 1,1,25,
4.58219,,Surface,2,Image 1,1,26,
2.16998,,Surface,2,Image 1,1,27,
1.42436,,Surface,2,Image 1,1,28,
1.45311,,Surface,2,Image 1,1,29,
1.62058,,Surface,2,Image 1,1,30,
1.43175,,Surface,2,Image 1,1,31,
1.94733,,Surface,2,Image 1,1,32,
5.73237,,Surface,2,Image 1,1,33,
3.96282,,Surface,2,Image 1,1,34,
2.27948,,Surface,2,Image 1,1,35,
3.08756,,Surface,2,Image 1,1,36,
3.71848,,Surface,2,Image 1,1,37,
3.60409,,Surface,2,Image 1,1,38,
2.8413,,Surface,2,Image 1,1,39,
2.73272,,Surface,2,Image 1,1,40,
2.58789,,Surface,2,Image 1,1,41,
3.54235,,Surface,2,Image 1,1,42,
3.28074,,Surface,2,Image 1,1,43,
2.97709,,Surface,2,Image 1,1,44,
2.02199,,Surface,2,Image 1,1,45,
2.77219,,Surface,2,Image 1,1,46,
2.19708,,Surface,2,Image 1,1,47,
2.20278,,Surface,2,Image 1,1,48,
1.98391,,Surface,2,Image 1,1,49,
1.7235,,Surface,2,Image 1,1,50,
