
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
115.371,109.126,84.0226,um,Surface,Position,1,0,
117.588,106.945,84.3385,um,Surface,Position,1,1,
127.922,105.348,78.7432,um,Surface,Position,1,2,
131.07,106.513,81.4811,um,Surface,Position,1,3,
127.68,105.246,83.0248,um,Surface,Position,1,4,
105.731,110.817,78.2055,um,Surface,Position,1,5,
114.75,123.013,79.1048,um,Surface,Position,1,6,
111.601,113.772,80.9675,um,Surface,Position,1,7,
115.405,117.318,81.9524,um,Surface,Position,1,8,
121.165,112.285,80.3242,um,Surface,Position,1,9,
118.581,128.431,80.9259,um,Surface,Position,1,10,
122.115,133.326,80.0169,um,Surface,Position,1,11,
123.575,128.066,81.3212,um,Surface,Position,1,12,
105.538,117.145,73.5947,um,Surface,Position,1,14,
117.531,120.348,73.7636,um,Surface,Position,1,15,
110.493,122.222,75.7231,um,Surface,Position,1,16,
120.6,116.913,62.5439,um,Surface,Position,1,17,
127.703,116.245,62.5763,um,Surface,Position,1,18,
118.099,121.405,63.2325,um,Surface,Position,1,19,
123.87,112.794,66.15,um,Surface,Position,1,20,
131.517,119.914,64.3038,um,Surface,Position,1,21,
128.958,111.483,67.6325,um,Surface,Position,1,22,
126.287,122.885,67.5964,um,Surface,Position,1,23,
117.976,113.721,67.707,um,Surface,Position,1,24,
118.523,113.957,72.4215,um,Surface,Position,1,25,
123.161,118.159,72.9365,um,Surface,Position,1,26,
122.49,112.464,73.6338,um,Surface,Position,1,27,
128.552,114.362,78.1926,um,Surface,Position,1,28,
126.751,120.987,77.7806,um,Surface,Position,1,29,
140.488,111.06,62.4042,um,Surface,Position,1,30,
136.063,114.394,66.215,um,Surface,Position,1,31,
143.417,122.681,66.3896,um,Surface,Position,1,32,
140.824,117.27,69.9713,um,Surface,Position,1,33,
134.864,118.417,71.5969,um,Surface,Position,1,34,
131.746,114.168,73.0605,um,Surface,Position,1,35,
143.416,122.771,73.9405,um,Surface,Position,1,36,
141.066,113.679,74.5148,um,Surface,Position,1,37,
135.657,116.847,76.9932,um,Surface,Position,1,38,
152.505,115.69,62.6013,um,Surface,Position,1,39,
145.511,117.968,62.9151,um,Surface,Position,1,40,
157.863,115.21,63.8616,um,Surface,Position,1,41,
149.553,111.22,64.5411,um,Surface,Position,1,42,
162.156,123.374,62.6036,um,Surface,Position,1,43,
81.439,133.283,63.8346,um,Surface,Position,1,44,
84.8365,127.04,65.0459,um,Surface,Position,1,45,
102.589,134.732,61.7625,um,Surface,Position,1,46,
97.8756,133.218,62.3523,um,Surface,Position,1,47,
91.5147,129.455,63.3053,um,Surface,Position,1,48,
101.289,129.121,65.3797,um,Surface,Position,1,49,
92.4131,134.55,66.5761,um,Surface,Position,1,50,
93.8801,127.079,67.57,um,Surface,Position,1,51,
98.0677,126.584,70.092,um,Surface,Position,1,52,
98.6418,132.046,70.6404,um,Surface,Position,1,53,
97.9252,122.739,73.7602,um,Surface,Position,1,54,
104.572,123.613,75.1216,um,Surface,Position,1,55,
111.84,122.995,62.7193,um,Surface,Position,1,56,
116.026,131.889,63.9621,um,Surface,Position,1,57,
106.113,135.574,63.5254,um,Surface,Position,1,58,
107.009,132.2,64.376,um,Surface,Position,1,59,
116.708,127.216,66.2603,um,Surface,Position,1,60,
110.912,134.656,66.3896,um,Surface,Position,1,61,
105.52,125.687,69.1255,um,Surface,Position,1,62,
111.202,128.26,70.6064,um,Surface,Position,1,63,
116.736,127.2,72.892,um,Surface,Position,1,64,
107.23,131.042,74.0729,um,Surface,Position,1,65,
113.892,131.364,76.3517,um,Surface,Position,1,66,
122.598,128.361,63.614,um,Surface,Position,1,67,
120.845,123.294,67.769,um,Surface,Position,1,68,
125.478,130.111,66.3614,um,Surface,Position,1,69,
122.356,132.468,69.1785,um,Surface,Position,1,70,
130.117,129.459,68.5779,um,Surface,Position,1,71,
117.75,133.469,69.2002,um,Surface,Position,1,72,
129.758,133.441,72.4422,um,Surface,Position,1,73,
122.291,125.976,73.0641,um,Surface,Position,1,74,
122.187,128.064,77.5212,um,Surface,Position,1,75,
131.521,125.801,62.6982,um,Surface,Position,1,76,
136.771,128.448,63.4746,um,Surface,Position,1,77,
143.839,133.787,64.6174,um,Surface,Position,1,78,
143.652,125.992,66.2092,um,Surface,Position,1,79,
134.02,127.732,68.6472,um,Surface,Position,1,80,
137.883,124.939,69.9084,um,Surface,Position,1,81,
137.554,132.855,72.397,um,Surface,Position,1,82,
141.993,126.642,73.1116,um,Surface,Position,1,83,
132.65,125.3,75.2474,um,Surface,Position,1,84,
140.323,125.961,77.8651,um,Surface,Position,1,85,
150.085,132.367,62.6941,um,Surface,Position,1,86,
156.442,127.703,65.4646,um,Surface,Position,1,87,
150.832,133.545,66.5808,um,Surface,Position,1,88,
149.19,125.345,68.8298,um,Surface,Position,1,89,
160.116,131.647,63.5981,um,Surface,Position,1,90,
164.533,125.591,66.3729,um,Surface,Position,1,91,
83.0561,139.441,62.6466,um,Surface,Position,1,92,
87.757,136.379,64.388,um,Surface,Position,1,93,
93.1236,149.845,62.2295,um,Surface,Position,1,94,
92.4873,142.272,64.9,um,Surface,Position,1,95,
100.041,145.795,65.1987,um,Surface,Position,1,96,
95.5203,137.078,65.1032,um,Surface,Position,1,97,
103.031,138.737,70.3056,um,Surface,Position,1,98,
115.9,138.188,62.7878,um,Surface,Position,1,99,
112.055,144.778,65.8391,um,Surface,Position,1,100,
106.967,138.25,67.76,um,Surface,Position,1,101,
106.203,147.999,65.7017,um,Surface,Position,1,102,
117.18,142.145,68.274,um,Surface,Position,1,103,
104.815,142.459,69.81,um,Surface,Position,1,104,
114.054,137.241,72.1138,um,Surface,Position,1,105,
120.902,139.598,62.8214,um,Surface,Position,1,106,
131.353,148.075,63.6152,um,Surface,Position,1,107,
123.282,146.949,65.7808,um,Surface,Position,1,108,
127.052,137.809,66.2215,um,Surface,Position,1,109,
131.419,142.93,69.192,um,Surface,Position,1,110,
128.042,144.13,68.7561,um,Surface,Position,1,111,
128.328,137.082,70.9008,um,Surface,Position,1,112,
120.894,135.631,73.7745,um,Surface,Position,1,113,
139.59,135.569,61.6637,um,Surface,Position,1,114,
131.306,141.378,63.4888,um,Surface,Position,1,115,
139.676,141.996,66.7021,um,Surface,Position,1,116,
143.475,136.091,69.7598,um,Surface,Position,1,117,
133.254,148.393,70.6911,um,Surface,Position,1,118,
158.001,142.718,61.8506,um,Surface,Position,1,119,
147.119,143.461,62.6819,um,Surface,Position,1,120,
149.661,141.365,63.7451,um,Surface,Position,1,121,
155.117,136.527,65.5264,um,Surface,Position,1,122,
149.004,142.669,67.579,um,Surface,Position,1,123,
