
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
6.03548,,Surface,5,Image 1,1,0,
12.9378,,Surface,5,Image 1,1,1,
4.96027,,Surface,5,Image 1,1,2,
13.7143,,Surface,5,Image 1,1,3,
3.97256,,Surface,5,Image 1,1,4,
5.55715,,Surface,5,Image 1,1,5,
11.2283,,Surface,5,Image 1,1,6,
16.085,,Surface,5,Image 1,1,7,
11.8912,,Surface,5,Image 1,1,8,
7.79076,,Surface,5,Image 1,1,9,
5.58666,,Surface,5,Image 1,1,10,
10.6641,,Surface,5,Image 1,1,11,
8.52342,,Surface,5,Image 1,1,12,
11.1003,,Surface,5,Image 1,1,13,
10.4058,,Surface,5,Image 1,1,14,
9.98146,,Surface,5,Image 1,1,15,
11.0909,,Surface,5,Image 1,1,16,
9.25418,,Surface,5,Image 1,1,17,
13.1281,,Surface,5,Image 1,1,18,
8.82034,,Surface,5,Image 1,1,19,
4.75101,,Surface,5,Image 1,1,20,
5.93118,,Surface,5,Image 1,1,21,
6.00085,,Surface,5,Image 1,1,22,
12.8083,,Surface,5,Image 1,1,23,
3.56096,,Surface,5,Image 1,1,24,
12.3137,,Surface,5,Image 1,1,25,
11.3981,,Surface,5,Image 1,1,26,
10.7717,,Surface,5,Image 1,1,27,
8.775,,Surface,5,Image 1,1,28,
6.56819,,Surface,5,Image 1,1,29,
5.20558,,Surface,5,Image 1,1,30,
2.64103,,Surface,5,Image 1,1,31,
6.73258,,Surface,5,Image 1,1,32,
2.09494,,Surface,5,Image 1,1,33,
14.3825,,Surface,5,Image 1,1,34,
3.69707,,Surface,5,Image 1,1,35,
5.32491,,Surface,5,Image 1,1,36,
6.92954,,Surface,5,Image 1,1,37,
7.66212,,Surface,5,Image 1,1,38,
12.9373,,Surface,5,Image 1,1,39,
3.48216,,Surface,5,Image 1,1,40,
5.01884,,Surface,5,Image 1,1,41,
4.55077,,Surface,5,Image 1,1,42,
8.25821,,Surface,5,Image 1,1,43,
4.39613,,Surface,5,Image 1,1,44,
5.95417,,Surface,5,Image 1,1,45,
6.71249,,Surface,5,Image 1,1,46,
5.64135,,Surface,5,Image 1,1,47,
4.71688,,Surface,5,Image 1,1,48,
2.80534,,Surface,5,Image 1,1,49,
3.986,,Surface,5,Image 1,1,50,
4.23676,,Surface,5,Image 1,1,51,
2.81962,,Surface,5,Image 1,1,52,
4.70828,,Surface,5,Image 1,1,53,
3.69902,,Surface,5,Image 1,1,54,
4.98611,,Surface,5,Image 1,1,55,
4.15163,,Surface,5,Image 1,1,56,
2.92284,,Surface,5,Image 1,1,57,
1.53596,,Surface,5,Image 1,1,58,
1.96552,,Surface,5,Image 1,1,59,
2.58586,,Surface,5,Image 1,1,60,
2.44322,,Surface,5,Image 1,1,61,
2.48461,,Surface,5,Image 1,1,62,
16.9168,,Surface,5,Image 1,1,63,
9.32081,,Surface,5,Image 1,1,64,
12.9864,,Surface,5,Image 1,1,65,
7.21702,,Surface,5,Image 1,1,66,
8.18525,,Surface,5,Image 1,1,67,
11.2993,,Surface,5,Image 1,1,68,
6.92018,,Surface,5,Image 1,1,69,
10.0304,,Surface,5,Image 1,1,70,
14.4669,,Surface,5,Image 1,1,71,
7.72455,,Surface,5,Image 1,1,72,
9.94964,,Surface,5,Image 1,1,73,
9.24735,,Surface,5,Image 1,1,74,
6.02371,,Surface,5,Image 1,1,75,
9.75218,,Surface,5,Image 1,1,76,
8.68937,,Surface,5,Image 1,1,77,
7.66095,,Surface,5,Image 1,1,78,
12.4378,,Surface,5,Image 1,1,79,
12.8249,,Surface,5,Image 1,1,80,
11.9238,,Surface,5,Image 1,1,81,
6.14554,,Surface,5,Image 1,1,82,
12.1433,,Surface,5,Image 1,1,83,
10.1741,,Surface,5,Image 1,1,84,
10.6337,,Surface,5,Image 1,1,85,
10.5299,,Surface,5,Image 1,1,86,
9.71184,,Surface,5,Image 1,1,87,
13.7384,,Surface,5,Image 1,1,88,
11.4275,,Surface,5,Image 1,1,89,
8.01091,,Surface,5,Image 1,1,90,
9.11987,,Surface,5,Image 1,1,91,
9.96698,,Surface,5,Image 1,1,92,
6.49823,,Surface,5,Image 1,1,93,
10.3705,,Surface,5,Image 1,1,94,
9.97534,,Surface,5,Image 1,1,95,
9.1704,,Surface,5,Image 1,1,96,
9.41494,,Surface,5,Image 1,1,97,
8.49683,,Surface,5,Image 1,1,98,
5.42573,,Surface,5,Image 1,1,99,
10.7143,,Surface,5,Image 1,1,100,
12.0112,,Surface,5,Image 1,1,101,
15.4365,,Surface,5,Image 1,1,102,
13.1889,,Surface,5,Image 1,1,103,
12.4102,,Surface,5,Image 1,1,104,
13.7477,,Surface,5,Image 1,1,105,
7.97913,,Surface,5,Image 1,1,106,
12.7305,,Surface,5,Image 1,1,107,
13.419,,Surface,5,Image 1,1,108,
12.7061,,Surface,5,Image 1,1,109,
17.515,,Surface,5,Image 1,1,110,
10.165,,Surface,5,Image 1,1,111,
14.0977,,Surface,5,Image 1,1,112,
