
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
158.347,86.3147,246.715,um,Surface,Position,1,0,
163.952,86.7109,247.518,um,Surface,Position,1,1,
117.05,99.1762,246.113,um,Surface,Position,1,2,
115.143,109.697,245.591,um,Surface,Position,1,3,
108.539,101.152,246.654,um,Surface,Position,1,4,
102.501,105.018,247.57,um,Surface,Position,1,5,
107.112,109.657,246.959,um,Surface,Position,1,6,
130.798,117.151,246.917,um,Surface,Position,1,7,
130.359,100.227,244.12,um,Surface,Position,1,8,
144.273,100.101,246.439,um,Surface,Position,1,9,
132.983,106.523,247.308,um,Surface,Position,1,10,
126,108.102,247.638,um,Surface,Position,1,11,
103.289,129.285,245.046,um,Surface,Position,1,12,
110.646,122.025,231.75,um,Surface,Position,1,13,
103.873,100.129,235.242,um,Surface,Position,1,14,
106.215,105.654,235.133,um,Surface,Position,1,15,
121.107,97.9236,236.716,um,Surface,Position,1,16,
117.721,104.068,237.828,um,Surface,Position,1,17,
100.863,109.554,237.924,um,Surface,Position,1,18,
114.178,99.693,239.955,um,Surface,Position,1,19,
115.165,108.624,240.205,um,Surface,Position,1,20,
104.906,110.842,241.936,um,Surface,Position,1,21,
108.401,104.599,241.666,um,Surface,Position,1,22,
110.365,111.71,243.008,um,Surface,Position,1,23,
102.031,98.062,244.298,um,Surface,Position,1,24,
118.508,102.058,244.307,um,Surface,Position,1,25,
121.099,109.417,244.021,um,Surface,Position,1,26,
105.046,114.139,243.796,um,Surface,Position,1,27,
131.337,107.645,233.779,um,Surface,Position,1,28,
128.046,119.203,232.066,um,Surface,Position,1,29,
132.709,118.378,234.288,um,Surface,Position,1,30,
136.141,98.5819,236.604,um,Surface,Position,1,31,
144.703,104.644,236.399,um,Surface,Position,1,32,
122.368,115.102,236.4,um,Surface,Position,1,33,
126.4,99.2317,240.007,um,Surface,Position,1,34,
124.634,105.336,239.025,um,Surface,Position,1,35,
140.232,104.115,240.716,um,Surface,Position,1,36,
130.946,97.3992,242.279,um,Surface,Position,1,37,
123.591,112.47,242.548,um,Surface,Position,1,38,
129.263,107.99,243.454,um,Surface,Position,1,39,
138.088,102.46,244.464,um,Surface,Position,1,40,
147.521,115.841,233.445,um,Surface,Position,1,41,
151.796,98.4322,237.812,um,Surface,Position,1,42,
146.603,98.8452,238.014,um,Surface,Position,1,43,
148.99,107.771,241.702,um,Surface,Position,1,44,
152.27,99.6853,244.08,um,Surface,Position,1,45,
121.015,134.567,231.365,um,Surface,Position,1,46,
107.396,139.978,231.393,um,Surface,Position,1,47,
114.699,128.172,236.664,um,Surface,Position,1,48,
120.157,129.431,233.192,um,Surface,Position,1,49,
106.924,124.552,236.331,um,Surface,Position,1,50,
114.9,137.035,237.452,um,Surface,Position,1,51,
103.121,137.143,236.344,um,Surface,Position,1,52,
115.776,120.839,238.56,um,Surface,Position,1,53,
110.046,125.195,239.272,um,Surface,Position,1,54,
105.542,129.662,238.832,um,Surface,Position,1,55,
101.073,130.298,239.66,um,Surface,Position,1,56,
125.301,141.346,234.703,um,Surface,Position,1,57,
121.907,122.451,235.065,um,Surface,Position,1,58,
122.994,130.716,242.165,um,Surface,Position,1,59,
103.6,44.2675,246.029,um,Surface,Position,1,60,
161.107,46.7803,245.407,um,Surface,Position,1,61,
147.724,48.0114,246.479,um,Surface,Position,1,62,
116.839,63.9597,244.502,um,Surface,Position,1,63,
109.277,71.2157,244.703,um,Surface,Position,1,64,
117.489,52.0492,247.638,um,Surface,Position,1,65,
107.325,63.8279,246.745,um,Surface,Position,1,66,
100.83,67.7433,246.893,um,Surface,Position,1,67,
122.769,71.5132,244.386,um,Surface,Position,1,68,
137.413,57.5093,245.92,um,Surface,Position,1,69,
130.271,60.5649,247.638,um,Surface,Position,1,70,
157.583,56.8255,244.976,um,Surface,Position,1,71,
161.375,63.7287,245.044,um,Surface,Position,1,72,
168.755,59.209,246.362,um,Surface,Position,1,73,
148.737,60.3759,247.15,um,Surface,Position,1,74,
145.446,70.8992,246.782,um,Surface,Position,1,75,
109.034,92.3299,245.313,um,Surface,Position,1,76,
113.273,76.0093,245.51,um,Surface,Position,1,77,
102.272,82.7169,245.193,um,Surface,Position,1,78,
104.683,77.9991,246.953,um,Surface,Position,1,79,
120.714,80.2239,246.604,um,Surface,Position,1,80,
111.557,84.2717,246.905,um,Surface,Position,1,81,
104.585,91.0322,247.111,um,Surface,Position,1,82,
117.124,90.9161,247.426,um,Surface,Position,1,83,
112.216,95.8158,246.706,um,Surface,Position,1,84,
123.669,90.8471,246.078,um,Surface,Position,1,85,
130.028,73.4352,246.831,um,Surface,Position,1,86,
137.62,77.7145,246.785,um,Surface,Position,1,87,
133.646,82.5288,247.196,um,Surface,Position,1,88,
144.026,83.52,245.082,um,Surface,Position,1,89,
131.201,85.6248,244.273,um,Surface,Position,1,90,
132.614,92.2246,247.243,um,Surface,Position,1,91,
138.636,95.4953,247.094,um,Surface,Position,1,92,
147.824,97.5537,244.546,um,Surface,Position,1,93,
101.606,36.3173,235.076,um,Surface,Position,1,94,
110.924,38.6721,236.183,um,Surface,Position,1,95,
107.267,46.5139,238.281,um,Surface,Position,1,96,
118.05,43.2011,239.391,um,Surface,Position,1,97,
102.226,43.4323,239.895,um,Surface,Position,1,98,
142.908,32.3713,233.556,um,Surface,Position,1,99,
133.234,27.7396,234.627,um,Surface,Position,1,100,
134.07,33.1275,234.849,um,Surface,Position,1,101,
144.358,38.2724,235.42,um,Surface,Position,1,102,
143.872,47.3733,235.597,um,Surface,Position,1,103,
134.335,47.8079,237.865,um,Surface,Position,1,104,
141.199,42.8573,238.727,um,Surface,Position,1,105,
122.364,36.7045,240.813,um,Surface,Position,1,106,
134.722,37.2633,241.009,um,Surface,Position,1,107,
129.975,29.0865,242.591,um,Surface,Position,1,108,
140.445,39.0016,242.248,um,Surface,Position,1,109,
124.96,45.6689,242.402,um,Surface,Position,1,110,
155.442,41.1944,234.291,um,Surface,Position,1,111,
159.892,48.2382,235.233,um,Surface,Position,1,112,
153.401,38.3446,238.635,um,Surface,Position,1,113,
149.15,46.7776,238.777,um,Surface,Position,1,114,
149.152,32.0653,239.252,um,Surface,Position,1,115,
162.15,34.0246,239.707,um,Surface,Position,1,116,
167.352,41.6978,238.579,um,Surface,Position,1,117,
161.167,44.7141,239.24,um,Surface,Position,1,118,
151.355,43.2412,243.62,um,Surface,Position,1,119,
147.38,37.9541,243.756,um,Surface,Position,1,120,
158.599,39.8317,244.539,um,Surface,Position,1,121,
172.327,48.0299,233.471,um,Surface,Position,1,122,
181.1,35.1369,235.307,um,Surface,Position,1,123,
192.223,49.0582,237.497,um,Surface,Position,1,124,
191.491,47.7421,238.691,um,Surface,Position,1,125,
189.928,47.4915,241.18,um,Surface,Position,1,126,
103.945,66.6378,235.448,um,Surface,Position,1,127,
111.164,52.2868,234.731,um,Surface,Position,1,128,
103.822,53.9076,235.617,um,Surface,Position,1,129,
119.337,67.2976,237.461,um,Surface,Position,1,130,
111.704,65.9659,238.765,um,Surface,Position,1,131,
114.732,69.8365,239.596,um,Surface,Position,1,132,
108.664,70.9428,239.818,um,Surface,Position,1,133,
102.344,69.0762,239.566,um,Surface,Position,1,134,
102.067,51.3566,240.407,um,Surface,Position,1,135,
103.33,55.9195,241.925,um,Surface,Position,1,136,
116.088,57.6744,242.55,um,Surface,Position,1,137,
106.926,64.3055,242.722,um,Surface,Position,1,138,
110.064,51.6664,244.97,um,Surface,Position,1,139,
109.067,58.8609,244.48,um,Surface,Position,1,140,
142.829,68.1216,236.583,um,Surface,Position,1,141,
139.16,49.3872,236.583,um,Surface,Position,1,142,
132.458,62.7336,236.509,um,Surface,Position,1,143,
138.8,72.8405,236.055,um,Surface,Position,1,144,
138.716,65.5737,236.257,um,Surface,Position,1,145,
