
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
7.04483,-38.2031,-49.2,um,Surface,Position Reference Frame,Reference Frame 1,1,0,
26.8082,-44.0468,-49.6555,um,Surface,Position Reference Frame,Reference Frame 1,1,1,
15.2913,-43.3257,-53.7339,um,Surface,Position Reference Frame,Reference Frame 1,1,2,
13.8544,-39.4303,-52.1399,um,Surface,Position Reference Frame,Reference Frame 1,1,3,
20.5283,-38.6453,-52.0785,um,Surface,Position Reference Frame,Reference Frame 1,1,4,
20.5685,-49.4651,-56.1107,um,Surface,Position Reference Frame,Reference Frame 1,1,5,
27.6717,-30.6245,-47.5389,um,Surface,Position Reference Frame,Reference Frame 1,1,6,
2.52706,-49.9168,-46.8252,um,Surface,Position Reference Frame,Reference Frame 1,1,7,
-8.89621,-41.4568,-49.6282,um,Surface,Position Reference Frame,Reference Frame 1,1,8,
-1.41519,-59.7807,-53.0161,um,Surface,Position Reference Frame,Reference Frame 1,1,9,
11.2747,-55.6019,-50.1806,um,Surface,Position Reference Frame,Reference Frame 1,1,10,
7.28761,-56.7489,-53.249,um,Surface,Position Reference Frame,Reference Frame 1,1,11,
-2.90372,-45.2247,-53.5487,um,Surface,Position Reference Frame,Reference Frame 1,1,12,
5.82683,-53.0451,-54.8253,um,Surface,Position Reference Frame,Reference Frame 1,1,13,
-9.63577,-46.4759,-53.9077,um,Surface,Position Reference Frame,Reference Frame 1,1,14,
-2.86737,-50.4805,-55.8255,um,Surface,Position Reference Frame,Reference Frame 1,1,15,
0.167693,-38.5315,-53.8918,um,Surface,Position Reference Frame,Reference Frame 1,1,16,
1.48568,-53.9239,-65.9901,um,Surface,Position Reference Frame,Reference Frame 1,1,17,
-3.55123,-41.8997,-57.3499,um,Surface,Position Reference Frame,Reference Frame 1,1,18,
-37.7183,-55.5954,-54.6768,um,Surface,Position Reference Frame,Reference Frame 1,1,19,
-26.6492,-66.2831,-57.55,um,Surface,Position Reference Frame,Reference Frame 1,1,20,
-31.097,-58.9855,-56.6109,um,Surface,Position Reference Frame,Reference Frame 1,1,21,
-31.6345,-66.2702,-60.7922,um,Surface,Position Reference Frame,Reference Frame 1,1,22,
-22.1372,-52.4138,-53.7641,um,Surface,Position Reference Frame,Reference Frame 1,1,23,
-25.6285,-64.6808,-66.6655,um,Surface,Position Reference Frame,Reference Frame 1,1,24,
-26.7069,-59.0785,-60.9144,um,Surface,Position Reference Frame,Reference Frame 1,1,25,
-17.5851,-60.4396,-58.9945,um,Surface,Position Reference Frame,Reference Frame 1,1,26,
-36.2665,-70.588,-63.8397,um,Surface,Position Reference Frame,Reference Frame 1,1,27,
13.3211,-29.5945,-36.9086,um,Surface,Position Reference Frame,Reference Frame 1,1,28,
21.7812,-30.2307,-39.0514,um,Surface,Position Reference Frame,Reference Frame 1,1,29,
-19.1264,-38.5532,-46.8282,um,Surface,Position Reference Frame,Reference Frame 1,1,30,
-1.58467,-25.5951,-37.7317,um,Surface,Position Reference Frame,Reference Frame 1,1,31,
-0.461173,-32.067,-47.1365,um,Surface,Position Reference Frame,Reference Frame 1,1,32,
34.6081,-84.9262,-68.3774,um,Surface,Position Reference Frame,Reference Frame 1,1,33,
29.9991,-79.0337,-72.4716,um,Surface,Position Reference Frame,Reference Frame 1,1,34,
13.9579,-98.9716,-76.2553,um,Surface,Position Reference Frame,Reference Frame 1,1,35,
17.422,-95.5793,-73.2613,um,Surface,Position Reference Frame,Reference Frame 1,1,36,
18.6839,-77.9978,-73.131,um,Surface,Position Reference Frame,Reference Frame 1,1,37,
20.7829,-86.4359,-72.9483,um,Surface,Position Reference Frame,Reference Frame 1,1,38,
10.1423,-89.2471,-75.7824,um,Surface,Position Reference Frame,Reference Frame 1,1,39,
6.63737,-93.4326,-77.7645,um,Surface,Position Reference Frame,Reference Frame 1,1,40,
20.1972,-91.5417,-76.2019,um,Surface,Position Reference Frame,Reference Frame 1,1,41,
2.90033,-84.5307,-76.8917,um,Surface,Position Reference Frame,Reference Frame 1,1,42,
12.8152,-84.3841,-77.4844,um,Surface,Position Reference Frame,Reference Frame 1,1,43,
24.309,-76.9985,-76.5951,um,Surface,Position Reference Frame,Reference Frame 1,1,44,
-8.42214,-103.402,-82.0979,um,Surface,Position Reference Frame,Reference Frame 1,1,45,
-5.94566,-84.3844,-77.0379,um,Surface,Position Reference Frame,Reference Frame 1,1,46,
-10.776,-94.5302,-80.9047,um,Surface,Position Reference Frame,Reference Frame 1,1,47,
-15.9217,-92.9379,-80.7895,um,Surface,Position Reference Frame,Reference Frame 1,1,48,
-2.2489,-97.6181,-82.2549,um,Surface,Position Reference Frame,Reference Frame 1,1,49,
-18.5681,-89.008,-84.7628,um,Surface,Position Reference Frame,Reference Frame 1,1,50,
-29.4811,-95.7618,-78.8797,um,Surface,Position Reference Frame,Reference Frame 1,1,51,
36.7622,-61.3772,-63.8235,um,Surface,Position Reference Frame,Reference Frame 1,1,52,
33.2658,-55.2869,-58.9325,um,Surface,Position Reference Frame,Reference Frame 1,1,53,
22.9983,-56.3993,-66.657,um,Surface,Position Reference Frame,Reference Frame 1,1,54,
28.0661,-59.5164,-66.8737,um,Surface,Position Reference Frame,Reference Frame 1,1,55,
32.0011,-71.6187,-68.2387,um,Surface,Position Reference Frame,Reference Frame 1,1,56,
18.5857,-60.1579,-68.0665,um,Surface,Position Reference Frame,Reference Frame 1,1,57,
22.7538,-50.9326,-65.8051,um,Surface,Position Reference Frame,Reference Frame 1,1,58,
28.6954,-69.5044,-75.1383,um,Surface,Position Reference Frame,Reference Frame 1,1,59,
37.1976,-52.5552,-67.4624,um,Surface,Position Reference Frame,Reference Frame 1,1,60,
6.48053,-80.5347,-67.5248,um,Surface,Position Reference Frame,Reference Frame 1,1,61,
-5.30941,-66.3389,-71.8913,um,Surface,Position Reference Frame,Reference Frame 1,1,62,
-0.730592,-73.0113,-75.0393,um,Surface,Position Reference Frame,Reference Frame 1,1,63,
