
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
97.5602,116.151,114.457,um,Surface,Position,1,0,
95.607,109.576,116.301,um,Surface,Position,1,1,
97.0394,115.283,121.781,um,Surface,Position,1,2,
114.203,113.406,114.038,um,Surface,Position,1,3,
103.853,112.788,115.83,um,Surface,Position,1,4,
113.371,118.548,117.93,um,Surface,Position,1,5,
102.867,112.494,124.529,um,Surface,Position,1,6,
109.927,111.099,120.65,um,Surface,Position,1,7,
105.562,116.04,121.97,um,Surface,Position,1,8,
112.265,117.91,127.332,um,Surface,Position,1,9,
127.638,107.172,124.179,um,Surface,Position,1,10,
118.847,113.722,120.763,um,Surface,Position,1,11,
137.922,108.238,115.273,um,Surface,Position,1,12,
130.491,112.154,125.2,um,Surface,Position,1,13,
143.567,113.096,115.343,um,Surface,Position,1,14,
93.216,128.287,112.638,um,Surface,Position,1,15,
98.1548,129.973,113.372,um,Surface,Position,1,16,
98.1945,125.445,116.703,um,Surface,Position,1,17,
97.9333,124.968,126.665,um,Surface,Position,1,18,
107.981,122.2,112.425,um,Surface,Position,1,19,
113.926,124.577,119.393,um,Surface,Position,1,20,
111.721,123.485,125.628,um,Surface,Position,1,21,
152.278,100.525,126.144,um,Surface,Position,1,22,
155.037,97.67,130.471,um,Surface,Position,1,23,
141.256,110.489,132.845,um,Surface,Position,1,24,
93.8201,144.66,93.9345,um,Surface,Position,1,25,
94.029,136.016,94.9934,um,Surface,Position,1,26,
101.778,140.366,93.9395,um,Surface,Position,1,27,
98.5903,143.155,96.6009,um,Surface,Position,1,28,
94.3542,140.069,96.4903,um,Surface,Position,1,29,
97.9387,135.856,97.7783,um,Surface,Position,1,30,
96.6341,139.116,105.452,um,Surface,Position,1,31,
93.2497,137.275,106.095,um,Surface,Position,1,32,
115.159,137.247,96.8513,um,Surface,Position,1,33,
105.043,137.803,94.9313,um,Surface,Position,1,34,
107.273,144.058,96.1325,um,Surface,Position,1,35,
108.168,136.187,99.373,um,Surface,Position,1,36,
113.974,134.868,97.2327,um,Surface,Position,1,37,
102.738,146.435,103.06,um,Surface,Position,1,38,
112.989,136.797,106.163,um,Surface,Position,1,39,
122.65,138.344,100.019,um,Surface,Position,1,40,
118.684,146.13,98.5877,um,Surface,Position,1,41,
126.459,137.607,104.322,um,Surface,Position,1,42,
118.817,134.279,105.075,um,Surface,Position,1,43,
140.092,134.078,94.4947,um,Surface,Position,1,44,
134.069,145.261,93.3049,um,Surface,Position,1,45,
131.688,139.009,97.0402,um,Surface,Position,1,46,
129.364,134.187,101.824,um,Surface,Position,1,47,
143.559,135.906,97.7051,um,Surface,Position,1,48,
101.326,157.679,95.1771,um,Surface,Position,1,49,
95.5282,151.405,104.213,um,Surface,Position,1,50,
109.481,148.527,99.5703,um,Surface,Position,1,51,
123.002,147.601,99.1057,um,Surface,Position,1,52,
133.12,54.0994,110.651,um,Surface,Position,1,53,
140.901,50.1075,110.517,um,Surface,Position,1,54,
150.736,46.6251,113.219,um,Surface,Position,1,55,
153.099,55.6795,116.155,um,Surface,Position,1,56,
154.261,48.127,112.872,um,Surface,Position,1,57,
107.066,66.425,109.295,um,Surface,Position,1,58,
115.773,62.9718,112.893,um,Surface,Position,1,59,
120.961,61.332,114.266,um,Surface,Position,1,60,
127.184,57.3095,111.343,um,Surface,Position,1,61,
116.846,66.8061,112.683,um,Surface,Position,1,62,
125.294,67.0696,116.459,um,Surface,Position,1,63,
131.54,60.1985,116.459,um,Surface,Position,1,64,
138.034,59.218,112.409,um,Surface,Position,1,65,
130.096,65.7451,112.735,um,Surface,Position,1,66,
135.117,66.4401,113.98,um,Surface,Position,1,67,
143.564,57.9734,112.277,um,Surface,Position,1,68,
143.427,60.2346,118.232,um,Surface,Position,1,69,
148.433,59.6136,119.438,um,Surface,Position,1,70,
141.601,67.4102,120.209,um,Surface,Position,1,71,
146.886,65.714,115.269,um,Surface,Position,1,72,
152.411,65.5955,121.211,um,Surface,Position,1,73,
157.025,58.3331,120.234,um,Surface,Position,1,74,
158.534,66.5451,118.323,um,Surface,Position,1,75,
94.0238,76.2163,110.797,um,Surface,Position,1,76,
101.967,75.016,114.264,um,Surface,Position,1,77,
98.23,78.3084,110.495,um,Surface,Position,1,78,
112.871,68.768,112.467,um,Surface,Position,1,79,
108.034,74.8888,110.862,um,Surface,Position,1,80,
113.159,74.8276,112.8,um,Surface,Position,1,81,
109.807,80.82,114.469,um,Surface,Position,1,82,
113.482,81.7074,118.341,um,Surface,Position,1,83,
120.836,72.3178,117.008,um,Surface,Position,1,84,
118.31,77.6046,112.752,um,Surface,Position,1,85,
123.627,79.1948,119.6,um,Surface,Position,1,86,
131.158,74.729,114.916,um,Surface,Position,1,87,
139.388,72.6915,116.3,um,Surface,Position,1,88,
134.168,79.2266,121.463,um,Surface,Position,1,89,
139.168,79.4613,119.137,um,Surface,Position,1,90,
147.232,73.102,114.073,um,Surface,Position,1,91,
148.629,76.8797,118.988,um,Surface,Position,1,92,
146.238,73.4557,122.284,um,Surface,Position,1,93,
142.327,77.7033,117.124,um,Surface,Position,1,94,
148.078,78.8091,123.413,um,Surface,Position,1,95,
154.948,78.063,113.934,um,Surface,Position,1,96,
161.112,73.8913,116.548,um,Surface,Position,1,97,
161.617,80.756,120.879,um,Surface,Position,1,98,
153.819,71.8869,123.54,um,Surface,Position,1,99,
159.076,73.1193,121.88,um,Surface,Position,1,100,
95.3508,86.6014,110.348,um,Surface,Position,1,101,
96.5805,93.0715,115.602,um,Surface,Position,1,102,
100.987,91.779,116.943,um,Surface,Position,1,103,
104.007,82.3287,115.618,um,Surface,Position,1,104,
105.671,86.5497,118.329,um,Surface,Position,1,105,
108.137,91.1244,114.621,um,Surface,Position,1,106,
121.683,84.9346,113.934,um,Surface,Position,1,107,
116.291,87.4055,116.347,um,Surface,Position,1,108,
122.131,89.2006,116.947,um,Surface,Position,1,109,
131.945,84.5179,115.456,um,Surface,Position,1,110,
136.439,93.934,115.366,um,Surface,Position,1,111,
130.557,90.2738,115.151,um,Surface,Position,1,112,
140.668,89.0167,115.199,um,Surface,Position,1,113,
138.104,88.1059,120.159,um,Surface,Position,1,114,
130.755,89.6114,122.114,um,Surface,Position,1,115,
139.729,88.8535,124.606,um,Surface,Position,1,116,
135.563,93.0308,125.147,um,Surface,Position,1,117,
145.041,85.0601,116.22,um,Surface,Position,1,118,
147.4,93.321,117.279,um,Surface,Position,1,119,
144.885,84.9511,124.747,um,Surface,Position,1,120,
149.495,85.4868,122.404,um,Surface,Position,1,121,
153.16,83.9805,125.539,um,Surface,Position,1,122,
146.189,92.1261,124.657,um,Surface,Position,1,123,
161.606,83.8794,114.622,um,Surface,Position,1,124,
154.615,84.518,115.693,um,Surface,Position,1,125,
156.698,92.2653,117.412,um,Surface,Position,1,126,
159.284,82.4775,124.748,um,Surface,Position,1,127,
155.315,91.5471,128.781,um,Surface,Position,1,128,
92.6365,96.3149,114.912,um,Surface,Position,1,129,
96.6571,100.308,115.231,um,Surface,Position,1,130,
100.739,106.939,118.995,um,Surface,Position,1,131,
112.926,99.9804,114.956,um,Surface,Position,1,132,
103.046,96.3299,119.958,um,Surface,Position,1,133,
103.4,101.718,116.605,um,Surface,Position,1,134,
111.742,100.12,122.77,um,Surface,Position,1,135,
108.724,105.59,123.43,um,Surface,Position,1,136,
117.926,107.074,114.239,um,Surface,Position,1,137,
119.904,94.0565,118.53,um,Surface,Position,1,138,
117.073,97.6648,117.497,um,Surface,Position,1,139,
124.114,101.634,121.163,um,Surface,Position,1,140,
121.396,104.911,121.923,um,Surface,Position,1,141,
115.489,106.138,123.09,um,Surface,Position,1,142,
131.182,103.643,112.792,um,Surface,Position,1,143,
141.506,98.8308,118.384,um,Surface,Position,1,144,
136.621,99.9977,118.326,um,Surface,Position,1,145,
136.33,105.35,120.769,um,Surface,Position,1,146,
131.037,101.769,118.429,um,Surface,Position,1,147,
130.747,101.633,125.067,um,Surface,Position,1,148,
139.865,97.536,124.079,um,Surface,Position,1,149,
135.99,99.5088,126.575,um,Surface,Position,1,150,
135.62,105.257,128.236,um,Surface,Position,1,151,
152.493,100.785,113.291,um,Surface,Position,1,152,
144.91,99.8296,113.277,um,Surface,Position,1,153,
146.178,106.684,116.037,um,Surface,Position,1,154,
142.547,94.4474,123.583,um,Surface,Position,1,155,
148.853,97.1716,124.623,um,Surface,Position,1,156,
143.742,102.793,125.48,um,Surface,Position,1,157,
156.024,100.159,118.056,um,Surface,Position,1,158,
155.209,97.7107,124.482,um,Surface,Position,1,159,
91.384,111.367,95.4151,um,Surface,Position,1,160,
95.4146,115.826,96.535,um,Surface,Position,1,161,
95.1534,108.678,103.801,um,Surface,Position,1,162,
97.5863,110.466,103.447,um,Surface,Position,1,163,
101.492,112.307,105.795,um,Surface,Position,1,164,
92.799,112.701,106.199,um,Surface,Position,1,165,
96.7853,108.19,110.394,um,Surface,Position,1,166,
111.831,116.054,95.8704,um,Surface,Position,1,167,
111.007,119.597,95.8307,um,Surface,Position,1,168,
115.43,115.222,96.8327,um,Surface,Position,1,169,
109.166,112.256,97.3949,um,Surface,Position,1,170,
111.75,111.481,104.852,um,Surface,Position,1,171,
106.951,110.77,107.662,um,Surface,Position,1,172,
124.772,115.237,94.3185,um,Surface,Position,1,173,
121.903,119.755,95.781,um,Surface,Position,1,174,
116.496,119.469,99.3825,um,Surface,Position,1,175,
127.307,109.753,103.053,um,Surface,Position,1,176,
123.156,109.927,106.324,um,Surface,Position,1,177,
117.618,112.28,105.335,um,Surface,Position,1,178,
125.948,115.889,109.657,um,Surface,Position,1,179,
117.839,113.831,109.673,um,Surface,Position,1,180,
131.165,110.234,96.9443,um,Surface,Position,1,181,
135.373,117.083,96.7216,um,Surface,Position,1,182,
127.772,117.998,98.535,um,Surface,Position,1,183,
129.786,114.371,98.2364,um,Surface,Position,1,184,
133.893,115.645,101.455,um,Surface,Position,1,185,
137.328,108.279,104.81,um,Surface,Position,1,186,
132.306,109.815,106.42,um,Surface,Position,1,187,
138.763,114.178,107.471,um,Surface,Position,1,188,
132.37,115.367,107.812,um,Surface,Position,1,189,
148.406,109.587,97.8444,um,Surface,Position,1,190,
152.688,119.592,98.2571,um,Surface,Position,1,191,
152.596,114.511,100.86,um,Surface,Position,1,192,
144.483,116.214,101.819,um,Surface,Position,1,193,
139.767,111.222,100.326,um,Surface,Position,1,194,
147.988,107.799,103.53,um,Surface,Position,1,195,
149.176,109.263,108.693,um,Surface,Position,1,196,
156.851,111.292,94.7673,um,Surface,Position,1,197,
161.316,115.598,96.2969,um,Surface,Position,1,198,
155.867,117.981,98.6276,um,Surface,Position,1,199,
165.774,108.421,98.8312,um,Surface,Position,1,200,
159.899,108.805,101.023,um,Surface,Position,1,201,
167.739,113.758,94.1813,um,Surface,Position,1,202,
173.279,112.372,98.3104,um,Surface,Position,1,203,
92.0573,124.598,93.7974,um,Surface,Position,1,204,
97.7568,127.598,96.0912,um,Surface,Position,1,205,
94.6684,120.718,94.7868,um,Surface,Position,1,206,
97.2772,132.015,97.3537,um,Surface,Position,1,207,
93.7722,129.334,97.1933,um,Surface,Position,1,208,
97.6199,121.509,98.5875,um,Surface,Position,1,209,
102.565,130.116,101.939,um,Surface,Position,1,210,
99.3978,121.696,109.853,um,Surface,Position,1,211,
113.992,123.725,94.3545,um,Surface,Position,1,212,
106.029,129.279,95.4506,um,Surface,Position,1,213,
103.209,122.355,97.8122,um,Surface,Position,1,214,
112.897,121.352,100.312,um,Surface,Position,1,215,
113.182,129.003,100.812,um,Surface,Position,1,216,
109.364,130.587,98.1083,um,Surface,Position,1,217,
108.186,121.405,103.082,um,Surface,Position,1,218,
109.84,124.983,98.6563,um,Surface,Position,1,219,
105.748,129.999,110.052,um,Surface,Position,1,220,
114.086,124.432,110.423,um,Surface,Position,1,221,
126.05,130.11,94.3947,um,Surface,Position,1,222,
127.611,126.27,96.1377,um,Surface,Position,1,223,
116.667,127.344,98.2188,um,Surface,Position,1,224,
118.162,131.401,98.253,um,Surface,Position,1,225,
122.578,127.617,97.3681,um,Surface,Position,1,226,
120.556,123.799,99.1877,um,Surface,Position,1,227,
116.105,123.473,103.534,um,Surface,Position,1,228,
124.632,122.237,105.976,um,Surface,Position,1,229,
119.473,130.801,106.266,um,Surface,Position,1,230,
127.373,121.65,110.967,um,Surface,Position,1,231,
139.772,121.166,94.9867,um,Surface,Position,1,232,
134.635,125.003,95.2799,um,Surface,Position,1,233,
131.03,128.453,94.0931,um,Surface,Position,1,234,
138.058,131.388,96.833,um,Surface,Position,1,235,
135.723,129.054,101.196,um,Surface,Position,1,236,
137.747,121.203,102.182,um,Surface,Position,1,237,
131.628,125.101,103.907,um,Surface,Position,1,238,
144.16,128.1,94.8827,um,Surface,Position,1,239,
148.833,128.441,94.1678,um,Surface,Position,1,240,
152.406,122.727,94.6547,um,Surface,Position,1,241,
143.765,123.926,99.9478,um,Surface,Position,1,242,
153.203,119.895,103.25,um,Surface,Position,1,243,
140.261,124.211,106.95,um,Surface,Position,1,244,
157.886,121.621,94.3167,um,Surface,Position,1,245,
158.024,124.972,98.0965,um,Surface,Position,1,246,
95.0888,82.5851,96.0526,um,Surface,Position,1,247,
94.7314,88.1944,96.421,um,Surface,Position,1,248,
100.89,86.8048,99.3966,um,Surface,Position,1,249,
91.6562,89.4494,101.122,um,Surface,Position,1,250,
97.992,90.3519,100.895,um,Surface,Position,1,251,
99.6624,82.1239,104.918,um,Surface,Position,1,252,
93.892,93.9448,106.297,um,Surface,Position,1,253,
101.708,90.6465,110.513,um,Surface,Position,1,254,
108.391,83.6437,98.8837,um,Surface,Position,1,255,
108.798,91.5109,100.717,um,Surface,Position,1,256,
113.468,88.1508,101.014,um,Surface,Position,1,257,
104.805,90.8471,100.821,um,Surface,Position,1,258,
114.841,92.5409,106.063,um,Surface,Position,1,259,
106.374,86.1307,109.124,um,Surface,Position,1,260,
122.112,83.0943,99.9336,um,Surface,Position,1,261,
128.239,86.4214,101.035,um,Surface,Position,1,262,
118.812,90.516,100.223,um,Surface,Position,1,263,
124.87,89.3076,102.607,um,Surface,Position,1,264,
120.387,91.6447,105.907,um,Surface,Position,1,265,
126.251,86.3226,107.56,um,Surface,Position,1,266,
116.142,86.5327,108.649,um,Surface,Position,1,267,
137.469,91.8544,97.3693,um,Surface,Position,1,268,
132.325,87.8399,98.0369,um,Surface,Position,1,269,
138.281,82.6321,100.842,um,Surface,Position,1,270,
134.912,81.6636,103.465,um,Surface,Position,1,271,
137.402,93.1927,106.166,um,Surface,Position,1,272,
139.623,82.0739,106.884,um,Surface,Position,1,273,
142.02,85.052,98.0131,um,Surface,Position,1,274,
149.871,88.4032,98.2067,um,Surface,Position,1,275,
144.04,90.8225,101.81,um,Surface,Position,1,276,
141.518,85.8755,107.34,um,Surface,Position,1,277,
149.492,90.8648,109.014,um,Surface,Position,1,278,
150.023,83.8566,109.635,um,Surface,Position,1,279,
157.182,84.4748,96.1077,um,Surface,Position,1,280,
154.397,91.8234,97.4646,um,Surface,Position,1,281,
160.052,91.3577,100.255,um,Surface,Position,1,282,
165.03,85.5911,100.199,um,Surface,Position,1,283,
153.178,89.8902,102.76,um,Surface,Position,1,284,
153.455,81.6882,103.016,um,Surface,Position,1,285,
157.757,82.5867,103.518,um,Surface,Position,1,286,
164.055,93.6373,103.283,um,Surface,Position,1,287,
163.668,85.4519,106.151,um,Surface,Position,1,288,
157.32,89.3675,108.946,um,Surface,Position,1,289,
163.772,90.8095,108.684,um,Surface,Position,1,290,
166.471,87.9551,94.9243,um,Surface,Position,1,291,
174.975,86.7588,99.5238,um,Surface,Position,1,292,
171.272,92.8775,104.298,um,Surface,Position,1,293,
171.067,82.9124,104.665,um,Surface,Position,1,294,
181.075,90.6848,94.8371,um,Surface,Position,1,295,
181.668,82.9981,96.2861,um,Surface,Position,1,296,
182.751,90.8782,99.1315,um,Surface,Position,1,297,
94.5702,96.149,95.572,um,Surface,Position,1,298,
98.9741,101.081,95.7495,um,Surface,Position,1,299,
93.8903,104.46,96.5467,um,Surface,Position,1,300,
98.8834,105.232,99.811,um,Surface,Position,1,301,
100.552,95.5011,100.849,um,Surface,Position,1,302,
101.203,100.693,105.945,um,Surface,Position,1,303,
93.2793,104.27,108.154,um,Surface,Position,1,304,
113.34,102.076,97.7046,um,Surface,Position,1,305,
103.794,102.568,97.498,um,Surface,Position,1,306,
112.564,95.2407,99.492,um,Surface,Position,1,307,
109.038,105.279,99.8698,um,Surface,Position,1,308,
108.223,98.9391,101.903,um,Surface,Position,1,309,
113.632,105.894,105.777,um,Surface,Position,1,310,
112.944,98.7403,106.001,um,Surface,Position,1,311,
104.368,96.2712,111.796,um,Surface,Position,1,312,
108.629,104.396,113.972,um,Surface,Position,1,313,
121.776,107.578,99.3857,um,Surface,Position,1,314,
119.779,101.105,99.2637,um,Surface,Position,1,315,
116.888,96.3022,99.83,um,Surface,Position,1,316,
124.884,94.398,99.8305,um,Surface,Position,1,317,
125.028,102.662,101.899,um,Surface,Position,1,318,
117.972,106.409,101.383,um,Surface,Position,1,319,
125.113,95.1159,107.432,um,Surface,Position,1,320,
120.541,100.743,108.41,um,Surface,Position,1,321,
125.201,105.33,111.026,um,Surface,Position,1,322,
138.806,97.1488,98.9527,um,Surface,Position,1,323,
129.474,97.2598,100.249,um,Surface,Position,1,324,
129.21,105.258,100.245,um,Surface,Position,1,325,
136.422,103.192,100.841,um,Surface,Position,1,326,
130.315,99.5268,105.322,um,Surface,Position,1,327,
135.084,102.014,107.007,um,Surface,Position,1,328,
136.522,105.15,111.215,um,Surface,Position,1,329,
149.747,101.35,96.5319,um,Surface,Position,1,330,
142.872,104.876,99.8477,um,Surface,Position,1,331,
147.27,96.5479,100.006,um,Surface,Position,1,332,
140.919,99.2843,105.384,um,Surface,Position,1,333,
146.341,94.9932,106.356,um,Surface,Position,1,334,
149.671,102.842,107.28,um,Surface,Position,1,335,
143.022,106.154,109.076,um,Surface,Position,1,336,
155.485,102.686,95.1782,um,Surface,Position,1,337,
160.169,97.302,95.773,um,Surface,Position,1,338,
160.412,102.971,96.3866,um,Surface,Position,1,339,
153.294,106.482,100.195,um,Surface,Position,1,340,
161.105,100.191,100.625,um,Surface,Position,1,341,
154.775,101.603,102.496,um,Surface,Position,1,342,
165.046,101.177,104.128,um,Surface,Position,1,343,
154.536,96.4697,104.293,um,Surface,Position,1,344,
158.697,98.2959,108.164,um,Surface,Position,1,345,
152.717,94.7646,111.485,um,Surface,Position,1,346,
176.083,95.0814,96.9162,um,Surface,Position,1,347,
173.033,103.383,96.5778,um,Surface,Position,1,348,
168.1,94.8063,98.6201,um,Surface,Position,1,349,
168.807,101.051,107.534,um,Surface,Position,1,350,
172.101,98.6577,106.491,um,Surface,Position,1,351,
157.241,50.5747,103.036,um,Surface,Position,1,352,
169.674,53.7287,101.928,um,Surface,Position,1,353,
95.3879,56.8557,93.6423,um,Surface,Position,1,354,
93.5885,64.5715,95.4805,um,Surface,Position,1,355,
98.3961,56.1149,102.044,um,Surface,Position,1,356,
92.5522,59.0381,104.834,um,Surface,Position,1,357,
100.307,58.5228,106.881,um,Surface,Position,1,358,
95.4114,64.7878,106.415,um,Surface,Position,1,359,
102.238,62.6196,106.18,um,Surface,Position,1,360,
111.888,59.8101,94.965,um,Surface,Position,1,361,
105.963,62.2079,96.5925,um,Surface,Position,1,362,
106.07,67.6308,93.9325,um,Surface,Position,1,363,
113.664,56.1984,98.7027,um,Surface,Position,1,364,
113.312,66.2388,100.157,um,Surface,Position,1,365,
104.637,57.9476,102.205,um,Surface,Position,1,366,
105.68,66.119,102.872,um,Surface,Position,1,367,
110.292,61.0901,104.983,um,Surface,Position,1,368,
110.859,61.7448,112.093,um,Surface,Position,1,369,
118.595,63.2815,95.7734,um,Surface,Position,1,370,
126.87,59.1437,95.9046,um,Surface,Position,1,371,
125.802,67.7535,98.5125,um,Surface,Position,1,372,
126.936,63.8621,97.1204,um,Surface,Position,1,373,
119.824,65.8759,99.3878,um,Surface,Position,1,374,
121.661,60.1761,103.572,um,Surface,Position,1,375,
116.208,57.3907,102.809,um,Surface,Position,1,376,
115.768,62.7784,106.476,um,Surface,Position,1,377,
125.121,65.1532,110.649,um,Surface,Position,1,378,
117.725,57.7699,108.754,um,Surface,Position,1,379,
135.801,66.9634,94.7577,um,Surface,Position,1,380,
139.824,56.9759,101.233,um,Surface,Position,1,381,
135.372,61.1285,101.598,um,Surface,Position,1,382,
128.089,61.1168,105.628,um,Surface,Position,1,383,
136.561,65.9372,103.943,um,Surface,Position,1,384,
131.179,60.4055,109.949,um,Surface,Position,1,385,
154.256,63.0335,96.3622,um,Surface,Position,1,386,
153.727,69.12,97.4204,um,Surface,Position,1,387,
147.784,59.6484,100.655,um,Surface,Position,1,388,
143.073,62.7641,100.616,um,Surface,Position,1,389,
148.947,69.029,103.333,um,Surface,Position,1,390,
143.97,58.1444,106.234,um,Surface,Position,1,391,
149.079,58.9534,111.686,um,Surface,Position,1,392,
152.532,66.2236,112.362,um,Surface,Position,1,393,
156.337,58.9454,97.3927,um,Surface,Position,1,394,
164.012,58.6956,99.2208,um,Surface,Position,1,395,
162.722,62.7677,101.99,um,Surface,Position,1,396,
156.026,67.0387,102.732,um,Surface,Position,1,397,
161.724,67.3948,103.934,um,Surface,Position,1,398,
163.818,58.203,105.538,um,Surface,Position,1,399,
165.048,66.7853,107.837,um,Surface,Position,1,400,
154.536,63.0661,111.88,um,Surface,Position,1,401,
158.056,57.8607,112.378,um,Surface,Position,1,402,
170.724,60.5864,92.9585,um,Surface,Position,1,403,
177.124,65.1124,96.3527,um,Surface,Position,1,404,
169.096,63.5572,96.6382,um,Surface,Position,1,405,
170.432,62.554,101.305,um,Surface,Position,1,406,
170.94,57.6,102.524,um,Surface,Position,1,407,
97.4945,77.3383,96.2363,um,Surface,Position,1,408,
99.606,71.4908,96.8051,um,Surface,Position,1,409,
102.324,75.9185,98.1906,um,Surface,Position,1,410,
93.7813,75.5002,100.504,um,Surface,Position,1,411,
101.307,73.6866,107.868,um,Surface,Position,1,412,
92.5592,69.0566,108.066,um,Surface,Position,1,413,
101.025,68.4488,106.947,um,Surface,Position,1,414,
94.8268,71.5532,110.017,um,Surface,Position,1,415,
102.894,81.3248,95.7986,um,Surface,Position,1,416,
110.98,74.9818,96.5528,um,Surface,Position,1,417,
