
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
4.07153,,Surface,5,Image 1,1,0,
7.70714,,Surface,5,Image 1,1,1,
3.86987,,Surface,5,Image 1,1,2,
2.18775,,Surface,5,Image 1,1,3,
4.86983,,Surface,5,Image 1,1,4,
3.0401,,Surface,5,Image 1,1,5,
5.69187,,Surface,5,Image 1,1,6,
7.22038,,Surface,5,Image 1,1,7,
5.82436,,Surface,5,Image 1,1,8,
7.53067,,Surface,5,Image 1,1,9,
4.16718,,Surface,5,Image 1,1,10,
3.66088,,Surface,5,Image 1,1,11,
4.82163,,Surface,5,Image 1,1,12,
11.8778,,Surface,5,Image 1,1,13,
5.95645,,Surface,5,Image 1,1,14,
2.35669,,Surface,5,Image 1,1,15,
16.5326,,Surface,5,Image 1,1,16,
19.2741,,Surface,5,Image 1,1,17,
24.5832,,Surface,5,Image 1,1,18,
4.29336,,Surface,5,Image 1,1,19,
19.8758,,Surface,5,Image 1,1,20,
22.7555,,Surface,5,Image 1,1,21,
23.803,,Surface,5,Image 1,1,22,
25.8455,,Surface,5,Image 1,1,23,
18.0602,,Surface,5,Image 1,1,24,
7.67514,,Surface,5,Image 1,1,25,
11.6925,,Surface,5,Image 1,1,26,
2.5808,,Surface,5,Image 1,1,27,
16.0899,,Surface,5,Image 1,1,28,
4.39701,,Surface,5,Image 1,1,29,
8.87331,,Surface,5,Image 1,1,30,
12.6789,,Surface,5,Image 1,1,31,
2.58087,,Surface,5,Image 1,1,32,
13.6724,,Surface,5,Image 1,1,33,
5.3375,,Surface,5,Image 1,1,34,
4.61015,,Surface,5,Image 1,1,35,
6.86745,,Surface,5,Image 1,1,36,
3.22531,,Surface,5,Image 1,1,37,
4.83395,,Surface,5,Image 1,1,38,
3.0798,,Surface,5,Image 1,1,39,
7.7547,,Surface,5,Image 1,1,40,
8.60384,,Surface,5,Image 1,1,41,
2.12051,,Surface,5,Image 1,1,42,
2.55389,,Surface,5,Image 1,1,43,
2.80606,,Surface,5,Image 1,1,44,
3.96419,,Surface,5,Image 1,1,45,
6.69855,,Surface,5,Image 1,1,46,
9.67116,,Surface,5,Image 1,1,47,
2.55935,,Surface,5,Image 1,1,48,
4.86753,,Surface,5,Image 1,1,49,
5.23329,,Surface,5,Image 1,1,50,
3.90645,,Surface,5,Image 1,1,51,
3.53341,,Surface,5,Image 1,1,52,
10.6128,,Surface,5,Image 1,1,53,
3.91029,,Surface,5,Image 1,1,54,
3.15893,,Surface,5,Image 1,1,55,
2.97895,,Surface,5,Image 1,1,56,
2.52767,,Surface,5,Image 1,1,57,
5.68486,,Surface,5,Image 1,1,58,
17.5225,,Surface,5,Image 1,1,59,
24.0098,,Surface,5,Image 1,1,60,
25.5206,,Surface,5,Image 1,1,61,
20.7972,,Surface,5,Image 1,1,62,
17.4357,,Surface,5,Image 1,1,63,
17.0587,,Surface,5,Image 1,1,64,
14.3036,,Surface,5,Image 1,1,65,
16.2002,,Surface,5,Image 1,1,66,
20.7656,,Surface,5,Image 1,1,67,
37.4571,,Surface,5,Image 1,1,68,
20.4359,,Surface,5,Image 1,1,69,
20.8567,,Surface,5,Image 1,1,70,
21.4921,,Surface,5,Image 1,1,71,
9.32214,,Surface,5,Image 1,1,72,
9.6505,,Surface,5,Image 1,1,73,
2.81239,,Surface,5,Image 1,1,74,
7.11984,,Surface,5,Image 1,1,75,
8.60514,,Surface,5,Image 1,1,76,
7.58939,,Surface,5,Image 1,1,77,
23.9959,,Surface,5,Image 1,1,78,
14.7563,,Surface,5,Image 1,1,79,
4.75805,,Surface,5,Image 1,1,80,
3.09046,,Surface,5,Image 1,1,81,
16.4573,,Surface,5,Image 1,1,82,
12.3308,,Surface,5,Image 1,1,83,
19.6022,,Surface,5,Image 1,1,84,
10.9926,,Surface,5,Image 1,1,85,
13.1304,,Surface,5,Image 1,1,86,
13.3202,,Surface,5,Image 1,1,87,
3.99051,,Surface,5,Image 1,1,88,
9.26168,,Surface,5,Image 1,1,89,
11.0843,,Surface,5,Image 1,1,90,
4.19785,,Surface,5,Image 1,1,91,
1.77981,,Surface,5,Image 1,1,92,
1.17869,,Surface,5,Image 1,1,93,
2.17031,,Surface,5,Image 1,1,94,
2.55206,,Surface,5,Image 1,1,95,
2.99739,,Surface,5,Image 1,1,96,
4.74939,,Surface,5,Image 1,1,97,
9.47893,,Surface,5,Image 1,1,98,
2.17392,,Surface,5,Image 1,1,99,
4.49037,,Surface,5,Image 1,1,100,
4.94895,,Surface,5,Image 1,1,101,
8.17144,,Surface,5,Image 1,1,102,
2.81945,,Surface,5,Image 1,1,103,
4.04469,,Surface,5,Image 1,1,104,
6.97965,,Surface,5,Image 1,1,105,
6.51604,,Surface,5,Image 1,1,106,
10.8803,,Surface,5,Image 1,1,107,
7.25561,,Surface,5,Image 1,1,108,
23.8847,,Surface,5,Image 1,1,109,
10.8066,,Surface,5,Image 1,1,110,
13.3451,,Surface,5,Image 1,1,111,
20.1464,,Surface,5,Image 1,1,112,
5.44804,,Surface,5,Image 1,1,113,
15.4319,,Surface,5,Image 1,1,114,
9.05592,,Surface,5,Image 1,1,115,
