
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
150.422,99.2573,46.9687,um,Surface,Position,1,0,
155.51,89.2506,47.1393,um,Surface,Position,1,1,
158.158,103.401,48.0372,um,Surface,Position,1,2,
148.693,116.057,46.4675,um,Surface,Position,1,3,
145.032,110.911,46.186,um,Surface,Position,1,4,
151.576,110.49,47.3529,um,Surface,Position,1,5,
123.096,102.896,38.8051,um,Surface,Position,1,6,
117.365,105.352,38.2731,um,Surface,Position,1,7,
124.691,85.1178,39.131,um,Surface,Position,1,8,
120.122,97.1438,38.6041,um,Surface,Position,1,9,
130.963,105.202,39.9781,um,Surface,Position,1,10,
126.552,89.8545,41.02,um,Surface,Position,1,11,
130.427,108.579,40.6229,um,Surface,Position,1,12,
153.425,93.5604,37.2843,um,Surface,Position,1,13,
143.839,87.8478,37.2058,um,Surface,Position,1,14,
146.37,95.5833,37.7335,um,Surface,Position,1,15,
138.71,87.9904,38.5909,um,Surface,Position,1,16,
158.315,106.497,38.484,um,Surface,Position,1,17,
160.148,86.0039,39.419,um,Surface,Position,1,18,
150.12,89.4126,39.0648,um,Surface,Position,1,19,
140.133,100.407,38.2719,um,Surface,Position,1,20,
141.747,104.494,39.2112,um,Surface,Position,1,21,
157.291,101.745,39.3553,um,Surface,Position,1,22,
138.106,94.6271,39.6425,um,Surface,Position,1,23,
160.807,95.893,40.5587,um,Surface,Position,1,24,
144.558,102.015,41.1415,um,Surface,Position,1,25,
173.186,84.9075,37.9272,um,Surface,Position,1,26,
170.443,98.4374,39.1885,um,Surface,Position,1,27,
162.95,89.3946,38.8498,um,Surface,Position,1,28,
169.134,104.551,39.0724,um,Surface,Position,1,29,
176.03,93.7269,39.8976,um,Surface,Position,1,30,
108.898,112.116,34.7914,um,Surface,Position,1,31,
109.481,116.539,35.3293,um,Surface,Position,1,32,
109.312,125.067,38.2528,um,Surface,Position,1,33,
130.031,111.596,36.7476,um,Surface,Position,1,34,
119.684,125.856,36.8421,um,Surface,Position,1,35,
113.748,111.614,39.0206,um,Surface,Position,1,36,
115.209,113.588,39.1597,um,Surface,Position,1,37,
121.222,115.875,39.6136,um,Surface,Position,1,38,
124.063,110.965,38.7154,um,Surface,Position,1,39,
121.304,120.648,40.6763,um,Surface,Position,1,40,
117.409,131.876,40.8555,um,Surface,Position,1,41,
152.608,112.288,36.7396,um,Surface,Position,1,42,
138.34,116.772,37.5621,um,Surface,Position,1,43,
146.915,114.485,38.1646,um,Surface,Position,1,44,
153.475,120.157,37.8981,um,Surface,Position,1,45,
155.931,111.032,39.6727,um,Surface,Position,1,46,
142.454,120.271,40.1033,um,Surface,Position,1,47,
