
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
-33.1868,68.3,126.92,um,Surface,Position Reference Frame,Reference Frame 1,1,0,
-31.7206,65.5818,126.441,um,Surface,Position Reference Frame,Reference Frame 1,1,1,
-24.253,62.0548,117.93,um,Surface,Position Reference Frame,Reference Frame 1,1,2,
-20.2816,61.9416,119.656,um,Surface,Position Reference Frame,Reference Frame 1,1,3,
-23.3427,61.4318,122.075,um,Surface,Position Reference Frame,Reference Frame 1,1,4,
-43.0868,73.3054,124.358,um,Surface,Position Reference Frame,Reference Frame 1,1,5,
-30.9611,82.3837,123.162,um,Surface,Position Reference Frame,Reference Frame 1,1,6,
-36.0857,74.1644,125.388,um,Surface,Position Reference Frame,Reference Frame 1,1,7,
-31.2822,76.3868,125.375,um,Surface,Position Reference Frame,Reference Frame 1,1,8,
-27.9474,70.2653,121.83,um,Surface,Position Reference Frame,Reference Frame 1,1,9,
-25.3494,86.2688,124.038,um,Surface,Position Reference Frame,Reference Frame 1,1,10,
-20.9064,90.1102,122.374,um,Surface,Position Reference Frame,Reference Frame 1,1,11,
-20.7788,84.5241,122.899,um,Surface,Position Reference Frame,Reference Frame 1,1,12,
-42.6335,80.0249,120.361,um,Surface,Position Reference Frame,Reference Frame 1,1,14,
-30.6569,79.8327,117.099,um,Surface,Position Reference Frame,Reference Frame 1,1,15,
-36.0107,83.2399,121.174,um,Surface,Position Reference Frame,Reference Frame 1,1,16,
-31.9125,77.2806,105.309,um,Surface,Position Reference Frame,Reference Frame 1,1,17,
-25.6007,74.7302,103.176,um,Surface,Position Reference Frame,Reference Frame 1,1,18,
-32.68,82.14,106.954,um,Surface,Position Reference Frame,Reference Frame 1,1,19,
-29.1653,71.9782,107.545,um,Surface,Position Reference Frame,Reference Frame 1,1,20,
-20.5491,76.9653,103.874,um,Surface,Position Reference Frame,Reference Frame 1,1,21,
-24.4953,69.1568,107.363,um,Surface,Position Reference Frame,Reference Frame 1,1,22,
-23.5605,80.7483,108.736,um,Surface,Position Reference Frame,Reference Frame 1,1,23,
-33.8626,74.2303,110.843,um,Surface,Position Reference Frame,Reference Frame 1,1,24,
-32.0131,73.6584,115.183,um,Surface,Position Reference Frame,Reference Frame 1,1,25,
-26.3784,76.3471,114.508,um,Surface,Position Reference Frame,Reference Frame 1,1,26,
-28.4962,71.0022,115.069,um,Surface,Position Reference Frame,Reference Frame 1,1,27,
-21.1459,70.5539,117.697,um,Surface,Position Reference Frame,Reference Frame 1,1,28,
-20.9365,77.4107,118.197,um,Surface,Position Reference Frame,Reference Frame 1,1,29,
-15.4841,66.3759,98.9048,um,Surface,Position Reference Frame,Reference Frame 1,1,30,
-17.5105,70.2173,104.039,um,Surface,Position Reference Frame,Reference Frame 1,1,31,
-8.26746,76.1175,102.443,um,Surface,Position Reference Frame,Reference Frame 1,1,32,
-11.2774,71.1617,106.343,um,Surface,Position Reference Frame,Reference Frame 1,1,33,
-15.9514,73.633,109.739,um,Surface,Position Reference Frame,Reference Frame 1,1,34,
-19.6716,70.2186,111.841,um,Surface,Position Reference Frame,Reference Frame 1,1,35,
-6.19253,75.1622,109.641,um,Surface,Position Reference Frame,Reference Frame 1,1,36,
-10.8914,67.0473,110.407,um,Surface,Position Reference Frame,Reference Frame 1,1,37,
-14.2288,71.1789,114.558,um,Surface,Position Reference Frame,Reference Frame 1,1,38,
-3.05417,67.5337,95.739,um,Surface,Position Reference Frame,Reference Frame 1,1,39,
-8.69368,71.5408,98.2547,um,Surface,Position Reference Frame,Reference Frame 1,1,40,
2.05041,65.4619,95.3082,um,Surface,Position Reference Frame,Reference Frame 1,1,41,
-6.55858,63.7973,98.2326,um,Surface,Position Reference Frame,Reference Frame 1,1,42,
8.0654,72.2647,93.259,um,Surface,Position Reference Frame,Reference Frame 1,1,43,
-62.5452,103.231,119.145,um,Surface,Position Reference Frame,Reference Frame 1,1,44,
-60.9624,96.1994,118.948,um,Surface,Position Reference Frame,Reference Frame 1,1,45,
-43.3152,99.2151,110.911,um,Surface,Position Reference Frame,Reference Frame 1,1,46,
-47.9202,98.9564,112.805,um,Surface,Position Reference Frame,Reference Frame 1,1,47,
-54.6032,96.9472,115.418,um,Surface,Position Reference Frame,Reference Frame 1,1,48,
-45.1918,93.7159,114.447,um,Surface,Position Reference Frame,Reference Frame 1,1,49,
-51.3787,101.112,118.536,um,Surface,Position Reference Frame,Reference Frame 1,1,50,
-51.9871,93.4588,118.645,um,Surface,Position Reference Frame,Reference Frame 1,1,51,
-47.6165,91.5137,119.766,um,Surface,Position Reference Frame,Reference Frame 1,1,52,
-45.3185,96.4906,120.408,um,Surface,Position Reference Frame,Reference Frame 1,1,53,
-47.8948,87.381,123.098,um,Surface,Position Reference Frame,Reference Frame 1,1,54,
-41.1809,86.2397,122.45,um,Surface,Position Reference Frame,Reference Frame 1,1,55,
-38.076,85.4083,108.425,um,Surface,Position Reference Frame,Reference Frame 1,1,56,
-31.2632,92.5906,108.829,um,Surface,Position Reference Frame,Reference Frame 1,1,57,
-39.3604,98.8276,111.58,um,Surface,Position Reference Frame,Reference Frame 1,1,58,
-39.3129,95.2525,111.942,um,Surface,Position Reference Frame,Reference Frame 1,1,59,
-31.404,87.6351,110.564,um,Surface,Position Reference Frame,Reference Frame 1,1,60,
-34.463,96.2674,112.821,um,Surface,Position Reference Frame,Reference Frame 1,1,61,
-41.3239,88.7892,116.565,um,Surface,Position Reference Frame,Reference Frame 1,1,62,
-34.9552,89.5116,116.41,um,Surface,Position Reference Frame,Reference Frame 1,1,63,
-29.5837,86.6986,116.872,um,Surface,Position Reference Frame,Reference Frame 1,1,64,
-36.8239,92.7526,121.051,um,Surface,Position Reference Frame,Reference Frame 1,1,65,
-30.0115,90.9555,121.243,um,Surface,Position Reference Frame,Reference Frame 1,1,66,
-26.39,87.509,106.34,um,Surface,Position Reference Frame,Reference Frame 1,1,67,
-28.3739,82.5776,110.553,um,Surface,Position Reference Frame,Reference Frame 1,1,68,
-22.488,88.0247,108.188,um,Surface,Position Reference Frame,Reference Frame 1,1,69,
-23.8806,90.722,111.932,um,Surface,Position Reference Frame,Reference Frame 1,1,70,
-17.834,85.8511,108.874,um,Surface,Position Reference Frame,Reference Frame 1,1,71,
-27.7939,92.9114,113.386,um,Surface,Position Reference Frame,Reference Frame 1,1,72,
-15.9298,89.2104,112.875,um,Surface,Position Reference Frame,Reference Frame 1,1,73,
-24.8157,84.0153,115.307,um,Surface,Position Reference Frame,Reference Frame 1,1,74,
-23.0817,85.4196,119.695,um,Surface,Position Reference Frame,Reference Frame 1,1,75,
-19.2314,82.7973,102.658,um,Surface,Position Reference Frame,Reference Frame 1,1,76,
-13.4276,83.8032,101.965,um,Surface,Position Reference Frame,Reference Frame 1,1,77,
-5.05963,86.8359,101.221,um,Surface,Position Reference Frame,Reference Frame 1,1,78,
-7.11667,79.236,102.378,um,Surface,Position Reference Frame,Reference Frame 1,1,79,
-14.7554,83.1467,107.679,um,Surface,Position Reference Frame,Reference Frame 1,1,80,
-11.7077,79.2721,107.574,um,Surface,Position Reference Frame,Reference Frame 1,1,81,
-8.97987,86.5637,110.465,um,Surface,Position Reference Frame,Reference Frame 1,1,82,
-6.56906,79.3497,109.484,um,Surface,Position Reference Frame,Reference Frame 1,1,83,
-14.9415,80.2863,114.246,um,Surface,Position Reference Frame,Reference Frame 1,1,84,
-7.01063,78.4937,114.476,um,Surface,Position Reference Frame,Reference Frame 1,1,85,
-0.286118,84.0686,97.4415,um,Surface,Position Reference Frame,Reference Frame 1,1,86,
4.89851,77.5322,97.927,um,Surface,Position Reference Frame,Reference Frame 1,1,87,
1.80178,84.455,100.983,um,Surface,Position Reference Frame,Reference Frame 1,1,88,
-1.5288,76.7691,103.18,um,Surface,Position Reference Frame,Reference Frame 1,1,89,
8.92787,80.5628,95.2586,um,Surface,Position Reference Frame,Reference Frame 1,1,90,
11.9237,73.22,96.2554,um,Surface,Position Reference Frame,Reference Frame 1,1,91,
-59.5565,108.831,117.857,um,Surface,Position Reference Frame,Reference Frame 1,1,92,
-55.691,104.409,117.944,um,Surface,Position Reference Frame,Reference Frame 1,1,93,
-47.3606,116.101,114.998,um,Surface,Position Reference Frame,Reference Frame 1,1,94,
-49.4698,108.685,117.329,um,Surface,Position Reference Frame,Reference Frame 1,1,95,
-41.4269,109.972,115.538,um,Surface,Position Reference Frame,Reference Frame 1,1,96,
-48.1824,102.89,116.337,um,Surface,Position Reference Frame,Reference Frame 1,1,97,
-39.402,101.736,119.13,um,Surface,Position Reference Frame,Reference Frame 1,1,98,
-29.8241,98.7913,108.084,um,Surface,Position Reference Frame,Reference Frame 1,1,99,
-30.5572,105.686,112.494,um,Surface,Position Reference Frame,Reference Frame 1,1,100,
-36.6347,100.565,115.5,um,Surface,Position Reference Frame,Reference Frame 1,1,101,
-34.9944,110.348,114.288,um,Surface,Position Reference Frame,Reference Frame 1,1,102,
-25.9878,101.463,113.137,um,Surface,Position Reference Frame,Reference Frame 1,1,103,
-36.797,104.873,118.322,um,Surface,Position Reference Frame,Reference Frame 1,1,104,
-29.266,97.0985,117.47,um,Surface,Position Reference Frame,Reference Frame 1,1,105,
-24.817,98.7865,106.692,um,Surface,Position Reference Frame,Reference Frame 1,1,106,
-12.5147,103.95,104.769,um,Surface,Position Reference Frame,Reference Frame 1,1,107,
-19.6503,104.747,109.19,um,Surface,Position Reference Frame,Reference Frame 1,1,108,
-18.7967,94.9594,107.993,um,Surface,Position Reference Frame,Reference Frame 1,1,109,
-12.4705,98.2583,109.787,um,Surface,Position Reference Frame,Reference Frame 1,1,110,
-15.3239,100.37,110.448,um,Surface,Position Reference Frame,Reference Frame 1,1,111,
-16.5756,93.2784,112.03,um,Surface,Position Reference Frame,Reference Frame 1,1,112,
-23.0322,93.4963,116.917,um,Surface,Position Reference Frame,Reference Frame 1,1,113,
-9.22125,90.0836,99.7753,um,Surface,Position Reference Frame,Reference Frame 1,1,114,
-14.5827,97.596,104.306,um,Surface,Position Reference Frame,Reference Frame 1,1,115,
-5.86478,95.4927,104.892,um,Surface,Position Reference Frame,Reference Frame 1,1,116,
-3.31314,88.4211,106.351,um,Surface,Position Reference Frame,Reference Frame 1,1,117,
-8.75987,102.766,110.957,um,Surface,Position Reference Frame,Reference Frame 1,1,118,
9.8087,91.9252,94.8179,um,Surface,Position Reference Frame,Reference Frame 1,1,119,
0.293562,95.4434,98.91,um,Surface,Position Reference Frame,Reference Frame 1,1,120,
2.28599,92.6158,99.0494,um,Surface,Position Reference Frame,Reference Frame 1,1,121,
6.32549,86.2917,98.8534,um,Surface,Position Reference Frame,Reference Frame 1,1,122,
3.11152,93.5066,102.968,um,Surface,Position Reference Frame,Reference Frame 1,1,123,
15.5924,94.9864,95.6288,um,Surface,Position Reference Frame,Reference Frame 1,1,124,
17.2821,91.1578,95.0441,um,Surface,Position Reference Frame,Reference Frame 1,1,125,
-36.3898,121.054,114.815,um,Surface,Position Reference Frame,Reference Frame 1,1,126,
-25.0159,110.008,108.712,um,Surface,Position Reference Frame,Reference Frame 1,1,127,
-30.1072,121.434,111.815,um,Surface,Position Reference Frame,Reference Frame 1,1,128,
-21.0447,114.266,112.527,um,Surface,Position Reference Frame,Reference Frame 1,1,129,
-17.561,117.348,110.504,um,Surface,Position Reference Frame,Reference Frame 1,1,130,
4.76228,112.954,98.8915,um,Surface,Position Reference Frame,Reference Frame 1,1,131,
-31.6436,136.339,112.707,um,Surface,Position Reference Frame,Reference Frame 1,1,132,
14.322,143.201,113.783,um,Surface,Position Reference Frame,Reference Frame 1,1,138,
-47.0194,42.3873,104.423,um,Surface,Position Reference Frame,Reference Frame 1,1,146,
-52.903,41.1825,107.991,um,Surface,Position Reference Frame,Reference Frame 1,1,147,
