,X,Y,Z
0,75.9804,25.4022,-7.2123300000000015
53,59.5373,38.134,-0.902794
114,67.5142,29.7816,-1.18113
175,62.0081,16.078,-1.45218
184,55.1436,32.1555,2.5585400000000003
221,59.7372,30.6842,2.02596
278,60.149,44.6885,3.88814
339,58.3507,24.3051,3.80994
394,62.6946,26.2768,6.05654
449,54.8484,33.5568,8.87526
510,79.5537,33.8137,4.64305
565,74.574,20.9076,5.79248
623,64.702,14.8966,6.39639
684,63.6372,19.1975,8.78453
738,52.6914,38.4414,12.636
794,64.6349,32.9349,11.5274
853,71.1719,29.913,10.2211
909,67.2066,22.4195,9.87218
917,30.5269,9.18567,-5.04178
965,26.5006,13.4267,-2.2263
1014,13.9504,-10.9167,-0.391992
1073,16.435,11.857,1.16567
1110,50.0924,29.3198,-2.59713
1170,45.5256,22.2271,-3.00458
1228,28.0284,30.2417,1.74585
1284,35.6187,6.903389999999999,-0.272746
1343,31.0731,0.792013,0.8205180000000001
1395,39.4011,39.1448,2.59076
1455,36.5535,27.1837,2.46734
1514,42.5808,28.7226,2.91384
1574,35.0052,18.8249,2.64245
1633,24.0528,2.48069,3.79537
1690,13.8507,-3.23387,6.35174
1737,46.0411,4.96851,0.131879
1792,32.2916,18.9089,5.67034
1851,20.6968,10.3333,6.767810000000001
1909,50.8647,21.9021,3.13402
1965,30.5587,11.2807,5.3230900000000005
2018,40.8315,9.65232,4.02617
2079,26.5065,27.5029,9.01524
2136,47.5151,37.3556,6.25164
2180,19.446,16.8075,9.48749
2232,39.5065,6.13157,6.33279
2247,28.6352,-0.953162,7.44968
2305,36.3919,35.2756,9.65943
2363,43.2769,38.0421,7.91126
2423,34.0421,28.0084,9.61986
2481,40.3418,26.4428,9.07708
2540,27.3672,16.6945,9.60385
2592,39.8011,18.422,8.21221
2650,35.135,1.08975,9.09046
2708,52.3784,26.6328,9.22021
2768,47.2387,12.8275,9.26498
2828,54.1794,14.0268,8.75994
2885,25.8301,-4.78611,12.3461
2945,42.2294,33.7979,11.8249
2998,21.4267,16.0727,15.2896
3053,46.3439,28.6005,12.0747
3108,18.7938,9.68496,14.3416
3165,27.1873,10.08,14.5863
3223,47.0596,18.1452,11.4989
3282,56.7174,23.0035,10.3962
3340,33.3132,9.48931,12.7013
3398,16.6376,-1.30683,14.8507
3448,21.4232,-5.64804,14.4685
3504,46.9262,1.98078,11.7169
3561,26.4366,21.3696,15.4339
3615,40.055,25.2552,14.5129
3675,50.9271,25.3649,12.1852
3732,23.9033,1.94706,15.9072
3786,33.2199,0.0769064,14.8932
3845,67.1498,10.2517,8.695780000000001
3901,79.4554,11.1904,6.51291
3962,76.4343,7.18559,7.78903
4018,71.3623,0.634981,6.9809199999999985
4076,25.7016,-33.8956,-9.2721
4135,44.6241,-32.0104,-9.12635
4191,21.9093,-21.4342,-3.72197
4195,34.6154,-13.6529,-4.25469
4201,45.1596,-12.4913,-4.59134
4258,28.345,-27.8196,-3.34154
4313,49.1943,-51.5634,-6.32567
4373,59.9813,0.847767,-4.70772
4430,18.1968,-24.4817,-0.367898
4484,60.8287,-22.7521,-6.36442
4543,56.5611,-52.1323,-5.21896
4603,24.7974,-10.2251,2.06734
4662,53.1971,2.55825,-2.18622
4722,44.3529,-2.4773400000000003,-0.0518622
4781,40.9499,-11.6478,0.195827
4837,62.9166,-6.90975,-3.5839
4896,38.0082,-38.2366,-0.580566
4948,40.5312,-47.6365,-0.6144649999999999
5007,49.6397,-44.0716,-2.07136
5061,16.1418,-18.0524,4.3045800000000005
5108,53.232,-5.71477,-0.951551
5163,23.6372,-29.0667,3.96253
5172,57.8853,-18.1821,-1.68785
5229,62.8324,-34.4515,-2.90995
5290,48.1688,-52.4117,-0.4184100000000001
5350,46.6554,-7.422169999999999,3.63192
5405,58.6064,-13.2438,0.574526
5465,54.9589,-21.661,1.30452
5511,66.9147,-15.8981,-1.15162
5572,56.8345,-31.3284,0.949007
5631,59.455,-48.2962,0.225113
5684,58.8433,8.44771,3.65048
5740,63.8006,6.33124,3.5027
5800,51.3031,-0.656234,3.91757
5858,59.4328,-4.69364,2.63868
5918,36.7156,-33.3252,6.4884900000000005
5974,43.2628,-34.0904,4.20202
6033,60.1497,-26.1313,3.01328
6089,65.391,-23.8473,1.24699
6149,53.5905,-39.2713,3.22864
6205,30.6275,-8.88738,9.07345
6266,66.5943,2.12438,5.06528
6316,55.3376,-9.28249,5.5336
6375,33.2564,-20.6507,8.11097
6433,45.7643,-40.38800000000001,6.9782199999999985
6484,67.168,-34.1749,3.05398
6540,21.3122,-14.9639,12.5176
6597,43.4124,-10.0749,9.48535
6652,63.9798,-13.7978,6.67315
6708,69.9824,-17.3973,4.63834
6730,32.9571,-42.663,10.008
6788,61.9782,-36.9498,5.97505
6841,58.0802,-0.195165,9.306
6897,61.9109,-0.244089,8.6271
6957,24.6959,-20.3792,13.4271
7015,30.049,-20.68,13.3983
7074,72.221,-2.94212,8.031360000000001
7133,52.3572,-13.7789,9.52224
7192,30.1627,-29.0895,13.0498
7248,43.2857,-22.8215,11.2703
7294,50.2559,-29.529,10.2684
7352,69.4017,-25.9831,6.29188
7413,67.1653,-33.6937,6.93207
7441,47.3568,-45.1652,9.47682
7446,54.7511,-44.4758,9.23641
7504,28.0704,-10.7558,15.3855
7553,37.4212,-10.0692,14.6309
7581,51.2465,-6.730410000000001,12.4591
7632,64.2492,-8.27927,10.0369
7691,68.7495,-12.0561,9.71311
7752,33.1637,-33.9515,13.3127
7812,38.7026,-45.2184,12.796
7820,63.9353,-42.6146,8.872010000000003
7875,54.0809,-52.3211,10.6399
7879,67.3867,-51.8311,8.73358
7932,60.5341,42.3646,13.7409
7987,56.0209,33.1426,15.1165
8045,69.86399999999999,34.9193,12.5717
8105,76.9741,35.1188,11.2376
8158,70.0211,24.7562,12.9228
8213,66.1268,38.6119,14.9332
8266,60.9613,35.1895,15.3634
8323,73.6225,37.4277,13.4013
8380,80.7354,37.9731,13.3572
8401,83.2531,24.7769,12.0029
8462,74.9033,44.299,15.6426
8519,86.0037,39.6808,14.4811
8579,54.7309,42.8983,23.6289
8627,90.0061,45.3695,18.4046
8683,65.0715,30.0075,23.7741
8738,68.7287,23.3824,23.1772
8796,70.8831,17.7809,21.6188
8857,82.5153,33.1469,23.3558
8873,79.7854,24.2274,22.6808
8934,67.2494,12.4881,24.064
8994,77.1566,17.3712,22.3342
9054,77.1728,37.0739,26.0837
9110,94.6794,27.9058,22.8611
9168,61.6717,40.6537,30.4975
9177,70.5693,43.4278,29.5652
9212,63.6811,34.5543,29.1772
9259,73.8641,28.3256,28.0215
9303,81.4391,25.6486,26.8007
9361,88.3725,28.279,25.3718
9420,72.3025,36.908,30.6975
9479,66.3858,21.706,30.7583
9537,59.889,29.8973,34.7137
9595,80.1885,37.1022,31.5972
9656,92.8236,39.9126,29.4724
9713,65.1789,43.7806,34.8931
9769,78.1184,43.6162,33.9251
9830,106.148,40.5287,29.0847
9887,88.4328,29.1635,31.7376
9948,74.0372,21.0469,33.8069
10008,67.8118,29.4859,36.3431
10068,86.7513,36.8063,34.1028
10125,77.0101,24.3935,34.5517
10186,115.712,38.3561,30.0691
10247,79.635,35.4018,37.367
10302,102.0,37.5358,33.7065
10359,69.6977,36.3364,41.0543
10403,85.0986,41.528,39.5602
10464,88.7751,33.7606,38.6772
10524,84.0215,24.9971,38.3164
10579,70.3221,25.6679,42.1708
10638,76.7101,28.3496,41.769
10698,38.7497,40.6192,16.1243
10738,48.7646,35.6983,14.9837
10796,36.4258,16.8364,17.1917
10853,27.1445,8.91509,17.5028
10910,41.0142,6.2326,16.0411
10966,39.0695,32.45,19.2588
11027,34.5193,24.8344,18.9833
11085,20.0859,16.1847,22.0627
11146,47.6882,26.1768,16.9492
11197,26.78,14.0739,19.688
11214,38.8522,-2.12168,18.102
11270,34.6011,19.298,21.3751
11321,42.1899,15.5335,20.4909
11374,53.4351,15.8948,18.5317
11433,31.2661,3.6509,21.5662
11491,40.1401,1.29047,19.6536
11551,53.7679,25.7949,20.907
11608,47.8602,20.3177,21.7056
11664,59.1373,19.1345,19.2072
11722,55.4415,10.6494,19.7233
11783,55.1396,34.2852,23.2681
11841,36.5209,23.6952,25.2821
11900,25.9376,6.21974,26.8467
11958,25.4831,-1.70802,25.5891
12019,44.3127,0.953425,24.0438
12073,49.0697,30.5851,24.9776
12126,43.6172,27.2048,26.2177
12176,40.7256,8.062610000000001,26.7911
12234,33.5844,0.352507,26.2614
12291,45.1647,40.6879,27.6374
12296,41.9991,19.2043,28.7831
12353,31.8754,10.5688,30.4029
12400,54.5552,13.4189,26.5239
12432,34.0337,23.2159,31.8012
12451,36.9335,15.4028,31.0143
12465,29.7417,-3.39901,31.3629
12525,45.4068,0.454378,29.7028
12581,50.1961,35.8474,32.0094
12639,52.9125,28.3494,31.2357
12671,44.6178,20.8122,32.0333
12730,50.1153,14.6561,32.007
12790,62.6318,12.5914,28.781
12847,38.7446,-1.84603,32.5072
12892,58.6952,18.0875,32.0139
12949,25.8616,-5.52527,35.5409
12969,43.1542,25.8818,37.0906
13007,51.6553,23.0958,34.7483
13065,41.5577,13.4051,35.9424
13126,30.1052,6.01624,37.469
13131,36.4033,4.45887,36.1966
13190,47.8472,6.92847,35.1998
13246,42.3992,3.9024,36.6709
13304,62.8394,13.4796,32.7431
13364,58.0999,20.8641,38.4357
13414,52.7827,18.0639,39.4285
13468,65.6649,17.8204,37.6536
13528,50.4884,9.06902,39.087
13585,53.9896,3.40992,38.4314
13646,38.6298,18.9388,43.3176
13697,62.3457,24.0332,39.941
13755,43.6179,-2.8103700000000003,41.6881
13778,46.6091,17.6353,44.1692
13839,57.7492,13.0541,42.2687
13899,37.3078,2.17972,43.9683
13946,55.1391,30.5739,44.165
14007,43.2372,7.11033,45.6302
14068,56.3511,6.567010000000002,44.1289
14123,70.0412,6.01012,11.3637
14182,70.6735,8.79005,24.2437
14224,91.9643,16.7213,21.3053
14280,87.211,12.937,22.5011
14336,100.914,20.2422,20.6032
14368,79.4626,8.592989999999999,22.5154
14428,75.8527,4.48182,23.0007
14487,85.8122,4.94606,21.3578
14548,122.823,-36.6561,15.325
14609,100.801,11.1598,22.3912
14662,106.948,9.9705,21.3328
14721,91.7084,-0.713037,22.6336
14776,109.321,1.1903,21.1518
14831,87.8289,-10.2431,22.1483
14889,102.88,-6.2888,21.1558
14947,129.276,-2.89295,17.8642
15005,91.5544,-30.274,22.1349
15065,127.592,-13.315,17.4462
15126,123.203,-19.7453,18.3806
15137,96.0168,-35.9161,20.3301
15196,134.037,-16.2649,17.0288
15223,106.36,-30.941,20.9382
15280,128.833,-21.8624,16.6581
15341,102.728,-36.5782,21.1196
15368,112.923,-32.5161,18.7748
15423,98.6872,-43.0411,20.1123
15482,109.377,-39.1912,19.8257
15540,135.747,-27.888,16.1888
15565,71.3446,8.9488,28.8129
15602,110.771,22.4431,22.3627
15662,82.79799999999999,-0.7350369999999999,25.551
15722,100.593,3.1076,23.8592
15783,82.0973,-9.64804,26.4125
15840,96.9679,-4.02027,23.6237
15900,134.825,13.6422,18.7404
15961,116.386,1.41416,20.8708
16020,111.781,-5.18278,22.6458
16081,137.066,5.62112,19.153
16140,122.45,-2.2617,20.7915
16200,86.6971,-22.6339,25.6056
16255,92.4155,-19.7348,23.3972
16311,117.975,-7.55093,20.7119
16372,135.265,-1.08551,19.4575
16433,112.469,-13.5735,20.8513
16491,147.912,-16.219,16.5338
16551,125.996,-28.4145,18.8521
16607,140.175,-22.0369,17.949
16668,118.952,-39.2349,20.4936
16729,112.606,5.1653,24.3611
16790,85.9727,-15.3321,26.8123
16848,128.57399999999998,3.19508,21.7115
16909,149.224,8.28749,18.8764
16969,124.088,-9.58082,22.1376
17015,102.621,-22.7842,24.1334
17074,137.945,-4.80237,19.9356
