
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.34255,,Surface,4,Image 1,1,0,
2.25,,Surface,4,Image 1,1,1,
3.8124,,Surface,4,Image 1,1,2,
4.30141,,Surface,4,Image 1,1,3,
3.66009,,Surface,4,Image 1,1,4,
4.06227,,Surface,4,Image 1,1,5,
4.03771,,Surface,4,Image 1,1,6,
3.9711,,Surface,4,Image 1,1,7,
3.72222,,Surface,4,Image 1,1,8,
3.95918,,Surface,4,Image 1,1,9,
3.66203,,Surface,4,Image 1,1,10,
3.46667,,Surface,4,Image 1,1,11,
4.88889,,Surface,4,Image 1,1,12,
11.484,,Surface,4,Image 1,1,13,
3.41914,,Surface,4,Image 1,1,14,
8.63283,,Surface,4,Image 1,1,15,
4.78231,,Surface,4,Image 1,1,16,
7.72142,,Surface,4,Image 1,1,17,
6.55335,,Surface,4,Image 1,1,18,
6.05946,,Surface,4,Image 1,1,19,
4.93993,,Surface,4,Image 1,1,20,
6.36182,,Surface,4,Image 1,1,21,
4.44679,,Surface,4,Image 1,1,22,
5.1807,,Surface,4,Image 1,1,23,
4.97096,,Surface,4,Image 1,1,24,
7.88465,,Surface,4,Image 1,1,25,
4.62324,,Surface,4,Image 1,1,26,
5.60591,,Surface,4,Image 1,1,27,
3.38558,,Surface,4,Image 1,1,28,
4.32656,,Surface,4,Image 1,1,29,
5.08623,,Surface,4,Image 1,1,30,
5.60342,,Surface,4,Image 1,1,31,
5.54439,,Surface,4,Image 1,1,32,
10.2567,,Surface,4,Image 1,1,33,
9.53553,,Surface,4,Image 1,1,34,
8.83848,,Surface,4,Image 1,1,35,
7.47844,,Surface,4,Image 1,1,36,
15.7815,,Surface,4,Image 1,1,37,
5.06244,,Surface,4,Image 1,1,38,
5.44544,,Surface,4,Image 1,1,39,
5.84028,,Surface,4,Image 1,1,40,
4.18943,,Surface,4,Image 1,1,41,
7.79333,,Surface,4,Image 1,1,42,
3.74638,,Surface,4,Image 1,1,43,
4.39497,,Surface,4,Image 1,1,44,
7.09231,,Surface,4,Image 1,1,45,
9.43974,,Surface,4,Image 1,1,46,
7.97443,,Surface,4,Image 1,1,47,
4.53333,,Surface,4,Image 1,1,48,
3.80435,,Surface,4,Image 1,1,49,
8.30906,,Surface,4,Image 1,1,50,
9.69222,,Surface,4,Image 1,1,51,
15.6888,,Surface,4,Image 1,1,52,
6.85398,,Surface,4,Image 1,1,53,
8.43602,,Surface,4,Image 1,1,54,
5.65771,,Surface,4,Image 1,1,55,
4.94286,,Surface,4,Image 1,1,56,
11.2055,,Surface,4,Image 1,1,57,
12.4391,,Surface,4,Image 1,1,58,
6.63614,,Surface,4,Image 1,1,59,
5.66447,,Surface,4,Image 1,1,60,
8.14343,,Surface,4,Image 1,1,61,
8.1391,,Surface,4,Image 1,1,62,
7.94159,,Surface,4,Image 1,1,63,
10.517,,Surface,4,Image 1,1,64,
6.36364,,Surface,4,Image 1,1,65,
5.52083,,Surface,4,Image 1,1,66,
3.4375,,Surface,4,Image 1,1,67,
5.45238,,Surface,4,Image 1,1,68,
3.32353,,Surface,4,Image 1,1,69,
3.64495,,Surface,4,Image 1,1,70,
3.70587,,Surface,4,Image 1,1,71,
3.28,,Surface,4,Image 1,1,72,
3.68919,,Surface,4,Image 1,1,73,
4.27731,,Surface,4,Image 1,1,74,
3.87933,,Surface,4,Image 1,1,75,
3.06383,,Surface,4,Image 1,1,76,
3.32323,,Surface,4,Image 1,1,77,
2.69231,,Surface,4,Image 1,1,78,
3.14712,,Surface,4,Image 1,1,79,
2.89712,,Surface,4,Image 1,1,80,
2.97152,,Surface,4,Image 1,1,81,
3.27078,,Surface,4,Image 1,1,82,
3.53648,,Surface,4,Image 1,1,83,
4.16463,,Surface,4,Image 1,1,84,
3.28688,,Surface,4,Image 1,1,85,
3.45361,,Surface,4,Image 1,1,86,
3.36447,,Surface,4,Image 1,1,87,
3.54636,,Surface,4,Image 1,1,88,
3.74037,,Surface,4,Image 1,1,89,
3.49545,,Surface,4,Image 1,1,90,
4.02105,,Surface,4,Image 1,1,91,
3.60031,,Surface,4,Image 1,1,92,
3.56867,,Surface,4,Image 1,1,93,
2.78571,,Surface,4,Image 1,1,94,
3.26504,,Surface,4,Image 1,1,95,
2.36134,,Surface,4,Image 1,1,96,
3.70443,,Surface,4,Image 1,1,97,
3.7097,,Surface,4,Image 1,1,98,
3.98014,,Surface,4,Image 1,1,99,
3.68156,,Surface,4,Image 1,1,100,
4.15864,,Surface,4,Image 1,1,101,
2.70073,,Surface,4,Image 1,1,102,
3.35556,,Surface,4,Image 1,1,103,
5.11747,,Surface,4,Image 1,1,104,
4.78571,,Surface,4,Image 1,1,105,
4.02641,,Surface,4,Image 1,1,106,
3.75354,,Surface,4,Image 1,1,107,
4.39232,,Surface,4,Image 1,1,108,
3.36957,,Surface,4,Image 1,1,109,
5.48718,,Surface,4,Image 1,1,110,
3.10922,,Surface,4,Image 1,1,111,
3.03704,,Surface,4,Image 1,1,112,
2.98854,,Surface,4,Image 1,1,113,
3.2,,Surface,4,Image 1,1,114,
4.52778,,Surface,4,Image 1,1,115,
1.61538,,Surface,4,Image 1,1,116,
2.61905,,Surface,4,Image 1,1,117,
3.21053,,Surface,4,Image 1,1,118,
7.38937,,Surface,4,Image 1,1,119,
6.49864,,Surface,4,Image 1,1,120,
3.7188,,Surface,4,Image 1,1,121,
3.08421,,Surface,4,Image 1,1,122,
2.37931,,Surface,4,Image 1,1,123,
3.4,,Surface,4,Image 1,1,124,
5.49689,,Surface,4,Image 1,1,125,
6.66702,,Surface,4,Image 1,1,126,
3.50667,,Surface,4,Image 1,1,127,
3.51282,,Surface,4,Image 1,1,128,
6.38024,,Surface,4,Image 1,1,129,
3.86995,,Surface,4,Image 1,1,130,
2.59871,,Surface,4,Image 1,1,131,
2.84191,,Surface,4,Image 1,1,132,
2.59004,,Surface,4,Image 1,1,133,
2.61702,,Surface,4,Image 1,1,134,
7.3145,,Surface,4,Image 1,1,135,
10.5054,,Surface,4,Image 1,1,136,
7.95868,,Surface,4,Image 1,1,137,
9.39913,,Surface,4,Image 1,1,138,
8.77166,,Surface,4,Image 1,1,139,
5.01775,,Surface,4,Image 1,1,140,
4.99772,,Surface,4,Image 1,1,141,
4.31627,,Surface,4,Image 1,1,142,
4.29265,,Surface,4,Image 1,1,143,
5.0818,,Surface,4,Image 1,1,144,
5.09238,,Surface,4,Image 1,1,145,
5.04819,,Surface,4,Image 1,1,146,
3.92232,,Surface,4,Image 1,1,147,
4.47081,,Surface,4,Image 1,1,148,
4.03339,,Surface,4,Image 1,1,149,
4.02398,,Surface,4,Image 1,1,150,
3.65045,,Surface,4,Image 1,1,151,
3.93939,,Surface,4,Image 1,1,152,
3.35632,,Surface,4,Image 1,1,153,
5.53819,,Surface,4,Image 1,1,154,
4.53306,,Surface,4,Image 1,1,155,
4.43488,,Surface,4,Image 1,1,156,
3.30248,,Surface,4,Image 1,1,157,
