
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
5.9883,,Surface,2,Image 1,1,0,
12.5,,Surface,2,Image 1,1,1,
5.69793,,Surface,2,Image 1,1,2,
4.19488,,Surface,2,Image 1,1,3,
6.63733,,Surface,2,Image 1,1,4,
4.8315,,Surface,2,Image 1,1,5,
4.73992,,Surface,2,Image 1,1,6,
3.31792,,Surface,2,Image 1,1,7,
1.88889,,Surface,2,Image 1,1,8,
5.91801,,Surface,2,Image 1,1,9,
4.19114,,Surface,2,Image 1,1,10,
3.375,,Surface,2,Image 1,1,11,
7.44444,,Surface,2,Image 1,1,12,
2.80319,,Surface,2,Image 1,1,13,
4.74842,,Surface,2,Image 1,1,14,
3.58771,,Surface,2,Image 1,1,15,
8.87533,,Surface,2,Image 1,1,16,
5.88957,,Surface,2,Image 1,1,17,
14.639,,Surface,2,Image 1,1,18,
5.76957,,Surface,2,Image 1,1,19,
4.84,,Surface,2,Image 1,1,20,
4.71665,,Surface,2,Image 1,1,21,
7.518,,Surface,2,Image 1,1,22,
4.33227,,Surface,2,Image 1,1,23,
4.96546,,Surface,2,Image 1,1,24,
3.46095,,Surface,2,Image 1,1,25,
5.22988,,Surface,2,Image 1,1,26,
4.12808,,Surface,2,Image 1,1,27,
4.97743,,Surface,2,Image 1,1,28,
6.00525,,Surface,2,Image 1,1,29,
5.87391,,Surface,2,Image 1,1,30,
3.47521,,Surface,2,Image 1,1,31,
4.83338,,Surface,2,Image 1,1,32,
4.09422,,Surface,2,Image 1,1,33,
4.37363,,Surface,2,Image 1,1,34,
6.73865,,Surface,2,Image 1,1,35,
6.19344,,Surface,2,Image 1,1,36,
4.54606,,Surface,2,Image 1,1,37,
5.98949,,Surface,2,Image 1,1,38,
6.58379,,Surface,2,Image 1,1,39,
5.27951,,Surface,2,Image 1,1,40,
6.0668,,Surface,2,Image 1,1,41,
3.91867,,Surface,2,Image 1,1,42,
4.07232,,Surface,2,Image 1,1,43,
5.0368,,Surface,2,Image 1,1,44,
4.21538,,Surface,2,Image 1,1,45,
7.13301,,Surface,2,Image 1,1,46,
6.24972,,Surface,2,Image 1,1,47,
1.7,,Surface,2,Image 1,1,48,
3.63043,,Surface,2,Image 1,1,49,
3.32937,,Surface,2,Image 1,1,50,
4.25132,,Surface,2,Image 1,1,51,
4.15006,,Surface,2,Image 1,1,52,
3.81416,,Surface,2,Image 1,1,53,
3.28128,,Surface,2,Image 1,1,54,
3.31787,,Surface,2,Image 1,1,55,
3.15714,,Surface,2,Image 1,1,56,
3.19176,,Surface,2,Image 1,1,57,
3.87112,,Surface,2,Image 1,1,58,
3.22277,,Surface,2,Image 1,1,59,
3.26842,,Surface,2,Image 1,1,60,
3.182,,Surface,2,Image 1,1,61,
3.31839,,Surface,2,Image 1,1,62,
2.41589,,Surface,2,Image 1,1,63,
3.4544,,Surface,2,Image 1,1,64,
0.772727,,Surface,2,Image 1,1,65,
2.55208,,Surface,2,Image 1,1,66,
6.91071,,Surface,2,Image 1,1,67,
8.80952,,Surface,2,Image 1,1,68,
8.7451,,Surface,2,Image 1,1,69,
7.71199,,Surface,2,Image 1,1,70,
7.42221,,Surface,2,Image 1,1,71,
5.36,,Surface,2,Image 1,1,72,
7.40315,,Surface,2,Image 1,1,73,
6.08403,,Surface,2,Image 1,1,74,
10.5017,,Surface,2,Image 1,1,75,
4.29787,,Surface,2,Image 1,1,76,
6.82828,,Surface,2,Image 1,1,77,
10.3846,,Surface,2,Image 1,1,78,
7.17448,,Surface,2,Image 1,1,79,
7.66667,,Surface,2,Image 1,1,80,
6.13291,,Surface,2,Image 1,1,81,
6.72447,,Surface,2,Image 1,1,82,
7.25966,,Surface,2,Image 1,1,83,
5.26829,,Surface,2,Image 1,1,84,
5.53801,,Surface,2,Image 1,1,85,
6.7835,,Surface,2,Image 1,1,86,
5.10073,,Surface,2,Image 1,1,87,
7.86828,,Surface,2,Image 1,1,88,
6.53685,,Surface,2,Image 1,1,89,
6.38636,,Surface,2,Image 1,1,90,
13.0737,,Surface,2,Image 1,1,91,
6.47579,,Surface,2,Image 1,1,92,
8.02778,,Surface,2,Image 1,1,93,
8,,Surface,2,Image 1,1,94,
6.72846,,Surface,2,Image 1,1,95,
5.39496,,Surface,2,Image 1,1,96,
6.75145,,Surface,2,Image 1,1,97,
9.25633,,Surface,2,Image 1,1,98,
9.29603,,Surface,2,Image 1,1,99,
4.96648,,Surface,2,Image 1,1,100,
6.017,,Surface,2,Image 1,1,101,
9.32117,,Surface,2,Image 1,1,102,
9.35556,,Surface,2,Image 1,1,103,
22.0422,,Surface,2,Image 1,1,104,
9.43878,,Surface,2,Image 1,1,105,
10.4981,,Surface,2,Image 1,1,106,
7.41926,,Surface,2,Image 1,1,107,
11.1753,,Surface,2,Image 1,1,108,
4.76087,,Surface,2,Image 1,1,109,
16.3154,,Surface,2,Image 1,1,110,
7.79126,,Surface,2,Image 1,1,111,
13.2469,,Surface,2,Image 1,1,112,
6.35244,,Surface,2,Image 1,1,113,
5.06667,,Surface,2,Image 1,1,114,
5.61111,,Surface,2,Image 1,1,115,
7.69231,,Surface,2,Image 1,1,116,
8,,Surface,2,Image 1,1,117,
7.13158,,Surface,2,Image 1,1,118,
19.6077,,Surface,2,Image 1,1,119,
16.5313,,Surface,2,Image 1,1,120,
11.639,,Surface,2,Image 1,1,121,
10.5123,,Surface,2,Image 1,1,122,
6.6092,,Surface,2,Image 1,1,123,
9.2,,Surface,2,Image 1,1,124,
15.1097,,Surface,2,Image 1,1,125,
20.1889,,Surface,2,Image 1,1,126,
7.62667,,Surface,2,Image 1,1,127,
5.64103,,Surface,2,Image 1,1,128,
13.5314,,Surface,2,Image 1,1,129,
14.0124,,Surface,2,Image 1,1,130,
3.18447,,Surface,2,Image 1,1,131,
3.17279,,Surface,2,Image 1,1,132,
2.4023,,Surface,2,Image 1,1,133,
1.80851,,Surface,2,Image 1,1,134,
10.4372,,Surface,2,Image 1,1,135,
26.4341,,Surface,2,Image 1,1,136,
21.7438,,Surface,2,Image 1,1,137,
7.61392,,Surface,2,Image 1,1,138,
9.07706,,Surface,2,Image 1,1,139,
20.0592,,Surface,2,Image 1,1,140,
13.1576,,Surface,2,Image 1,1,141,
16.0098,,Surface,2,Image 1,1,142,
9.56176,,Surface,2,Image 1,1,143,
6.27718,,Surface,2,Image 1,1,144,
10.6428,,Surface,2,Image 1,1,145,
10.5181,,Surface,2,Image 1,1,146,
9.17689,,Surface,2,Image 1,1,147,
8.77411,,Surface,2,Image 1,1,148,
10.3286,,Surface,2,Image 1,1,149,
7.5908,,Surface,2,Image 1,1,150,
4.26847,,Surface,2,Image 1,1,151,
15.2727,,Surface,2,Image 1,1,152,
7.90805,,Surface,2,Image 1,1,153,
13.5222,,Surface,2,Image 1,1,154,
11.8016,,Surface,2,Image 1,1,155,
12.4712,,Surface,2,Image 1,1,156,
7.67043,,Surface,2,Image 1,1,157,
10.6629,,Surface,2,Image 1,1,158,
10.943,,Surface,2,Image 1,1,159,
7.84632,,Surface,2,Image 1,1,160,
7.66667,,Surface,2,Image 1,1,161,
9.89291,,Surface,2,Image 1,1,162,
9.18427,,Surface,2,Image 1,1,163,
23.7035,,Surface,2,Image 1,1,164,
10.8104,,Surface,2,Image 1,1,165,
12.4118,,Surface,2,Image 1,1,166,
16.9406,,Surface,2,Image 1,1,167,
10.0229,,Surface,2,Image 1,1,168,
9.62464,,Surface,2,Image 1,1,169,
