
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
5.87145,,Surface,4,Image 1,1,0,
36.7665,,Surface,4,Image 1,1,1,
44.5411,,Surface,4,Image 1,1,2,
41.9905,,Surface,4,Image 1,1,3,
5.49281,,Surface,4,Image 1,1,4,
5.48978,,Surface,4,Image 1,1,5,
7.5296,,Surface,4,Image 1,1,6,
14.2319,,Surface,4,Image 1,1,7,
42.3368,,Surface,4,Image 1,1,8,
32.0982,,Surface,4,Image 1,1,9,
5.84825,,Surface,4,Image 1,1,10,
5.68709,,Surface,4,Image 1,1,11,
4.61359,,Surface,4,Image 1,1,12,
8.93799,,Surface,4,Image 1,1,13,
5.60438,,Surface,4,Image 1,1,14,
15.2475,,Surface,4,Image 1,1,15,
27.8672,,Surface,4,Image 1,1,16,
35.6439,,Surface,4,Image 1,1,17,
28.5479,,Surface,4,Image 1,1,18,
61.8093,,Surface,4,Image 1,1,19,
41.3318,,Surface,4,Image 1,1,20,
36.9282,,Surface,4,Image 1,1,21,
8.24586,,Surface,4,Image 1,1,22,
9.68021,,Surface,4,Image 1,1,24,
5.52003,,Surface,4,Image 1,1,25,
6.34748,,Surface,4,Image 1,1,26,
6.76152,,Surface,4,Image 1,1,27,
4.87493,,Surface,4,Image 1,1,28,
5.91399,,Surface,4,Image 1,1,29,
7.33288,,Surface,4,Image 1,1,30,
5.80936,,Surface,4,Image 1,1,31,
6.6405,,Surface,4,Image 1,1,32,
8.55348,,Surface,4,Image 1,1,33,
6.49917,,Surface,4,Image 1,1,34,
6.41247,,Surface,4,Image 1,1,35,
7.6357,,Surface,4,Image 1,1,36,
13.3551,,Surface,4,Image 1,1,37,
7.98718,,Surface,4,Image 1,1,38,
8.71841,,Surface,4,Image 1,1,39,
11.8905,,Surface,4,Image 1,1,40,
6.04478,,Surface,4,Image 1,1,41,
13.4047,,Surface,4,Image 1,1,42,
9.73814,,Surface,4,Image 1,1,43,
11.8621,,Surface,4,Image 1,1,44,
6.37868,,Surface,4,Image 1,1,45,
9.22428,,Surface,4,Image 1,1,46,
8.31649,,Surface,4,Image 1,1,47,
15.9954,,Surface,4,Image 1,1,48,
16.613,,Surface,4,Image 1,1,49,
13.7589,,Surface,4,Image 1,1,50,
15.3994,,Surface,4,Image 1,1,51,
10.4165,,Surface,4,Image 1,1,52,
14.8206,,Surface,4,Image 1,1,53,
12.0569,,Surface,4,Image 1,1,54,
9.64626,,Surface,4,Image 1,1,55,
9.17227,,Surface,4,Image 1,1,56,
44.8461,,Surface,4,Image 1,1,57,
28.3984,,Surface,4,Image 1,1,58,
20.8398,,Surface,4,Image 1,1,59,
43.3305,,Surface,4,Image 1,1,60,
6.56497,,Surface,4,Image 1,1,62,
8.0249,,Surface,4,Image 1,1,63,
8.19792,,Surface,4,Image 1,1,64,
19.5886,,Surface,4,Image 1,1,65,
10.5656,,Surface,4,Image 1,1,66,
24.2235,,Surface,4,Image 1,1,67,
5.55118,,Surface,4,Image 1,1,68,
7.94542,,Surface,4,Image 1,1,70,
9.09036,,Surface,4,Image 1,1,71,
10.1896,,Surface,4,Image 1,1,72,
6.97996,,Surface,4,Image 1,1,73,
14.3007,,Surface,4,Image 1,1,74,
14.3325,,Surface,4,Image 1,1,75,
19.9117,,Surface,4,Image 1,1,76,
11.4274,,Surface,4,Image 1,1,77,
5.35494,,Surface,4,Image 1,1,78,
9.05862,,Surface,4,Image 1,1,79,
8.87718,,Surface,4,Image 1,1,80,
7.66761,,Surface,4,Image 1,1,81,
7.83084,,Surface,4,Image 1,1,82,
15.6127,,Surface,4,Image 1,1,83,
15.5363,,Surface,4,Image 1,1,84,
10.647,,Surface,4,Image 1,1,85,
11.314,,Surface,4,Image 1,1,86,
16.4083,,Surface,4,Image 1,1,87,
7.7736,,Surface,4,Image 1,1,88,
27.5691,,Surface,4,Image 1,1,89,
17.364,,Surface,4,Image 1,1,90,
16.6843,,Surface,4,Image 1,1,91,
7.12092,,Surface,4,Image 1,1,93,
11.832,,Surface,4,Image 1,1,94,
9.97836,,Surface,4,Image 1,1,95,
12.1784,,Surface,4,Image 1,1,96,
14.6393,,Surface,4,Image 1,1,97,
8.12968,,Surface,4,Image 1,1,98,
18.656,,Surface,4,Image 1,1,99,
11.4074,,Surface,4,Image 1,1,100,
25.7148,,Surface,4,Image 1,1,101,
11.3236,,Surface,4,Image 1,1,102,
10.5345,,Surface,4,Image 1,1,103,
11.6105,,Surface,4,Image 1,1,104,
29.0869,,Surface,4,Image 1,1,105,
12.0194,,Surface,4,Image 1,1,106,
8.9867,,Surface,4,Image 1,1,107,
19.3579,,Surface,4,Image 1,1,108,
10.8425,,Surface,4,Image 1,1,109,
10.1379,,Surface,4,Image 1,1,110,
6.98937,,Surface,4,Image 1,1,111,
5.82198,,Surface,4,Image 1,1,112,
10.1842,,Surface,4,Image 1,1,113,
18.6623,,Surface,4,Image 1,1,114,
17.755,,Surface,4,Image 1,1,115,
14.2537,,Surface,4,Image 1,1,116,
8.99431,,Surface,4,Image 1,1,117,
13.1191,,Surface,4,Image 1,1,118,
7.97264,,Surface,4,Image 1,1,119,
15.6828,,Surface,4,Image 1,1,120,
5.12472,,Surface,4,Image 1,1,121,
8.28796,,Surface,4,Image 1,1,122,
7.99105,,Surface,4,Image 1,1,123,
18.5671,,Surface,4,Image 1,1,124,
9.74104,,Surface,4,Image 1,1,125,
9.03197,,Surface,4,Image 1,1,126,
13.3214,,Surface,4,Image 1,1,127,
10.057,,Surface,4,Image 1,1,128,
11.3586,,Surface,4,Image 1,1,129,
11.8137,,Surface,4,Image 1,1,130,
9.34994,,Surface,4,Image 1,1,131,
9.61432,,Surface,4,Image 1,1,132,
10.3299,,Surface,4,Image 1,1,133,
19.2167,,Surface,4,Image 1,1,134,
9.70658,,Surface,4,Image 1,1,135,
10.8704,,Surface,4,Image 1,1,136,
8.6304,,Surface,4,Image 1,1,137,
17.5961,,Surface,4,Image 1,1,138,
12.7644,,Surface,4,Image 1,1,139,
12.8228,,Surface,4,Image 1,1,140,
12.1929,,Surface,4,Image 1,1,141,
14.3135,,Surface,4,Image 1,1,142,
9.17932,,Surface,4,Image 1,1,143,
8.66108,,Surface,4,Image 1,1,144,
6.46257,,Surface,4,Image 1,1,145,
7.51112,,Surface,4,Image 1,1,146,
6.37786,,Surface,4,Image 1,1,147,
8.64759,,Surface,4,Image 1,1,148,
7.85759,,Surface,4,Image 1,1,149,
6.87801,,Surface,4,Image 1,1,150,
6.62059,,Surface,4,Image 1,1,151,
