
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.02693,,Surface,4,Image 1,1,0,
0.382979,,Surface,4,Image 1,1,1,
0.979686,,Surface,4,Image 1,1,2,
2.02899,,Surface,4,Image 1,1,3,
1.00044,,Surface,4,Image 1,1,4,
1.07833,,Surface,4,Image 1,1,5,
1.11278,,Surface,4,Image 1,1,6,
1.06146,,Surface,4,Image 1,1,7,
1.12086,,Surface,4,Image 1,1,8,
1.0219,,Surface,4,Image 1,1,9,
1.10291,,Surface,4,Image 1,1,10,
1.04286,,Surface,4,Image 1,1,11,
1.1068,,Surface,4,Image 1,1,12,
1.12962,,Surface,4,Image 1,1,13,
1.07701,,Surface,4,Image 1,1,14,
1.21341,,Surface,4,Image 1,1,15,
1.16103,,Surface,4,Image 1,1,16,
1.19694,,Surface,4,Image 1,1,17,
1.24869,,Surface,4,Image 1,1,18,
1.04952,,Surface,4,Image 1,1,19,
1.06103,,Surface,4,Image 1,1,20,
1.28007,,Surface,4,Image 1,1,21,
1.05347,,Surface,4,Image 1,1,22,
1.01638,,Surface,4,Image 1,1,23,
1.34014,,Surface,4,Image 1,1,24,
1.15097,,Surface,4,Image 1,1,25,
0.955357,,Surface,4,Image 1,1,26,
1.01903,,Surface,4,Image 1,1,27,
1.00867,,Surface,4,Image 1,1,28,
1.21052,,Surface,4,Image 1,1,29,
1.18218,,Surface,4,Image 1,1,30,
1.03575,,Surface,4,Image 1,1,31,
0.88999,,Surface,4,Image 1,1,32,
0.99566,,Surface,4,Image 1,1,33,
0.900768,,Surface,4,Image 1,1,34,
1.19996,,Surface,4,Image 1,1,35,
1.22026,,Surface,4,Image 1,1,36,
0.961079,,Surface,4,Image 1,1,37,
0.993772,,Surface,4,Image 1,1,38,
1.27925,,Surface,4,Image 1,1,39,
1.04825,,Surface,4,Image 1,1,40,
1.03747,,Surface,4,Image 1,1,41,
0.726471,,Surface,4,Image 1,1,42,
1.0369,,Surface,4,Image 1,1,43,
1.17205,,Surface,4,Image 1,1,44,
1.13538,,Surface,4,Image 1,1,45,
1.08053,,Surface,4,Image 1,1,46,
1.04037,,Surface,4,Image 1,1,47,
1.06132,,Surface,4,Image 1,1,48,
1.04674,,Surface,4,Image 1,1,49,
1.20542,,Surface,4,Image 1,1,50,
1.14706,,Surface,4,Image 1,1,51,
0.956371,,Surface,4,Image 1,1,52,
0.958856,,Surface,4,Image 1,1,53,
0.934783,,Surface,4,Image 1,1,54,
1.25862,,Surface,4,Image 1,1,55,
1.14083,,Surface,4,Image 1,1,56,
0.867034,,Surface,4,Image 1,1,57,
1.09126,,Surface,4,Image 1,1,58,
1.2097,,Surface,4,Image 1,1,59,
1.11454,,Surface,4,Image 1,1,60,
0.995682,,Surface,4,Image 1,1,61,
1.03183,,Surface,4,Image 1,1,62,
0.992048,,Surface,4,Image 1,1,63,
0.681852,,Surface,4,Image 1,1,64,
0.786052,,Surface,4,Image 1,1,65,
0.71564,,Surface,4,Image 1,1,66,
0.861239,,Surface,4,Image 1,1,67,
0.739731,,Surface,4,Image 1,1,68,
0.956208,,Surface,4,Image 1,1,69,
0.940994,,Surface,4,Image 1,1,70,
0.88836,,Surface,4,Image 1,1,71,
1.19042,,Surface,4,Image 1,1,72,
0.983304,,Surface,4,Image 1,1,73,
0.5,,Surface,4,Image 1,1,74,
1.00444,,Surface,4,Image 1,1,75,
0.99259,,Surface,4,Image 1,1,76,
1.08043,,Surface,4,Image 1,1,77,
0.795728,,Surface,4,Image 1,1,78,
1.43137,,Surface,4,Image 1,1,79,
0.958159,,Surface,4,Image 1,1,80,
0.625,,Surface,4,Image 1,1,81,
0.893732,,Surface,4,Image 1,1,82,
0.562874,,Surface,4,Image 1,1,83,
1.11384,,Surface,4,Image 1,1,84,
1.13918,,Surface,4,Image 1,1,85,
1.09946,,Surface,4,Image 1,1,86,
0.978155,,Surface,4,Image 1,1,87,
0.957577,,Surface,4,Image 1,1,88,
1.42683,,Surface,4,Image 1,1,89,
0.966239,,Surface,4,Image 1,1,90,
1.38908,,Surface,4,Image 1,1,91,
1.48519,,Surface,4,Image 1,1,92,
1.37907,,Surface,4,Image 1,1,93,
1.60063,,Surface,4,Image 1,1,94,
1.18603,,Surface,4,Image 1,1,95,
1.28045,,Surface,4,Image 1,1,96,
1.2505,,Surface,4,Image 1,1,97,
1.28368,,Surface,4,Image 1,1,98,
1.28238,,Surface,4,Image 1,1,99,
1.48448,,Surface,4,Image 1,1,100,
1.15528,,Surface,4,Image 1,1,101,
1.26626,,Surface,4,Image 1,1,102,
1.24541,,Surface,4,Image 1,1,103,
1.24451,,Surface,4,Image 1,1,104,
1.8285,,Surface,4,Image 1,1,105,
1.2671,,Surface,4,Image 1,1,106,
1.34477,,Surface,4,Image 1,1,107,
1.26815,,Surface,4,Image 1,1,108,
1.60007,,Surface,4,Image 1,1,109,
1.77511,,Surface,4,Image 1,1,110,
1.34879,,Surface,4,Image 1,1,111,
1.47468,,Surface,4,Image 1,1,112,
2.16336,,Surface,4,Image 1,1,113,
2.13765,,Surface,4,Image 1,1,114,
1.42254,,Surface,4,Image 1,1,115,
1.10952,,Surface,4,Image 1,1,116,
1.44306,,Surface,4,Image 1,1,117,
1.3195,,Surface,4,Image 1,1,118,
1.35702,,Surface,4,Image 1,1,119,
1.39411,,Surface,4,Image 1,1,120,
1.06735,,Surface,4,Image 1,1,121,
1.29877,,Surface,4,Image 1,1,122,
1.23664,,Surface,4,Image 1,1,123,
1.28591,,Surface,4,Image 1,1,124,
1.3571,,Surface,4,Image 1,1,125,
1.3943,,Surface,4,Image 1,1,126,
1.20234,,Surface,4,Image 1,1,127,
1.3542,,Surface,4,Image 1,1,128,
1.37487,,Surface,4,Image 1,1,129,
1.25267,,Surface,4,Image 1,1,130,
1.27486,,Surface,4,Image 1,1,131,
1.17284,,Surface,4,Image 1,1,132,
1.17262,,Surface,4,Image 1,1,133,
1.38868,,Surface,4,Image 1,1,134,
1.39378,,Surface,4,Image 1,1,135,
1.30438,,Surface,4,Image 1,1,136,
0.941476,,Surface,4,Image 1,1,137,
1.17742,,Surface,4,Image 1,1,138,
1.39323,,Surface,4,Image 1,1,139,
1.43002,,Surface,4,Image 1,1,140,
1.2126,,Surface,4,Image 1,1,141,
0.946372,,Surface,4,Image 1,1,142,
