
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
40.0814,,Surface,3,Image 1,1,0,
21.068,,Surface,3,Image 1,1,1,
20.1544,,Surface,3,Image 1,1,2,
14.5061,,Surface,3,Image 1,1,3,
49.3682,,Surface,3,Image 1,1,4,
36.5919,,Surface,3,Image 1,1,5,
29.2866,,Surface,3,Image 1,1,6,
24.7769,,Surface,3,Image 1,1,7,
17.0251,,Surface,3,Image 1,1,8,
18.0729,,Surface,3,Image 1,1,9,
37.6085,,Surface,3,Image 1,1,10,
38.1962,,Surface,3,Image 1,1,11,
53.9785,,Surface,3,Image 1,1,12,
43.4401,,Surface,3,Image 1,1,13,
37.8957,,Surface,3,Image 1,1,14,
24.3357,,Surface,3,Image 1,1,15,
20.7663,,Surface,3,Image 1,1,16,
17.6803,,Surface,3,Image 1,1,17,
28.5034,,Surface,3,Image 1,1,18,
13.5429,,Surface,3,Image 1,1,19,
18.9798,,Surface,3,Image 1,1,20,
23.2889,,Surface,3,Image 1,1,21,
47.3913,,Surface,3,Image 1,1,22,
44.2006,,Surface,3,Image 1,1,24,
37.6406,,Surface,3,Image 1,1,25,
31.465,,Surface,3,Image 1,1,26,
25.8168,,Surface,3,Image 1,1,27,
13.6155,,Surface,3,Image 1,1,28,
33.1404,,Surface,3,Image 1,1,29,
33.2828,,Surface,3,Image 1,1,30,
50.517,,Surface,3,Image 1,1,31,
47.4284,,Surface,3,Image 1,1,32,
41.3125,,Surface,3,Image 1,1,33,
44.7086,,Surface,3,Image 1,1,34,
36.1047,,Surface,3,Image 1,1,35,
34.4372,,Surface,3,Image 1,1,36,
33.925,,Surface,3,Image 1,1,37,
39.6656,,Surface,3,Image 1,1,38,
38.4434,,Surface,3,Image 1,1,39,
44.4644,,Surface,3,Image 1,1,40,
37.1846,,Surface,3,Image 1,1,41,
39.0951,,Surface,3,Image 1,1,42,
31.5208,,Surface,3,Image 1,1,43,
41.4801,,Surface,3,Image 1,1,44,
40.1504,,Surface,3,Image 1,1,45,
31.1304,,Surface,3,Image 1,1,46,
30.8142,,Surface,3,Image 1,1,47,
28.5491,,Surface,3,Image 1,1,48,
35.7377,,Surface,3,Image 1,1,49,
31.3883,,Surface,3,Image 1,1,50,
36.5244,,Surface,3,Image 1,1,51,
40.8993,,Surface,3,Image 1,1,52,
31.7056,,Surface,3,Image 1,1,53,
31.3443,,Surface,3,Image 1,1,54,
13.0102,,Surface,3,Image 1,1,55,
21.7179,,Surface,3,Image 1,1,56,
14.2152,,Surface,3,Image 1,1,57,
28.1742,,Surface,3,Image 1,1,58,
