
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
5.05109,,Surface,3,Image 1,1,0,
15.4446,,Surface,3,Image 1,1,1,
5.90969,,Surface,3,Image 1,1,2,
13.6479,,Surface,3,Image 1,1,3,
14.3817,,Surface,3,Image 1,1,4,
14.5471,,Surface,3,Image 1,1,5,
8.18968,,Surface,3,Image 1,1,6,
6.05359,,Surface,3,Image 1,1,7,
2.90613,,Surface,3,Image 1,1,8,
5.71662,,Surface,3,Image 1,1,9,
3.12285,,Surface,3,Image 1,1,10,
3.67236,,Surface,3,Image 1,1,11,
19.2093,,Surface,3,Image 1,1,12,
20.2447,,Surface,3,Image 1,1,13,
14.992,,Surface,3,Image 1,1,14,
19.775,,Surface,3,Image 1,1,15,
18.2237,,Surface,3,Image 1,1,16,
18.7521,,Surface,3,Image 1,1,17,
13.7477,,Surface,3,Image 1,1,18,
20.549,,Surface,3,Image 1,1,19,
21.1366,,Surface,3,Image 1,1,20,
19.383,,Surface,3,Image 1,1,21,
17.9692,,Surface,3,Image 1,1,22,
16.5214,,Surface,3,Image 1,1,23,
15.1214,,Surface,3,Image 1,1,24,
15.4477,,Surface,3,Image 1,1,25,
17.2116,,Surface,3,Image 1,1,26,
18.3808,,Surface,3,Image 1,1,27,
30.0238,,Surface,3,Image 1,1,28,
29.775,,Surface,3,Image 1,1,29,
26.5031,,Surface,3,Image 1,1,30,
25.1161,,Surface,3,Image 1,1,31,
25.8764,,Surface,3,Image 1,1,32,
25.74,,Surface,3,Image 1,1,33,
29.8468,,Surface,3,Image 1,1,34,
28.2612,,Surface,3,Image 1,1,35,
4.41271,,Surface,3,Image 1,1,36,
4.0298,,Surface,3,Image 1,1,37,
18.2372,,Surface,3,Image 1,1,38,
8.11353,,Surface,3,Image 1,1,39,
17.5243,,Surface,3,Image 1,1,40,
2.976,,Surface,3,Image 1,1,41,
11.7538,,Surface,3,Image 1,1,42,
8.38885,,Surface,3,Image 1,1,43,
10.9068,,Surface,3,Image 1,1,44,
10.4763,,Surface,3,Image 1,1,45,
9.47502,,Surface,3,Image 1,1,46,
