
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
136.44,107.438,-13.0645,um,Surface,Position,1,0,
145.583,110.465,-14.7207,um,Surface,Position,1,1,
128.734,123.269,-14.151,um,Surface,Position,1,2,
138.468,121.052,-13.6932,um,Surface,Position,1,3,
143.463,113.042,-12.886,um,Surface,Position,1,4,
165.878,114.192,-16.132,um,Surface,Position,1,5,
159.406,108.085,-14.2183,um,Surface,Position,1,6,
150.411,103.909,-14.0412,um,Surface,Position,1,7,
157.526,101.504,-11.6732,um,Surface,Position,1,8,
96.3339,128.205,-16.0309,um,Surface,Position,1,9,
83.2251,147.144,-18.4156,um,Surface,Position,1,10,
92.6235,145.434,-15.2367,um,Surface,Position,1,11,
87.2685,147.463,-15.2819,um,Surface,Position,1,12,
100.049,142.705,-18.3851,um,Surface,Position,1,13,
101.464,132.024,-14.7987,um,Surface,Position,1,14,
99.3801,134.68,-14.6633,um,Surface,Position,1,15,
113.229,126.305,-18.2362,um,Surface,Position,1,16,
108.749,133.735,-15.2248,um,Surface,Position,1,17,
120.148,140.978,-14.1548,um,Surface,Position,1,18,
120.323,144.152,-12.3716,um,Surface,Position,1,19,
108.801,142.958,-12.576,um,Surface,Position,1,20,
114.637,138.197,-11.6234,um,Surface,Position,1,21,
128.33,140.624,-14.0681,um,Surface,Position,1,22,
70.6474,157.214,-17.1599,um,Surface,Position,1,23,
71.4278,161.719,-16.3375,um,Surface,Position,1,24,
60.1906,164.618,-15.5457,um,Surface,Position,1,25,
87.8986,155.4,-16.2916,um,Surface,Position,1,26,
84.4292,152.072,-15.0301,um,Surface,Position,1,27,
83.8539,157.26,-16.7295,um,Surface,Position,1,28,
80.7248,161.688,-16.1724,um,Surface,Position,1,29,
91.7797,163.749,-13.8616,um,Surface,Position,1,30,
77.3981,168.716,-14.8612,um,Surface,Position,1,31,
95.8438,162.943,-12.4669,um,Surface,Position,1,32,
108.634,156.164,-14.9598,um,Surface,Position,1,33,
102.73,167.08,-13.6079,um,Surface,Position,1,34,
97.566,148.64,-14.707,um,Surface,Position,1,35,
122.244,152.501,-14.3386,um,Surface,Position,1,36,
172.5,97.4701,-11.0299,um,Surface,Position,1,37,
165.368,104.219,-12.1931,um,Surface,Position,1,38,
152.248,110.36,-11.0049,um,Surface,Position,1,39,
150.342,115.552,-11.1772,um,Surface,Position,1,40,
134.961,125.858,-11.8577,um,Surface,Position,1,41,
105.418,152.676,-10.1669,um,Surface,Position,1,42,
113.943,153.421,-10.1096,um,Surface,Position,1,43,
110.874,155.975,-10.1396,um,Surface,Position,1,44,
120.67,150.455,-8.87551,um,Surface,Position,1,45,
113.726,159.936,-9.75151,um,Surface,Position,1,46,
172.079,105.905,-23.9041,um,Surface,Position,1,47,
161.534,103.822,-23.765,um,Surface,Position,1,48,
