
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
128.592,107.051,-10.9882,um,Surface,Position,1,0,
125.792,103.096,-10.4103,um,Surface,Position,1,1,
124.39,108.133,-4.48974,um,Surface,Position,1,2,
86.0952,115.521,-11.7087,um,Surface,Position,1,3,
100.001,112.843,-13.4873,um,Surface,Position,1,4,
96.8298,120.022,-10.3815,um,Surface,Position,1,5,
100.644,112.718,-8.75362,um,Surface,Position,1,6,
110.308,112.747,-13.2655,um,Surface,Position,1,7,
119,114.353,-9.0501,um,Surface,Position,1,8,
86.1027,82.9849,-9.38585,um,Surface,Position,1,9,
141.191,82.8316,-8.06581,um,Surface,Position,1,10,
95.7307,122.706,-20.3267,um,Surface,Position,1,11,
106.42,126.263,-26.4838,um,Surface,Position,1,12,
114.271,121.854,-23.1206,um,Surface,Position,1,13,
86.8185,77.2617,-16.9245,um,Surface,Position,1,14,
90.1542,79.7687,-14.3035,um,Surface,Position,1,15,
90.8884,83.6886,-27.0124,um,Surface,Position,1,16,
81.1914,95.0553,-16.4512,um,Surface,Position,1,17,
65.7746,101.662,-18.9251,um,Surface,Position,1,18,
70.4878,100.112,-22.4273,um,Surface,Position,1,19,
98.4091,107.639,-23.8224,um,Surface,Position,1,20,
93.3722,105.634,-23.4819,um,Surface,Position,1,21,
128.849,102.617,-20.9389,um,Surface,Position,1,22,
130.894,106.915,-19.2323,um,Surface,Position,1,23,
134.817,101.305,-13.2652,um,Surface,Position,1,24,
82.5258,112.234,-26.4667,um,Surface,Position,1,25,
90.4878,110.856,-24.0459,um,Surface,Position,1,26,
88.6466,114.879,-21.7858,um,Surface,Position,1,27,
95.6619,118.418,-25.0935,um,Surface,Position,1,28,
93.4094,112.303,-17.6759,um,Surface,Position,1,29,
96.787,118.112,-14.3662,um,Surface,Position,1,30,
107.18,120.451,-17.8095,um,Surface,Position,1,31,
106.523,114.026,-16.2582,um,Surface,Position,1,32,
119.504,118.222,-25.7219,um,Surface,Position,1,33,
124.704,114.096,-20.859,um,Surface,Position,1,34,
77.4882,62.6884,-19.6456,um,Surface,Position,1,38,
94.2214,62.6955,-17.5489,um,Surface,Position,1,39,
88.487,68.7786,-26.12,um,Surface,Position,1,40,
93.4241,65.3631,-24.8588,um,Surface,Position,1,41,
44.0295,100.437,-30.6528,um,Surface,Position,1,42,
58.4721,106.145,-36.5737,um,Surface,Position,1,43,
48.8582,103.472,-34.998,um,Surface,Position,1,44,
68.5943,106.474,-26.5837,um,Surface,Position,1,45,
75.3203,99.3276,-35.0973,um,Surface,Position,1,46,
92.3135,103.426,-28.6513,um,Surface,Position,1,47,
111.668,104.616,-31.7232,um,Surface,Position,1,48,
117.562,107.36,-35.0337,um,Surface,Position,1,49,
127.631,102.882,-33.2506,um,Surface,Position,1,50,
133.31,104.298,-30.7094,um,Surface,Position,1,51,
125.783,109.402,-28.608,um,Surface,Position,1,52,
135.159,106.567,-27.4599,um,Surface,Position,1,53,
64.7343,110.474,-33.2696,um,Surface,Position,1,54,
84.7441,120.159,-28.6893,um,Surface,Position,1,55,
101.005,117.783,-30.6038,um,Surface,Position,1,56,
96.5716,115.88,-29.8445,um,Surface,Position,1,57,
122.078,112.331,-38.2884,um,Surface,Position,1,58,
121.599,115.218,-36.2084,um,Surface,Position,1,59,
114.268,114.784,-36.7163,um,Surface,Position,1,60,
113.608,118.239,-27.8052,um,Surface,Position,1,61,
126.542,114.039,-34.069,um,Surface,Position,1,62,
93.0346,121.894,-35.9318,um,Surface,Position,1,63,
100.011,126.877,-34.982,um,Surface,Position,1,64,
94.1045,130.739,-34.6731,um,Surface,Position,1,65,
93.037,125.005,-33.9034,um,Surface,Position,1,66,
100.46,129.029,-27.6841,um,Surface,Position,1,67,
105.536,121.598,-35.5828,um,Surface,Position,1,68,
83.8091,133.111,-29.918,um,Surface,Position,1,69,
87.8901,61.3754,-30.0469,um,Surface,Position,1,70,
94.5461,71.8996,-33.0475,um,Surface,Position,1,71,
84.3701,78.8717,-31.9961,um,Surface,Position,1,72,
88.0904,80.0559,-29.6693,um,Surface,Position,1,73,
95.3986,84.3484,-27.4145,um,Surface,Position,1,74,
97.0709,78.8851,-26.4371,um,Surface,Position,1,75,
145.623,82.3841,-32.3822,um,Surface,Position,1,76,
36.0125,95.7262,-27.9614,um,Surface,Position,1,77,
37.7063,90.9137,-36.415,um,Surface,Position,1,78,
86.5982,96.4028,-34.2393,um,Surface,Position,1,79,
81.47,128.886,-46.5004,um,Surface,Position,1,80,
100.614,124.351,-43.1394,um,Surface,Position,1,81,
103.678,121.559,-49.4868,um,Surface,Position,1,82,
117.273,41.2429,-27.2521,um,Surface,Position,1,90,
17.5027,67.653,-40.5344,um,Surface,Position,1,91,
137.335,72.7481,-45.998,um,Surface,Position,1,92,
136.684,66.2921,-44.7122,um,Surface,Position,1,93,
96.5995,75.8182,-40.2045,um,Surface,Position,1,94,
76.0583,90.7842,-38.7259,um,Surface,Position,1,95,
86.6258,96.49,-41.0052,um,Surface,Position,1,96,
113.983,90.6097,-48.3658,um,Surface,Position,1,97,
117.895,88.0953,-43.7736,um,Surface,Position,1,98,
62.7852,105.428,-40.8491,um,Surface,Position,1,99,
64.571,100.369,-39.2869,um,Surface,Position,1,100,
58.9649,101.512,-41.2591,um,Surface,Position,1,101,
84.2288,106.92,-41.0339,um,Surface,Position,1,102,
120.478,104.608,-49.329,um,Surface,Position,1,103,
116.651,101.242,-39.2181,um,Surface,Position,1,104,
126.79,106.947,-41.5438,um,Surface,Position,1,105,
92.8098,119.262,-46.9948,um,Surface,Position,1,106,
99.4636,117.605,-44.6217,um,Surface,Position,1,107,
95.5694,116.462,-41.1409,um,Surface,Position,1,108,
93.7972,109.718,-39.7129,um,Surface,Position,1,109,
107.061,116.118,-43.8221,um,Surface,Position,1,110,
114.327,115.083,-47.9838,um,Surface,Position,1,111,
116.683,109.55,-48.1164,um,Surface,Position,1,112,
122.938,110.607,-43.7976,um,Surface,Position,1,113,
128.557,73.6888,-51.174,um,Surface,Position,1,120,
90.4598,116.012,-52.3324,um,Surface,Position,1,121,
