
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
49,,Surface,2,Image 1,1,0,
50,,Surface,2,Image 1,1,1,
46,,Surface,2,Image 1,1,2,
44,,Surface,2,Image 1,1,3,
49,,Surface,2,Image 1,1,4,
47,,Surface,2,Image 1,1,5,
90,,Surface,2,Image 1,1,6,
51,,Surface,2,Image 1,1,7,
98,,Surface,2,Image 1,1,8,
48,,Surface,2,Image 1,1,9,
55,,Surface,2,Image 1,1,10,
52,,Surface,2,Image 1,1,11,
49,,Surface,2,Image 1,1,12,
56,,Surface,2,Image 1,1,13,
47,,Surface,2,Image 1,1,14,
47,,Surface,2,Image 1,1,15,
39,,Surface,2,Image 1,1,16,
51,,Surface,2,Image 1,1,17,
66,,Surface,2,Image 1,1,18,
49,,Surface,2,Image 1,1,19,
53,,Surface,2,Image 1,1,20,
47,,Surface,2,Image 1,1,21,
52,,Surface,2,Image 1,1,22,
43,,Surface,2,Image 1,1,23,
48,,Surface,2,Image 1,1,24,
46,,Surface,2,Image 1,1,25,
45,,Surface,2,Image 1,1,26,
55,,Surface,2,Image 1,1,27,
52,,Surface,2,Image 1,1,28,
43,,Surface,2,Image 1,1,29,
62,,Surface,2,Image 1,1,30,
63,,Surface,2,Image 1,1,31,
240,,Surface,2,Image 1,1,32,
76,,Surface,2,Image 1,1,33,
56,,Surface,2,Image 1,1,34,
83,,Surface,2,Image 1,1,35,
70,,Surface,2,Image 1,1,36,
50,,Surface,2,Image 1,1,37,
53,,Surface,2,Image 1,1,38,
64,,Surface,2,Image 1,1,39,
54,,Surface,2,Image 1,1,40,
54,,Surface,2,Image 1,1,41,
39,,Surface,2,Image 1,1,42,
158,,Surface,2,Image 1,1,43,
71,,Surface,2,Image 1,1,44,
111,,Surface,2,Image 1,1,45,
48,,Surface,2,Image 1,1,46,
112,,Surface,2,Image 1,1,47,
73,,Surface,2,Image 1,1,48,
58,,Surface,2,Image 1,1,49,
43,,Surface,2,Image 1,1,50,
114,,Surface,2,Image 1,1,51,
42,,Surface,2,Image 1,1,52,
44,,Surface,2,Image 1,1,53,
37,,Surface,2,Image 1,1,54,
52,,Surface,2,Image 1,1,55,
118,,Surface,2,Image 1,1,56,
100,,Surface,2,Image 1,1,57,
95,,Surface,2,Image 1,1,58,
54,,Surface,2,Image 1,1,59,
148,,Surface,2,Image 1,1,60,
109,,Surface,2,Image 1,1,61,
51,,Surface,2,Image 1,1,62,
45,,Surface,2,Image 1,1,63,
48,,Surface,2,Image 1,1,64,
64,,Surface,2,Image 1,1,65,
77,,Surface,2,Image 1,1,66,
97,,Surface,2,Image 1,1,67,
207,,Surface,2,Image 1,1,68,
