
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
138,,Surface,2,Image 1,1,0,
238,,Surface,2,Image 1,1,1,
170,,Surface,2,Image 1,1,2,
207,,Surface,2,Image 1,1,3,
172,,Surface,2,Image 1,1,4,
179,,Surface,2,Image 1,1,5,
150,,Surface,2,Image 1,1,6,
149,,Surface,2,Image 1,1,7,
201,,Surface,2,Image 1,1,8,
129,,Surface,2,Image 1,1,9,
128,,Surface,2,Image 1,1,10,
136,,Surface,2,Image 1,1,11,
204,,Surface,2,Image 1,1,12,
240,,Surface,2,Image 1,1,13,
156,,Surface,2,Image 1,1,14,
150,,Surface,2,Image 1,1,15,
136,,Surface,2,Image 1,1,16,
152,,Surface,2,Image 1,1,17,
185,,Surface,2,Image 1,1,18,
127,,Surface,2,Image 1,1,19,
180,,Surface,2,Image 1,1,20,
135,,Surface,2,Image 1,1,21,
133,,Surface,2,Image 1,1,22,
144,,Surface,2,Image 1,1,23,
140,,Surface,2,Image 1,1,24,
162,,Surface,2,Image 1,1,25,
189,,Surface,2,Image 1,1,26,
211,,Surface,2,Image 1,1,27,
154,,Surface,2,Image 1,1,28,
126,,Surface,2,Image 1,1,29,
223,,Surface,2,Image 1,1,30,
139,,Surface,2,Image 1,1,31,
154,,Surface,2,Image 1,1,32,
130,,Surface,2,Image 1,1,33,
157,,Surface,2,Image 1,1,34,
198,,Surface,2,Image 1,1,38,
133,,Surface,2,Image 1,1,39,
128,,Surface,2,Image 1,1,40,
128,,Surface,2,Image 1,1,41,
250,,Surface,2,Image 1,1,42,
253,,Surface,2,Image 1,1,43,
250,,Surface,2,Image 1,1,44,
162,,Surface,2,Image 1,1,45,
158,,Surface,2,Image 1,1,46,
236,,Surface,2,Image 1,1,47,
178,,Surface,2,Image 1,1,48,
244,,Surface,2,Image 1,1,49,
193,,Surface,2,Image 1,1,50,
176,,Surface,2,Image 1,1,51,
204,,Surface,2,Image 1,1,52,
160,,Surface,2,Image 1,1,53,
217,,Surface,2,Image 1,1,54,
132,,Surface,2,Image 1,1,55,
132,,Surface,2,Image 1,1,56,
136,,Surface,2,Image 1,1,57,
131,,Surface,2,Image 1,1,58,
152,,Surface,2,Image 1,1,59,
126,,Surface,2,Image 1,1,60,
152,,Surface,2,Image 1,1,61,
202,,Surface,2,Image 1,1,62,
162,,Surface,2,Image 1,1,63,
146,,Surface,2,Image 1,1,64,
254,,Surface,2,Image 1,1,65,
240,,Surface,2,Image 1,1,66,
238,,Surface,2,Image 1,1,67,
145,,Surface,2,Image 1,1,68,
194,,Surface,2,Image 1,1,69,
190,,Surface,2,Image 1,1,70,
161,,Surface,2,Image 1,1,71,
134,,Surface,2,Image 1,1,72,
140,,Surface,2,Image 1,1,73,
201,,Surface,2,Image 1,1,74,
185,,Surface,2,Image 1,1,75,
146,,Surface,2,Image 1,1,76,
254,,Surface,2,Image 1,1,77,
145,,Surface,2,Image 1,1,78,
159,,Surface,2,Image 1,1,79,
201,,Surface,2,Image 1,1,80,
224,,Surface,2,Image 1,1,81,
248,,Surface,2,Image 1,1,82,
137,,Surface,2,Image 1,1,90,
131,,Surface,2,Image 1,1,91,
144,,Surface,2,Image 1,1,92,
155,,Surface,2,Image 1,1,93,
141,,Surface,2,Image 1,1,94,
170,,Surface,2,Image 1,1,95,
245,,Surface,2,Image 1,1,96,
131,,Surface,2,Image 1,1,97,
197,,Surface,2,Image 1,1,98,
188,,Surface,2,Image 1,1,99,
188,,Surface,2,Image 1,1,100,
134,,Surface,2,Image 1,1,101,
164,,Surface,2,Image 1,1,102,
191,,Surface,2,Image 1,1,103,
127,,Surface,2,Image 1,1,104,
234,,Surface,2,Image 1,1,105,
155,,Surface,2,Image 1,1,106,
147,,Surface,2,Image 1,1,107,
140,,Surface,2,Image 1,1,108,
195,,Surface,2,Image 1,1,109,
233,,Surface,2,Image 1,1,110,
140,,Surface,2,Image 1,1,111,
149,,Surface,2,Image 1,1,112,
147,,Surface,2,Image 1,1,113,
169,,Surface,2,Image 1,1,120,
137,,Surface,2,Image 1,1,121,
