
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
13.6486,,Surface,5,Image 1,1,0,
12.9152,,Surface,5,Image 1,1,1,
7.6287,,Surface,5,Image 1,1,2,
7.6169,,Surface,5,Image 1,1,3,
10.2854,,Surface,5,Image 1,1,4,
8.05647,,Surface,5,Image 1,1,5,
10.7047,,Surface,5,Image 1,1,6,
10.5313,,Surface,5,Image 1,1,7,
12.3419,,Surface,5,Image 1,1,8,
6.68939,,Surface,5,Image 1,1,9,
8.20767,,Surface,5,Image 1,1,10,
6.88091,,Surface,5,Image 1,1,11,
8.05768,,Surface,5,Image 1,1,12,
6.72919,,Surface,5,Image 1,1,13,
5.77281,,Surface,5,Image 1,1,14,
5.66588,,Surface,5,Image 1,1,15,
8.73196,,Surface,5,Image 1,1,16,
5.55517,,Surface,5,Image 1,1,17,
6.11612,,Surface,5,Image 1,1,18,
6.87144,,Surface,5,Image 1,1,19,
6.72042,,Surface,5,Image 1,1,20,
5.92368,,Surface,5,Image 1,1,21,
6.90802,,Surface,5,Image 1,1,22,
10.9258,,Surface,5,Image 1,1,23,
7.76468,,Surface,5,Image 1,1,24,
6.56895,,Surface,5,Image 1,1,25,
9.77568,,Surface,5,Image 1,1,26,
7.89798,,Surface,5,Image 1,1,27,
9.28296,,Surface,5,Image 1,1,28,
9.25927,,Surface,5,Image 1,1,29,
6.91479,,Surface,5,Image 1,1,30,
7.98671,,Surface,5,Image 1,1,31,
6.70643,,Surface,5,Image 1,1,32,
8.782,,Surface,5,Image 1,1,33,
8.14885,,Surface,5,Image 1,1,34,
9.62169,,Surface,5,Image 1,1,35,
9.17196,,Surface,5,Image 1,1,36,
9.55975,,Surface,5,Image 1,1,37,
8.48905,,Surface,5,Image 1,1,38,
11.9509,,Surface,5,Image 1,1,39,
7.9145,,Surface,5,Image 1,1,40,
6.3172,,Surface,5,Image 1,1,41,
7.54524,,Surface,5,Image 1,1,42,
7.58741,,Surface,5,Image 1,1,43,
9.20429,,Surface,5,Image 1,1,44,
8.12754,,Surface,5,Image 1,1,45,
8.05618,,Surface,5,Image 1,1,46,
8.57156,,Surface,5,Image 1,1,47,
10.9044,,Surface,5,Image 1,1,48,
11.2458,,Surface,5,Image 1,1,49,
13.2595,,Surface,5,Image 1,1,50,
9.66627,,Surface,5,Image 1,1,51,
6.45224,,Surface,5,Image 1,1,52,
19.1114,,Surface,5,Image 1,1,53,
6.08073,,Surface,5,Image 1,1,54,
5.96627,,Surface,5,Image 1,1,55,
6.9965,,Surface,5,Image 1,1,56,
8.18087,,Surface,5,Image 1,1,57,
6.40775,,Surface,5,Image 1,1,58,
7.67833,,Surface,5,Image 1,1,59,
8.23628,,Surface,5,Image 1,1,60,
5.91867,,Surface,5,Image 1,1,61,
6.86254,,Surface,5,Image 1,1,62,
6.2327,,Surface,5,Image 1,1,63,
6.67518,,Surface,5,Image 1,1,64,
7.52736,,Surface,5,Image 1,1,65,
6.38128,,Surface,5,Image 1,1,66,
6.45451,,Surface,5,Image 1,1,67,
7.1074,,Surface,5,Image 1,1,68,
7.66958,,Surface,5,Image 1,1,69,
6.5253,,Surface,5,Image 1,1,70,
5.87076,,Surface,5,Image 1,1,71,
6.59216,,Surface,5,Image 1,1,72,
6.26372,,Surface,5,Image 1,1,73,
6.19223,,Surface,5,Image 1,1,74,
7.33462,,Surface,5,Image 1,1,75,
6.71307,,Surface,5,Image 1,1,76,
8.36975,,Surface,5,Image 1,1,77,
6.14496,,Surface,5,Image 1,1,78,
6.08393,,Surface,5,Image 1,1,79,
6.72055,,Surface,5,Image 1,1,80,
6.63915,,Surface,5,Image 1,1,81,
5.52567,,Surface,5,Image 1,1,82,
7.15755,,Surface,5,Image 1,1,83,
8.86925,,Surface,5,Image 1,1,84,
7.75043,,Surface,5,Image 1,1,85,
8.85722,,Surface,5,Image 1,1,86,
5.39314,,Surface,5,Image 1,1,87,
8.13878,,Surface,5,Image 1,1,88,
5.67478,,Surface,5,Image 1,1,89,
6.40967,,Surface,5,Image 1,1,90,
4.73837,,Surface,5,Image 1,1,91,
6.31982,,Surface,5,Image 1,1,92,
6.67985,,Surface,5,Image 1,1,93,
8.58485,,Surface,5,Image 1,1,94,
8.17627,,Surface,5,Image 1,1,95,
7.37506,,Surface,5,Image 1,1,96,
6.48877,,Surface,5,Image 1,1,97,
7.12531,,Surface,5,Image 1,1,98,
7.99027,,Surface,5,Image 1,1,99,
7.48391,,Surface,5,Image 1,1,100,
9.11902,,Surface,5,Image 1,1,101,
7.48664,,Surface,5,Image 1,1,102,
7.42261,,Surface,5,Image 1,1,103,
7.4437,,Surface,5,Image 1,1,104,
9.2739,,Surface,5,Image 1,1,105,
9.62556,,Surface,5,Image 1,1,106,
9.01393,,Surface,5,Image 1,1,107,
9.05395,,Surface,5,Image 1,1,108,
9.52837,,Surface,5,Image 1,1,109,
9.50332,,Surface,5,Image 1,1,110,
9.39382,,Surface,5,Image 1,1,111,
6.48674,,Surface,5,Image 1,1,112,
7.83656,,Surface,5,Image 1,1,113,
7.69403,,Surface,5,Image 1,1,114,
6.56323,,Surface,5,Image 1,1,115,
