
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
13.8226,,Surface,5,Image 1,1,0,
18.7981,,Surface,5,Image 1,1,1,
16.7454,,Surface,5,Image 1,1,2,
9.21476,,Surface,5,Image 1,1,3,
13.8292,,Surface,5,Image 1,1,4,
11.5019,,Surface,5,Image 1,1,5,
9.9031,,Surface,5,Image 1,1,6,
15.8442,,Surface,5,Image 1,1,7,
11.921,,Surface,5,Image 1,1,8,
13.4593,,Surface,5,Image 1,1,9,
11.2812,,Surface,5,Image 1,1,10,
12.1532,,Surface,5,Image 1,1,11,
12.3972,,Surface,5,Image 1,1,12,
9.25376,,Surface,5,Image 1,1,13,
13.3653,,Surface,5,Image 1,1,14,
13.2846,,Surface,5,Image 1,1,15,
15.4926,,Surface,5,Image 1,1,16,
18.1342,,Surface,5,Image 1,1,17,
12.9853,,Surface,5,Image 1,1,18,
13.2965,,Surface,5,Image 1,1,19,
13.6483,,Surface,5,Image 1,1,20,
12.1509,,Surface,5,Image 1,1,21,
12.8132,,Surface,5,Image 1,1,22,
21.391,,Surface,5,Image 1,1,23,
9.53582,,Surface,5,Image 1,1,24,
9.84576,,Surface,5,Image 1,1,25,
10.751,,Surface,5,Image 1,1,26,
11.2137,,Surface,5,Image 1,1,27,
13.9055,,Surface,5,Image 1,1,28,
12.6292,,Surface,5,Image 1,1,29,
9.46032,,Surface,5,Image 1,1,30,
14.5981,,Surface,5,Image 1,1,31,
11.8497,,Surface,5,Image 1,1,32,
11.5325,,Surface,5,Image 1,1,33,
11.6,,Surface,5,Image 1,1,34,
17.5482,,Surface,5,Image 1,1,38,
12.3208,,Surface,5,Image 1,1,39,
12.4402,,Surface,5,Image 1,1,40,
17.5182,,Surface,5,Image 1,1,41,
12.8995,,Surface,5,Image 1,1,42,
12.8767,,Surface,5,Image 1,1,43,
10.4388,,Surface,5,Image 1,1,44,
11.0135,,Surface,5,Image 1,1,45,
17.5886,,Surface,5,Image 1,1,46,
12.5354,,Surface,5,Image 1,1,47,
13.4135,,Surface,5,Image 1,1,48,
16.6917,,Surface,5,Image 1,1,49,
9.78276,,Surface,5,Image 1,1,50,
11.1479,,Surface,5,Image 1,1,51,
12.7762,,Surface,5,Image 1,1,52,
9.30166,,Surface,5,Image 1,1,53,
9.18106,,Surface,5,Image 1,1,54,
9.90172,,Surface,5,Image 1,1,55,
12.3507,,Surface,5,Image 1,1,56,
12.3245,,Surface,5,Image 1,1,57,
9.89573,,Surface,5,Image 1,1,58,
9.68732,,Surface,5,Image 1,1,59,
10.6323,,Surface,5,Image 1,1,60,
11.9612,,Surface,5,Image 1,1,61,
12.1405,,Surface,5,Image 1,1,62,
13.0259,,Surface,5,Image 1,1,63,
10.7515,,Surface,5,Image 1,1,64,
11.936,,Surface,5,Image 1,1,65,
15.4914,,Surface,5,Image 1,1,66,
11.4484,,Surface,5,Image 1,1,67,
12.5314,,Surface,5,Image 1,1,68,
11.5993,,Surface,5,Image 1,1,69,
13.5077,,Surface,5,Image 1,1,70,
13.4755,,Surface,5,Image 1,1,71,
12.5059,,Surface,5,Image 1,1,72,
15.6696,,Surface,5,Image 1,1,73,
12.7718,,Surface,5,Image 1,1,74,
13.2271,,Surface,5,Image 1,1,75,
11.1329,,Surface,5,Image 1,1,76,
9.8488,,Surface,5,Image 1,1,77,
12.7138,,Surface,5,Image 1,1,78,
12.2678,,Surface,5,Image 1,1,79,
9.09576,,Surface,5,Image 1,1,80,
9.47772,,Surface,5,Image 1,1,81,
10.6306,,Surface,5,Image 1,1,82,
13.3389,,Surface,5,Image 1,1,90,
12.8757,,Surface,5,Image 1,1,91,
12.5681,,Surface,5,Image 1,1,92,
16.3491,,Surface,5,Image 1,1,93,
13.3383,,Surface,5,Image 1,1,94,
16.168,,Surface,5,Image 1,1,95,
11.6401,,Surface,5,Image 1,1,96,
9.22814,,Surface,5,Image 1,1,97,
11.3009,,Surface,5,Image 1,1,98,
13.472,,Surface,5,Image 1,1,99,
11.8844,,Surface,5,Image 1,1,100,
17.3505,,Surface,5,Image 1,1,101,
11.1627,,Surface,5,Image 1,1,102,
11.9689,,Surface,5,Image 1,1,103,
11.5825,,Surface,5,Image 1,1,104,
9.77237,,Surface,5,Image 1,1,105,
10.9645,,Surface,5,Image 1,1,106,
11.7363,,Surface,5,Image 1,1,107,
13.2448,,Surface,5,Image 1,1,108,
12.0829,,Surface,5,Image 1,1,109,
11.832,,Surface,5,Image 1,1,110,
14.1949,,Surface,5,Image 1,1,111,
15.49,,Surface,5,Image 1,1,112,
16.2852,,Surface,5,Image 1,1,113,
11.0959,,Surface,5,Image 1,1,120,
10.2709,,Surface,5,Image 1,1,121,
