
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
4.4044,,Surface,5,Image 1,1,0,
5.52953,,Surface,5,Image 1,1,1,
7.17149,,Surface,5,Image 1,1,2,
5.21224,,Surface,5,Image 1,1,3,
6.81604,,Surface,5,Image 1,1,4,
6.03056,,Surface,5,Image 1,1,5,
5.06928,,Surface,5,Image 1,1,6,
5.36906,,Surface,5,Image 1,1,7,
5.989,,Surface,5,Image 1,1,8,
4.00718,,Surface,5,Image 1,1,9,
4.14894,,Surface,5,Image 1,1,10,
20.2386,,Surface,5,Image 1,1,11,
12.924,,Surface,5,Image 1,1,12,
4.61885,,Surface,5,Image 1,1,13,
4.58577,,Surface,5,Image 1,1,14,
5.04572,,Surface,5,Image 1,1,15,
4.80923,,Surface,5,Image 1,1,16,
4.75654,,Surface,5,Image 1,1,17,
29.5667,,Surface,5,Image 1,1,18,
19.9072,,Surface,5,Image 1,1,19,
20.0713,,Surface,5,Image 1,1,20,
34.771,,Surface,5,Image 1,1,21,
35.7426,,Surface,5,Image 1,1,22,
47.8352,,Surface,5,Image 1,1,23,
62.9278,,Surface,5,Image 1,1,24,
15.9739,,Surface,5,Image 1,1,25,
17.3456,,Surface,5,Image 1,1,26,
16.9111,,Surface,5,Image 1,1,27,
55.3964,,Surface,5,Image 1,1,28,
35.9726,,Surface,5,Image 1,1,29,
26.3231,,Surface,5,Image 1,1,30,
59.8044,,Surface,5,Image 1,1,31,
22.0995,,Surface,5,Image 1,1,32,
32.9206,,Surface,5,Image 1,1,33,
87.8084,,Surface,5,Image 1,1,34,
27.4956,,Surface,5,Image 1,1,35,
36.9654,,Surface,5,Image 1,1,36,
53.1419,,Surface,5,Image 1,1,37,
44.2699,,Surface,5,Image 1,1,38,
20.1864,,Surface,5,Image 1,1,39,
6.22472,,Surface,5,Image 1,1,40,
5.44933,,Surface,5,Image 1,1,41,
30.9249,,Surface,5,Image 1,1,42,
5.42548,,Surface,5,Image 1,1,43,
25.4373,,Surface,5,Image 1,1,44,
34.894,,Surface,5,Image 1,1,45,
53.2332,,Surface,5,Image 1,1,46,
19.3771,,Surface,5,Image 1,1,47,
5.44932,,Surface,5,Image 1,1,48,
5.45025,,Surface,5,Image 1,1,49,
5.51566,,Surface,5,Image 1,1,50,
45.0992,,Surface,5,Image 1,1,51,
8.05503,,Surface,5,Image 1,1,52,
5.12137,,Surface,5,Image 1,1,53,
5.63597,,Surface,5,Image 1,1,54,
4.64344,,Surface,5,Image 1,1,55,
4.41939,,Surface,5,Image 1,1,56,
5.35394,,Surface,5,Image 1,1,57,
4.96842,,Surface,5,Image 1,1,58,
4.94988,,Surface,5,Image 1,1,59,
6,,Surface,5,Image 1,1,60,
4.43344,,Surface,5,Image 1,1,61,
4.49349,,Surface,5,Image 1,1,62,
4.74496,,Surface,5,Image 1,1,63,
3.91864,,Surface,5,Image 1,1,64,
5.04577,,Surface,5,Image 1,1,65,
3.41671,,Surface,5,Image 1,1,66,
3.61926,,Surface,5,Image 1,1,67,
4.1272,,Surface,5,Image 1,1,68,
4.459,,Surface,5,Image 1,1,69,
3.36826,,Surface,5,Image 1,1,70,
3.34107,,Surface,5,Image 1,1,71,
3.69271,,Surface,5,Image 1,1,72,
4.41168,,Surface,5,Image 1,1,73,
3.43363,,Surface,5,Image 1,1,74,
4.48662,,Surface,5,Image 1,1,75,
4.52614,,Surface,5,Image 1,1,76,
4.75007,,Surface,5,Image 1,1,77,
5.28334,,Surface,5,Image 1,1,78,
5.29583,,Surface,5,Image 1,1,79,
5.29031,,Surface,5,Image 1,1,80,
6.25538,,Surface,5,Image 1,1,81,
5.99378,,Surface,5,Image 1,1,82,
4.87285,,Surface,5,Image 1,1,83,
5.24397,,Surface,5,Image 1,1,84,
4.69025,,Surface,5,Image 1,1,85,
5.71625,,Surface,5,Image 1,1,86,
6.72186,,Surface,5,Image 1,1,87,
4.91939,,Surface,5,Image 1,1,88,
3.32428,,Surface,5,Image 1,1,89,
4.04021,,Surface,5,Image 1,1,90,
3.76567,,Surface,5,Image 1,1,91,
4.20562,,Surface,5,Image 1,1,92,
4.16651,,Surface,5,Image 1,1,93,
4.78096,,Surface,5,Image 1,1,94,
4.57541,,Surface,5,Image 1,1,95,
4.85427,,Surface,5,Image 1,1,96,
4.8399,,Surface,5,Image 1,1,97,
4.73053,,Surface,5,Image 1,1,98,
