
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
59.8044,,Surface,5,Image 1,1,0,
62.1757,,Surface,5,Image 1,1,1,
55.2208,,Surface,5,Image 1,1,2,
15.3411,,Surface,5,Image 1,1,3,
9.17048,,Surface,5,Image 1,1,4,
26.096,,Surface,5,Image 1,1,5,
8.98924,,Surface,5,Image 1,1,6,
12.3303,,Surface,5,Image 1,1,7,
6.78426,,Surface,5,Image 1,1,8,
11.1977,,Surface,5,Image 1,1,9,
11.3426,,Surface,5,Image 1,1,10,
16.991,,Surface,5,Image 1,1,11,
13.5631,,Surface,5,Image 1,1,12,
22.2809,,Surface,5,Image 1,1,13,
34.7893,,Surface,5,Image 1,1,14,
19.3834,,Surface,5,Image 1,1,15,
12.1646,,Surface,5,Image 1,1,16,
8.16618,,Surface,5,Image 1,1,17,
8.68444,,Surface,5,Image 1,1,18,
9.66131,,Surface,5,Image 1,1,19,
46.1855,,Surface,5,Image 1,1,20,
10.0635,,Surface,5,Image 1,1,21,
12.604,,Surface,5,Image 1,1,22,
9.16367,,Surface,5,Image 1,1,23,
30.7742,,Surface,5,Image 1,1,24,
13.0689,,Surface,5,Image 1,1,25,
30.8931,,Surface,5,Image 1,1,26,
21.0042,,Surface,5,Image 1,1,27,
19.1855,,Surface,5,Image 1,1,28,
40.9274,,Surface,5,Image 1,1,29,
30.4781,,Surface,5,Image 1,1,30,
15.0224,,Surface,5,Image 1,1,31,
37.9951,,Surface,5,Image 1,1,32,
23.7214,,Surface,5,Image 1,1,33,
10.0422,,Surface,5,Image 1,1,34,
12.4003,,Surface,5,Image 1,1,35,
29.9725,,Surface,5,Image 1,1,36,
10.9568,,Surface,5,Image 1,1,37,
6.54469,,Surface,5,Image 1,1,38,
9.89377,,Surface,5,Image 1,1,39,
