
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
144.713,141.122,51.54,um,Surface,Position,1,0,
142.199,144.69,58.2063,um,Surface,Position,1,1,
147.543,148.778,49.682,um,Surface,Position,1,2,
150.403,139.156,51.6389,um,Surface,Position,1,3,
152.202,138.234,56.4341,um,Surface,Position,1,4,
147.35,144.88,55.8526,um,Surface,Position,1,5,
128.461,159.957,61.3726,um,Surface,Position,1,6,
139.724,157.74,50.8609,um,Surface,Position,1,7,
144.553,152.387,51.818,um,Surface,Position,1,8,
140.141,151.165,52.6641,um,Surface,Position,1,9,
142.988,150.597,55.8782,um,Surface,Position,1,10,
134.258,158.182,55.23,um,Surface,Position,1,11,
115.669,165.592,58.0309,um,Surface,Position,1,12,
117.381,164.496,63.1355,um,Surface,Position,1,13,
121.471,168.893,51.8025,um,Surface,Position,1,14,
127.341,163.922,53.0885,um,Surface,Position,1,15,
17.351,114.449,68.0612,um,Surface,Position,1,16,
116.182,121.861,56.5845,um,Surface,Position,1,18,
145.407,121.999,51.6108,um,Surface,Position,1,19,
156.31,115.062,49.7264,um,Surface,Position,1,20,
164.814,116.94,52.4306,um,Surface,Position,1,21,
99.0792,135.403,47.8435,um,Surface,Position,1,24,
129.55,122.975,49.8606,um,Surface,Position,1,25,
157.299,135.513,48.5796,um,Surface,Position,1,26,
148.658,131.205,52.2704,um,Surface,Position,1,27,
154.959,124.984,53.9696,um,Surface,Position,1,28,
147.395,123.79,55.3505,um,Surface,Position,1,29,
157.211,130.688,55.1909,um,Surface,Position,1,30,
151.172,134.003,57.4161,um,Surface,Position,1,31,
158.241,128.04,50.6484,um,Surface,Position,1,32,
154.831,108.142,50.7178,um,Surface,Position,1,34,
139.512,157.729,41.7366,um,Surface,Position,1,35,
139.054,152.789,45.2437,um,Surface,Position,1,36,
133.183,157.109,45.6759,um,Surface,Position,1,37,
124.85,170.427,45.2252,um,Surface,Position,1,38,
107.861,134.043,37.2616,um,Surface,Position,1,39,
101.884,134.237,43.3608,um,Surface,Position,1,40,
107.634,126.005,46.6131,um,Surface,Position,1,41,
106.095,135.166,46.9291,um,Surface,Position,1,42,
118.606,127.646,34.8942,um,Surface,Position,1,43,
114.829,132.728,36.9163,um,Surface,Position,1,44,
118.611,123.742,48.1425,um,Surface,Position,1,45,
112.279,135.292,46.3048,um,Surface,Position,1,46,
128.909,125.203,37.2778,um,Surface,Position,1,47,
124.859,128.298,37.866,um,Surface,Position,1,48,
143.252,123.973,35.2564,um,Surface,Position,1,49,
157.33,135.76,32.709,um,Surface,Position,1,50,
151.437,136.039,36.0171,um,Surface,Position,1,51,
157.133,125.076,36.6122,um,Surface,Position,1,52,
150.585,130.769,36.4228,um,Surface,Position,1,53,
148.634,125.733,40.5811,um,Surface,Position,1,54,
152.494,129.754,43.9329,um,Surface,Position,1,55,
150.532,133.772,47.9789,um,Surface,Position,1,56,
151.235,126.612,48.9464,um,Surface,Position,1,57,
160.236,126.273,30.9401,um,Surface,Position,1,58,
162.576,131.627,33.2734,um,Surface,Position,1,59,
