
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
133.034,151.89,60.1382,um,Surface,Position,1,0,
114.965,103.025,60.3487,um,Surface,Position,1,1,
112.091,116.875,61.4325,um,Surface,Position,1,2,
128.773,124.514,59.8131,um,Surface,Position,1,3,
106.707,130.417,58.4948,um,Surface,Position,1,4,
114.915,132.038,59.2355,um,Surface,Position,1,5,
128.873,146.21,58.8729,um,Surface,Position,1,6,
128.025,138.189,61.3149,um,Surface,Position,1,7,
141.962,141.763,58.7156,um,Surface,Position,1,8,
141.716,141.303,59.0086,um,Surface,Position,1,9,
108.139,153.282,60.9359,um,Surface,Position,1,10,
135.83,153.649,58.7964,um,Surface,Position,1,11,
141.482,122.928,44.7026,um,Surface,Position,1,12,
139.692,127.351,47.4293,um,Surface,Position,1,13,
136.08,118.279,50.0933,um,Surface,Position,1,14,
140.723,113.756,51.0207,um,Surface,Position,1,15,
130.973,111.582,53.6562,um,Surface,Position,1,16,
136.733,114.848,54.3448,um,Surface,Position,1,17,
136.01,124.47,57.9845,um,Surface,Position,1,18,
149.629,119.755,45.8841,um,Surface,Position,1,19,
152.841,125.447,46.3592,um,Surface,Position,1,20,
144.492,124.185,48.7624,um,Surface,Position,1,21,
145.615,110.847,50.967,um,Surface,Position,1,22,
151.947,113.844,54.177,um,Surface,Position,1,23,
142.895,122.177,55.63,um,Surface,Position,1,24,
144.991,113.381,58.1907,um,Surface,Position,1,25,
165.211,127.213,46.8544,um,Surface,Position,1,26,
159.026,117.178,49.1882,um,Surface,Position,1,27,
157.452,128.041,51.822,um,Surface,Position,1,28,
154.738,119.259,57.8362,um,Surface,Position,1,29,
172.68,119.912,43.978,um,Surface,Position,1,30,
170.456,113.753,50.1837,um,Surface,Position,1,31,
101.577,143.461,48.2654,um,Surface,Position,1,32,
100.031,132.512,57.6174,um,Surface,Position,1,33,
106.382,142.446,45.1038,um,Surface,Position,1,34,
116.164,142.833,45.9841,um,Surface,Position,1,35,
110.758,139.733,47.3239,um,Surface,Position,1,36,
113.655,147.308,50.6738,um,Surface,Position,1,37,
109.202,142.302,51.2198,um,Surface,Position,1,38,
113.331,135.745,52.6191,um,Surface,Position,1,39,
105.483,135.759,52.3285,um,Surface,Position,1,40,
111.895,142.712,58.5074,um,Surface,Position,1,41,
122.007,137.885,44.5589,um,Surface,Position,1,42,
128.087,148.135,47.4649,um,Surface,Position,1,43,
119.312,141.01,49.3463,um,Surface,Position,1,44,
126.669,140.457,51.4629,um,Surface,Position,1,45,
125.335,132.861,52.1723,um,Surface,Position,1,46,
119.862,133.658,52.0805,um,Surface,Position,1,47,
117.06,143.368,52.878,um,Surface,Position,1,48,
126.138,129.174,56.7531,um,Surface,Position,1,49,
123.937,141.117,57.4944,um,Surface,Position,1,50,
117.761,137.127,58.4431,um,Surface,Position,1,51,
135.096,147.689,44.7665,um,Surface,Position,1,52,
134.822,134.578,45.3928,um,Surface,Position,1,53,
129.106,142.366,44.9146,um,Surface,Position,1,54,
139.17,132.864,46.3295,um,Surface,Position,1,55,
139.528,141.834,48.7583,um,Surface,Position,1,56,
133.688,138.919,48.3193,um,Surface,Position,1,57,
136.373,134.281,50.0824,um,Surface,Position,1,58,
131.319,146.711,51.9158,um,Surface,Position,1,59,
134.769,142.201,53.3318,um,Surface,Position,1,60,
140.591,141.832,54.1926,um,Surface,Position,1,61,
134.91,130.693,56.743,um,Surface,Position,1,62,
140.868,130.177,57.7318,um,Surface,Position,1,63,
148.389,130.009,47.1348,um,Surface,Position,1,64,
145.161,143.431,48.2633,um,Surface,Position,1,65,
145.107,133.862,49.0948,um,Surface,Position,1,66,
149.169,138.047,50.8049,um,Surface,Position,1,67,
142.335,136.815,52.0751,um,Surface,Position,1,68,
151.352,142.196,54.1132,um,Surface,Position,1,69,
146.06,131.997,56.6307,um,Surface,Position,1,70,
160.591,130.477,44.3582,um,Surface,Position,1,71,
154.902,131.039,46.8274,um,Surface,Position,1,72,
152.721,143.408,48.606,um,Surface,Position,1,73,
159.867,146.81,48.1668,um,Surface,Position,1,74,
159.534,136.839,50.0663,um,Surface,Position,1,75,
153.801,132.119,57.6845,um,Surface,Position,1,76,
166.41,137.419,44.4136,um,Surface,Position,1,77,
167.244,146.225,44.564,um,Surface,Position,1,78,
101.88,149.486,50.1365,um,Surface,Position,1,79,
100.49,165.642,51.9209,um,Surface,Position,1,80,
114.218,156.826,43.8316,um,Surface,Position,1,81,
109.717,148.807,44.6898,um,Surface,Position,1,82,
109.843,163.766,45.0964,um,Surface,Position,1,83,
105.089,148.788,47.1831,um,Surface,Position,1,84,
114.564,160.184,47.3615,um,Surface,Position,1,85,
105.642,163.611,50.1913,um,Surface,Position,1,86,
113.273,165.2,50.4148,um,Surface,Position,1,87,
108.857,149.989,50.7706,um,Surface,Position,1,88,
111.103,151.799,56.8834,um,Surface,Position,1,89,
118.733,165.138,44.9667,um,Surface,Position,1,90,
124.651,158.394,45.6748,um,Surface,Position,1,91,
125.825,153.5,48.4964,um,Surface,Position,1,92,
124.692,166.085,48.5416,um,Surface,Position,1,93,
118.137,153.204,49.3784,um,Surface,Position,1,94,
121.802,148.834,49.4289,um,Surface,Position,1,95,
121.448,158.515,53.2349,um,Surface,Position,1,96,
117.218,154.895,56.7502,um,Surface,Position,1,97,
130.731,156.227,45.5619,um,Surface,Position,1,98,
140.556,150.709,48.205,um,Surface,Position,1,99,
134.521,163.348,49.3619,um,Surface,Position,1,100,
134.902,154.246,50.1279,um,Surface,Position,1,101,
136.277,149.106,50.0929,um,Surface,Position,1,102,
130.43,154.723,54.8865,um,Surface,Position,1,103,
141.965,157.941,46.844,um,Surface,Position,1,104,
146.931,160.187,47.2128,um,Surface,Position,1,105,
153.287,159.557,47.2162,um,Surface,Position,1,106,
146.013,151.805,48.9867,um,Surface,Position,1,107,
150.518,149.146,53.339,um,Surface,Position,1,108,
143.033,149.585,55.9299,um,Surface,Position,1,109,
154.713,149.842,43.8292,um,Surface,Position,1,110,
112.149,175.812,48.4737,um,Surface,Position,1,111,
116.513,172.891,46.0925,um,Surface,Position,1,112,
128.685,169.364,50.6616,um,Surface,Position,1,113,
133.354,169.413,49.7743,um,Surface,Position,1,114,
131.416,166.155,52.0596,um,Surface,Position,1,115,
105.904,105.532,44.6915,um,Surface,Position,1,116,
112.99,107.988,44.5075,um,Surface,Position,1,117,
110.263,109.293,51.0847,um,Surface,Position,1,118,
109.529,101.316,54.9183,um,Surface,Position,1,119,
126.243,101.377,47.2805,um,Surface,Position,1,120,
126.332,106.646,46.6125,um,Surface,Position,1,121,
118.977,107.115,47.6948,um,Surface,Position,1,122,
132.288,106.095,48.7351,um,Surface,Position,1,123,
138.498,105.035,52.1157,um,Surface,Position,1,124,
154.014,101.347,46.9866,um,Surface,Position,1,125,
155.963,96.215,48.8957,um,Surface,Position,1,126,
103.327,125.598,45.3922,um,Surface,Position,1,127,
103.182,113.462,48.0875,um,Surface,Position,1,128,
107.815,115.843,45.0583,um,Surface,Position,1,129,
109.224,119.6,50.3761,um,Surface,Position,1,130,
113.664,125.095,51.0022,um,Surface,Position,1,131,
115.38,117.326,51.0135,um,Surface,Position,1,132,
104.438,122.97,51.6043,um,Surface,Position,1,133,
108.994,126.018,52.1711,um,Surface,Position,1,134,
105.222,113.93,54.6011,um,Surface,Position,1,135,
113.348,121.612,55.1275,um,Surface,Position,1,136,
106.117,121.971,58.249,um,Surface,Position,1,137,
127.962,113.337,44.524,um,Surface,Position,1,138,
123.862,121.587,46.0039,um,Surface,Position,1,139,
119.405,117.257,46.1575,um,Surface,Position,1,140,
117.944,124.469,46.1862,um,Surface,Position,1,141,
128.255,118.164,48.3589,um,Surface,Position,1,142,
120.391,113.652,53.2119,um,Surface,Position,1,143,
119.807,123.941,54.4689,um,Surface,Position,1,144,
126.377,122.472,54.4032,um,Surface,Position,1,145,
125.817,113.812,55.7005,um,Surface,Position,1,146,
103.69,142.26,36.2626,um,Surface,Position,1,147,
100.095,137.533,37.287,um,Surface,Position,1,148,
104.266,135.479,42.9306,um,Surface,Position,1,149,
106.686,141.606,29.8646,um,Surface,Position,1,150,
110.707,138.229,32.6951,um,Surface,Position,1,151,
116.372,140.729,36.8467,um,Surface,Position,1,152,
113.04,133.395,36.978,um,Surface,Position,1,153,
108.59,142.806,37.4377,um,Surface,Position,1,154,
103.946,145.555,39.767,um,Surface,Position,1,155,
114.493,143.165,41.1983,um,Surface,Position,1,156,
108.243,132.353,41.0207,um,Surface,Position,1,157,
125.917,147.051,30.0634,um,Surface,Position,1,158,
118.622,136.971,32.394,um,Surface,Position,1,159,
126.617,139.195,34.1089,um,Surface,Position,1,160,
122.476,133.228,34.5657,um,Surface,Position,1,161,
122.084,142.257,36.2852,um,Surface,Position,1,162,
120.895,136.062,37.8317,um,Surface,Position,1,163,
128.595,139.728,40.2696,um,Surface,Position,1,164,
128.741,133.311,39.8858,um,Surface,Position,1,165,
121.643,144.872,41.3915,um,Surface,Position,1,166,
119.799,131.244,43.3407,um,Surface,Position,1,167,
138.94,145.64,31.8253,um,Surface,Position,1,168,
136.326,130.935,31.7277,um,Surface,Position,1,169,
129.977,147.186,32.4226,um,Surface,Position,1,170,
133.081,140.237,32.7617,um,Surface,Position,1,171,
135.684,135.227,35.256,um,Surface,Position,1,172,
138.687,130.825,36.7832,um,Surface,Position,1,173,
134.777,142.569,39.3997,um,Surface,Position,1,174,
135.822,135.639,40.0634,um,Surface,Position,1,175,
153.392,143.932,31.3891,um,Surface,Position,1,176,
148.401,139.628,31.3274,um,Surface,Position,1,177,
144.471,133.557,33.388,um,Surface,Position,1,178,
152.221,130.064,34.6034,um,Surface,Position,1,179,
145.501,144.081,34.968,um,Surface,Position,1,180,
151.483,147.707,36.2711,um,Surface,Position,1,181,
154.048,137.7,39.6205,um,Surface,Position,1,182,
150.364,129.966,40.5069,um,Surface,Position,1,183,
144.823,136.376,40.8759,um,Surface,Position,1,184,
149.367,145.619,42.0514,um,Surface,Position,1,185,
142.183,141.173,44.0742,um,Surface,Position,1,186,
150.368,137.125,44.1038,um,Surface,Position,1,187,
161.738,135.262,34.8381,um,Surface,Position,1,188,
159.379,130.285,36.3045,um,Surface,Position,1,189,
164.501,144.711,36.4233,um,Surface,Position,1,190,
165.885,137.274,37.8612,um,Surface,Position,1,191,
155.388,143.114,38.7219,um,Surface,Position,1,192,
158.962,145.638,40.9,um,Surface,Position,1,193,
159.194,138.318,40.5315,um,Surface,Position,1,194,
170.356,141.421,30.8297,um,Surface,Position,1,195,
173.141,131.962,30.7743,um,Surface,Position,1,196,
169.627,133.589,30.7009,um,Surface,Position,1,197,
176.051,141.212,31.8439,um,Surface,Position,1,198,
176.374,134.155,35.6446,um,Surface,Position,1,199,
183.204,130.885,29.448,um,Surface,Position,1,200,
100.043,160.988,33.5311,um,Surface,Position,1,201,
100.502,151.373,36.2866,um,Surface,Position,1,202,
103.595,151.986,40.0912,um,Surface,Position,1,203,
112.989,164.663,32.3518,um,Surface,Position,1,204,
113.962,149.672,33.0529,um,Surface,Position,1,205,
109.563,154.805,33.3358,um,Surface,Position,1,206,
104.989,164.921,35.4957,um,Surface,Position,1,207,
109.351,156.956,38.7388,um,Surface,Position,1,208,
112.181,149.429,39.0049,um,Surface,Position,1,209,
110.797,162.341,39.8663,um,Surface,Position,1,210,
104.522,161.773,43.531,um,Surface,Position,1,211,
125.278,165.456,32.2808,um,Surface,Position,1,212,
121,161.951,33.3557,um,Surface,Position,1,213,
121.704,149.698,34.4112,um,Surface,Position,1,214,
124.111,158.761,38.7589,um,Surface,Position,1,215,
118.769,164.794,39.3332,um,Surface,Position,1,216,
125.832,152.539,39.8529,um,Surface,Position,1,217,
124.611,164.899,39.6579,um,Surface,Position,1,218,
119.075,151.964,41.4934,um,Surface,Position,1,219,
128.759,162.431,43.6442,um,Surface,Position,1,220,
134.077,157.658,30.7915,um,Surface,Position,1,221,
133.976,166.056,32.2486,um,Surface,Position,1,222,
138.117,151.844,34.9748,um,Surface,Position,1,223,
139.19,160.17,35.4826,um,Surface,Position,1,224,
133.049,156.099,37.336,um,Surface,Position,1,225,
134.628,166.043,41.5635,um,Surface,Position,1,226,
136.049,159.904,43.3026,um,Surface,Position,1,227,
146.391,149.132,29.7265,um,Surface,Position,1,228,
152.407,162.973,31.2473,um,Surface,Position,1,229,
145.168,154.007,31.1183,um,Surface,Position,1,230,
143.981,157.791,34.1506,um,Surface,Position,1,231,
153.362,165.904,36.6209,um,Surface,Position,1,232,
148.87,162.593,38.1661,um,Surface,Position,1,233,
150.967,155.517,39.8934,um,Surface,Position,1,234,
145.435,154.696,40.3825,um,Surface,Position,1,235,
162.757,150.723,31.479,um,Surface,Position,1,236,
158.093,153.435,31.5129,um,Surface,Position,1,237,
162.788,157.948,33.5443,um,Surface,Position,1,238,
154.506,155.744,34.9291,um,Surface,Position,1,239,
157.98,155.882,42.5035,um,Surface,Position,1,240,
169.298,149.107,36.4421,um,Surface,Position,1,241,
166.48,150.042,38.7033,um,Surface,Position,1,242,
104.088,170.031,34.912,um,Surface,Position,1,243,
101.17,171.494,39.6129,um,Surface,Position,1,244,
101.994,173.346,42.858,um,Surface,Position,1,245,
108.165,167.114,31.5266,um,Surface,Position,1,246,
110.967,168.44,37.225,um,Surface,Position,1,247,
108.349,170.31,42.3328,um,Surface,Position,1,248,
119.898,167.739,32.4065,um,Surface,Position,1,249,
127.664,168.426,42.0708,um,Surface,Position,1,250,
124.739,169.864,41.5427,um,Surface,Position,1,251,
118.069,171.364,42.1378,um,Surface,Position,1,252,
135.378,170.203,38.7044,um,Surface,Position,1,253,
143.094,167.186,32.9987,um,Surface,Position,1,254,
141.229,167.221,42.8768,um,Surface,Position,1,255,
100.777,98.4015,35.4888,um,Surface,Position,1,256,
100.829,95.2469,36.926,um,Surface,Position,1,257,
101.346,99.7643,43.7166,um,Surface,Position,1,258,
104.012,93.5787,32.1248,um,Surface,Position,1,259,
109.876,95.9004,35.1317,um,Surface,Position,1,260,
114.864,103.316,43.6121,um,Surface,Position,1,261,
139.029,102.341,35.1522,um,Surface,Position,1,262,
138.383,104.563,39.6286,um,Surface,Position,1,263,
131.443,92.8301,42.8137,um,Surface,Position,1,264,
144.933,96.5771,29.4183,um,Surface,Position,1,265,
147.034,93.186,33.1606,um,Surface,Position,1,266,
150.399,103.019,32.9679,um,Surface,Position,1,267,
146.845,105.619,39.5466,um,Surface,Position,1,268,
143.999,108.782,42.0252,um,Surface,Position,1,269,
165.227,104.487,30.3589,um,Surface,Position,1,270,
163.072,95.4439,32.6741,um,Surface,Position,1,271,
159.764,101.794,33.9898,um,Surface,Position,1,272,
164.995,110.767,34.0663,um,Surface,Position,1,273,
164.323,94.5825,37.728,um,Surface,Position,1,274,
159.66,108.534,37.9816,um,Surface,Position,1,275,
161.707,100.464,40.0711,um,Surface,Position,1,276,
156.651,103.824,40.4517,um,Surface,Position,1,277,
164.495,110.052,41.3935,um,Surface,Position,1,278,
178.444,100.593,29.521,um,Surface,Position,1,279,
178.813,94.027,31.2834,um,Surface,Position,1,280,
171.536,99.7541,32.803,um,Surface,Position,1,281,
178.019,110.248,35.4076,um,Surface,Position,1,282,
174.513,103.832,36.2733,um,Surface,Position,1,283,
170.763,108.164,42.6782,um,Surface,Position,1,284,
180.893,103.62,30.1303,um,Surface,Position,1,285,
186.411,105.511,30.9976,um,Surface,Position,1,286,
101.119,123.281,37.4767,um,Surface,Position,1,287,
108.639,124.855,28.3222,um,Surface,Position,1,288,
105.793,117.635,36.6322,um,Surface,Position,1,289,
111.029,117.776,37.1404,um,Surface,Position,1,290,
