
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
140.245,108.027,177.891,um,Surface,Position,1,0,
139.22,100.046,178.603,um,Surface,Position,1,1,
130.375,132.51,172.082,um,Surface,Position,1,2,
125.259,124.005,173.701,um,Surface,Position,1,3,
121.859,131.292,173.13,um,Surface,Position,1,4,
117.828,113.292,173.852,um,Surface,Position,1,5,
122.893,115.686,173.676,um,Surface,Position,1,6,
124.592,126.832,173.322,um,Surface,Position,1,7,
135.839,113.501,176.949,um,Surface,Position,1,8,
142.709,134.004,172.764,um,Surface,Position,1,9,
138.813,123.397,174.755,um,Surface,Position,1,10,
134.145,141.593,174.134,um,Surface,Position,1,11,
139.979,150.406,172.473,um,Surface,Position,1,12,
134.621,-23.4185,181.273,um,Surface,Position,1,13,
138.289,-18.7821,179.97,um,Surface,Position,1,14,
136.919,83.9655,178.546,um,Surface,Position,1,15,
140.736,81.2846,179.7,um,Surface,Position,1,16,
141.208,91.1954,179.425,um,Surface,Position,1,17,
67.5374,180.365,159.797,um,Surface,Position,1,18,
72.961,167.606,159.75,um,Surface,Position,1,19,
70.3614,171.786,159.881,um,Surface,Position,1,20,
83.8136,177.234,160.048,um,Surface,Position,1,21,
73.0233,180.211,160.92,um,Surface,Position,1,22,
79.4793,184.222,160.987,um,Surface,Position,1,23,
83.6381,185.269,159.103,um,Surface,Position,1,24,
73.8447,162.929,161.973,um,Surface,Position,1,25,
84.6934,167.405,161.828,um,Surface,Position,1,26,
79.6048,163.868,162.585,um,Surface,Position,1,27,
91.0375,183.287,160.155,um,Surface,Position,1,28,
108.677,177.173,162.286,um,Surface,Position,1,29,
96.4338,166.158,162.823,um,Surface,Position,1,30,
95.1705,182.28,163.518,um,Surface,Position,1,31,
108.538,165.109,164.056,um,Surface,Position,1,32,
89.8365,170.042,163.691,um,Surface,Position,1,33,
91.5706,176.204,164.967,um,Surface,Position,1,34,
102.291,164.67,164.291,um,Surface,Position,1,35,
102.876,172.151,164.239,um,Surface,Position,1,36,
101.208,179.732,163.585,um,Surface,Position,1,37,
113.579,171.128,164.017,um,Surface,Position,1,38,
94.2994,162.684,165.633,um,Surface,Position,1,39,
104.955,186.584,165.627,um,Surface,Position,1,40,
134.601,177.331,160.246,um,Surface,Position,1,41,
129.429,168.85,160.78,um,Surface,Position,1,42,
125.588,181.652,161.537,um,Surface,Position,1,43,
113.761,166.538,160.261,um,Surface,Position,1,44,
129.996,165.273,161.028,um,Surface,Position,1,45,
121.909,173.334,163.493,um,Surface,Position,1,46,
116.295,164.997,163.988,um,Surface,Position,1,47,
115.914,186.816,163.976,um,Surface,Position,1,48,
139.462,171.399,161.888,um,Surface,Position,1,49,
143.172,166.709,165.729,um,Surface,Position,1,50,
75.4612,188.319,160.04,um,Surface,Position,1,51,
84.3089,191.394,162.124,um,Surface,Position,1,52,
104.419,190.011,161.253,um,Surface,Position,1,53,
94.2921,191.982,160.916,um,Surface,Position,1,54,
121.946,189.096,163.329,um,Surface,Position,1,55,
135.821,-26.9248,167.391,um,Surface,Position,1,56,
131.46,-23.8962,169.478,um,Surface,Position,1,57,
123.971,-22.3029,168.885,um,Surface,Position,1,58,
136.323,-20.0016,169.001,um,Surface,Position,1,59,
129.969,-12.6946,171.26,um,Surface,Position,1,60,
129.937,-12.8747,170.834,um,Surface,Position,1,61,
139.924,-13.2816,169.031,um,Surface,Position,1,62,
142.908,-3.66372,167.653,um,Surface,Position,1,63,
146.013,0.791503,167.746,um,Surface,Position,1,64,
61.8542,37.3673,170.728,um,Surface,Position,1,65,
75.0617,36.1765,168.681,um,Surface,Position,1,66,
78.5728,27.6693,171.419,um,Surface,Position,1,67,
67.5236,37.5273,172.455,um,Surface,Position,1,68,
41.5911,47.1339,164.589,um,Surface,Position,1,69,
60.6667,52.3539,166.128,um,Surface,Position,1,70,
43.8413,56.9578,165.582,um,Surface,Position,1,71,
47.4781,53.7547,166.44,um,Surface,Position,1,72,
50.2437,42.6901,166.044,um,Surface,Position,1,73,
52.2463,49.7247,163.911,um,Surface,Position,1,74,
60.6194,42.1681,169.033,um,Surface,Position,1,75,
68.5741,41.2089,172.792,um,Surface,Position,1,76,
93.5124,59.9447,165.821,um,Surface,Position,1,77,
99.5621,56.2204,166.457,um,Surface,Position,1,78,
