
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
80,,Surface,3,Image 1,1,0,
107,,Surface,3,Image 1,1,1,
78,,Surface,3,Image 1,1,2,
212,,Surface,3,Image 1,1,3,
92,,Surface,3,Image 1,1,4,
115,,Surface,3,Image 1,1,5,
149,,Surface,3,Image 1,1,6,
80,,Surface,3,Image 1,1,7,
147,,Surface,3,Image 1,1,8,
82,,Surface,3,Image 1,1,9,
97,,Surface,3,Image 1,1,10,
128,,Surface,3,Image 1,1,11,
79,,Surface,3,Image 1,1,12,
77,,Surface,3,Image 1,1,13,
112,,Surface,3,Image 1,1,14,
123,,Surface,3,Image 1,1,15,
199,,Surface,3,Image 1,1,16,
88,,Surface,3,Image 1,1,17,
120,,Surface,3,Image 1,1,18,
107,,Surface,3,Image 1,1,19,
140,,Surface,3,Image 1,1,20,
97,,Surface,3,Image 1,1,21,
81,,Surface,3,Image 1,1,22,
80,,Surface,3,Image 1,1,23,
92,,Surface,3,Image 1,1,24,
146,,Surface,3,Image 1,1,25,
103,,Surface,3,Image 1,1,26,
92,,Surface,3,Image 1,1,27,
100,,Surface,3,Image 1,1,28,
118,,Surface,3,Image 1,1,29,
136,,Surface,3,Image 1,1,30,
105,,Surface,3,Image 1,1,31,
124,,Surface,3,Image 1,1,32,
109,,Surface,3,Image 1,1,33,
87,,Surface,3,Image 1,1,34,
90,,Surface,3,Image 1,1,35,
117,,Surface,3,Image 1,1,36,
103,,Surface,3,Image 1,1,37,
107,,Surface,3,Image 1,1,38,
78,,Surface,3,Image 1,1,39,
83,,Surface,3,Image 1,1,40,
84,,Surface,3,Image 1,1,41,
99,,Surface,3,Image 1,1,42,
94,,Surface,3,Image 1,1,43,
137,,Surface,3,Image 1,1,44,
117,,Surface,3,Image 1,1,45,
79,,Surface,3,Image 1,1,46,
120,,Surface,3,Image 1,1,47,
79,,Surface,3,Image 1,1,48,
87,,Surface,3,Image 1,1,51,
80,,Surface,3,Image 1,1,58,
104,,Surface,3,Image 1,1,59,
119,,Surface,3,Image 1,1,60,
83,,Surface,3,Image 1,1,61,
168,,Surface,3,Image 1,1,62,
144,,Surface,3,Image 1,1,63,
88,,Surface,3,Image 1,1,64,
226,,Surface,3,Image 1,1,65,
98,,Surface,3,Image 1,1,66,
138,,Surface,3,Image 1,1,67,
119,,Surface,3,Image 1,1,68,
93,,Surface,3,Image 1,1,69,
112,,Surface,3,Image 1,1,70,
95,,Surface,3,Image 1,1,71,
112,,Surface,3,Image 1,1,72,
133,,Surface,3,Image 1,1,73,
130,,Surface,3,Image 1,1,74,
153,,Surface,3,Image 1,1,75,
114,,Surface,3,Image 1,1,76,
120,,Surface,3,Image 1,1,77,
81,,Surface,3,Image 1,1,78,
77,,Surface,3,Image 1,1,79,
80,,Surface,3,Image 1,1,80,
82,,Surface,3,Image 1,1,81,
79,,Surface,3,Image 1,1,82,
