
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
14,,Surface,3,Image 1,1,0,
14,,Surface,3,Image 1,1,1,
9,,Surface,3,Image 1,1,2,
14,,Surface,3,Image 1,1,3,
12,,Surface,3,Image 1,1,4,
16,,Surface,3,Image 1,1,5,
12,,Surface,3,Image 1,1,6,
15,,Surface,3,Image 1,1,7,
10,,Surface,3,Image 1,1,8,
11,,Surface,3,Image 1,1,9,
14,,Surface,3,Image 1,1,10,
14,,Surface,3,Image 1,1,11,
18,,Surface,3,Image 1,1,12,
9,,Surface,3,Image 1,1,13,
12,,Surface,3,Image 1,1,14,
20,,Surface,3,Image 1,1,15,
11,,Surface,3,Image 1,1,16,
13,,Surface,3,Image 1,1,17,
16,,Surface,3,Image 1,1,18,
13,,Surface,3,Image 1,1,19,
11,,Surface,3,Image 1,1,20,
13,,Surface,3,Image 1,1,21,
10,,Surface,3,Image 1,1,22,
13,,Surface,3,Image 1,1,23,
12,,Surface,3,Image 1,1,24,
9,,Surface,3,Image 1,1,25,
12,,Surface,3,Image 1,1,26,
18,,Surface,3,Image 1,1,27,
13,,Surface,3,Image 1,1,28,
14,,Surface,3,Image 1,1,29,
14,,Surface,3,Image 1,1,30,
19,,Surface,3,Image 1,1,31,
15,,Surface,3,Image 1,1,32,
11,,Surface,3,Image 1,1,33,
15,,Surface,3,Image 1,1,34,
18,,Surface,3,Image 1,1,35,
16,,Surface,3,Image 1,1,36,
16,,Surface,3,Image 1,1,37,
6,,Surface,3,Image 1,1,38,
12,,Surface,3,Image 1,1,39,
11,,Surface,3,Image 1,1,40,
13,,Surface,3,Image 1,1,41,
13,,Surface,3,Image 1,1,42,
9,,Surface,3,Image 1,1,43,
14,,Surface,3,Image 1,1,44,
7,,Surface,3,Image 1,1,45,
12,,Surface,3,Image 1,1,46,
10,,Surface,3,Image 1,1,47,
18,,Surface,3,Image 1,1,48,
13,,Surface,3,Image 1,1,49,
16,,Surface,3,Image 1,1,50,
16,,Surface,3,Image 1,1,51,
14,,Surface,3,Image 1,1,52,
11,,Surface,3,Image 1,1,53,
13,,Surface,3,Image 1,1,54,
17,,Surface,3,Image 1,1,55,
17,,Surface,3,Image 1,1,56,
14,,Surface,3,Image 1,1,57,
14,,Surface,3,Image 1,1,58,
17,,Surface,3,Image 1,1,59,
14,,Surface,3,Image 1,1,60,
15,,Surface,3,Image 1,1,61,
10,,Surface,3,Image 1,1,62,
12,,Surface,3,Image 1,1,63,
12,,Surface,3,Image 1,1,64,
12,,Surface,3,Image 1,1,65,
18,,Surface,3,Image 1,1,66,
15,,Surface,3,Image 1,1,67,
9,,Surface,3,Image 1,1,68,
17,,Surface,3,Image 1,1,69,
12,,Surface,3,Image 1,1,70,
10,,Surface,3,Image 1,1,71,
14,,Surface,3,Image 1,1,72,
12,,Surface,3,Image 1,1,73,
11,,Surface,3,Image 1,1,74,
13,,Surface,3,Image 1,1,75,
6,,Surface,3,Image 1,1,76,
6,,Surface,3,Image 1,1,77,
15,,Surface,3,Image 1,1,78,
12,,Surface,3,Image 1,1,79,
14,,Surface,3,Image 1,1,80,
13,,Surface,3,Image 1,1,81,
11,,Surface,3,Image 1,1,82,
14,,Surface,3,Image 1,1,83,
10,,Surface,3,Image 1,1,84,
14,,Surface,3,Image 1,1,85,
30,,Surface,3,Image 1,1,86,
18,,Surface,3,Image 1,1,87,
21,,Surface,3,Image 1,1,88,
15,,Surface,3,Image 1,1,89,
22,,Surface,3,Image 1,1,90,
16,,Surface,3,Image 1,1,91,
15,,Surface,3,Image 1,1,92,
21,,Surface,3,Image 1,1,93,
17,,Surface,3,Image 1,1,94,
20,,Surface,3,Image 1,1,95,
21,,Surface,3,Image 1,1,96,
16,,Surface,3,Image 1,1,97,
21,,Surface,3,Image 1,1,98,
19,,Surface,3,Image 1,1,99,
17,,Surface,3,Image 1,1,100,
17,,Surface,3,Image 1,1,101,
18,,Surface,3,Image 1,1,102,
16,,Surface,3,Image 1,1,103,
18,,Surface,3,Image 1,1,104,
17,,Surface,3,Image 1,1,105,
20,,Surface,3,Image 1,1,106,
22,,Surface,3,Image 1,1,107,
17,,Surface,3,Image 1,1,108,
16,,Surface,3,Image 1,1,109,
16,,Surface,3,Image 1,1,110,
16,,Surface,3,Image 1,1,111,
16,,Surface,3,Image 1,1,112,
9,,Surface,3,Image 1,1,113,
19,,Surface,3,Image 1,1,114,
12,,Surface,3,Image 1,1,115,
18,,Surface,3,Image 1,1,116,
17,,Surface,3,Image 1,1,117,
20,,Surface,3,Image 1,1,118,
20,,Surface,3,Image 1,1,119,
16,,Surface,3,Image 1,1,120,
19,,Surface,3,Image 1,1,121,
18,,Surface,3,Image 1,1,122,
15,,Surface,3,Image 1,1,123,
15,,Surface,3,Image 1,1,124,
15,,Surface,3,Image 1,1,125,
19,,Surface,3,Image 1,1,126,
14,,Surface,3,Image 1,1,127,
15,,Surface,3,Image 1,1,128,
18,,Surface,3,Image 1,1,129,
17,,Surface,3,Image 1,1,130,
17,,Surface,3,Image 1,1,131,
13,,Surface,3,Image 1,1,132,
14,,Surface,3,Image 1,1,133,
16,,Surface,3,Image 1,1,134,
15,,Surface,3,Image 1,1,135,
17,,Surface,3,Image 1,1,136,
17,,Surface,3,Image 1,1,137,
13,,Surface,3,Image 1,1,138,
16,,Surface,3,Image 1,1,139,
19,,Surface,3,Image 1,1,140,
16,,Surface,3,Image 1,1,141,
12,,Surface,3,Image 1,1,142,
17,,Surface,3,Image 1,1,143,
16,,Surface,3,Image 1,1,144,
12,,Surface,3,Image 1,1,145,
13,,Surface,3,Image 1,1,146,
17,,Surface,3,Image 1,1,147,
16,,Surface,3,Image 1,1,148,
13,,Surface,3,Image 1,1,149,
17,,Surface,3,Image 1,1,150,
17,,Surface,3,Image 1,1,151,
13,,Surface,3,Image 1,1,152,
18,,Surface,3,Image 1,1,153,
17,,Surface,3,Image 1,1,154,
14,,Surface,3,Image 1,1,155,
19,,Surface,3,Image 1,1,156,
18,,Surface,3,Image 1,1,157,
20,,Surface,3,Image 1,1,158,
14,,Surface,3,Image 1,1,159,
20,,Surface,3,Image 1,1,160,
17,,Surface,3,Image 1,1,161,
19,,Surface,3,Image 1,1,162,
19,,Surface,3,Image 1,1,163,
16,,Surface,3,Image 1,1,164,
14,,Surface,3,Image 1,1,165,
15,,Surface,3,Image 1,1,166,
17,,Surface,3,Image 1,1,167,
18,,Surface,3,Image 1,1,168,
11,,Surface,3,Image 1,1,169,
11,,Surface,3,Image 1,1,170,
14,,Surface,3,Image 1,1,171,
22,,Surface,3,Image 1,1,172,
15,,Surface,3,Image 1,1,173,
14,,Surface,3,Image 1,1,174,
16,,Surface,3,Image 1,1,175,
18,,Surface,3,Image 1,1,176,
13,,Surface,3,Image 1,1,177,
8,,Surface,3,Image 1,1,178,
13,,Surface,3,Image 1,1,179,
15,,Surface,3,Image 1,1,180,
12,,Surface,3,Image 1,1,181,
16,,Surface,3,Image 1,1,182,
14,,Surface,3,Image 1,1,183,
14,,Surface,3,Image 1,1,184,
15,,Surface,3,Image 1,1,185,
14,,Surface,3,Image 1,1,186,
14,,Surface,3,Image 1,1,187,
14,,Surface,3,Image 1,1,188,
10,,Surface,3,Image 1,1,189,
21,,Surface,3,Image 1,1,190,
10,,Surface,3,Image 1,1,191,
14,,Surface,3,Image 1,1,192,
13,,Surface,3,Image 1,1,193,
18,,Surface,3,Image 1,1,194,
22,,Surface,3,Image 1,1,195,
12,,Surface,3,Image 1,1,196,
15,,Surface,3,Image 1,1,197,
16,,Surface,3,Image 1,1,198,
15,,Surface,3,Image 1,1,199,
14,,Surface,3,Image 1,1,200,
18,,Surface,3,Image 1,1,201,
17,,Surface,3,Image 1,1,202,
13,,Surface,3,Image 1,1,203,
12,,Surface,3,Image 1,1,204,
16,,Surface,3,Image 1,1,205,
16,,Surface,3,Image 1,1,206,
15,,Surface,3,Image 1,1,207,
16,,Surface,3,Image 1,1,208,
16,,Surface,3,Image 1,1,209,
10,,Surface,3,Image 1,1,210,
17,,Surface,3,Image 1,1,211,
20,,Surface,3,Image 1,1,212,
16,,Surface,3,Image 1,1,213,
17,,Surface,3,Image 1,1,214,
15,,Surface,3,Image 1,1,215,
17,,Surface,3,Image 1,1,216,
14,,Surface,3,Image 1,1,217,
18,,Surface,3,Image 1,1,218,
14,,Surface,3,Image 1,1,219,
13,,Surface,3,Image 1,1,220,
15,,Surface,3,Image 1,1,221,
10,,Surface,3,Image 1,1,222,
13,,Surface,3,Image 1,1,223,
13,,Surface,3,Image 1,1,224,
14,,Surface,3,Image 1,1,225,
16,,Surface,3,Image 1,1,226,
17,,Surface,3,Image 1,1,227,
16,,Surface,3,Image 1,1,228,
13,,Surface,3,Image 1,1,229,
15,,Surface,3,Image 1,1,230,
13,,Surface,3,Image 1,1,231,
13,,Surface,3,Image 1,1,232,
16,,Surface,3,Image 1,1,233,
16,,Surface,3,Image 1,1,234,
15,,Surface,3,Image 1,1,235,
17,,Surface,3,Image 1,1,236,
16,,Surface,3,Image 1,1,237,
14,,Surface,3,Image 1,1,238,
12,,Surface,3,Image 1,1,239,
11,,Surface,3,Image 1,1,240,
19,,Surface,3,Image 1,1,241,
12,,Surface,3,Image 1,1,242,
16,,Surface,3,Image 1,1,243,
10,,Surface,3,Image 1,1,244,
15,,Surface,3,Image 1,1,245,
12,,Surface,3,Image 1,1,246,
13,,Surface,3,Image 1,1,247,
18,,Surface,3,Image 1,1,248,
17,,Surface,3,Image 1,1,249,
17,,Surface,3,Image 1,1,250,
15,,Surface,3,Image 1,1,251,
15,,Surface,3,Image 1,1,252,
13,,Surface,3,Image 1,1,253,
15,,Surface,3,Image 1,1,254,
20,,Surface,3,Image 1,1,255,
16,,Surface,3,Image 1,1,256,
15,,Surface,3,Image 1,1,257,
7,,Surface,3,Image 1,1,258,
14,,Surface,3,Image 1,1,259,
18,,Surface,3,Image 1,1,260,
11,,Surface,3,Image 1,1,261,
13,,Surface,3,Image 1,1,262,
15,,Surface,3,Image 1,1,263,
11,,Surface,3,Image 1,1,264,
11,,Surface,3,Image 1,1,265,
38,,Surface,3,Image 1,1,266,
18,,Surface,3,Image 1,1,267,
18,,Surface,3,Image 1,1,268,
20,,Surface,3,Image 1,1,269,
20,,Surface,3,Image 1,1,270,
14,,Surface,3,Image 1,1,271,
22,,Surface,3,Image 1,1,272,
21,,Surface,3,Image 1,1,273,
17,,Surface,3,Image 1,1,274,
18,,Surface,3,Image 1,1,275,
20,,Surface,3,Image 1,1,276,
19,,Surface,3,Image 1,1,277,
16,,Surface,3,Image 1,1,278,
20,,Surface,3,Image 1,1,279,
21,,Surface,3,Image 1,1,280,
18,,Surface,3,Image 1,1,281,
27,,Surface,3,Image 1,1,282,
17,,Surface,3,Image 1,1,283,
20,,Surface,3,Image 1,1,284,
16,,Surface,3,Image 1,1,285,
17,,Surface,3,Image 1,1,286,
13,,Surface,3,Image 1,1,287,
22,,Surface,3,Image 1,1,288,
22,,Surface,3,Image 1,1,289,
17,,Surface,3,Image 1,1,290,
16,,Surface,3,Image 1,1,291,
17,,Surface,3,Image 1,1,292,
18,,Surface,3,Image 1,1,293,
17,,Surface,3,Image 1,1,294,
18,,Surface,3,Image 1,1,295,
16,,Surface,3,Image 1,1,296,
17,,Surface,3,Image 1,1,297,
18,,Surface,3,Image 1,1,298,
12,,Surface,3,Image 1,1,299,
22,,Surface,3,Image 1,1,300,
16,,Surface,3,Image 1,1,301,
20,,Surface,3,Image 1,1,302,
18,,Surface,3,Image 1,1,303,
16,,Surface,3,Image 1,1,304,
17,,Surface,3,Image 1,1,305,
18,,Surface,3,Image 1,1,306,
20,,Surface,3,Image 1,1,307,
14,,Surface,3,Image 1,1,308,
18,,Surface,3,Image 1,1,309,
8,,Surface,3,Image 1,1,310,
20,,Surface,3,Image 1,1,311,
18,,Surface,3,Image 1,1,312,
16,,Surface,3,Image 1,1,313,
18,,Surface,3,Image 1,1,314,
21,,Surface,3,Image 1,1,315,
11,,Surface,3,Image 1,1,316,
14,,Surface,3,Image 1,1,317,
18,,Surface,3,Image 1,1,318,
15,,Surface,3,Image 1,1,319,
15,,Surface,3,Image 1,1,320,
15,,Surface,3,Image 1,1,321,
24,,Surface,3,Image 1,1,322,
14,,Surface,3,Image 1,1,323,
14,,Surface,3,Image 1,1,324,
6,,Surface,3,Image 1,1,325,
16,,Surface,3,Image 1,1,326,
11,,Surface,3,Image 1,1,327,
8,,Surface,3,Image 1,1,328,
15,,Surface,3,Image 1,1,329,
26,,Surface,3,Image 1,1,330,
12,,Surface,3,Image 1,1,331,
22,,Surface,3,Image 1,1,332,
11,,Surface,3,Image 1,1,333,
17,,Surface,3,Image 1,1,334,
14,,Surface,3,Image 1,1,335,
18,,Surface,3,Image 1,1,336,
15,,Surface,3,Image 1,1,337,
20,,Surface,3,Image 1,1,338,
15,,Surface,3,Image 1,1,339,
