
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
232,,Surface,3,Image 1,1,0,
220,,Surface,3,Image 1,1,1,
255,,Surface,3,Image 1,1,2,
254,,Surface,3,Image 1,1,3,
248,,Surface,3,Image 1,1,4,
254,,Surface,3,Image 1,1,5,
254,,Surface,3,Image 1,1,6,
253,,Surface,3,Image 1,1,7,
254,,Surface,3,Image 1,1,8,
235,,Surface,3,Image 1,1,9,
255,,Surface,3,Image 1,1,10,
246,,Surface,3,Image 1,1,11,
241,,Surface,3,Image 1,1,12,
244,,Surface,3,Image 1,1,13,
246,,Surface,3,Image 1,1,14,
217,,Surface,3,Image 1,1,15,
194,,Surface,3,Image 1,1,16,
242,,Surface,3,Image 1,1,17,
255,,Surface,3,Image 1,1,18,
181,,Surface,3,Image 1,1,19,
210,,Surface,3,Image 1,1,20,
193,,Surface,3,Image 1,1,21,
159,,Surface,3,Image 1,1,22,
255,,Surface,3,Image 1,1,23,
153,,Surface,3,Image 1,1,24,
167,,Surface,3,Image 1,1,25,
201,,Surface,3,Image 1,1,26,
225,,Surface,3,Image 1,1,27,
162,,Surface,3,Image 1,1,28,
158,,Surface,3,Image 1,1,29,
245,,Surface,3,Image 1,1,30,
177,,Surface,3,Image 1,1,31,
163,,Surface,3,Image 1,1,32,
138,,Surface,3,Image 1,1,33,
149,,Surface,3,Image 1,1,34,
158,,Surface,3,Image 1,1,35,
189,,Surface,3,Image 1,1,36,
224,,Surface,3,Image 1,1,37,
171,,Surface,3,Image 1,1,38,
211,,Surface,3,Image 1,1,39,
233,,Surface,3,Image 1,1,40,
244,,Surface,3,Image 1,1,41,
200,,Surface,3,Image 1,1,42,
200,,Surface,3,Image 1,1,43,
148,,Surface,3,Image 1,1,44,
240,,Surface,3,Image 1,1,45,
232,,Surface,3,Image 1,1,46,
221,,Surface,3,Image 1,1,47,
254,,Surface,3,Image 1,1,48,
253,,Surface,3,Image 1,1,49,
203,,Surface,3,Image 1,1,50,
255,,Surface,3,Image 1,1,51,
254,,Surface,3,Image 1,1,52,
232,,Surface,3,Image 1,1,53,
204,,Surface,3,Image 1,1,54,
221,,Surface,3,Image 1,1,55,
250,,Surface,3,Image 1,1,56,
217,,Surface,3,Image 1,1,57,
255,,Surface,3,Image 1,1,58,
255,,Surface,3,Image 1,1,59,
150,,Surface,3,Image 1,1,60,
170,,Surface,3,Image 1,1,61,
206,,Surface,3,Image 1,1,62,
174,,Surface,3,Image 1,1,63,
250,,Surface,3,Image 1,1,64,
222,,Surface,3,Image 1,1,65,
226,,Surface,3,Image 1,1,66,
223,,Surface,3,Image 1,1,67,
251,,Surface,3,Image 1,1,68,
237,,Surface,3,Image 1,1,69,
237,,Surface,3,Image 1,1,70,
157,,Surface,3,Image 1,1,71,
185,,Surface,3,Image 1,1,72,
243,,Surface,3,Image 1,1,73,
254,,Surface,3,Image 1,1,74,
240,,Surface,3,Image 1,1,75,
237,,Surface,3,Image 1,1,76,
178,,Surface,3,Image 1,1,77,
252,,Surface,3,Image 1,1,78,
231,,Surface,3,Image 1,1,79,
183,,Surface,3,Image 1,1,80,
232,,Surface,3,Image 1,1,81,
247,,Surface,3,Image 1,1,82,
253,,Surface,3,Image 1,1,83,
247,,Surface,3,Image 1,1,84,
255,,Surface,3,Image 1,1,85,
255,,Surface,3,Image 1,1,86,
214,,Surface,3,Image 1,1,87,
163,,Surface,3,Image 1,1,88,
145,,Surface,3,Image 1,1,89,
142,,Surface,3,Image 1,1,90,
210,,Surface,3,Image 1,1,91,
170,,Surface,3,Image 1,1,92,
192,,Surface,3,Image 1,1,93,
231,,Surface,3,Image 1,1,94,
254,,Surface,3,Image 1,1,95,
254,,Surface,3,Image 1,1,96,
212,,Surface,3,Image 1,1,97,
138,,Surface,3,Image 1,1,98,
165,,Surface,3,Image 1,1,99,
146,,Surface,3,Image 1,1,100,
158,,Surface,3,Image 1,1,101,
240,,Surface,3,Image 1,1,102,
151,,Surface,3,Image 1,1,103,
182,,Surface,3,Image 1,1,104,
243,,Surface,3,Image 1,1,105,
243,,Surface,3,Image 1,1,106,
137,,Surface,3,Image 1,1,107,
143,,Surface,3,Image 1,1,108,
