
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.72089,,Surface,4,Image 1,1,0,
2.40011,,Surface,4,Image 1,1,1,
1.11336,,Surface,4,Image 1,1,2,
1.67076,,Surface,4,Image 1,1,3,
1.75017,,Surface,4,Image 1,1,4,
1.45646,,Surface,4,Image 1,1,5,
1.69953,,Surface,4,Image 1,1,6,
1.54762,,Surface,4,Image 1,1,7,
1.3434,,Surface,4,Image 1,1,8,
1.47449,,Surface,4,Image 1,1,9,
1.6163,,Surface,4,Image 1,1,10,
1.42869,,Surface,4,Image 1,1,11,
1.37816,,Surface,4,Image 1,1,12,
1.43004,,Surface,4,Image 1,1,13,
1.59402,,Surface,4,Image 1,1,14,
1.69385,,Surface,4,Image 1,1,15,
2.06389,,Surface,4,Image 1,1,16,
1.27847,,Surface,4,Image 1,1,17,
1.30607,,Surface,4,Image 1,1,18,
1.15313,,Surface,4,Image 1,1,19,
1.15623,,Surface,4,Image 1,1,20,
1.52714,,Surface,4,Image 1,1,21,
2.12191,,Surface,4,Image 1,1,22,
1.58965,,Surface,4,Image 1,1,23,
1.61583,,Surface,4,Image 1,1,24,
1.52905,,Surface,4,Image 1,1,25,
1.94929,,Surface,4,Image 1,1,26,
1.33028,,Surface,4,Image 1,1,27,
2.97072,,Surface,4,Image 1,1,28,
2.12451,,Surface,4,Image 1,1,29,
1.82296,,Surface,4,Image 1,1,30,
1.94897,,Surface,4,Image 1,1,31,
2.41479,,Surface,4,Image 1,1,32,
2.62206,,Surface,4,Image 1,1,33,
1.91736,,Surface,4,Image 1,1,34,
2.114,,Surface,4,Image 1,1,35,
1.08418,,Surface,4,Image 1,1,36,
2.76342,,Surface,4,Image 1,1,37,
1.81618,,Surface,4,Image 1,1,38,
2.0267,,Surface,4,Image 1,1,39,
1.85067,,Surface,4,Image 1,1,40,
1.89521,,Surface,4,Image 1,1,41,
1.92558,,Surface,4,Image 1,1,42,
5.31314,,Surface,4,Image 1,1,43,
2.61202,,Surface,4,Image 1,1,44,
2.30623,,Surface,4,Image 1,1,45,
2.64371,,Surface,4,Image 1,1,46,
3.50648,,Surface,4,Image 1,1,47,
1.20657,,Surface,4,Image 1,1,48,
1.22582,,Surface,4,Image 1,1,49,
3.7689,,Surface,4,Image 1,1,50,
0.87178,,Surface,4,Image 1,1,51,
0.759418,,Surface,4,Image 1,1,52,
0.872249,,Surface,4,Image 1,1,53,
1.40355,,Surface,4,Image 1,1,54,
1.62056,,Surface,4,Image 1,1,55,
2.02429,,Surface,4,Image 1,1,56,
1.70194,,Surface,4,Image 1,1,57,
0.900853,,Surface,4,Image 1,1,58,
1.35632,,Surface,4,Image 1,1,59,
2.3907,,Surface,4,Image 1,1,60,
3.13186,,Surface,4,Image 1,1,61,
1.55602,,Surface,4,Image 1,1,62,
1.52774,,Surface,4,Image 1,1,63,
1.56875,,Surface,4,Image 1,1,64,
1.11162,,Surface,4,Image 1,1,65,
1.32897,,Surface,4,Image 1,1,66,
2.00225,,Surface,4,Image 1,1,67,
2.09913,,Surface,4,Image 1,1,68,
2.31525,,Surface,4,Image 1,1,69,
2.33925,,Surface,4,Image 1,1,70,
1.86684,,Surface,4,Image 1,1,71,
2.64896,,Surface,4,Image 1,1,72,
1.8078,,Surface,4,Image 1,1,73,
2.28303,,Surface,4,Image 1,1,74,
1.98237,,Surface,4,Image 1,1,75,
1.81817,,Surface,4,Image 1,1,76,
1.91746,,Surface,4,Image 1,1,77,
1.71382,,Surface,4,Image 1,1,78,
1.79665,,Surface,4,Image 1,1,79,
1.95453,,Surface,4,Image 1,1,80,
1.54626,,Surface,4,Image 1,1,81,
1.02382,,Surface,4,Image 1,1,82,
1.00874,,Surface,4,Image 1,1,83,
0.7137,,Surface,4,Image 1,1,84,
1.7672,,Surface,4,Image 1,1,85,
0.996941,,Surface,4,Image 1,1,86,
1.92383,,Surface,4,Image 1,1,87,
1.1334,,Surface,4,Image 1,1,88,
1.35002,,Surface,4,Image 1,1,89,
1.14398,,Surface,4,Image 1,1,90,
1.37063,,Surface,4,Image 1,1,91,
1.36387,,Surface,4,Image 1,1,92,
1.17091,,Surface,4,Image 1,1,93,
1.30669,,Surface,4,Image 1,1,94,
1.87993,,Surface,4,Image 1,1,95,
2.84464,,Surface,4,Image 1,1,96,
1.7573,,Surface,4,Image 1,1,97,
1.97216,,Surface,4,Image 1,1,98,
1.27049,,Surface,4,Image 1,1,99,
1.88825,,Surface,4,Image 1,1,100,
