
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
12.2481,,Surface,4,Image 1,1,0,
11.7801,,Surface,4,Image 1,1,1,
11.9186,,Surface,4,Image 1,1,2,
9.78945,,Surface,4,Image 1,1,3,
12.6089,,Surface,4,Image 1,1,4,
13.6611,,Surface,4,Image 1,1,5,
9.84799,,Surface,4,Image 1,1,6,
12.6092,,Surface,4,Image 1,1,7,
13.4648,,Surface,4,Image 1,1,8,
11.5178,,Surface,4,Image 1,1,9,
13.2981,,Surface,4,Image 1,1,10,
14.6116,,Surface,4,Image 1,1,11,
10.0444,,Surface,4,Image 1,1,12,
8.74876,,Surface,4,Image 1,1,13,
13.8094,,Surface,4,Image 1,1,14,
10.4207,,Surface,4,Image 1,1,15,
11.3865,,Surface,4,Image 1,1,16,
12.8221,,Surface,4,Image 1,1,17,
10.0497,,Surface,4,Image 1,1,18,
7.94662,,Surface,4,Image 1,1,19,
12.0884,,Surface,4,Image 1,1,20,
16.1735,,Surface,4,Image 1,1,21,
13.855,,Surface,4,Image 1,1,22,
9.45503,,Surface,4,Image 1,1,23,
7.65889,,Surface,4,Image 1,1,24,
8.43232,,Surface,4,Image 1,1,25,
10.7965,,Surface,4,Image 1,1,26,
11.6897,,Surface,4,Image 1,1,27,
11.6453,,Surface,4,Image 1,1,28,
7.47599,,Surface,4,Image 1,1,29,
9.77877,,Surface,4,Image 1,1,30,
10.905,,Surface,4,Image 1,1,31,
12.5931,,Surface,4,Image 1,1,32,
9.56783,,Surface,4,Image 1,1,33,
16.6108,,Surface,4,Image 1,1,34,
12.1185,,Surface,4,Image 1,1,35,
15.9329,,Surface,4,Image 1,1,36,
19.1078,,Surface,4,Image 1,1,37,
15.4634,,Surface,4,Image 1,1,38,
14.6387,,Surface,4,Image 1,1,39,
11.417,,Surface,4,Image 1,1,40,
10.6727,,Surface,4,Image 1,1,41,
8.73658,,Surface,4,Image 1,1,42,
10.4729,,Surface,4,Image 1,1,43,
16.8976,,Surface,4,Image 1,1,44,
10.315,,Surface,4,Image 1,1,45,
11.7267,,Surface,4,Image 1,1,46,
15.1647,,Surface,4,Image 1,1,47,
8.87193,,Surface,4,Image 1,1,48,
13.4865,,Surface,4,Image 1,1,49,
16.0874,,Surface,4,Image 1,1,50,
11.9787,,Surface,4,Image 1,1,51,
13.4942,,Surface,4,Image 1,1,52,
14.1077,,Surface,4,Image 1,1,53,
9.23323,,Surface,4,Image 1,1,54,
11.5698,,Surface,4,Image 1,1,55,
18.2923,,Surface,4,Image 1,1,56,
12.5627,,Surface,4,Image 1,1,57,
12.2095,,Surface,4,Image 1,1,58,
13.2346,,Surface,4,Image 1,1,59,
10.2529,,Surface,4,Image 1,1,60,
16.0185,,Surface,4,Image 1,1,61,
12.5328,,Surface,4,Image 1,1,62,
12.6299,,Surface,4,Image 1,1,63,
8.85215,,Surface,4,Image 1,1,64,
19.5303,,Surface,4,Image 1,1,65,
18.8361,,Surface,4,Image 1,1,66,
14.9676,,Surface,4,Image 1,1,67,
15.8677,,Surface,4,Image 1,1,68,
14.3227,,Surface,4,Image 1,1,69,
12.4233,,Surface,4,Image 1,1,70,
11.5824,,Surface,4,Image 1,1,71,
12.1273,,Surface,4,Image 1,1,72,
11.6848,,Surface,4,Image 1,1,73,
13.6475,,Surface,4,Image 1,1,74,
12.664,,Surface,4,Image 1,1,75,
9.14018,,Surface,4,Image 1,1,76,
9.08569,,Surface,4,Image 1,1,77,
9.32856,,Surface,4,Image 1,1,78,
12.0065,,Surface,4,Image 1,1,79,
20.5477,,Surface,4,Image 1,1,80,
16.509,,Surface,4,Image 1,1,81,
15.6469,,Surface,4,Image 1,1,82,
18.4825,,Surface,4,Image 1,1,83,
14.0057,,Surface,4,Image 1,1,84,
14.6618,,Surface,4,Image 1,1,85,
12.1763,,Surface,4,Image 1,1,86,
15.7268,,Surface,4,Image 1,1,87,
7.4166,,Surface,4,Image 1,1,88,
4.24643,,Surface,4,Image 1,1,89,
11.7712,,Surface,4,Image 1,1,90,
8.49258,,Surface,4,Image 1,1,91,
12.6689,,Surface,4,Image 1,1,92,
8.13515,,Surface,4,Image 1,1,93,
9.25954,,Surface,4,Image 1,1,94,
9.10121,,Surface,4,Image 1,1,95,
7.95184,,Surface,4,Image 1,1,96,
10.2076,,Surface,4,Image 1,1,97,
7.11136,,Surface,4,Image 1,1,98,
7.2239,,Surface,4,Image 1,1,99,
4.01336,,Surface,4,Image 1,1,100,
5.38535,,Surface,4,Image 1,1,101,
6.37493,,Surface,4,Image 1,1,102,
8.30557,,Surface,4,Image 1,1,103,
11.4285,,Surface,4,Image 1,1,104,
10.4936,,Surface,4,Image 1,1,105,
5.84152,,Surface,4,Image 1,1,106,
3.37852,,Surface,4,Image 1,1,107,
5.56043,,Surface,4,Image 1,1,108,
