
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.0511,,Surface,2,Image 1,1,0,
1.3826,,Surface,2,Image 1,1,1,
0.922836,,Surface,2,Image 1,1,2,
1.102,,Surface,2,Image 1,1,3,
0.904382,,Surface,2,Image 1,1,4,
1.17918,,Surface,2,Image 1,1,5,
1.00355,,Surface,2,Image 1,1,6,
0.733448,,Surface,2,Image 1,1,7,
1.1831,,Surface,2,Image 1,1,8,
1.33624,,Surface,2,Image 1,1,9,
1.08093,,Surface,2,Image 1,1,10,
1.11801,,Surface,2,Image 1,1,11,
0.938679,,Surface,2,Image 1,1,12,
0.6,,Surface,2,Image 1,1,13,
1.18027,,Surface,2,Image 1,1,14,
1.31076,,Surface,2,Image 1,1,15,
1.21364,,Surface,2,Image 1,1,16,
1.2305,,Surface,2,Image 1,1,17,
1.01052,,Surface,2,Image 1,1,18,
1.1112,,Surface,2,Image 1,1,19,
0.792157,,Surface,2,Image 1,1,20,
0.860178,,Surface,2,Image 1,1,21,
1.10638,,Surface,2,Image 1,1,22,
1.17831,,Surface,2,Image 1,1,23,
0.938596,,Surface,2,Image 1,1,24,
1.05376,,Surface,2,Image 1,1,25,
1.03235,,Surface,2,Image 1,1,26,
1.24135,,Surface,2,Image 1,1,27,
1.25609,,Surface,2,Image 1,1,28,
0.953846,,Surface,2,Image 1,1,29,
1.16107,,Surface,2,Image 1,1,30,
1.06894,,Surface,2,Image 1,1,31,
1.07951,,Surface,2,Image 1,1,32,
0.521739,,Surface,2,Image 1,1,33,
1.18085,,Surface,2,Image 1,1,34,
1.21891,,Surface,2,Image 1,1,35,
1.61152,,Surface,2,Image 1,1,36,
1.24993,,Surface,2,Image 1,1,37,
1,,Surface,2,Image 1,1,38,
1.08358,,Surface,2,Image 1,1,39,
1.08896,,Surface,2,Image 1,1,40,
1.07901,,Surface,2,Image 1,1,41,
1.10084,,Surface,2,Image 1,1,42,
1.20833,,Surface,2,Image 1,1,43,
1.10916,,Surface,2,Image 1,1,44,
