
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
11.5818,,Surface,2,Image 1,1,0,
7.63649,,Surface,2,Image 1,1,1,
10.6964,,Surface,2,Image 1,1,2,
14.176,,Surface,2,Image 1,1,3,
14.328,,Surface,2,Image 1,1,4,
11.0571,,Surface,2,Image 1,1,5,
8.58197,,Surface,2,Image 1,1,6,
8.31544,,Surface,2,Image 1,1,7,
9.29535,,Surface,2,Image 1,1,8,
13.744,,Surface,2,Image 1,1,9,
8.21013,,Surface,2,Image 1,1,10,
9.16728,,Surface,2,Image 1,1,11,
7.5648,,Surface,2,Image 1,1,12,
7.36211,,Surface,2,Image 1,1,13,
7.73084,,Surface,2,Image 1,1,14,
8.02139,,Surface,2,Image 1,1,15,
19.7871,,Surface,2,Image 1,1,16,
11.5123,,Surface,2,Image 1,1,17,
8.22651,,Surface,2,Image 1,1,18,
11.2712,,Surface,2,Image 1,1,19,
9.58087,,Surface,2,Image 1,1,20,
11.2643,,Surface,2,Image 1,1,21,
9.63574,,Surface,2,Image 1,1,22,
8.90504,,Surface,2,Image 1,1,23,
8.31562,,Surface,2,Image 1,1,24,
7.67634,,Surface,2,Image 1,1,25,
11.2112,,Surface,2,Image 1,1,26,
14.318,,Surface,2,Image 1,1,27,
14.3168,,Surface,2,Image 1,1,28,
7.18428,,Surface,2,Image 1,1,29,
8.67976,,Surface,2,Image 1,1,30,
17.1817,,Surface,2,Image 1,1,31,
14.9666,,Surface,2,Image 1,1,32,
10.916,,Surface,2,Image 1,1,33,
11.8743,,Surface,2,Image 1,1,34,
12.6022,,Surface,2,Image 1,1,35,
10.9165,,Surface,2,Image 1,1,36,
10.5233,,Surface,2,Image 1,1,37,
10.3819,,Surface,2,Image 1,1,38,
11.296,,Surface,2,Image 1,1,39,
10.1769,,Surface,2,Image 1,1,40,
11.2095,,Surface,2,Image 1,1,41,
10.8925,,Surface,2,Image 1,1,42,
10.545,,Surface,2,Image 1,1,43,
12.4161,,Surface,2,Image 1,1,44,
8.70809,,Surface,2,Image 1,1,45,
10.8134,,Surface,2,Image 1,1,46,
8.0645,,Surface,2,Image 1,1,47,
8.56091,,Surface,2,Image 1,1,48,
7.80958,,Surface,2,Image 1,1,49,
14.0852,,Surface,2,Image 1,1,50,
12.7189,,Surface,2,Image 1,1,51,
10.3661,,Surface,2,Image 1,1,52,
11.0425,,Surface,2,Image 1,1,53,
10.907,,Surface,2,Image 1,1,54,
8.72435,,Surface,2,Image 1,1,55,
8.12368,,Surface,2,Image 1,1,56,
11.7829,,Surface,2,Image 1,1,57,
11.547,,Surface,2,Image 1,1,58,
9.42187,,Surface,2,Image 1,1,59,
7.19297,,Surface,2,Image 1,1,60,
8.78332,,Surface,2,Image 1,1,61,
13.8342,,Surface,2,Image 1,1,62,
12.8954,,Surface,2,Image 1,1,63,
9.98088,,Surface,2,Image 1,1,64,
9.00927,,Surface,2,Image 1,1,65,
8.48477,,Surface,2,Image 1,1,66,
13.6948,,Surface,2,Image 1,1,67,
14.2706,,Surface,2,Image 1,1,68,
12.9065,,Surface,2,Image 1,1,69,
8.42217,,Surface,2,Image 1,1,70,
12.4295,,Surface,2,Image 1,1,71,
10.6694,,Surface,2,Image 1,1,72,
12.9984,,Surface,2,Image 1,1,73,
12.1967,,Surface,2,Image 1,1,74,
14.2376,,Surface,2,Image 1,1,75,
13.9454,,Surface,2,Image 1,1,76,
8.48217,,Surface,2,Image 1,1,77,
8.69355,,Surface,2,Image 1,1,78,
9.19162,,Surface,2,Image 1,1,79,
10.0181,,Surface,2,Image 1,1,80,
8.17898,,Surface,2,Image 1,1,81,
14.0782,,Surface,2,Image 1,1,82,
9.32372,,Surface,2,Image 1,1,83,
7.29651,,Surface,2,Image 1,1,84,
20.6457,,Surface,2,Image 1,1,85,
9.61745,,Surface,2,Image 1,1,86,
7.8819,,Surface,2,Image 1,1,87,
11.6161,,Surface,2,Image 1,1,88,
7.43592,,Surface,2,Image 1,1,89,
11.8396,,Surface,2,Image 1,1,90,
8.75158,,Surface,2,Image 1,1,91,
9.14128,,Surface,2,Image 1,1,92,
11.838,,Surface,2,Image 1,1,93,
16.5301,,Surface,2,Image 1,1,94,
15.2554,,Surface,2,Image 1,1,95,
8.68174,,Surface,2,Image 1,1,96,
12.9217,,Surface,2,Image 1,1,97,
8.79527,,Surface,2,Image 1,1,98,
11.2513,,Surface,2,Image 1,1,99,
7.55883,,Surface,2,Image 1,1,100,
7.88241,,Surface,2,Image 1,1,101,
13.2127,,Surface,2,Image 1,1,102,
9.81736,,Surface,2,Image 1,1,103,
8.52571,,Surface,2,Image 1,1,104,
11.6308,,Surface,2,Image 1,1,105,
9.46939,,Surface,2,Image 1,1,106,
8.97619,,Surface,2,Image 1,1,107,
9.98766,,Surface,2,Image 1,1,108,
