
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.23627,,Surface,2,Image 1,1,0,
1.18446,,Surface,2,Image 1,1,1,
1.19705,,Surface,2,Image 1,1,2,
1.24326,,Surface,2,Image 1,1,3,
1.44808,,Surface,2,Image 1,1,4,
1.6718,,Surface,2,Image 1,1,5,
1.31578,,Surface,2,Image 1,1,6,
1.3127,,Surface,2,Image 1,1,7,
1.61834,,Surface,2,Image 1,1,8,
1.57379,,Surface,2,Image 1,1,9,
1.61867,,Surface,2,Image 1,1,10,
1.78427,,Surface,2,Image 1,1,11,
2.47793,,Surface,2,Image 1,1,12,
2.12058,,Surface,2,Image 1,1,13,
2.02425,,Surface,2,Image 1,1,14,
3.16863,,Surface,2,Image 1,1,15,
2.00517,,Surface,2,Image 1,1,16,
3.25502,,Surface,2,Image 1,1,17,
3.01005,,Surface,2,Image 1,1,18,
2.10508,,Surface,2,Image 1,1,19,
2.4789,,Surface,2,Image 1,1,20,
2.35045,,Surface,2,Image 1,1,21,
2.46736,,Surface,2,Image 1,1,22,
1.70963,,Surface,2,Image 1,1,23,
1.68952,,Surface,2,Image 1,1,24,
1.09325,,Surface,2,Image 1,1,25,
0.993765,,Surface,2,Image 1,1,26,
1.15269,,Surface,2,Image 1,1,27,
1.09601,,Surface,2,Image 1,1,28,
1.04681,,Surface,2,Image 1,1,29,
1.31371,,Surface,2,Image 1,1,30,
1.18766,,Surface,2,Image 1,1,31,
1.36921,,Surface,2,Image 1,1,32,
1.26009,,Surface,2,Image 1,1,33,
1.59536,,Surface,2,Image 1,1,34,
1.26733,,Surface,2,Image 1,1,35,
1.11765,,Surface,2,Image 1,1,36,
1.33245,,Surface,2,Image 1,1,37,
1.33166,,Surface,2,Image 1,1,38,
1.22622,,Surface,2,Image 1,1,39,
1.21976,,Surface,2,Image 1,1,40,
1.38498,,Surface,2,Image 1,1,41,
1.55043,,Surface,2,Image 1,1,42,
1.45642,,Surface,2,Image 1,1,43,
1.23581,,Surface,2,Image 1,1,44,
1.89955,,Surface,2,Image 1,1,45,
1.67984,,Surface,2,Image 1,1,46,
1.55701,,Surface,2,Image 1,1,47,
1.81743,,Surface,2,Image 1,1,48,
1.98254,,Surface,2,Image 1,1,49,
1.41129,,Surface,2,Image 1,1,50,
1.49435,,Surface,2,Image 1,1,51,
1.56359,,Surface,2,Image 1,1,52,
1.03665,,Surface,2,Image 1,1,53,
1.67185,,Surface,2,Image 1,1,54,
1.29659,,Surface,2,Image 1,1,55,
1.00987,,Surface,2,Image 1,1,56,
1.11072,,Surface,2,Image 1,1,57,
1.57191,,Surface,2,Image 1,1,58,
1.34189,,Surface,2,Image 1,1,59,
1.54389,,Surface,2,Image 1,1,60,
1.28201,,Surface,2,Image 1,1,61,
1.35672,,Surface,2,Image 1,1,62,
2.60012,,Surface,2,Image 1,1,63,
2.04459,,Surface,2,Image 1,1,64,
