
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.62092,,Surface,2,Image 1,1,0,
4.72203,,Surface,2,Image 1,1,1,
4.58605,,Surface,2,Image 1,1,2,
4.02073,,Surface,2,Image 1,1,3,
1.96068,,Surface,2,Image 1,1,4,
5.12005,,Surface,2,Image 1,1,5,
4.85096,,Surface,2,Image 1,1,6,
7.26255,,Surface,2,Image 1,1,7,
1.35478,,Surface,2,Image 1,1,8,
6.82872,,Surface,2,Image 1,1,9,
3.90325,,Surface,2,Image 1,1,10,
7.03215,,Surface,2,Image 1,1,11,
3.04304,,Surface,2,Image 1,1,12,
4.78883,,Surface,2,Image 1,1,13,
6.29189,,Surface,2,Image 1,1,14,
1.23058,,Surface,2,Image 1,1,15,
1.78658,,Surface,2,Image 1,1,16,
2.77246,,Surface,2,Image 1,1,17,
1.98054,,Surface,2,Image 1,1,18,
3.3357,,Surface,2,Image 1,1,19,
1.6505,,Surface,2,Image 1,1,20,
1.63642,,Surface,2,Image 1,1,21,
3.22575,,Surface,2,Image 1,1,22,
1.68015,,Surface,2,Image 1,1,23,
2.27278,,Surface,2,Image 1,1,24,
2.62202,,Surface,2,Image 1,1,25,
3.66272,,Surface,2,Image 1,1,26,
2.68227,,Surface,2,Image 1,1,27,
2.31163,,Surface,2,Image 1,1,28,
3.12543,,Surface,2,Image 1,1,29,
1.60706,,Surface,2,Image 1,1,30,
2.59993,,Surface,2,Image 1,1,31,
1.25672,,Surface,2,Image 1,1,32,
1.48493,,Surface,2,Image 1,1,33,
1.27776,,Surface,2,Image 1,1,34,
