
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
2.6487,62.4761,153.161,um,Surface,Position,1,0,
15.1082,58.338,154.388,um,Surface,Position,1,1,
10.5982,60.0323,155.346,um,Surface,Position,1,2,
25.0669,61.4571,154.561,um,Surface,Position,1,3,
7.7409,69.7724,155.205,um,Surface,Position,1,4,
22.2322,52.0095,157.202,um,Surface,Position,1,5,
5.79171,60.6102,157.444,um,Surface,Position,1,6,
18.7806,54.8255,155.922,um,Surface,Position,1,7,
11.8726,51.459,158.287,um,Surface,Position,1,8,
21.7502,66.2001,158.572,um,Surface,Position,1,9,
41.8431,50.8647,153.304,um,Surface,Position,1,10,
47.0056,58.1067,153.296,um,Surface,Position,1,11,
44.9893,65.3028,154.102,um,Surface,Position,1,12,
42.4531,57.4051,155.132,um,Surface,Position,1,13,
37.4933,54.585,155.719,um,Surface,Position,1,14,
27.3557,52.6037,156.094,um,Surface,Position,1,15,
31.0152,58.906,154.901,um,Surface,Position,1,16,
49.5438,66.0307,154.592,um,Surface,Position,1,17,
-0.18316,77.0323,154.778,um,Surface,Position,1,18,
-12.4954,79.0246,157.112,um,Surface,Position,1,19,
-6.94972,79.8564,157.579,um,Surface,Position,1,20,
-4.2052,88.4248,157.775,um,Surface,Position,1,21,
-12.8469,72.3548,158.801,um,Surface,Position,1,22,
13.0285,73.0318,154.325,um,Surface,Position,1,23,
6.15067,75.9262,154.905,um,Surface,Position,1,24,
19.1191,72.0294,154.984,um,Surface,Position,1,25,
8.67793,80.724,156.406,um,Surface,Position,1,26,
19.9726,81.5224,156.992,um,Surface,Position,1,27,
21.6848,92.6363,157.306,um,Surface,Position,1,28,
5.76347,88.4914,157.389,um,Surface,Position,1,29,
3.00856,83.5071,159.419,um,Surface,Position,1,30,
14.1279,78.7583,158.085,um,Surface,Position,1,31,
34.1406,71.5778,153.394,um,Surface,Position,1,32,
28.1677,73.4676,153.774,um,Surface,Position,1,33,
25.6009,81.0991,152.773,um,Surface,Position,1,34,
47.5794,71.083,153.265,um,Surface,Position,1,35,
29.9776,86.8086,155.102,um,Surface,Position,1,36,
40.1255,81.9269,154.563,um,Surface,Position,1,37,
44.2223,78.4433,155.132,um,Surface,Position,1,38,
37.9897,74.9601,155.543,um,Surface,Position,1,39,
44.5952,87.3648,157.189,um,Surface,Position,1,40,
37.0707,89.454,157.045,um,Surface,Position,1,41,
40.679,91.6424,157.147,um,Surface,Position,1,42,
28.9478,74.7254,158.71,um,Surface,Position,1,43,
31.9416,81.1199,158.972,um,Surface,Position,1,44,
55.8746,73.6799,152.909,um,Surface,Position,1,45,
48.539,89.6839,155.022,um,Surface,Position,1,46,
1.29751,96.1003,155.728,um,Surface,Position,1,47,
21.0343,98.9938,154.858,um,Surface,Position,1,48,
17.0828,102.125,154.734,um,Surface,Position,1,49,
9.49432,106.851,154.986,um,Surface,Position,1,50,
13.4807,107.178,154.479,um,Surface,Position,1,51,
16.0772,94.682,156.247,um,Surface,Position,1,52,
21.6124,106.229,155.651,um,Surface,Position,1,53,
23.963,113.867,156.835,um,Surface,Position,1,54,
10.4237,94.8661,159.974,um,Surface,Position,1,55,
31.4975,101.468,153.32,um,Surface,Position,1,56,
32.6475,94.8266,155.907,um,Surface,Position,1,57,
26.3152,99.6721,155.722,um,Surface,Position,1,58,
40.5437,99.5658,156.665,um,Surface,Position,1,59,
46.9393,95.0679,156.706,um,Surface,Position,1,60,
34.7131,105.951,157.658,um,Surface,Position,1,61,
