
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
100.831,149.384,137.532,um,Surface,Position,1,0,
75.6441,63.317,135.734,um,Surface,Position,1,1,
119.949,132.304,122.449,um,Surface,Position,1,2,
114.333,142.131,124.127,um,Surface,Position,1,3,
103.589,150.306,122.954,um,Surface,Position,1,4,
96.2307,152.432,127.406,um,Surface,Position,1,5,
112.366,147.613,121.527,um,Surface,Position,1,6,
115.611,143.707,134.651,um,Surface,Position,1,7,
105.547,83.0411,135.092,um,Surface,Position,1,8,
71.3511,118.193,123.975,um,Surface,Position,1,9,
66.4253,112.631,126.339,um,Surface,Position,1,10,
94.8746,118.481,122.897,um,Surface,Position,1,11,
103.186,111.738,124.486,um,Surface,Position,1,12,
90.7302,119.972,135.997,um,Surface,Position,1,13,
57.3134,57.6237,129.487,um,Surface,Position,1,14,
58.6017,64.1498,124.151,um,Surface,Position,1,15,
156.326,99.3698,109.724,um,Surface,Position,1,16,
143.5,116.022,104.583,um,Surface,Position,1,17,
138.523,115.837,109.765,um,Surface,Position,1,18,
89.2988,121.601,117.999,um,Surface,Position,1,19,
109.378,125.052,113.486,um,Surface,Position,1,20,
131.65,129.808,109.292,um,Surface,Position,1,21,
120.839,122.907,111.032,um,Surface,Position,1,22,
137.552,125.94,111.998,um,Surface,Position,1,23,
139.15,119.913,115.212,um,Surface,Position,1,24,
139.694,130.743,118.759,um,Surface,Position,1,25,
87.0512,140.484,105.808,um,Surface,Position,1,26,
101.231,130.865,106.507,um,Surface,Position,1,27,
100.192,142.511,111.194,um,Surface,Position,1,28,
109.972,134.107,105.697,um,Surface,Position,1,29,
111.353,129.756,110.082,um,Surface,Position,1,30,
115.04,141.022,114.953,um,Surface,Position,1,31,
126.79,136.994,110.835,um,Surface,Position,1,32,
121.584,133.297,113.624,um,Surface,Position,1,33,
130.621,131.364,117.833,um,Surface,Position,1,34,
35.5621,150.599,113.915,um,Surface,Position,1,35,
40.2233,152.735,118.796,um,Surface,Position,1,36,
72.8018,153.206,110.343,um,Surface,Position,1,37,
78.1454,153.572,112.282,um,Surface,Position,1,38,
92.7562,146.365,110.53,um,Surface,Position,1,39,
95.0149,151.889,114.361,um,Surface,Position,1,40,
104.815,146.362,116.717,um,Surface,Position,1,41,
108.617,142.428,112.678,um,Surface,Position,1,42,
87.7578,154.995,119.792,um,Surface,Position,1,43,
140.948,56.9115,109.073,um,Surface,Position,1,44,
98.1097,83.5992,116.958,um,Surface,Position,1,45,
118.571,128.372,96.7953,um,Surface,Position,1,46,
124.945,124.455,98.7629,um,Surface,Position,1,47,
130.806,126.642,100.439,um,Surface,Position,1,48,
136.746,119.131,100.387,um,Surface,Position,1,49,
113.338,131.43,95.8596,um,Surface,Position,1,50,
109.173,136.195,98.6698,um,Surface,Position,1,51,
113.202,138.388,104.202,um,Surface,Position,1,52,
125.199,131.485,100.652,um,Surface,Position,1,53,
83.406,145.038,102.965,um,Surface,Position,1,54,
144.081,88.8224,96.168,um,Surface,Position,1,55,
149.479,94.7652,99.3509,um,Surface,Position,1,56,
124.711,113.09,91.8705,um,Surface,Position,1,57,
130.492,118.185,94.4586,um,Surface,Position,1,58,
126.474,116.876,98.6041,um,Surface,Position,1,59,
134.839,112.562,93.3057,um,Surface,Position,1,60,
140.201,112.201,100.016,um,Surface,Position,1,61,
126.042,83.0191,80.3796,um,Surface,Position,1,62,
