
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
17,,Surface,3,Image 1,1,0,
17,,Surface,3,Image 1,1,1,
21,,Surface,3,Image 1,1,2,
21,,Surface,3,Image 1,1,3,
25,,Surface,3,Image 1,1,4,
24,,Surface,3,Image 1,1,5,
46,,Surface,3,Image 1,1,6,
21,,Surface,3,Image 1,1,7,
22,,Surface,3,Image 1,1,8,
20,,Surface,3,Image 1,1,9,
27,,Surface,3,Image 1,1,10,
40,,Surface,3,Image 1,1,11,
101,,Surface,3,Image 1,1,12,
99,,Surface,3,Image 1,1,13,
79,,Surface,3,Image 1,1,14,
134,,Surface,3,Image 1,1,15,
24,,Surface,3,Image 1,1,16,
76,,Surface,3,Image 1,1,17,
109,,Surface,3,Image 1,1,18,
68,,Surface,3,Image 1,1,19,
123,,Surface,3,Image 1,1,20,
140,,Surface,3,Image 1,1,21,
87,,Surface,3,Image 1,1,22,
23,,Surface,3,Image 1,1,23,
21,,Surface,3,Image 1,1,24,
91,,Surface,3,Image 1,1,25,
23,,Surface,3,Image 1,1,26,
16,,Surface,3,Image 1,1,27,
19,,Surface,3,Image 1,1,28,
20,,Surface,3,Image 1,1,29,
20,,Surface,3,Image 1,1,30,
18,,Surface,3,Image 1,1,31,
21,,Surface,3,Image 1,1,32,
30,,Surface,3,Image 1,1,33,
24,,Surface,3,Image 1,1,34,
24,,Surface,3,Image 1,1,35,
17,,Surface,3,Image 1,1,36,
73,,Surface,3,Image 1,1,37,
24,,Surface,3,Image 1,1,38,
23,,Surface,3,Image 1,1,39,
29,,Surface,3,Image 1,1,40,
40,,Surface,3,Image 1,1,41,
22,,Surface,3,Image 1,1,42,
26,,Surface,3,Image 1,1,43,
21,,Surface,3,Image 1,1,44,
76,,Surface,3,Image 1,1,45,
26,,Surface,3,Image 1,1,46,
38,,Surface,3,Image 1,1,47,
80,,Surface,3,Image 1,1,48,
67,,Surface,3,Image 1,1,49,
22,,Surface,3,Image 1,1,50,
50,,Surface,3,Image 1,1,51,
22,,Surface,3,Image 1,1,52,
18,,Surface,3,Image 1,1,53,
50,,Surface,3,Image 1,1,54,
20,,Surface,3,Image 1,1,55,
18,,Surface,3,Image 1,1,56,
19,,Surface,3,Image 1,1,57,
45,,Surface,3,Image 1,1,58,
19,,Surface,3,Image 1,1,59,
37,,Surface,3,Image 1,1,60,
23,,Surface,3,Image 1,1,61,
20,,Surface,3,Image 1,1,62,
52,,Surface,3,Image 1,1,63,
74,,Surface,3,Image 1,1,64,
67,,Surface,3,Image 1,1,65,
78,,Surface,3,Image 1,1,66,
19,,Surface,3,Image 1,1,67,
25,,Surface,3,Image 1,1,68,
130,,Surface,3,Image 1,1,69,
65,,Surface,3,Image 1,1,70,
22,,Surface,3,Image 1,1,71,
117,,Surface,3,Image 1,1,72,
138,,Surface,3,Image 1,1,73,
238,,Surface,3,Image 1,1,74,
108,,Surface,3,Image 1,1,75,
152,,Surface,3,Image 1,1,76,
162,,Surface,3,Image 1,1,77,
134,,Surface,3,Image 1,1,78,
136,,Surface,3,Image 1,1,79,
98,,Surface,3,Image 1,1,80,
182,,Surface,3,Image 1,1,81,
52,,Surface,3,Image 1,1,82,
72,,Surface,3,Image 1,1,83,
111,,Surface,3,Image 1,1,84,
43,,Surface,3,Image 1,1,85,
181,,Surface,3,Image 1,1,86,
22,,Surface,3,Image 1,1,87,
102,,Surface,3,Image 1,1,88,
76,,Surface,3,Image 1,1,89,
99,,Surface,3,Image 1,1,90,
36,,Surface,3,Image 1,1,91,
42,,Surface,3,Image 1,1,92,
17,,Surface,3,Image 1,1,93,
19,,Surface,3,Image 1,1,94,
58,,Surface,3,Image 1,1,95,
