
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
115,,Surface,3,Image 1,1,0,
83,,Surface,3,Image 1,1,1,
133,,Surface,3,Image 1,1,2,
121,,Surface,3,Image 1,1,3,
101,,Surface,3,Image 1,1,4,
90,,Surface,3,Image 1,1,5,
114,,Surface,3,Image 1,1,6,
146,,Surface,3,Image 1,1,7,
90,,Surface,3,Image 1,1,8,
185,,Surface,3,Image 1,1,9,
142,,Surface,3,Image 1,1,10,
89,,Surface,3,Image 1,1,11,
95,,Surface,3,Image 1,1,12,
209,,Surface,3,Image 1,1,13,
147,,Surface,3,Image 1,1,14,
129,,Surface,3,Image 1,1,15,
99,,Surface,3,Image 1,1,16,
80,,Surface,3,Image 1,1,17,
115,,Surface,3,Image 1,1,18,
231,,Surface,3,Image 1,1,19,
117,,Surface,3,Image 1,1,20,
80,,Surface,3,Image 1,1,21,
100,,Surface,3,Image 1,1,22,
80,,Surface,3,Image 1,1,23,
94,,Surface,3,Image 1,1,24,
94,,Surface,3,Image 1,1,25,
110,,Surface,3,Image 1,1,26,
92,,Surface,3,Image 1,1,27,
100,,Surface,3,Image 1,1,28,
159,,Surface,3,Image 1,1,29,
80,,Surface,3,Image 1,1,30,
91,,Surface,3,Image 1,1,31,
101,,Surface,3,Image 1,1,32,
80,,Surface,3,Image 1,1,33,
80,,Surface,3,Image 1,1,34,
