
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.37874,,Surface,5,Image 1,1,0,
4.55304,,Surface,5,Image 1,1,1,
5.6174,,Surface,5,Image 1,1,2,
3.41321,,Surface,5,Image 1,1,3,
3.85763,,Surface,5,Image 1,1,4,
3.81107,,Surface,5,Image 1,1,5,
4.75458,,Surface,5,Image 1,1,6,
3.50462,,Surface,5,Image 1,1,7,
4.25243,,Surface,5,Image 1,1,8,
2.78658,,Surface,5,Image 1,1,9,
3.03584,,Surface,5,Image 1,1,10,
3.3253,,Surface,5,Image 1,1,11,
3.4476,,Surface,5,Image 1,1,12,
2.58457,,Surface,5,Image 1,1,13,
5.90942,,Surface,5,Image 1,1,14,
5.48654,,Surface,5,Image 1,1,15,
5.5661,,Surface,5,Image 1,1,16,
5.09403,,Surface,5,Image 1,1,17,
5.13918,,Surface,5,Image 1,1,18,
3.24955,,Surface,5,Image 1,1,19,
5.15851,,Surface,5,Image 1,1,20,
4.73435,,Surface,5,Image 1,1,21,
4.79959,,Surface,5,Image 1,1,22,
5.61005,,Surface,5,Image 1,1,23,
4.60135,,Surface,5,Image 1,1,24,
4.34673,,Surface,5,Image 1,1,25,
4.05735,,Surface,5,Image 1,1,26,
4.4222,,Surface,5,Image 1,1,27,
5.11387,,Surface,5,Image 1,1,28,
4.1182,,Surface,5,Image 1,1,29,
4.76089,,Surface,5,Image 1,1,30,
4.65979,,Surface,5,Image 1,1,31,
4.16827,,Surface,5,Image 1,1,32,
5.58278,,Surface,5,Image 1,1,33,
4.52489,,Surface,5,Image 1,1,34,
5.96486,,Surface,5,Image 1,1,35,
5.51582,,Surface,5,Image 1,1,36,
4.89906,,Surface,5,Image 1,1,37,
5.8447,,Surface,5,Image 1,1,38,
3.71264,,Surface,5,Image 1,1,39,
4.08692,,Surface,5,Image 1,1,40,
3.54933,,Surface,5,Image 1,1,41,
4.24146,,Surface,5,Image 1,1,42,
4.83493,,Surface,5,Image 1,1,43,
3.4687,,Surface,5,Image 1,1,44,
4.12938,,Surface,5,Image 1,1,45,
5.16769,,Surface,5,Image 1,1,46,
6.34594,,Surface,5,Image 1,1,47,
4.46936,,Surface,5,Image 1,1,48,
4.20658,,Surface,5,Image 1,1,49,
4.82723,,Surface,5,Image 1,1,50,
4.31352,,Surface,5,Image 1,1,51,
4.26947,,Surface,5,Image 1,1,52,
4.54441,,Surface,5,Image 1,1,53,
5.01992,,Surface,5,Image 1,1,54,
5.29589,,Surface,5,Image 1,1,55,
4.34223,,Surface,5,Image 1,1,56,
9.60039,,Surface,5,Image 1,1,57,
5.29536,,Surface,5,Image 1,1,58,
7.58526,,Surface,5,Image 1,1,59,
11.8922,,Surface,5,Image 1,1,60,
7.22697,,Surface,5,Image 1,1,61,
5.71205,,Surface,5,Image 1,1,62,
