
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.7201,,Surface,5,Image 1,1,0,
3.75308,,Surface,5,Image 1,1,1,
4.47075,,Surface,5,Image 1,1,2,
3.8099,,Surface,5,Image 1,1,3,
4.22634,,Surface,5,Image 1,1,4,
4.32958,,Surface,5,Image 1,1,5,
4.55867,,Surface,5,Image 1,1,6,
3.98209,,Surface,5,Image 1,1,7,
4.06605,,Surface,5,Image 1,1,8,
4.04357,,Surface,5,Image 1,1,9,
3.58457,,Surface,5,Image 1,1,10,
4.84146,,Surface,5,Image 1,1,11,
4.57877,,Surface,5,Image 1,1,12,
4.38176,,Surface,5,Image 1,1,13,
3.81469,,Surface,5,Image 1,1,14,
4.4419,,Surface,5,Image 1,1,15,
3.92519,,Surface,5,Image 1,1,16,
4.89133,,Surface,5,Image 1,1,17,
4.68952,,Surface,5,Image 1,1,18,
4.94674,,Surface,5,Image 1,1,19,
4.76128,,Surface,5,Image 1,1,20,
4.55305,,Surface,5,Image 1,1,21,
4.00777,,Surface,5,Image 1,1,22,
4.21938,,Surface,5,Image 1,1,23,
4.62322,,Surface,5,Image 1,1,24,
4.35323,,Surface,5,Image 1,1,25,
4.45328,,Surface,5,Image 1,1,26,
4.76318,,Surface,5,Image 1,1,27,
4.56419,,Surface,5,Image 1,1,28,
3.83107,,Surface,5,Image 1,1,29,
4.62225,,Surface,5,Image 1,1,30,
4.4185,,Surface,5,Image 1,1,31,
4.24867,,Surface,5,Image 1,1,32,
3.56752,,Surface,5,Image 1,1,33,
4.34775,,Surface,5,Image 1,1,34,
3.67726,,Surface,5,Image 1,1,35,
4.70273,,Surface,5,Image 1,1,36,
4.43371,,Surface,5,Image 1,1,37,
4.3838,,Surface,5,Image 1,1,38,
4.42993,,Surface,5,Image 1,1,39,
4.3112,,Surface,5,Image 1,1,40,
4.1446,,Surface,5,Image 1,1,41,
4.38479,,Surface,5,Image 1,1,42,
4.38252,,Surface,5,Image 1,1,43,
4.50743,,Surface,5,Image 1,1,44,
4.21995,,Surface,5,Image 1,1,45,
4.74731,,Surface,5,Image 1,1,46,
6.96279,,Surface,5,Image 1,1,47,
4.44604,,Surface,5,Image 1,1,48,
5.7082,,Surface,5,Image 1,1,49,
4.59787,,Surface,5,Image 1,1,50,
5.45497,,Surface,5,Image 1,1,51,
4.88187,,Surface,5,Image 1,1,52,
4.44722,,Surface,5,Image 1,1,53,
4.50062,,Surface,5,Image 1,1,54,
4.71711,,Surface,5,Image 1,1,55,
4.45074,,Surface,5,Image 1,1,56,
4.34066,,Surface,5,Image 1,1,57,
4.11197,,Surface,5,Image 1,1,58,
4.18098,,Surface,5,Image 1,1,59,
4.16121,,Surface,5,Image 1,1,60,
3.84795,,Surface,5,Image 1,1,61,
4.24165,,Surface,5,Image 1,1,62,
4.10833,,Surface,5,Image 1,1,63,
4.06018,,Surface,5,Image 1,1,64,
4.21761,,Surface,5,Image 1,1,65,
4.0171,,Surface,5,Image 1,1,66,
4.10986,,Surface,5,Image 1,1,67,
4.1112,,Surface,5,Image 1,1,68,
4.02281,,Surface,5,Image 1,1,69,
