
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.80418,,Surface,4,Image 1,1,0,
3.63062,,Surface,4,Image 1,1,1,
6.73212,,Surface,4,Image 1,1,2,
6.03674,,Surface,4,Image 1,1,3,
4.59166,,Surface,4,Image 1,1,4,
7.0871,,Surface,4,Image 1,1,5,
7.18834,,Surface,4,Image 1,1,6,
3.4427,,Surface,4,Image 1,1,7,
10.1677,,Surface,4,Image 1,1,8,
4.67669,,Surface,4,Image 1,1,9,
4.74429,,Surface,4,Image 1,1,10,
9.41105,,Surface,4,Image 1,1,11,
5.29021,,Surface,4,Image 1,1,12,
5.0227,,Surface,4,Image 1,1,13,
3.3017,,Surface,4,Image 1,1,14,
3.84767,,Surface,4,Image 1,1,15,
6.36596,,Surface,4,Image 1,1,16,
6.76804,,Surface,4,Image 1,1,17,
5.27286,,Surface,4,Image 1,1,18,
4.67935,,Surface,4,Image 1,1,19,
6.33221,,Surface,4,Image 1,1,20,
6.53951,,Surface,4,Image 1,1,21,
6.06583,,Surface,4,Image 1,1,22,
7.39452,,Surface,4,Image 1,1,23,
6.48656,,Surface,4,Image 1,1,24,
4.6515,,Surface,4,Image 1,1,25,
4.01606,,Surface,4,Image 1,1,26,
3.87512,,Surface,4,Image 1,1,27,
3.80669,,Surface,4,Image 1,1,28,
3.95152,,Surface,4,Image 1,1,29,
6.31623,,Surface,4,Image 1,1,30,
7.30096,,Surface,4,Image 1,1,31,
3.74758,,Surface,4,Image 1,1,32,
6.35494,,Surface,4,Image 1,1,33,
6.2425,,Surface,4,Image 1,1,34,
3.25,,Surface,4,Image 1,1,35,
4.39551,,Surface,4,Image 1,1,36,
3.99831,,Surface,4,Image 1,1,37,
3.97575,,Surface,4,Image 1,1,38,
3.56542,,Surface,4,Image 1,1,39,
5.40341,,Surface,4,Image 1,1,40,
5.01692,,Surface,4,Image 1,1,41,
3.78167,,Surface,4,Image 1,1,42,
6.44361,,Surface,4,Image 1,1,43,
3.92042,,Surface,4,Image 1,1,44,
5.54551,,Surface,4,Image 1,1,45,
6.46372,,Surface,4,Image 1,1,46,
6.4155,,Surface,4,Image 1,1,47,
5.86359,,Surface,4,Image 1,1,48,
5.83893,,Surface,4,Image 1,1,49,
4.93865,,Surface,4,Image 1,1,50,
5.00576,,Surface,4,Image 1,1,51,
5.047,,Surface,4,Image 1,1,52,
3.29571,,Surface,4,Image 1,1,53,
3.47963,,Surface,4,Image 1,1,54,
3.50389,,Surface,4,Image 1,1,55,
4.39486,,Surface,4,Image 1,1,56,
6.59696,,Surface,4,Image 1,1,57,
4.11525,,Surface,4,Image 1,1,58,
7.28355,,Surface,4,Image 1,1,59,
3.95036,,Surface,4,Image 1,1,60,
4.87711,,Surface,4,Image 1,1,61,
5.3482,,Surface,4,Image 1,1,62,
