
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.90344,,Surface,4,Image 1,1,0,
0.975392,,Surface,4,Image 1,1,1,
1.05638,,Surface,4,Image 1,1,2,
0.963163,,Surface,4,Image 1,1,3,
1.43557,,Surface,4,Image 1,1,4,
1.21808,,Surface,4,Image 1,1,5,
1.42713,,Surface,4,Image 1,1,6,
1.19482,,Surface,4,Image 1,1,7,
1.23063,,Surface,4,Image 1,1,8,
1.16536,,Surface,4,Image 1,1,9,
1.06794,,Surface,4,Image 1,1,10,
1.27629,,Surface,4,Image 1,1,11,
1.46685,,Surface,4,Image 1,1,12,
1.50027,,Surface,4,Image 1,1,13,
1.20035,,Surface,4,Image 1,1,14,
1.37969,,Surface,4,Image 1,1,15,
1.04218,,Surface,4,Image 1,1,16,
1.46348,,Surface,4,Image 1,1,17,
1.39228,,Surface,4,Image 1,1,18,
1.309,,Surface,4,Image 1,1,19,
1.79101,,Surface,4,Image 1,1,20,
1.2356,,Surface,4,Image 1,1,21,
1.28414,,Surface,4,Image 1,1,22,
3.3744,,Surface,4,Image 1,1,23,
1.31259,,Surface,4,Image 1,1,24,
1.82098,,Surface,4,Image 1,1,25,
2.26979,,Surface,4,Image 1,1,26,
1.68785,,Surface,4,Image 1,1,27,
1.6333,,Surface,4,Image 1,1,28,
2.77487,,Surface,4,Image 1,1,29,
1.44553,,Surface,4,Image 1,1,30,
1.09074,,Surface,4,Image 1,1,31,
2.29088,,Surface,4,Image 1,1,32,
1.50606,,Surface,4,Image 1,1,33,
1.41171,,Surface,4,Image 1,1,34,
1.12458,,Surface,4,Image 1,1,35,
1.61873,,Surface,4,Image 1,1,36,
1.1598,,Surface,4,Image 1,1,37,
1.18177,,Surface,4,Image 1,1,38,
1.14105,,Surface,4,Image 1,1,39,
0.940995,,Surface,4,Image 1,1,40,
1.16808,,Surface,4,Image 1,1,41,
1.06892,,Surface,4,Image 1,1,42,
1.22841,,Surface,4,Image 1,1,43,
1.25616,,Surface,4,Image 1,1,44,
1.18639,,Surface,4,Image 1,1,45,
1.24543,,Surface,4,Image 1,1,46,
1.26064,,Surface,4,Image 1,1,47,
1.47303,,Surface,4,Image 1,1,48,
1.10513,,Surface,4,Image 1,1,49,
1.47385,,Surface,4,Image 1,1,50,
1.38009,,Surface,4,Image 1,1,51,
1.63761,,Surface,4,Image 1,1,52,
1.67861,,Surface,4,Image 1,1,53,
