
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.60521,,Surface,5,Image 1,1,0,
4.83216,,Surface,5,Image 1,1,1,
1.91085,,Surface,5,Image 1,1,2,
1.27915,,Surface,5,Image 1,1,4,
0.731256,,Surface,5,Image 1,1,5,
2.7141,,Surface,5,Image 1,1,9,
2.31449,,Surface,5,Image 1,1,10,
3.36642,,Surface,5,Image 1,1,11,
2.09749,,Surface,5,Image 1,1,12,
2.27881,,Surface,5,Image 1,1,13,
3.48427,,Surface,5,Image 1,1,14,
3.01332,,Surface,5,Image 1,1,15,
3.13293,,Surface,5,Image 1,1,16,
3.75408,,Surface,5,Image 1,1,17,
3.72164,,Surface,5,Image 1,1,18,
3.62086,,Surface,5,Image 1,1,19,
3.6464,,Surface,5,Image 1,1,20,
2.92492,,Surface,5,Image 1,1,21,
4.61865,,Surface,5,Image 1,1,22,
4.51493,,Surface,5,Image 1,1,23,
2.72525,,Surface,5,Image 1,1,24,
3.84232,,Surface,5,Image 1,1,25,
3.24767,,Surface,5,Image 1,1,26,
2.26317,,Surface,5,Image 1,1,27,
1.10724,,Surface,5,Image 1,1,28,
1.80908,,Surface,5,Image 1,1,29,
2.00266,,Surface,5,Image 1,1,30,
1.30707,,Surface,5,Image 1,1,31,
3.32095,,Surface,5,Image 1,1,32,
2.48775,,Surface,5,Image 1,1,33,
2.69206,,Surface,5,Image 1,1,34,
4.73394,,Surface,5,Image 1,1,35,
6.16379,,Surface,5,Image 1,1,36,
3.04806,,Surface,5,Image 1,1,37,
3.14846,,Surface,5,Image 1,1,38,
2.17144,,Surface,5,Image 1,1,39,
1.98821,,Surface,5,Image 1,1,40,
2.42102,,Surface,5,Image 1,1,42,
1.85923,,Surface,5,Image 1,1,43,
1.62303,,Surface,5,Image 1,1,44,
1.35947,,Surface,5,Image 1,1,45,
3.55311,,Surface,5,Image 1,1,46,
3.78938,,Surface,5,Image 1,1,47,
3.53402,,Surface,5,Image 1,1,48,
3.62625,,Surface,5,Image 1,1,49,
2.42142,,Surface,5,Image 1,1,50,
3.23681,,Surface,5,Image 1,1,51,
1.61708,,Surface,5,Image 1,1,52,
2.01042,,Surface,5,Image 1,1,53,
3.02753,,Surface,5,Image 1,1,54,
4.0531,,Surface,5,Image 1,1,55,
4.86273,,Surface,5,Image 1,1,56,
3.11294,,Surface,5,Image 1,1,57,
5.66062,,Surface,5,Image 1,1,58,
4.72318,,Surface,5,Image 1,1,59,
3.32688,,Surface,5,Image 1,1,60,
4.10099,,Surface,5,Image 1,1,61,
3.59806,,Surface,5,Image 1,1,62,
4.0223,,Surface,5,Image 1,1,63,
4.97013,,Surface,5,Image 1,1,64,
4.03244,,Surface,5,Image 1,1,65,
3.64244,,Surface,5,Image 1,1,66,
3.12366,,Surface,5,Image 1,1,67,
5.27798,,Surface,5,Image 1,1,68,
1.30437,,Surface,5,Image 1,1,69,
3.03577,,Surface,5,Image 1,1,70,
0.674277,,Surface,5,Image 1,1,71,
0.772365,,Surface,5,Image 1,1,72,
1.49702,,Surface,5,Image 1,1,77,
1.70325,,Surface,5,Image 1,1,78,
2.13594,,Surface,5,Image 1,1,79,
1.66504,,Surface,5,Image 1,1,80,
1.91355,,Surface,5,Image 1,1,81,
1.229,,Surface,5,Image 1,1,82,
1.81856,,Surface,5,Image 1,1,83,
1.24439,,Surface,5,Image 1,1,84,
1.20093,,Surface,5,Image 1,1,85,
1.50253,,Surface,5,Image 1,1,86,
2.44073,,Surface,5,Image 1,1,87,
1.42937,,Surface,5,Image 1,1,88,
1.68375,,Surface,5,Image 1,1,89,
1.39716,,Surface,5,Image 1,1,90,
1.46813,,Surface,5,Image 1,1,91,
1.55623,,Surface,5,Image 1,1,92,
1.78463,,Surface,5,Image 1,1,93,
2.13111,,Surface,5,Image 1,1,94,
2.5292,,Surface,5,Image 1,1,95,
3.53704,,Surface,5,Image 1,1,96,
3.00817,,Surface,5,Image 1,1,97,
1.89047,,Surface,5,Image 1,1,98,
2.7612,,Surface,5,Image 1,1,99,
1.61486,,Surface,5,Image 1,1,100,
2.65041,,Surface,5,Image 1,1,101,
2.9053,,Surface,5,Image 1,1,102,
2.02608,,Surface,5,Image 1,1,103,
2.25352,,Surface,5,Image 1,1,104,
2.1397,,Surface,5,Image 1,1,105,
1.67442,,Surface,5,Image 1,1,106,
2.56144,,Surface,5,Image 1,1,107,
2.83526,,Surface,5,Image 1,1,108,
3.21126,,Surface,5,Image 1,1,109,
2.34052,,Surface,5,Image 1,1,110,
5.72292,,Surface,5,Image 1,1,111,
5.21719,,Surface,5,Image 1,1,112,
3.30521,,Surface,5,Image 1,1,113,
5.67155,,Surface,5,Image 1,1,114,
8.05949,,Surface,5,Image 1,1,115,
3.67468,,Surface,5,Image 1,1,116,
5.45887,,Surface,5,Image 1,1,117,
2.68571,,Surface,5,Image 1,1,118,
4.23908,,Surface,5,Image 1,1,119,
3.03166,,Surface,5,Image 1,1,120,
4.01147,,Surface,5,Image 1,1,121,
3.52502,,Surface,5,Image 1,1,122,
1.18983,,Surface,5,Image 1,1,123,
6.15195,,Surface,5,Image 1,1,124,
0.901766,,Surface,5,Image 1,1,125,
7.16577,,Surface,5,Image 1,1,126,
2.713,,Surface,5,Image 1,1,127,
2.02618,,Surface,5,Image 1,1,128,
3.9043,,Surface,5,Image 1,1,129,
3.80617,,Surface,5,Image 1,1,130,
2.03092,,Surface,5,Image 1,1,131,
1.89163,,Surface,5,Image 1,1,132,
1.83518,,Surface,5,Image 1,1,133,
1.63114,,Surface,5,Image 1,1,134,
1.69212,,Surface,5,Image 1,1,135,
1.51546,,Surface,5,Image 1,1,136,
1.48556,,Surface,5,Image 1,1,137,
2.92938,,Surface,5,Image 1,1,138,
1.84941,,Surface,5,Image 1,1,139,
1.82347,,Surface,5,Image 1,1,140,
1.53713,,Surface,5,Image 1,1,141,
1.83175,,Surface,5,Image 1,1,142,
2.39072,,Surface,5,Image 1,1,143,
2.16488,,Surface,5,Image 1,1,144,
2.6209,,Surface,5,Image 1,1,145,
3.04397,,Surface,5,Image 1,1,146,
2.88767,,Surface,5,Image 1,1,147,
2.36989,,Surface,5,Image 1,1,148,
2.73604,,Surface,5,Image 1,1,149,
3.12154,,Surface,5,Image 1,1,150,
3.03259,,Surface,5,Image 1,1,151,
2.16348,,Surface,5,Image 1,1,152,
2.72536,,Surface,5,Image 1,1,153,
4.47205,,Surface,5,Image 1,1,154,
2.31491,,Surface,5,Image 1,1,155,
3.12668,,Surface,5,Image 1,1,156,
2.90832,,Surface,5,Image 1,1,157,
2.75762,,Surface,5,Image 1,1,158,
3.38726,,Surface,5,Image 1,1,159,
1.25258,,Surface,5,Image 1,1,160,
1.44355,,Surface,5,Image 1,1,161,
3.35787,,Surface,5,Image 1,1,162,
6.11845,,Surface,5,Image 1,1,163,
5.04005,,Surface,5,Image 1,1,164,
3.83138,,Surface,5,Image 1,1,165,
2.99731,,Surface,5,Image 1,1,166,
2.29185,,Surface,5,Image 1,1,167,
5.44602,,Surface,5,Image 1,1,168,
3.0339,,Surface,5,Image 1,1,169,
2.38213,,Surface,5,Image 1,1,170,
1.49416,,Surface,5,Image 1,1,171,
1.86764,,Surface,5,Image 1,1,172,
1.78285,,Surface,5,Image 1,1,173,
1.44998,,Surface,5,Image 1,1,174,
1.41442,,Surface,5,Image 1,1,175,
1.97286,,Surface,5,Image 1,1,176,
1.20121,,Surface,5,Image 1,1,177,
1.28041,,Surface,5,Image 1,1,178,
1.52195,,Surface,5,Image 1,1,179,
1.76959,,Surface,5,Image 1,1,180,
1.40672,,Surface,5,Image 1,1,181,
2.09772,,Surface,5,Image 1,1,182,
1.38832,,Surface,5,Image 1,1,183,
1.6857,,Surface,5,Image 1,1,184,
1.84792,,Surface,5,Image 1,1,185,
1.92488,,Surface,5,Image 1,1,186,
1.98263,,Surface,5,Image 1,1,187,
1.97471,,Surface,5,Image 1,1,188,
4.00893,,Surface,5,Image 1,1,189,
1.39627,,Surface,5,Image 1,1,190,
1.68627,,Surface,5,Image 1,1,191,
1.0838,,Surface,5,Image 1,1,192,
2.97266,,Surface,5,Image 1,1,193,
1.01671,,Surface,5,Image 1,1,194,
1.66113,,Surface,5,Image 1,1,195,
1.41458,,Surface,5,Image 1,1,196,
2.17463,,Surface,5,Image 1,1,197,
1.15351,,Surface,5,Image 1,1,198,
1.61347,,Surface,5,Image 1,1,199,
1.25121,,Surface,5,Image 1,1,200,
1.20159,,Surface,5,Image 1,1,201,
1.21707,,Surface,5,Image 1,1,202,
1.06393,,Surface,5,Image 1,1,203,
1.08053,,Surface,5,Image 1,1,204,
1.23365,,Surface,5,Image 1,1,205,
1.4299,,Surface,5,Image 1,1,206,
1.16762,,Surface,5,Image 1,1,207,
1.18281,,Surface,5,Image 1,1,208,
1.08571,,Surface,5,Image 1,1,209,
1.27018,,Surface,5,Image 1,1,210,
1.3903,,Surface,5,Image 1,1,211,
0.708821,,Surface,5,Image 1,1,215,
1.62728,,Surface,5,Image 1,1,216,
1.70804,,Surface,5,Image 1,1,217,
0.923206,,Surface,5,Image 1,1,218,
0.895807,,Surface,5,Image 1,1,219,
1.93847,,Surface,5,Image 1,1,220,
2.21499,,Surface,5,Image 1,1,221,
2.78469,,Surface,5,Image 1,1,222,
2.11328,,Surface,5,Image 1,1,226,
2.46768,,Surface,5,Image 1,1,227,
3.30807,,Surface,5,Image 1,1,228,
5.35099,,Surface,5,Image 1,1,229,
2.99327,,Surface,5,Image 1,1,230,
3.77493,,Surface,5,Image 1,1,231,
2.86135,,Surface,5,Image 1,1,232,
3.04768,,Surface,5,Image 1,1,233,
2.35702,,Surface,5,Image 1,1,234,
3.61045,,Surface,5,Image 1,1,235,
2.33287,,Surface,5,Image 1,1,236,
3.76124,,Surface,5,Image 1,1,237,
4.81277,,Surface,5,Image 1,1,238,
3.42842,,Surface,5,Image 1,1,239,
3.93421,,Surface,5,Image 1,1,240,
4.16474,,Surface,5,Image 1,1,241,
3.34816,,Surface,5,Image 1,1,242,
1.6127,,Surface,5,Image 1,1,243,
1.93347,,Surface,5,Image 1,1,244,
1.73016,,Surface,5,Image 1,1,245,
1.76493,,Surface,5,Image 1,1,246,
1.73817,,Surface,5,Image 1,1,247,
1.5268,,Surface,5,Image 1,1,248,
2.82054,,Surface,5,Image 1,1,249,
2.60511,,Surface,5,Image 1,1,250,
1.98845,,Surface,5,Image 1,1,251,
2.35336,,Surface,5,Image 1,1,252,
2.66701,,Surface,5,Image 1,1,253,
3.45893,,Surface,5,Image 1,1,254,
3.09089,,Surface,5,Image 1,1,255,
2.58679,,Surface,5,Image 1,1,256,
8.54449,,Surface,5,Image 1,1,257,
5.40481,,Surface,5,Image 1,1,258,
2.94311,,Surface,5,Image 1,1,259,
3.48917,,Surface,5,Image 1,1,260,
2.9174,,Surface,5,Image 1,1,261,
2.24207,,Surface,5,Image 1,1,262,
4.56292,,Surface,5,Image 1,1,263,
3.63225,,Surface,5,Image 1,1,264,
8.52612,,Surface,5,Image 1,1,265,
10.4925,,Surface,5,Image 1,1,266,
6.63097,,Surface,5,Image 1,1,267,
7.4251,,Surface,5,Image 1,1,268,
4.12847,,Surface,5,Image 1,1,269,
2.9659,,Surface,5,Image 1,1,270,
5.45266,,Surface,5,Image 1,1,271,
9.21055,,Surface,5,Image 1,1,272,
14.9816,,Surface,5,Image 1,1,273,
9.62599,,Surface,5,Image 1,1,274,
2.44192,,Surface,5,Image 1,1,275,
2.91137,,Surface,5,Image 1,1,276,
2.24316,,Surface,5,Image 1,1,277,
1.46752,,Surface,5,Image 1,1,278,
2.47183,,Surface,5,Image 1,1,279,
1.11362,,Surface,5,Image 1,1,280,
1.62936,,Surface,5,Image 1,1,281,
