
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
165.863,68.0851,8.04814,um,Surface,Position,1,0,
159.746,58.6426,9.04157,um,Surface,Position,1,1,
162.509,50.0669,9.42643,um,Surface,Position,1,2,
171.65,63.4703,7.92677,um,Surface,Position,1,4,
170.975,56.154,9.6245,um,Surface,Position,1,5,
134.684,74.812,2.90736,um,Surface,Position,1,9,
128.895,77.9225,4.82874,um,Surface,Position,1,10,
142.028,80.9769,3.76985,um,Surface,Position,1,11,
133.956,88.4227,4.4525,um,Surface,Position,1,12,
140.226,85.3955,5.91028,um,Surface,Position,1,13,
142.976,91.0878,4.87629,um,Surface,Position,1,14,
141.988,71.6083,6.93972,um,Surface,Position,1,15,
148.13,84.0522,5.12618,um,Surface,Position,1,16,
167.038,95.8505,5.82136,um,Surface,Position,1,17,
158.553,71.1675,6.12612,um,Surface,Position,1,18,
152.401,75.3043,5.96933,um,Surface,Position,1,19,
150.352,89.2331,4.42068,um,Surface,Position,1,20,
147.024,77.3209,6.90197,um,Surface,Position,1,21,
157.155,85.9846,6.92182,um,Surface,Position,1,22,
155.479,93.8731,6.37512,um,Surface,Position,1,23,
169.479,90.7751,6.90014,um,Surface,Position,1,24,
165.565,74.9138,7.57583,um,Surface,Position,1,25,
158.305,78.3178,7.80095,um,Surface,Position,1,26,
165.355,82.9785,7.94656,um,Surface,Position,1,27,
179.009,74.985,6.16443,um,Surface,Position,1,28,
171.279,72.979,8.81331,um,Surface,Position,1,29,
172.577,82.1846,6.87342,um,Surface,Position,1,30,
177.072,87.4528,8.98571,um,Surface,Position,1,31,
130.681,110.025,4.89992,um,Surface,Position,1,32,
137.845,116.559,5.1362,um,Surface,Position,1,33,
143.295,106.812,5.34332,um,Surface,Position,1,34,
150.522,99.3058,4.48036,um,Surface,Position,1,35,
160.915,96.6143,6.16702,um,Surface,Position,1,36,
155.624,100.912,6.09891,um,Surface,Position,1,37,
146.051,101.895,6.73983,um,Surface,Position,1,38,
149.115,110.588,6.70042,um,Surface,Position,1,39,
161.842,103.76,7.6825,um,Surface,Position,1,40,
112.401,47.5786,1.41678,um,Surface,Position,1,42,
112.253,54.7152,4.61421,um,Surface,Position,1,43,
118.006,59.1244,3.91704,um,Surface,Position,1,44,
110.635,64.0029,4.17049,um,Surface,Position,1,45,
