
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
6.65743,,Surface,3,Image 1,1,0,
6.4048,,Surface,3,Image 1,1,1,
5.82447,,Surface,3,Image 1,1,2,
6.86956,,Surface,3,Image 1,1,4,
6.75694,,Surface,3,Image 1,1,5,
6.53181,,Surface,3,Image 1,1,9,
7.61255,,Surface,3,Image 1,1,10,
7.86239,,Surface,3,Image 1,1,11,
8.85655,,Surface,3,Image 1,1,12,
8.80688,,Surface,3,Image 1,1,13,
8.8863,,Surface,3,Image 1,1,14,
7.58675,,Surface,3,Image 1,1,15,
8.04976,,Surface,3,Image 1,1,16,
9.30675,,Surface,3,Image 1,1,17,
6.56347,,Surface,3,Image 1,1,18,
6.62006,,Surface,3,Image 1,1,19,
8.23978,,Surface,3,Image 1,1,20,
7.84784,,Surface,3,Image 1,1,21,
8.87387,,Surface,3,Image 1,1,22,
9.77393,,Surface,3,Image 1,1,23,
8.92436,,Surface,3,Image 1,1,24,
7.74951,,Surface,3,Image 1,1,25,
8.02805,,Surface,3,Image 1,1,26,
8.58635,,Surface,3,Image 1,1,27,
8.54273,,Surface,3,Image 1,1,28,
8.36201,,Surface,3,Image 1,1,29,
8.45706,,Surface,3,Image 1,1,30,
9.58824,,Surface,3,Image 1,1,31,
11.0186,,Surface,3,Image 1,1,32,
12.0328,,Surface,3,Image 1,1,33,
10.3022,,Surface,3,Image 1,1,34,
9.78539,,Surface,3,Image 1,1,35,
9.83919,,Surface,3,Image 1,1,36,
10.0029,,Surface,3,Image 1,1,37,
10.1345,,Surface,3,Image 1,1,38,
11.8179,,Surface,3,Image 1,1,39,
10.9237,,Surface,3,Image 1,1,40,
5.57193,,Surface,3,Image 1,1,42,
6.70301,,Surface,3,Image 1,1,43,
6.27739,,Surface,3,Image 1,1,44,
7.45156,,Surface,3,Image 1,1,45,
5.46156,,Surface,3,Image 1,1,46,
5.78783,,Surface,3,Image 1,1,47,
5.64029,,Surface,3,Image 1,1,48,
5.6671,,Surface,3,Image 1,1,49,
6.01051,,Surface,3,Image 1,1,50,
5.2437,,Surface,3,Image 1,1,51,
6.60702,,Surface,3,Image 1,1,52,
6.12322,,Surface,3,Image 1,1,53,
5.49443,,Surface,3,Image 1,1,54,
5.9929,,Surface,3,Image 1,1,55,
4.73419,,Surface,3,Image 1,1,56,
4.71444,,Surface,3,Image 1,1,57,
4.95462,,Surface,3,Image 1,1,58,
5.72705,,Surface,3,Image 1,1,59,
4.75927,,Surface,3,Image 1,1,60,
5.33053,,Surface,3,Image 1,1,61,
4.4646,,Surface,3,Image 1,1,62,
5.0048,,Surface,3,Image 1,1,63,
5.19276,,Surface,3,Image 1,1,64,
5.09446,,Surface,3,Image 1,1,65,
5.52618,,Surface,3,Image 1,1,66,
5.98683,,Surface,3,Image 1,1,67,
5.82567,,Surface,3,Image 1,1,68,
6.59914,,Surface,3,Image 1,1,69,
5.19754,,Surface,3,Image 1,1,70,
5.75372,,Surface,3,Image 1,1,71,
5.77923,,Surface,3,Image 1,1,72,
7.00919,,Surface,3,Image 1,1,77,
7.84992,,Surface,3,Image 1,1,78,
8.26325,,Surface,3,Image 1,1,79,
6.5611,,Surface,3,Image 1,1,80,
9.42387,,Surface,3,Image 1,1,81,
7.33898,,Surface,3,Image 1,1,82,
7.9342,,Surface,3,Image 1,1,83,
8.80537,,Surface,3,Image 1,1,84,
7.4923,,Surface,3,Image 1,1,85,
7.67455,,Surface,3,Image 1,1,86,
9.2553,,Surface,3,Image 1,1,87,
8.61063,,Surface,3,Image 1,1,88,
