
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
53,,Surface,3,Image 1,1,0,
47,,Surface,3,Image 1,1,1,
65,,Surface,3,Image 1,1,2,
55,,Surface,3,Image 1,1,3,
61,,Surface,3,Image 1,1,4,
52,,Surface,3,Image 1,1,5,
41,,Surface,3,Image 1,1,6,
57,,Surface,3,Image 1,1,7,
55,,Surface,3,Image 1,1,8,
53,,Surface,3,Image 1,1,9,
47,,Surface,3,Image 1,1,10,
62,,Surface,3,Image 1,1,11,
50,,Surface,3,Image 1,1,12,
49,,Surface,3,Image 1,1,13,
44,,Surface,3,Image 1,1,14,
50,,Surface,3,Image 1,1,15,
51,,Surface,3,Image 1,1,16,
50,,Surface,3,Image 1,1,17,
82,,Surface,3,Image 1,1,18,
45,,Surface,3,Image 1,1,19,
93,,Surface,3,Image 1,1,20,
88,,Surface,3,Image 1,1,21,
59,,Surface,3,Image 1,1,22,
112,,Surface,3,Image 1,1,23,
185,,Surface,3,Image 1,1,24,
128,,Surface,3,Image 1,1,25,
51,,Surface,3,Image 1,1,26,
50,,Surface,3,Image 1,1,27,
129,,Surface,3,Image 1,1,28,
84,,Surface,3,Image 1,1,29,
87,,Surface,3,Image 1,1,30,
213,,Surface,3,Image 1,1,31,
230,,Surface,3,Image 1,1,32,
231,,Surface,3,Image 1,1,33,
210,,Surface,3,Image 1,1,34,
254,,Surface,3,Image 1,1,35,
76,,Surface,3,Image 1,1,36,
192,,Surface,3,Image 1,1,37,
186,,Surface,3,Image 1,1,38,
239,,Surface,3,Image 1,1,39,
247,,Surface,3,Image 1,1,40,
254,,Surface,3,Image 1,1,41,
196,,Surface,3,Image 1,1,42,
228,,Surface,3,Image 1,1,43,
153,,Surface,3,Image 1,1,44,
71,,Surface,3,Image 1,1,45,
51,,Surface,3,Image 1,1,46,
176,,Surface,3,Image 1,1,47,
154,,Surface,3,Image 1,1,48,
153,,Surface,3,Image 1,1,49,
229,,Surface,3,Image 1,1,50,
