
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2.82553,,Surface,4,Image 1,1,0,
2.70988,,Surface,4,Image 1,1,1,
2.74232,,Surface,4,Image 1,1,2,
5.19565,,Surface,4,Image 1,1,3,
2.41282,,Surface,4,Image 1,1,4,
2.79888,,Surface,4,Image 1,1,5,
3.20297,,Surface,4,Image 1,1,6,
2.15854,,Surface,4,Image 1,1,7,
2.17951,,Surface,4,Image 1,1,8,
2.6522,,Surface,4,Image 1,1,9,
1.91115,,Surface,4,Image 1,1,10,
2.14624,,Surface,4,Image 1,1,11,
2.15167,,Surface,4,Image 1,1,12,
3.29336,,Surface,4,Image 1,1,13,
2.14596,,Surface,4,Image 1,1,14,
3.29539,,Surface,4,Image 1,1,15,
1.74667,,Surface,4,Image 1,1,16,
2.37782,,Surface,4,Image 1,1,17,
1.89764,,Surface,4,Image 1,1,18,
2.10724,,Surface,4,Image 1,1,19,
2.38058,,Surface,4,Image 1,1,20,
2.38972,,Surface,4,Image 1,1,21,
2.16219,,Surface,4,Image 1,1,22,
3.14975,,Surface,4,Image 1,1,23,
2.61046,,Surface,4,Image 1,1,24,
2.26003,,Surface,4,Image 1,1,25,
2.2575,,Surface,4,Image 1,1,26,
2.35017,,Surface,4,Image 1,1,27,
2.64084,,Surface,4,Image 1,1,28,
1.87345,,Surface,4,Image 1,1,29,
2.09719,,Surface,4,Image 1,1,30,
2.09481,,Surface,4,Image 1,1,31,
2.10208,,Surface,4,Image 1,1,32,
2.29383,,Surface,4,Image 1,1,33,
2.34558,,Surface,4,Image 1,1,34,
2.48223,,Surface,4,Image 1,1,35,
2.1838,,Surface,4,Image 1,1,36,
3.06676,,Surface,4,Image 1,1,37,
2.26448,,Surface,4,Image 1,1,38,
2.63982,,Surface,4,Image 1,1,39,
3.469,,Surface,4,Image 1,1,40,
5.96862,,Surface,4,Image 1,1,41,
3.15209,,Surface,4,Image 1,1,42,
3.48172,,Surface,4,Image 1,1,43,
2.43196,,Surface,4,Image 1,1,44,
2.43785,,Surface,4,Image 1,1,45,
1.57022,,Surface,4,Image 1,1,46,
2.09002,,Surface,4,Image 1,1,47,
2.31291,,Surface,4,Image 1,1,48,
2.21436,,Surface,4,Image 1,1,49,
2.118,,Surface,4,Image 1,1,50,
2.23511,,Surface,4,Image 1,1,51,
2.18069,,Surface,4,Image 1,1,52,
2.16952,,Surface,4,Image 1,1,53,
1.96533,,Surface,4,Image 1,1,54,
1.9676,,Surface,4,Image 1,1,55,
2.19793,,Surface,4,Image 1,1,56,
2.07758,,Surface,4,Image 1,1,57,
2.32096,,Surface,4,Image 1,1,58,
2.07256,,Surface,4,Image 1,1,59,
2.36122,,Surface,4,Image 1,1,60,
2.66068,,Surface,4,Image 1,1,61,
2.08732,,Surface,4,Image 1,1,62,
2.14516,,Surface,4,Image 1,1,63,
1.84448,,Surface,4,Image 1,1,64,
2.47547,,Surface,4,Image 1,1,65,
2.08081,,Surface,4,Image 1,1,66,
2.01874,,Surface,4,Image 1,1,67,
2.33496,,Surface,4,Image 1,1,68,
2.01787,,Surface,4,Image 1,1,69,
2.83826,,Surface,4,Image 1,1,70,
2.42311,,Surface,4,Image 1,1,71,
5.95914,,Surface,4,Image 1,1,72,
1.96289,,Surface,4,Image 1,1,73,
5.99853,,Surface,4,Image 1,1,74,
5.15232,,Surface,4,Image 1,1,75,
2.54283,,Surface,4,Image 1,1,76,
6.45499,,Surface,4,Image 1,1,77,
8.81471,,Surface,4,Image 1,1,78,
3.02722,,Surface,4,Image 1,1,79,
3.21571,,Surface,4,Image 1,1,80,
2.78994,,Surface,4,Image 1,1,81,
2.30726,,Surface,4,Image 1,1,82,
2.29005,,Surface,4,Image 1,1,83,
4.82585,,Surface,4,Image 1,1,84,
1.84704,,Surface,4,Image 1,1,85,
2.00331,,Surface,4,Image 1,1,86,
2.36683,,Surface,4,Image 1,1,87,
2.25898,,Surface,4,Image 1,1,88,
2.03736,,Surface,4,Image 1,1,89,
2.22395,,Surface,4,Image 1,1,90,
2.33927,,Surface,4,Image 1,1,91,
2.30283,,Surface,4,Image 1,1,92,
