
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.47012,,Surface,2,Image 1,1,0,
3.57258,,Surface,2,Image 1,1,1,
4.09776,,Surface,2,Image 1,1,2,
3.50173,,Surface,2,Image 1,1,3,
4.09939,,Surface,2,Image 1,1,4,
3.98427,,Surface,2,Image 1,1,5,
3.43953,,Surface,2,Image 1,1,6,
4.01647,,Surface,2,Image 1,1,7,
4.42117,,Surface,2,Image 1,1,8,
3.76806,,Surface,2,Image 1,1,9,
5.20911,,Surface,2,Image 1,1,10,
3.90279,,Surface,2,Image 1,1,11,
4.31485,,Surface,2,Image 1,1,12,
3.92076,,Surface,2,Image 1,1,13,
3.50251,,Surface,2,Image 1,1,14,
3.60225,,Surface,2,Image 1,1,15,
4.51726,,Surface,2,Image 1,1,16,
4.46469,,Surface,2,Image 1,1,17,
4.09576,,Surface,2,Image 1,1,18,
3.81075,,Surface,2,Image 1,1,19,
3.72953,,Surface,2,Image 1,1,20,
3.91192,,Surface,2,Image 1,1,21,
4.01722,,Surface,2,Image 1,1,22,
4.7338,,Surface,2,Image 1,1,23,
4.65099,,Surface,2,Image 1,1,24,
6.18039,,Surface,2,Image 1,1,25,
4.99378,,Surface,2,Image 1,1,26,
6.24175,,Surface,2,Image 1,1,27,
4.92668,,Surface,2,Image 1,1,28,
3.59132,,Surface,2,Image 1,1,29,
4.29354,,Surface,2,Image 1,1,30,
4.0587,,Surface,2,Image 1,1,31,
4.05851,,Surface,2,Image 1,1,32,
4.69894,,Surface,2,Image 1,1,33,
4.6864,,Surface,2,Image 1,1,34,
4.8185,,Surface,2,Image 1,1,35,
6.65733,,Surface,2,Image 1,1,36,
21.9837,,Surface,2,Image 1,1,37,
6.66326,,Surface,2,Image 1,1,38,
4.64604,,Surface,2,Image 1,1,39,
5.57923,,Surface,2,Image 1,1,40,
5.40212,,Surface,2,Image 1,1,41,
10.5005,,Surface,2,Image 1,1,42,
7.09298,,Surface,2,Image 1,1,43,
12.487,,Surface,2,Image 1,1,44,
10.6618,,Surface,2,Image 1,1,45,
3.2496,,Surface,2,Image 1,1,46,
3.58594,,Surface,2,Image 1,1,47,
3.54262,,Surface,2,Image 1,1,48,
3.87926,,Surface,2,Image 1,1,49,
4.13949,,Surface,2,Image 1,1,50,
3.72649,,Surface,2,Image 1,1,51,
4.00452,,Surface,2,Image 1,1,52,
3.68448,,Surface,2,Image 1,1,53,
3.56863,,Surface,2,Image 1,1,54,
3.80981,,Surface,2,Image 1,1,55,
4.16488,,Surface,2,Image 1,1,56,
3.90576,,Surface,2,Image 1,1,57,
4.23069,,Surface,2,Image 1,1,58,
3.75413,,Surface,2,Image 1,1,59,
4.11873,,Surface,2,Image 1,1,60,
4.36093,,Surface,2,Image 1,1,61,
3.44781,,Surface,2,Image 1,1,62,
3.41579,,Surface,2,Image 1,1,63,
3.18414,,Surface,2,Image 1,1,64,
3.86074,,Surface,2,Image 1,1,65,
3.97395,,Surface,2,Image 1,1,66,
4.00797,,Surface,2,Image 1,1,67,
4.4491,,Surface,2,Image 1,1,68,
3.6883,,Surface,2,Image 1,1,69,
4.21308,,Surface,2,Image 1,1,70,
4.24481,,Surface,2,Image 1,1,71,
5.9271,,Surface,2,Image 1,1,72,
3.08776,,Surface,2,Image 1,1,73,
3.68617,,Surface,2,Image 1,1,74,
4.66458,,Surface,2,Image 1,1,75,
3.49355,,Surface,2,Image 1,1,76,
4.85164,,Surface,2,Image 1,1,77,
10.2652,,Surface,2,Image 1,1,78,
3.41754,,Surface,2,Image 1,1,79,
5.19708,,Surface,2,Image 1,1,80,
3.88468,,Surface,2,Image 1,1,81,
6.26447,,Surface,2,Image 1,1,82,
4.79719,,Surface,2,Image 1,1,83,
5.40839,,Surface,2,Image 1,1,84,
11.3906,,Surface,2,Image 1,1,85,
8.7133,,Surface,2,Image 1,1,86,
6.27597,,Surface,2,Image 1,1,87,
13.868,,Surface,2,Image 1,1,88,
3.79123,,Surface,2,Image 1,1,89,
4.43266,,Surface,2,Image 1,1,90,
4.33921,,Surface,2,Image 1,1,91,
4.65113,,Surface,2,Image 1,1,92,
4.38033,,Surface,2,Image 1,1,93,
4.36067,,Surface,2,Image 1,1,94,
4.5861,,Surface,2,Image 1,1,95,
5.48782,,Surface,2,Image 1,1,96,
4.43417,,Surface,2,Image 1,1,97,
4.81196,,Surface,2,Image 1,1,98,
4.66642,,Surface,2,Image 1,1,99,
4.56974,,Surface,2,Image 1,1,100,
5.41493,,Surface,2,Image 1,1,101,
4.93393,,Surface,2,Image 1,1,102,
4.66971,,Surface,2,Image 1,1,103,
4.83038,,Surface,2,Image 1,1,104,
4.80949,,Surface,2,Image 1,1,105,
4.97822,,Surface,2,Image 1,1,106,
4.52241,,Surface,2,Image 1,1,107,
4.03721,,Surface,2,Image 1,1,108,
7.49176,,Surface,2,Image 1,1,109,
7.16072,,Surface,2,Image 1,1,110,
4.58562,,Surface,2,Image 1,1,111,
5.42092,,Surface,2,Image 1,1,112,
6.64797,,Surface,2,Image 1,1,113,
4.58948,,Surface,2,Image 1,1,114,
5.99945,,Surface,2,Image 1,1,115,
7.76121,,Surface,2,Image 1,1,116,
11.2427,,Surface,2,Image 1,1,117,
8.27786,,Surface,2,Image 1,1,118,
7.22957,,Surface,2,Image 1,1,119,
9.75591,,Surface,2,Image 1,1,120,
12.4538,,Surface,2,Image 1,1,121,
6.78447,,Surface,2,Image 1,1,122,
7.95267,,Surface,2,Image 1,1,123,
5.18523,,Surface,2,Image 1,1,124,
8.50299,,Surface,2,Image 1,1,125,
4.26438,,Surface,2,Image 1,1,126,
6.45843,,Surface,2,Image 1,1,127,
6.75253,,Surface,2,Image 1,1,128,
5.61208,,Surface,2,Image 1,1,129,
9.27564,,Surface,2,Image 1,1,130,
5.71788,,Surface,2,Image 1,1,131,
6.81399,,Surface,2,Image 1,1,132,
6.21116,,Surface,2,Image 1,1,133,
5.87105,,Surface,2,Image 1,1,134,
