
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
8.80301,,Surface,5,Image 1,1,2,
6.05912,,Surface,5,Image 1,1,3,
3.14521,,Surface,5,Image 1,1,4,
3.85759,,Surface,5,Image 1,1,5,
8.92458,,Surface,5,Image 1,1,6,
8.32952,,Surface,5,Image 1,1,7,
8.07615,,Surface,5,Image 1,1,8,
4.00563,,Surface,5,Image 1,1,14,
5.67664,,Surface,5,Image 1,1,16,
6.86548,,Surface,5,Image 1,1,17,
9.05238,,Surface,5,Image 1,1,18,
6.32945,,Surface,5,Image 1,1,19,
4.68291,,Surface,5,Image 1,1,20,
8.14397,,Surface,5,Image 1,1,21,
9.10161,,Surface,5,Image 1,1,22,
10.2061,,Surface,5,Image 1,1,23,
3.92945,,Surface,5,Image 1,1,24,
8.57299,,Surface,5,Image 1,1,25,
9.81814,,Surface,5,Image 1,1,26,
3.09503,,Surface,5,Image 1,1,27,
2.57806,,Surface,5,Image 1,1,28,
3.50425,,Surface,5,Image 1,1,29,
3.23869,,Surface,5,Image 1,1,30,
5.09749,,Surface,5,Image 1,1,31,
10.6508,,Surface,5,Image 1,1,32,
7.25922,,Surface,5,Image 1,1,33,
8.21719,,Surface,5,Image 1,1,34,
11.2302,,Surface,5,Image 1,1,35,
5.61243,,Surface,5,Image 1,1,44,
5.90613,,Surface,5,Image 1,1,45,
7.85386,,Surface,5,Image 1,1,46,
10.4302,,Surface,5,Image 1,1,47,
7.19007,,Surface,5,Image 1,1,48,
8.46805,,Surface,5,Image 1,1,49,
8.40108,,Surface,5,Image 1,1,50,
3.66621,,Surface,5,Image 1,1,51,
4.46778,,Surface,5,Image 1,1,52,
8.36051,,Surface,5,Image 1,1,53,
4.48937,,Surface,5,Image 1,1,54,
4.95019,,Surface,5,Image 1,1,55,
11.6617,,Surface,5,Image 1,1,56,
10.6315,,Surface,5,Image 1,1,57,
3.75585,,Surface,5,Image 1,1,58,
3.56656,,Surface,5,Image 1,1,59,
10.6715,,Surface,5,Image 1,1,60,
8.49133,,Surface,5,Image 1,1,61,
12.4687,,Surface,5,Image 1,1,62,
10.2607,,Surface,5,Image 1,1,63,
9.50313,,Surface,5,Image 1,1,64,
8.86971,,Surface,5,Image 1,1,65,
11.5889,,Surface,5,Image 1,1,66,
7.83391,,Surface,5,Image 1,1,67,
10.4091,,Surface,5,Image 1,1,68,
4.9471,,Surface,5,Image 1,1,81,
8.04057,,Surface,5,Image 1,1,82,
13.5062,,Surface,5,Image 1,1,83,
12.0504,,Surface,5,Image 1,1,84,
10.9959,,Surface,5,Image 1,1,85,
9.39407,,Surface,5,Image 1,1,86,
4.62176,,Surface,5,Image 1,1,87,
5.81777,,Surface,5,Image 1,1,88,
4.23966,,Surface,5,Image 1,1,89,
4.11775,,Surface,5,Image 1,1,90,
4.36315,,Surface,5,Image 1,1,91,
3.70074,,Surface,5,Image 1,1,93,
10.5645,,Surface,5,Image 1,1,94,
5.08001,,Surface,5,Image 1,1,95,
7.01926,,Surface,5,Image 1,1,96,
4.62499,,Surface,5,Image 1,1,97,
5.54256,,Surface,5,Image 1,1,98,
8.85668,,Surface,5,Image 1,1,99,
8.62801,,Surface,5,Image 1,1,100,
10.0888,,Surface,5,Image 1,1,101,
9.48735,,Surface,5,Image 1,1,102,
10.3202,,Surface,5,Image 1,1,103,
3.36738,,Surface,5,Image 1,1,104,
3.79512,,Surface,5,Image 1,1,105,
3.46238,,Surface,5,Image 1,1,106,
3.60817,,Surface,5,Image 1,1,107,
3.24632,,Surface,5,Image 1,1,108,
3.48358,,Surface,5,Image 1,1,109,
10.7448,,Surface,5,Image 1,1,110,
7.46564,,Surface,5,Image 1,1,111,
10.399,,Surface,5,Image 1,1,112,
11.0143,,Surface,5,Image 1,1,113,
9.27354,,Surface,5,Image 1,1,114,
10.921,,Surface,5,Image 1,1,115,
11.4402,,Surface,5,Image 1,1,116,
9.95637,,Surface,5,Image 1,1,117,
12.0289,,Surface,5,Image 1,1,118,
10.7496,,Surface,5,Image 1,1,119,
12.8583,,Surface,5,Image 1,1,120,
8.25706,,Surface,5,Image 1,1,124,
4.69654,,Surface,5,Image 1,1,125,
4.5598,,Surface,5,Image 1,1,126,
4.16299,,Surface,5,Image 1,1,128,
7.73382,,Surface,5,Image 1,1,129,
10.3514,,Surface,5,Image 1,1,130,
10.849,,Surface,5,Image 1,1,131,
12.6279,,Surface,5,Image 1,1,132,
9.38431,,Surface,5,Image 1,1,133,
10.6097,,Surface,5,Image 1,1,134,
12.6007,,Surface,5,Image 1,1,135,
