
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
6.77993,,Surface,5,Image 1,1,0,
6.26429,,Surface,5,Image 1,1,1,
8.69551,,Surface,5,Image 1,1,2,
6.96811,,Surface,5,Image 1,1,3,
7.46227,,Surface,5,Image 1,1,4,
8.12912,,Surface,5,Image 1,1,5,
8.76145,,Surface,5,Image 1,1,6,
7.60164,,Surface,5,Image 1,1,7,
7.20893,,Surface,5,Image 1,1,8,
7.4095,,Surface,5,Image 1,1,9,
7.217,,Surface,5,Image 1,1,10,
7.71599,,Surface,5,Image 1,1,11,
7.05183,,Surface,5,Image 1,1,12,
9.78405,,Surface,5,Image 1,1,13,
7.40013,,Surface,5,Image 1,1,14,
7.36134,,Surface,5,Image 1,1,15,
8.22305,,Surface,5,Image 1,1,16,
6.87327,,Surface,5,Image 1,1,17,
7.66084,,Surface,5,Image 1,1,18,
7.8286,,Surface,5,Image 1,1,19,
7.65478,,Surface,5,Image 1,1,20,
8.77704,,Surface,5,Image 1,1,21,
8.30661,,Surface,5,Image 1,1,22,
6.95597,,Surface,5,Image 1,1,23,
6.72086,,Surface,5,Image 1,1,24,
7.44233,,Surface,5,Image 1,1,25,
7.54795,,Surface,5,Image 1,1,26,
6.58494,,Surface,5,Image 1,1,27,
6.49334,,Surface,5,Image 1,1,28,
6.94354,,Surface,5,Image 1,1,29,
6.50206,,Surface,5,Image 1,1,30,
7.31018,,Surface,5,Image 1,1,31,
5.32664,,Surface,5,Image 1,1,32,
6.79532,,Surface,5,Image 1,1,33,
6.1148,,Surface,5,Image 1,1,34,
7.10633,,Surface,5,Image 1,1,35,
7.37904,,Surface,5,Image 1,1,36,
7.08613,,Surface,5,Image 1,1,37,
6.91242,,Surface,5,Image 1,1,38,
6.52292,,Surface,5,Image 1,1,39,
6.01136,,Surface,5,Image 1,1,40,
6.81847,,Surface,5,Image 1,1,41,
6.15154,,Surface,5,Image 1,1,42,
6.13529,,Surface,5,Image 1,1,43,
6.56265,,Surface,5,Image 1,1,44,
6.51757,,Surface,5,Image 1,1,45,
7.34128,,Surface,5,Image 1,1,46,
6.8223,,Surface,5,Image 1,1,47,
6.70733,,Surface,5,Image 1,1,48,
6.78047,,Surface,5,Image 1,1,49,
6.53363,,Surface,5,Image 1,1,50,
6.51089,,Surface,5,Image 1,1,51,
6.64096,,Surface,5,Image 1,1,52,
6.70058,,Surface,5,Image 1,1,53,
7.29341,,Surface,5,Image 1,1,54,
6.43023,,Surface,5,Image 1,1,55,
7.5613,,Surface,5,Image 1,1,56,
6.53529,,Surface,5,Image 1,1,57,
7.80243,,Surface,5,Image 1,1,58,
7.21644,,Surface,5,Image 1,1,59,
4.51449,,Surface,5,Image 1,1,61,
4.62817,,Surface,5,Image 1,1,62,
4.57101,,Surface,5,Image 1,1,63,
4.93124,,Surface,5,Image 1,1,64,
4.76125,,Surface,5,Image 1,1,65,
4.80394,,Surface,5,Image 1,1,66,
5.45112,,Surface,5,Image 1,1,67,
5.91475,,Surface,5,Image 1,1,68,
4.83694,,Surface,5,Image 1,1,69,
4.86999,,Surface,5,Image 1,1,70,
5.2015,,Surface,5,Image 1,1,71,
8.03416,,Surface,5,Image 1,1,72,
7.20978,,Surface,5,Image 1,1,73,
9.65133,,Surface,5,Image 1,1,74,
5.13872,,Surface,5,Image 1,1,75,
5.30956,,Surface,5,Image 1,1,76,
5.99763,,Surface,5,Image 1,1,77,
5.52386,,Surface,5,Image 1,1,78,
5.16764,,Surface,5,Image 1,1,79,
6.59276,,Surface,5,Image 1,1,80,
5.22198,,Surface,5,Image 1,1,81,
5.70385,,Surface,5,Image 1,1,82,
6.25788,,Surface,5,Image 1,1,83,
6.38009,,Surface,5,Image 1,1,84,
6.58931,,Surface,5,Image 1,1,85,
6.70782,,Surface,5,Image 1,1,86,
9.01749,,Surface,5,Image 1,1,87,
6.25134,,Surface,5,Image 1,1,88,
6.74582,,Surface,5,Image 1,1,89,
6.16194,,Surface,5,Image 1,1,90,
8.906,,Surface,5,Image 1,1,91,
6.47615,,Surface,5,Image 1,1,92,
6.09655,,Surface,5,Image 1,1,93,
6.00213,,Surface,5,Image 1,1,94,
6.53628,,Surface,5,Image 1,1,95,
7.21291,,Surface,5,Image 1,1,96,
6.738,,Surface,5,Image 1,1,97,
7.44634,,Surface,5,Image 1,1,98,
7.02494,,Surface,5,Image 1,1,99,
8.32226,,Surface,5,Image 1,1,100,
7.77913,,Surface,5,Image 1,1,101,
7.5488,,Surface,5,Image 1,1,102,
9.27313,,Surface,5,Image 1,1,103,
7.92294,,Surface,5,Image 1,1,104,
7.97183,,Surface,5,Image 1,1,105,
5.77395,,Surface,5,Image 1,1,106,
6.36306,,Surface,5,Image 1,1,107,
9.93957,,Surface,5,Image 1,1,108,
10.0575,,Surface,5,Image 1,1,109,
9.24427,,Surface,5,Image 1,1,110,
7.43021,,Surface,5,Image 1,1,111,
6.45427,,Surface,5,Image 1,1,112,
7.29031,,Surface,5,Image 1,1,113,
7.25213,,Surface,5,Image 1,1,114,
8.34649,,Surface,5,Image 1,1,115,
8.88603,,Surface,5,Image 1,1,116,
6.26381,,Surface,5,Image 1,1,117,
6.84256,,Surface,5,Image 1,1,118,
6.44331,,Surface,5,Image 1,1,119,
7.50642,,Surface,5,Image 1,1,120,
6.37501,,Surface,5,Image 1,1,121,
5.4907,,Surface,5,Image 1,1,122,
6.78058,,Surface,5,Image 1,1,123,
6.92336,,Surface,5,Image 1,1,124,
5.98239,,Surface,5,Image 1,1,125,
7.96691,,Surface,5,Image 1,1,126,
9.89152,,Surface,5,Image 1,1,127,
6.82701,,Surface,5,Image 1,1,128,
7.62249,,Surface,5,Image 1,1,129,
10.0335,,Surface,5,Image 1,1,130,
13.424,,Surface,5,Image 1,1,131,
7.95166,,Surface,5,Image 1,1,132,
8.8698,,Surface,5,Image 1,1,133,
