
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
4.74667,,Surface,5,Image 1,1,0,
7.35878,,Surface,5,Image 1,1,1,
4.08526,,Surface,5,Image 1,1,2,
4.94907,,Surface,5,Image 1,1,3,
4.62833,,Surface,5,Image 1,1,4,
4.72441,,Surface,5,Image 1,1,5,
5.54955,,Surface,5,Image 1,1,6,
5.34361,,Surface,5,Image 1,1,7,
4.48109,,Surface,5,Image 1,1,8,
4.87437,,Surface,5,Image 1,1,9,
3.46789,,Surface,5,Image 1,1,10,
5.35714,,Surface,5,Image 1,1,11,
4.24917,,Surface,5,Image 1,1,12,
3.2419,,Surface,5,Image 1,1,13,
6.31579,,Surface,5,Image 1,1,14,
3.91209,,Surface,5,Image 1,1,15,
10,,Surface,5,Image 1,1,16,
0,,Surface,5,Image 1,1,17,
3.62229,,Surface,5,Image 1,1,18,
4.14674,,Surface,5,Image 1,1,19,
3.38279,,Surface,5,Image 1,1,20,
3.93888,,Surface,5,Image 1,1,21,
3.53678,,Surface,5,Image 1,1,22,
4.33425,,Surface,5,Image 1,1,23,
4.16527,,Surface,5,Image 1,1,24,
3.57576,,Surface,5,Image 1,1,25,
6.04348,,Surface,5,Image 1,1,26,
3.80989,,Surface,5,Image 1,1,27,
4.45923,,Surface,5,Image 1,1,28,
3.90034,,Surface,5,Image 1,1,29,
4.13306,,Surface,5,Image 1,1,30,
3.07692,,Surface,5,Image 1,1,31,
4.86486,,Surface,5,Image 1,1,32,
4.28571,,Surface,5,Image 1,1,33,
4.53189,,Surface,5,Image 1,1,34,
4.35644,,Surface,5,Image 1,1,35,
4.06299,,Surface,5,Image 1,1,36,
4.55814,,Surface,5,Image 1,1,37,
3.87755,,Surface,5,Image 1,1,38,
3.42857,,Surface,5,Image 1,1,39,
4.18733,,Surface,5,Image 1,1,40,
4.13793,,Surface,5,Image 1,1,41,
5.19774,,Surface,5,Image 1,1,42,
4.75,,Surface,5,Image 1,1,43,
3.43284,,Surface,5,Image 1,1,44,
4.18006,,Surface,5,Image 1,1,45,
4.7482,,Surface,5,Image 1,1,46,
4.13553,,Surface,5,Image 1,1,47,
4.03101,,Surface,5,Image 1,1,48,
4.07767,,Surface,5,Image 1,1,49,
4.4186,,Surface,5,Image 1,1,50,
3.38923,,Surface,5,Image 1,1,51,
4,,Surface,5,Image 1,1,52,
4.54545,,Surface,5,Image 1,1,53,
4.00742,,Surface,5,Image 1,1,54,
5.52355,,Surface,5,Image 1,1,55,
4.62595,,Surface,5,Image 1,1,56,
4.05587,,Surface,5,Image 1,1,57,
6.05528,,Surface,5,Image 1,1,58,
3.82353,,Surface,5,Image 1,1,59,
3.79487,,Surface,5,Image 1,1,60,
5.34326,,Surface,5,Image 1,1,61,
6.07845,,Surface,5,Image 1,1,62,
4.94874,,Surface,5,Image 1,1,63,
4.54028,,Surface,5,Image 1,1,64,
4,,Surface,5,Image 1,1,65,
4.56542,,Surface,5,Image 1,1,66,
4.35728,,Surface,5,Image 1,1,67,
6.11753,,Surface,5,Image 1,1,68,
4.06147,,Surface,5,Image 1,1,69,
4.35549,,Surface,5,Image 1,1,70,
4.56193,,Surface,5,Image 1,1,71,
4.32706,,Surface,5,Image 1,1,72,
5.53672,,Surface,5,Image 1,1,73,
4.36472,,Surface,5,Image 1,1,74,
6.67643,,Surface,5,Image 1,1,75,
4.56824,,Surface,5,Image 1,1,76,
4.25242,,Surface,5,Image 1,1,77,
5.27273,,Surface,5,Image 1,1,78,
3.60465,,Surface,5,Image 1,1,79,
3.77636,,Surface,5,Image 1,1,80,
4.10256,,Surface,5,Image 1,1,81,
4.03766,,Surface,5,Image 1,1,82,
4.45652,,Surface,5,Image 1,1,83,
3.80012,,Surface,5,Image 1,1,84,
4.62725,,Surface,5,Image 1,1,85,
3.91892,,Surface,5,Image 1,1,86,
4.34929,,Surface,5,Image 1,1,87,
4.56156,,Surface,5,Image 1,1,88,
5.212,,Surface,5,Image 1,1,89,
3.89446,,Surface,5,Image 1,1,90,
3.92478,,Surface,5,Image 1,1,91,
4.81894,,Surface,5,Image 1,1,92,
3.37079,,Surface,5,Image 1,1,93,
4.30847,,Surface,5,Image 1,1,94,
3.91898,,Surface,5,Image 1,1,95,
3.74342,,Surface,5,Image 1,1,96,
4.14386,,Surface,5,Image 1,1,97,
3.34221,,Surface,5,Image 1,1,98,
3.91597,,Surface,5,Image 1,1,99,
4.22648,,Surface,5,Image 1,1,100,
3.68471,,Surface,5,Image 1,1,101,
3.60267,,Surface,5,Image 1,1,102,
3.7518,,Surface,5,Image 1,1,103,
3.75,,Surface,5,Image 1,1,104,
4.66216,,Surface,5,Image 1,1,105,
3.16832,,Surface,5,Image 1,1,106,
5.05508,,Surface,5,Image 1,1,107,
5.14665,,Surface,5,Image 1,1,108,
4.52322,,Surface,5,Image 1,1,109,
5.79196,,Surface,5,Image 1,1,110,
5.11759,,Surface,5,Image 1,1,111,
6.25514,,Surface,5,Image 1,1,112,
3.62745,,Surface,5,Image 1,1,113,
3.66316,,Surface,5,Image 1,1,114,
4.04967,,Surface,5,Image 1,1,115,
4.94364,,Surface,5,Image 1,1,116,
3.9874,,Surface,5,Image 1,1,117,
4.67836,,Surface,5,Image 1,1,118,
4.54894,,Surface,5,Image 1,1,119,
5.16483,,Surface,5,Image 1,1,120,
4.32069,,Surface,5,Image 1,1,121,
4.30575,,Surface,5,Image 1,1,122,
4.65876,,Surface,5,Image 1,1,123,
5.6857,,Surface,5,Image 1,1,124,
4.82436,,Surface,5,Image 1,1,125,
6.03878,,Surface,5,Image 1,1,126,
4.39716,,Surface,5,Image 1,1,127,
4.2784,,Surface,5,Image 1,1,128,
5.95268,,Surface,5,Image 1,1,129,
0,,Surface,5,Image 1,1,130,
5.05431,,Surface,5,Image 1,1,131,
4.24373,,Surface,5,Image 1,1,132,
4.96892,,Surface,5,Image 1,1,133,
5.19682,,Surface,5,Image 1,1,134,
4.9562,,Surface,5,Image 1,1,135,
5.50315,,Surface,5,Image 1,1,136,
3.69643,,Surface,5,Image 1,1,137,
5.12026,,Surface,5,Image 1,1,138,
5.30368,,Surface,5,Image 1,1,139,
4.23235,,Surface,5,Image 1,1,140,
4.52256,,Surface,5,Image 1,1,141,
3.9581,,Surface,5,Image 1,1,142,
4.76726,,Surface,5,Image 1,1,143,
4.14907,,Surface,5,Image 1,1,144,
5.14904,,Surface,5,Image 1,1,145,
4.19273,,Surface,5,Image 1,1,146,
5.55877,,Surface,5,Image 1,1,147,
5.66096,,Surface,5,Image 1,1,148,
4.19033,,Surface,5,Image 1,1,149,
4.71094,,Surface,5,Image 1,1,150,
5.47587,,Surface,5,Image 1,1,151,
5.67618,,Surface,5,Image 1,1,152,
5.28743,,Surface,5,Image 1,1,153,
5.94849,,Surface,5,Image 1,1,154,
4.39379,,Surface,5,Image 1,1,155,
5.20107,,Surface,5,Image 1,1,156,
4.55904,,Surface,5,Image 1,1,157,
4.42633,,Surface,5,Image 1,1,158,
4.81684,,Surface,5,Image 1,1,159,
5.17346,,Surface,5,Image 1,1,160,
4.56688,,Surface,5,Image 1,1,161,
4.78543,,Surface,5,Image 1,1,162,
4.43937,,Surface,5,Image 1,1,163,
4.06705,,Surface,5,Image 1,1,164,
4.75262,,Surface,5,Image 1,1,165,
4.0665,,Surface,5,Image 1,1,166,
5.10389,,Surface,5,Image 1,1,167,
4.72738,,Surface,5,Image 1,1,168,
4.753,,Surface,5,Image 1,1,169,
4.98071,,Surface,5,Image 1,1,170,
4.13473,,Surface,5,Image 1,1,171,
3.86617,,Surface,5,Image 1,1,172,
3.95456,,Surface,5,Image 1,1,173,
4.43098,,Surface,5,Image 1,1,174,
4.55502,,Surface,5,Image 1,1,175,
4.50482,,Surface,5,Image 1,1,176,
4.17487,,Surface,5,Image 1,1,177,
