
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
92.0777,150.268,204.214,um,Surface,Position,1,0,
86.7002,148.17,204.799,um,Surface,Position,1,1,
88.5004,154.632,208.054,um,Surface,Position,1,2,
91.166,145.695,210.199,um,Surface,Position,1,3,
93.1315,155.502,210.272,um,Surface,Position,1,4,
94.965,146.932,214.104,um,Surface,Position,1,5,
97.529,153.166,204.645,um,Surface,Position,1,6,
107.938,153.871,204.878,um,Surface,Position,1,7,
103.611,146.227,204.301,um,Surface,Position,1,8,
97.9479,146.776,209.699,um,Surface,Position,1,9,
104.617,148.648,211.316,um,Surface,Position,1,10,
102.683,144.122,213.668,um,Surface,Position,1,11,
106.91,156.299,212.886,um,Surface,Position,1,12,
101.493,154.687,214.28,um,Surface,Position,1,13,
108.155,151.289,216.91,um,Surface,Position,1,14,
111.99,148.29,204.747,um,Surface,Position,1,15,
114.251,154.171,206.898,um,Surface,Position,1,16,
122.258,147.376,208.615,um,Surface,Position,1,17,
119.057,156.362,208.765,um,Surface,Position,1,18,
114.242,156.503,213.342,um,Surface,Position,1,19,
118.405,151.718,215.246,um,Surface,Position,1,20,
123.291,151.229,219.337,um,Surface,Position,1,21,
113.842,151.229,218.713,um,Surface,Position,1,22,
118.729,155.755,220.255,um,Surface,Position,1,23,
118.135,145.852,221.671,um,Surface,Position,1,24,
127.972,155.72,207.475,um,Surface,Position,1,25,
130.991,145.69,210.434,um,Surface,Position,1,26,
134.246,155.792,211.472,um,Surface,Position,1,27,
123.563,155.304,211.848,um,Surface,Position,1,28,
129.04,154.16,215.58,um,Surface,Position,1,29,
134.212,149.218,217.102,um,Surface,Position,1,30,
128.814,149.55,220.318,um,Surface,Position,1,31,
137.165,152.427,206.665,um,Surface,Position,1,32,
143.217,152.973,207.303,um,Surface,Position,1,33,
149.447,150.594,206.659,um,Surface,Position,1,34,
139.182,145.784,209.373,um,Surface,Position,1,35,
147.619,149.299,209.647,um,Surface,Position,1,36,
140.846,150.457,213.633,um,Surface,Position,1,37,
141.504,150.406,220.592,um,Surface,Position,1,38,
154.848,147.508,206.309,um,Surface,Position,1,39,
153.273,155.135,208.366,um,Surface,Position,1,40,
151.525,147.049,212.019,um,Surface,Position,1,41,
158.124,149.548,210.773,um,Surface,Position,1,42,
150.747,147.007,220.815,um,Surface,Position,1,43,
93.513,163.386,205.813,um,Surface,Position,1,44,
86.8102,165.26,205.376,um,Surface,Position,1,45,
93.836,168.796,208.181,um,Surface,Position,1,46,
93.85,163.36,211.206,um,Surface,Position,1,47,
102.644,157.239,207.524,um,Surface,Position,1,48,
108.605,159.986,208.673,um,Surface,Position,1,49,
97.3486,157.947,210.644,um,Surface,Position,1,50,
104.95,165.169,210.777,um,Surface,Position,1,51,
111.647,163.22,204.8,um,Surface,Position,1,52,
120.621,162.876,206.831,um,Surface,Position,1,53,
122.296,163.043,212.752,um,Surface,Position,1,54,
122.267,168.793,214.285,um,Surface,Position,1,55,
114.722,162.148,213.621,um,Surface,Position,1,56,
111.532,157.198,217.733,um,Surface,Position,1,57,
131.266,163.015,203.73,um,Surface,Position,1,58,
129.111,166.017,209.412,um,Surface,Position,1,59,
135.1,162.906,210.091,um,Surface,Position,1,60,
133.525,157.35,218.149,um,Surface,Position,1,61,
123.248,158.821,218.07,um,Surface,Position,1,62,
130.05,161.4,221.77,um,Surface,Position,1,63,
143.638,160.787,206.345,um,Surface,Position,1,64,
140.973,165.691,211.296,um,Surface,Position,1,65,
145.034,157.17,212.499,um,Surface,Position,1,66,
142.741,156.983,219.755,um,Surface,Position,1,67,
160.108,159.045,207.399,um,Surface,Position,1,68,
99.4253,171.513,205.545,um,Surface,Position,1,69,
110.843,177.619,204.264,um,Surface,Position,1,70,
117.258,170.134,207.34,um,Surface,Position,1,71,
119.987,171.118,213.558,um,Surface,Position,1,72,
110.173,30.0552,236.728,um,Surface,Position,1,73,
104.296,36.0046,225.733,um,Surface,Position,1,74,
98.9064,41.0561,234.341,um,Surface,Position,1,75,
89.193,53.5644,228.926,um,Surface,Position,1,76,
96.1125,54.4241,230.873,um,Surface,Position,1,77,
95.0189,49.3162,232.944,um,Surface,Position,1,78,
102.494,50.2624,229,um,Surface,Position,1,79,
80.7055,65.0577,222.181,um,Surface,Position,1,80,
85.1802,60.0138,227.512,um,Surface,Position,1,81,
89.1736,63.9558,226.701,um,Surface,Position,1,82,
95.1269,59.7571,227.585,um,Surface,Position,1,83,
90.3288,57.6529,228.961,um,Surface,Position,1,84,
101.124,60.7563,229.133,um,Surface,Position,1,85,
104.656,68.5646,229.313,um,Surface,Position,1,86,
105.457,62.202,230.773,um,Surface,Position,1,87,
110.232,65.4716,225.016,um,Surface,Position,1,88,
116.996,66.1667,224.846,um,Surface,Position,1,89,
122.997,67.0043,223.443,um,Surface,Position,1,90,
130.581,65.5456,227.51,um,Surface,Position,1,91,
89.4261,71.6758,225.312,um,Surface,Position,1,92,
91.4402,76.449,226.025,um,Surface,Position,1,93,
98.9528,77.8584,224.107,um,Surface,Position,1,94,
104.634,74.6826,224.755,um,Surface,Position,1,95,
99.2087,72.2295,227.46,um,Surface,Position,1,96,
103.833,77.315,230.432,um,Surface,Position,1,97,
108.436,71.508,229.447,um,Surface,Position,1,98,
111.123,77.9337,223.528,um,Surface,Position,1,99,
120.003,74.5872,224.57,um,Surface,Position,1,100,
110.409,80.5566,228.073,um,Surface,Position,1,101,
113.667,71.6158,229.549,um,Surface,Position,1,102,
119.48,74.735,232.722,um,Surface,Position,1,103,
114.533,77.4762,232.555,um,Surface,Position,1,104,
120.592,69.5698,235.708,um,Surface,Position,1,105,
130.778,69.413,223.548,um,Surface,Position,1,106,
127.613,77.2728,226.757,um,Surface,Position,1,107,
124.348,71.961,228.525,um,Surface,Position,1,108,
131.985,73.8496,229.193,um,Surface,Position,1,109,
127.057,79.0193,233.333,um,Surface,Position,1,110,
131.992,80.8344,239.247,um,Surface,Position,1,111,
135.804,80.0598,226.246,um,Surface,Position,1,112,
140.376,71.9113,226.728,um,Surface,Position,1,113,
144.559,80.0131,228.445,um,Surface,Position,1,114,
136.68,78.4972,234.201,um,Surface,Position,1,115,
146.392,75.8446,234.352,um,Surface,Position,1,116,
158.124,70.0871,223.588,um,Surface,Position,1,117,
150.859,81.2691,225.771,um,Surface,Position,1,118,
157.674,78.9936,226.317,um,Surface,Position,1,119,
150.235,74.2232,227.405,um,Surface,Position,1,120,
95.9316,90.8975,222.634,um,Surface,Position,1,121,
88.9785,84.2936,223.009,um,Surface,Position,1,122,
94.3449,82.9006,223.274,um,Surface,Position,1,123,
98.2943,85.7223,225.903,um,Surface,Position,1,124,
104.331,84.0042,225.637,um,Surface,Position,1,125,
104.883,90.3004,227.899,um,Surface,Position,1,126,
109.826,84.6461,229.527,um,Surface,Position,1,127,
