
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
-117.11,72.7653,-50.5446,um,Surface,Position Reference Frame,Reference Frame 1,1,0,
-103.811,72.987,-55.9851,um,Surface,Position Reference Frame,Reference Frame 1,1,1,
-110.271,69.6578,-53.3277,um,Surface,Position Reference Frame,Reference Frame 1,1,2,
-119.01,70.4965,-52.6478,um,Surface,Position Reference Frame,Reference Frame 1,1,3,
-116.469,58.2673,-37.1018,um,Surface,Position Reference Frame,Reference Frame 1,1,4,
-110.976,69.3273,-42.8188,um,Surface,Position Reference Frame,Reference Frame 1,1,5,
-123.603,73.7932,-37.3406,um,Surface,Position Reference Frame,Reference Frame 1,1,6,
-125.957,78.4619,-40.4177,um,Surface,Position Reference Frame,Reference Frame 1,1,7,
-119.591,75.2264,-43.8919,um,Surface,Position Reference Frame,Reference Frame 1,1,8,
-118.55,63.7789,-38.6765,um,Surface,Position Reference Frame,Reference Frame 1,1,9,
-130.368,57.8968,-33.017,um,Surface,Position Reference Frame,Reference Frame 1,1,10,
-124.251,80.0426,-41.6707,um,Surface,Position Reference Frame,Reference Frame 1,1,11,
-120.393,53.1593,-38.101,um,Surface,Position Reference Frame,Reference Frame 1,1,12,
-129.731,74.0632,-40.9275,um,Surface,Position Reference Frame,Reference Frame 1,1,13,
-119.282,60.5582,-40.7392,um,Surface,Position Reference Frame,Reference Frame 1,1,14,
-128.138,67.6312,-40.3692,um,Surface,Position Reference Frame,Reference Frame 1,1,15,
-124.921,77.588,-45.6615,um,Surface,Position Reference Frame,Reference Frame 1,1,16,
-122.121,63.5579,-44.1131,um,Surface,Position Reference Frame,Reference Frame 1,1,17,
-113.207,64.3927,-47.1279,um,Surface,Position Reference Frame,Reference Frame 1,1,18,
-126.293,63.0946,-41.0831,um,Surface,Position Reference Frame,Reference Frame 1,1,19,
-121.07,72.0311,-47.937,um,Surface,Position Reference Frame,Reference Frame 1,1,20,
-123.44,57.5533,-41.9051,um,Surface,Position Reference Frame,Reference Frame 1,1,21,
-120.441,64.96,-47.7732,um,Surface,Position Reference Frame,Reference Frame 1,1,22,
-127.134,71.8233,-48.3549,um,Surface,Position Reference Frame,Reference Frame 1,1,23,
-135.035,61.1143,-43.2357,um,Surface,Position Reference Frame,Reference Frame 1,1,24,
-132.65,67.5772,-47.871,um,Surface,Position Reference Frame,Reference Frame 1,1,25,
-141.876,60.5657,-43.606,um,Surface,Position Reference Frame,Reference Frame 1,1,26,
-131.061,41.1279,-23.6901,um,Surface,Position Reference Frame,Reference Frame 1,1,27,
-136.355,51.2086,-26.2352,um,Surface,Position Reference Frame,Reference Frame 1,1,28,
-130.634,52.1664,-29.1209,um,Surface,Position Reference Frame,Reference Frame 1,1,29,
-138.118,57.1011,-29.1917,um,Surface,Position Reference Frame,Reference Frame 1,1,30,
-138.825,63.7346,-35.3307,um,Surface,Position Reference Frame,Reference Frame 1,1,31,
-137.082,43.5143,-24.4034,um,Surface,Position Reference Frame,Reference Frame 1,1,32,
-144.227,43.9885,-24.119,um,Surface,Position Reference Frame,Reference Frame 1,1,33,
-146.782,50.5529,-23.0253,um,Surface,Position Reference Frame,Reference Frame 1,1,34,
-151.547,51.0765,-22.3398,um,Surface,Position Reference Frame,Reference Frame 1,1,35,
-141.022,39.5384,-25.1861,um,Surface,Position Reference Frame,Reference Frame 1,1,36,
-136.233,53.7624,-31.5533,um,Surface,Position Reference Frame,Reference Frame 1,1,37,
-148.757,57.3581,-28.0434,um,Surface,Position Reference Frame,Reference Frame 1,1,38,
-126.243,50.7498,-35.1554,um,Surface,Position Reference Frame,Reference Frame 1,1,39,
-134.906,54.1953,-34.5913,um,Surface,Position Reference Frame,Reference Frame 1,1,40,
-141.431,51.3033,-29.26,um,Surface,Position Reference Frame,Reference Frame 1,1,41,
-136.969,58.2628,-35.8905,um,Surface,Position Reference Frame,Reference Frame 1,1,42,
-143.708,56.6669,-32.7699,um,Surface,Position Reference Frame,Reference Frame 1,1,43,
-151.332,53.8293,-29.4947,um,Surface,Position Reference Frame,Reference Frame 1,1,44,
-137.214,35.8146,-30.7591,um,Surface,Position Reference Frame,Reference Frame 1,1,45,
-144.367,39.1946,-29.362,um,Surface,Position Reference Frame,Reference Frame 1,1,46,
-131.614,43.6526,-35.7082,um,Surface,Position Reference Frame,Reference Frame 1,1,47,
-134.282,54.0232,-38.8808,um,Surface,Position Reference Frame,Reference Frame 1,1,48,
-137.985,48.7595,-35.6954,um,Surface,Position Reference Frame,Reference Frame 1,1,49,
-149.14,45.1943,-30.9121,um,Surface,Position Reference Frame,Reference Frame 1,1,50,
-128.784,49.9673,-40.5086,um,Surface,Position Reference Frame,Reference Frame 1,1,51,
