
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
-100.859,27.3565,-14.768,um,Surface,Position Reference Frame,Reference Frame 1,1,0,
-105.507,26.8865,-19.4682,um,Surface,Position Reference Frame,Reference Frame 1,1,1,
-130.657,71.6634,-21.5452,um,Surface,Position Reference Frame,Reference Frame 1,1,2,
-126.094,66.222,-32.3628,um,Surface,Position Reference Frame,Reference Frame 1,1,3,
-138.33,65.8288,-13.7268,um,Surface,Position Reference Frame,Reference Frame 1,1,4,
-132.628,45.9567,-13.3159,um,Surface,Position Reference Frame,Reference Frame 1,1,5,
-133.533,67.6849,-20.4601,um,Surface,Position Reference Frame,Reference Frame 1,1,6,
-130.925,52.8953,-17.3499,um,Surface,Position Reference Frame,Reference Frame 1,1,7,
-144.566,57.4245,-22.7111,um,Surface,Position Reference Frame,Reference Frame 1,1,8,
-137.295,70.6018,-28.9962,um,Surface,Position Reference Frame,Reference Frame 1,1,9,
-139.216,75.8212,-17.8619,um,Surface,Position Reference Frame,Reference Frame 1,1,10,
-141.84,69.423,-18.6068,um,Surface,Position Reference Frame,Reference Frame 1,1,11,
-134.91,79.1012,-17.555,um,Surface,Position Reference Frame,Reference Frame 1,1,12,
-136.789,73.0934,-9.15523,um,Surface,Position Reference Frame,Reference Frame 1,1,13,
-60.1831,19.2132,-14.4861,um,Surface,Position Reference Frame,Reference Frame 1,1,14,
-59.435,13.2006,-16.3358,um,Surface,Position Reference Frame,Reference Frame 1,1,15,
-57.8448,20.5673,-23.3676,um,Surface,Position Reference Frame,Reference Frame 1,1,16,
-123.135,72.7216,-13.4633,um,Surface,Position Reference Frame,Reference Frame 1,1,17,
-122.569,68.0724,-20.0701,um,Surface,Position Reference Frame,Reference Frame 1,1,18,
-129.132,62.1446,0.186178,um,Surface,Position Reference Frame,Reference Frame 1,1,19,
-130.786,64.5403,-3.13065,um,Surface,Position Reference Frame,Reference Frame 1,1,20,
-124.553,59.4373,-2.76353,um,Surface,Position Reference Frame,Reference Frame 1,1,21,
-130.814,68.3632,-4.06612,um,Surface,Position Reference Frame,Reference Frame 1,1,22,
-135.861,55.1445,-0.265921,um,Surface,Position Reference Frame,Reference Frame 1,1,23,
-130.518,73.9538,-8.15728,um,Surface,Position Reference Frame,Reference Frame 1,1,24,
-125.989,51.0792,-3.40537,um,Surface,Position Reference Frame,Reference Frame 1,1,25,
-134.36,59.3305,-4.35522,um,Surface,Position Reference Frame,Reference Frame 1,1,26,
-133.058,67.8562,-9.45799,um,Surface,Position Reference Frame,Reference Frame 1,1,27,
-136.974,50.1305,-5.09693,um,Surface,Position Reference Frame,Reference Frame 1,1,28,
-138.316,54.4702,-8.54093,um,Surface,Position Reference Frame,Reference Frame 1,1,29,
-123.775,91.2871,-15.0151,um,Surface,Position Reference Frame,Reference Frame 1,1,30,
-125.851,73.212,4.64114,um,Surface,Position Reference Frame,Reference Frame 1,1,31,
-130.293,74.979,3.98073,um,Surface,Position Reference Frame,Reference Frame 1,1,32,
-122.084,65.4914,1.69755,um,Surface,Position Reference Frame,Reference Frame 1,1,33,
-121.85,68.7908,-0.799942,um,Surface,Position Reference Frame,Reference Frame 1,1,34,
-133.774,68.2518,3.66166,um,Surface,Position Reference Frame,Reference Frame 1,1,35,
-128.068,58.5159,3.91908,um,Surface,Position Reference Frame,Reference Frame 1,1,36,
-126.867,68.5873,-0.717857,um,Surface,Position Reference Frame,Reference Frame 1,1,37,
-134.49,62.4555,4.51766,um,Surface,Position Reference Frame,Reference Frame 1,1,38,
-123.172,86.314,3.60664,um,Surface,Position Reference Frame,Reference Frame 1,1,39,
-125.835,91.8378,-7.95845,um,Surface,Position Reference Frame,Reference Frame 1,1,40,
-128.918,82.8526,-6.35419,um,Surface,Position Reference Frame,Reference Frame 1,1,41,
-133.885,73.2336,-0.0652428,um,Surface,Position Reference Frame,Reference Frame 1,1,42,
-51.5388,17.2136,-18.3164,um,Surface,Position Reference Frame,Reference Frame 1,1,43,
-57.8043,16.8121,-5.20551,um,Surface,Position Reference Frame,Reference Frame 1,1,44,
-54.1097,21.433,-7.51194,um,Surface,Position Reference Frame,Reference Frame 1,1,45,
-62.6925,21.6317,-4.57261,um,Surface,Position Reference Frame,Reference Frame 1,1,46,
-51.3263,17.1692,-9.01522,um,Surface,Position Reference Frame,Reference Frame 1,1,47,
-65.2171,32.8326,-9.50829,um,Surface,Position Reference Frame,Reference Frame 1,1,48,
-71.6963,26.3254,-9.57556,um,Surface,Position Reference Frame,Reference Frame 1,1,49,
-79.9856,66.1788,-9.10155,um,Surface,Position Reference Frame,Reference Frame 1,1,50,
-85.3681,66.885,-16.4477,um,Surface,Position Reference Frame,Reference Frame 1,1,51,
-62.0525,70.2005,-7.31031,um,Surface,Position Reference Frame,Reference Frame 1,1,52,
