
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
128.085,106.806,128.527,um,Surface,Position,1,0,
129.022,73.9389,128.767,um,Surface,Position,1,8,
122.679,77.5687,130.602,um,Surface,Position,1,9,
117.99,65.5554,127.765,um,Surface,Position,1,18,
114.346,67.6514,130.682,um,Surface,Position,1,19,
116.278,62.8818,133.004,um,Surface,Position,1,20,
113.737,71.597,136.534,um,Surface,Position,1,23,
168.708,64.5225,128.747,um,Surface,Position,1,24,
117.144,108.875,117.041,um,Surface,Position,1,25,
137.757,100.134,116.968,um,Surface,Position,1,26,
144.715,99.0484,118.922,um,Surface,Position,1,27,
125.829,110.279,122.83,um,Surface,Position,1,28,
133.9,99.5453,123.337,um,Surface,Position,1,29,
122.577,112.031,127.017,um,Surface,Position,1,30,
164.97,106.288,119.102,um,Surface,Position,1,31,
118.566,68.9889,123.82,um,Surface,Position,1,40,
114.265,66.9855,123.508,um,Surface,Position,1,41,
128.799,70.6014,118.193,um,Surface,Position,1,43,
121.491,71.7107,119.093,um,Surface,Position,1,44,
125.013,67.6927,124.099,um,Surface,Position,1,45,
115.243,73.0567,116.704,um,Surface,Position,1,49,
114.118,78.3202,124.332,um,Surface,Position,1,51,
131.54,79.6847,114.542,um,Surface,Position,1,52,
129.674,82.7743,118.744,um,Surface,Position,1,53,
132.086,74.008,119.477,um,Surface,Position,1,54,
137.041,88.5126,120.185,um,Surface,Position,1,55,
137.851,96.0615,122.338,um,Surface,Position,1,56,
126.185,77.4846,125.395,um,Surface,Position,1,57,
132.084,78.2638,125.644,um,Surface,Position,1,58,
136.244,79.3295,125.019,um,Surface,Position,1,59,
135.487,84.0744,126.133,um,Surface,Position,1,60,
142.171,132.769,106.016,um,Surface,Position,1,61,
137.223,138.848,106.805,um,Surface,Position,1,62,
149.518,129.699,107.55,um,Surface,Position,1,63,
156.73,124.525,109.203,um,Surface,Position,1,64,
153.318,127.886,113.308,um,Surface,Position,1,65,
118.989,78.9172,106.764,um,Surface,Position,1,72,
110.517,77.0091,112.853,um,Surface,Position,1,73,
134.453,88.75,101.942,um,Surface,Position,1,74,
133.943,93.7222,103.693,um,Surface,Position,1,75,
143.81,97.675,104.494,um,Surface,Position,1,76,
127.51,89.7687,106.316,um,Surface,Position,1,77,
127.843,79.8477,106.13,um,Surface,Position,1,78,
134.119,89.3015,108.123,um,Surface,Position,1,79,
136.44,78.9177,108.309,um,Surface,Position,1,80,
124.11,88.1723,109.995,um,Surface,Position,1,81,
142.258,91.208,111.177,um,Surface,Position,1,82,
126.494,73.9724,111.328,um,Surface,Position,1,83,
135.687,94.8974,112.171,um,Surface,Position,1,84,
123.004,80.1508,113.677,um,Surface,Position,1,85,
134.756,82.8766,112.281,um,Surface,Position,1,86,
128.991,92.8279,113.1,um,Surface,Position,1,87,
148.716,93.7014,102.72,um,Surface,Position,1,88,
154.433,89.7485,105.263,um,Surface,Position,1,89,
169.453,78.117,106.857,um,Surface,Position,1,90,
150.11,92.5072,108.156,um,Surface,Position,1,91,
169.498,94.8577,108.345,um,Surface,Position,1,92,
171.386,73.9329,101.539,um,Surface,Position,1,93,
170.128,90.8016,102.448,um,Surface,Position,1,94,
179.718,73.4956,103.522,um,Surface,Position,1,95,
173.593,80.2343,103.128,um,Surface,Position,1,96,
176.342,94.5844,104.75,um,Surface,Position,1,97,
182.752,80.4978,104.722,um,Surface,Position,1,98,
182.711,84.2744,105.301,um,Surface,Position,1,99,
176.194,90.6377,110.186,um,Surface,Position,1,100,
172.186,76.9155,113.51,um,Surface,Position,1,101,
177.416,95.6393,113.206,um,Surface,Position,1,102,
120.01,101.947,111.303,um,Surface,Position,1,103,
137.481,101.88,102.012,um,Surface,Position,1,104,
133.959,97.7191,105.432,um,Surface,Position,1,105,
129.001,97.6485,108.975,um,Surface,Position,1,106,
121.309,107.76,113.227,um,Surface,Position,1,107,
164.548,99.3269,103.505,um,Surface,Position,1,108,
155.971,113.078,102.762,um,Surface,Position,1,109,
147.23,115.468,103.479,um,Surface,Position,1,110,
150.421,103.093,104.751,um,Surface,Position,1,111,
167.455,104.764,107.938,um,Surface,Position,1,112,
155.976,107.109,104.285,um,Surface,Position,1,113,
153.763,99.1671,106.274,um,Surface,Position,1,114,
159.845,108.873,106.469,um,Surface,Position,1,115,
165.064,112.159,106.416,um,Surface,Position,1,116,
163.963,102.236,107.393,um,Surface,Position,1,117,
146.454,105.98,107.507,um,Surface,Position,1,118,
155.588,116.839,107.669,um,Surface,Position,1,119,
160.143,119.177,108.161,um,Surface,Position,1,120,
169.421,103.722,110.193,um,Surface,Position,1,121,
150.133,110.303,111.578,um,Surface,Position,1,122,
155.474,113.195,113.015,um,Surface,Position,1,123,
166.874,97.7346,113.462,um,Surface,Position,1,124,
173.236,101.447,104.316,um,Surface,Position,1,125,
125.3,40.5943,103.205,um,Surface,Position,1,126,
126.561,44.1413,106.722,um,Surface,Position,1,127,
131.214,46.0734,106.315,um,Surface,Position,1,128,
137.506,47.9332,105.362,um,Surface,Position,1,129,
129.792,39.2141,107.206,um,Surface,Position,1,130,
139.728,40.5145,107.166,um,Surface,Position,1,131,
147.934,48.3604,105.617,um,Surface,Position,1,132,
117.662,62.3194,109.574,um,Surface,Position,1,135,
120.294,71.6167,111.456,um,Surface,Position,1,137,
130.341,54.8531,100.853,um,Surface,Position,1,139,
143.241,53.7663,103.185,um,Surface,Position,1,140,
127.62,69.512,106.861,um,Surface,Position,1,141,
144.514,48.9513,108.917,um,Surface,Position,1,142,
131.02,51.2642,108.675,um,Surface,Position,1,143,
154.923,54.8633,103.604,um,Surface,Position,1,144,
165.504,54.0755,105.637,um,Surface,Position,1,145,
173.813,69.9686,104.765,um,Surface,Position,1,146,
176.062,65.3033,106.41,um,Surface,Position,1,147,
177.944,68.8606,112.797,um,Surface,Position,1,148,
178.599,90.4658,90.0096,um,Surface,Position,1,149,
169.461,74.8724,90.2884,um,Surface,Position,1,150,
173.459,82.2026,91.3631,um,Surface,Position,1,151,
180.473,85.0459,94.1382,um,Surface,Position,1,152,
174.353,89.9214,94.5827,um,Surface,Position,1,153,
170.806,96.8716,96.968,um,Surface,Position,1,154,
