
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
149.18,73.8846,155.439,um,Surface,Position,1,0,
148.349,79.9504,155.271,um,Surface,Position,1,1,
147.875,96.4024,155.888,um,Surface,Position,1,2,
95.6192,105.635,155.697,um,Surface,Position,1,3,
85.1384,118.607,154.312,um,Surface,Position,1,4,
89.2223,105.811,155.991,um,Surface,Position,1,5,
85.8513,101.187,156.547,um,Surface,Position,1,6,
85.0225,108.072,157.208,um,Surface,Position,1,7,
93.0093,109.454,156.952,um,Surface,Position,1,8,
111.028,100.524,154.461,um,Surface,Position,1,9,
99.6859,110.206,155.494,um,Surface,Position,1,10,
97.9923,117.421,155.464,um,Surface,Position,1,11,
98.118,99.1821,156.477,um,Surface,Position,1,12,
115.041,100.713,156.639,um,Surface,Position,1,13,
111.171,102.272,154.57,um,Surface,Position,1,14,
116.39,112.272,156.211,um,Surface,Position,1,15,
106.43,112.235,157.208,um,Surface,Position,1,16,
110.955,114.191,157.053,um,Surface,Position,1,17,
118.672,117.813,157.136,um,Surface,Position,1,18,
121.965,100.82,154.698,um,Surface,Position,1,19,
123.512,106.52,155.421,um,Surface,Position,1,20,
144.313,106.119,155.259,um,Surface,Position,1,21,
134.316,114.564,155.888,um,Surface,Position,1,22,
124.415,117.519,156.411,um,Surface,Position,1,23,
136.567,98.6283,156.796,um,Surface,Position,1,24,
137.751,106.986,155.703,um,Surface,Position,1,25,
127.271,109.907,156.388,um,Surface,Position,1,26,
131.603,120.559,157.146,um,Surface,Position,1,27,
138.258,120.67,156.716,um,Surface,Position,1,28,
150.733,105.737,155.284,um,Surface,Position,1,29,
83.5159,126.608,156.216,um,Surface,Position,1,30,
89.4928,141.839,154.751,um,Surface,Position,1,31,
96.52,144.711,155.285,um,Surface,Position,1,32,
90.324,121.539,156.363,um,Surface,Position,1,33,
91.1778,129.751,154.03,um,Surface,Position,1,34,
86.9386,130.852,154.694,um,Surface,Position,1,35,
95.0868,123.949,156.472,um,Surface,Position,1,36,
83.6326,133.058,156.31,um,Surface,Position,1,37,
103.809,125.621,154.437,um,Surface,Position,1,38,
113.199,129.974,154.506,um,Surface,Position,1,39,
117.613,142.443,154.743,um,Surface,Position,1,40,
108.86,131.342,155.567,um,Surface,Position,1,41,
108.607,137.146,155.697,um,Surface,Position,1,42,
111.797,128.328,155.156,um,Surface,Position,1,43,
102.738,129.467,156.415,um,Surface,Position,1,44,
97.0699,132.436,155.468,um,Surface,Position,1,45,
119.032,132.408,156.073,um,Surface,Position,1,46,
101.506,135.97,155.875,um,Surface,Position,1,47,
102.065,139.543,156.888,um,Surface,Position,1,48,
137.323,130.357,154.492,um,Surface,Position,1,49,
124.753,128.056,154.865,um,Surface,Position,1,50,
91.4064,161.726,154.899,um,Surface,Position,1,51,
95.4458,154.31,153.985,um,Surface,Position,1,52,
90.7111,151.206,155.691,um,Surface,Position,1,53,
105.667,149.35,155.754,um,Surface,Position,1,54,
100.754,155.06,155.934,um,Surface,Position,1,55,
103.352,160.777,157.208,um,Surface,Position,1,56,
90.3302,124.112,143.155,um,Surface,Position,1,57,
87.368,135.206,145.279,um,Surface,Position,1,58,
86.5651,124.182,146.581,um,Surface,Position,1,59,
94.8375,131.228,146.296,um,Surface,Position,1,60,
94.5387,125.69,146.128,um,Surface,Position,1,61,
86.7558,141.107,146.842,um,Surface,Position,1,62,
83.8054,127.283,150.746,um,Surface,Position,1,63,
95.3501,135.534,149.024,um,Surface,Position,1,64,
82.5236,135.327,151.722,um,Surface,Position,1,65,
91.1625,135.869,150.973,um,Surface,Position,1,66,
90.2251,122.813,152.461,um,Surface,Position,1,67,
89.0947,130.988,150.406,um,Surface,Position,1,68,
86.7063,137.266,151.732,um,Surface,Position,1,69,
105.05,126.981,145.4,um,Surface,Position,1,70,
119.848,132.669,141.707,um,Surface,Position,1,71,
110.447,135.357,143.902,um,Surface,Position,1,72,
117.027,134.812,146.034,um,Surface,Position,1,73,
108.119,145.029,145.561,um,Surface,Position,1,74,
114.936,123.033,146.868,um,Surface,Position,1,75,
109.206,128.358,145.004,um,Surface,Position,1,76,
103.168,135.388,146.029,um,Surface,Position,1,77,
105.025,140.105,144.7,um,Surface,Position,1,78,
116.736,139.965,146.101,um,Surface,Position,1,79,
120.49,123.499,148.409,um,Surface,Position,1,80,
101.837,125.531,147.815,um,Surface,Position,1,81,
99.1364,141.393,146.908,um,Surface,Position,1,82,
120.319,143.019,148.169,um,Surface,Position,1,83,
108.473,130.673,149.801,um,Surface,Position,1,84,
103.243,136.583,151.698,um,Surface,Position,1,85,
117.942,140.379,151.599,um,Surface,Position,1,86,
110.54,143.774,151.084,um,Surface,Position,1,87,
100.25,132.276,151.567,um,Surface,Position,1,88,
119.371,133.002,152.203,um,Surface,Position,1,89,
110.774,125.114,152.908,um,Surface,Position,1,90,
98.6557,126.67,152.545,um,Surface,Position,1,91,
117.215,124.356,152.748,um,Surface,Position,1,92,
117.539,129.791,154.058,um,Surface,Position,1,93,
115.408,138.4,154.127,um,Surface,Position,1,94,
105.253,142.866,153.943,um,Surface,Position,1,95,
135.033,122.977,140.675,um,Surface,Position,1,96,
141.112,125.509,140.977,um,Surface,Position,1,97,
128.146,131.469,143.043,um,Surface,Position,1,98,
121.889,139.799,142.835,um,Surface,Position,1,99,
131.425,140.295,142.118,um,Surface,Position,1,100,
138.769,138.979,143.69,um,Surface,Position,1,101,
134.865,134.772,144.166,um,Surface,Position,1,102,
135.416,129.703,143.863,um,Surface,Position,1,103,
123.341,138.159,145.502,um,Surface,Position,1,104,
128.62,144.773,144.334,um,Surface,Position,1,105,
140.917,132.25,146.019,um,Surface,Position,1,106,
129.322,124.113,146.696,um,Surface,Position,1,107,
132.432,132.931,146.358,um,Surface,Position,1,108,
131.595,139.14,149.749,um,Surface,Position,1,109,
127.055,141.667,149.913,um,Surface,Position,1,110,
127.521,128.307,150.114,um,Surface,Position,1,111,
123.315,125.307,151.323,um,Surface,Position,1,112,
