
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
95,,Surface,3,Image 1,1,0,
241,,Surface,3,Image 1,1,1,
103,,Surface,3,Image 1,1,2,
159,,Surface,3,Image 1,1,3,
110,,Surface,3,Image 1,1,4,
120,,Surface,3,Image 1,1,5,
112,,Surface,3,Image 1,1,6,
94,,Surface,3,Image 1,1,7,
157,,Surface,3,Image 1,1,8,
130,,Surface,3,Image 1,1,9,
115,,Surface,3,Image 1,1,10,
133,,Surface,3,Image 1,1,11,
100,,Surface,3,Image 1,1,12,
145,,Surface,3,Image 1,1,13,
217,,Surface,3,Image 1,1,14,
201,,Surface,3,Image 1,1,15,
135,,Surface,3,Image 1,1,16,
120,,Surface,3,Image 1,1,17,
99,,Surface,3,Image 1,1,18,
147,,Surface,3,Image 1,1,19,
94,,Surface,3,Image 1,1,20,
105,,Surface,3,Image 1,1,21,
129,,Surface,3,Image 1,1,22,
96,,Surface,3,Image 1,1,23,
120,,Surface,3,Image 1,1,24,
111,,Surface,3,Image 1,1,25,
140,,Surface,3,Image 1,1,26,
216,,Surface,3,Image 1,1,27,
92,,Surface,3,Image 1,1,28,
201,,Surface,3,Image 1,1,29,
91,,Surface,3,Image 1,1,30,
101,,Surface,3,Image 1,1,31,
105,,Surface,3,Image 1,1,32,
119,,Surface,3,Image 1,1,33,
153,,Surface,3,Image 1,1,34,
110,,Surface,3,Image 1,1,35,
129,,Surface,3,Image 1,1,36,
154,,Surface,3,Image 1,1,37,
220,,Surface,3,Image 1,1,38,
95,,Surface,3,Image 1,1,39,
109,,Surface,3,Image 1,1,40,
112,,Surface,3,Image 1,1,41,
129,,Surface,3,Image 1,1,42,
115,,Surface,3,Image 1,1,43,
99,,Surface,3,Image 1,1,44,
191,,Surface,3,Image 1,1,45,
102,,Surface,3,Image 1,1,46,
130,,Surface,3,Image 1,1,47,
202,,Surface,3,Image 1,1,48,
113,,Surface,3,Image 1,1,49,
94,,Surface,3,Image 1,1,50,
93,,Surface,3,Image 1,1,51,
109,,Surface,3,Image 1,1,52,
138,,Surface,3,Image 1,1,53,
99,,Surface,3,Image 1,1,54,
123,,Surface,3,Image 1,1,55,
116,,Surface,3,Image 1,1,56,
103,,Surface,3,Image 1,1,57,
156,,Surface,3,Image 1,1,58,
133,,Surface,3,Image 1,1,59,
117,,Surface,3,Image 1,1,60,
150,,Surface,3,Image 1,1,61,
95,,Surface,3,Image 1,1,62,
93,,Surface,3,Image 1,1,63,
127,,Surface,3,Image 1,1,64,
101,,Surface,3,Image 1,1,65,
115,,Surface,3,Image 1,1,66,
128,,Surface,3,Image 1,1,67,
91,,Surface,3,Image 1,1,68,
93,,Surface,3,Image 1,1,69,
91,,Surface,3,Image 1,1,70,
97,,Surface,3,Image 1,1,71,
136,,Surface,3,Image 1,1,72,
112,,Surface,3,Image 1,1,73,
93,,Surface,3,Image 1,1,74,
125,,Surface,3,Image 1,1,75,
96,,Surface,3,Image 1,1,76,
139,,Surface,3,Image 1,1,77,
104,,Surface,3,Image 1,1,78,
125,,Surface,3,Image 1,1,79,
100,,Surface,3,Image 1,1,80,
131,,Surface,3,Image 1,1,81,
119,,Surface,3,Image 1,1,82,
102,,Surface,3,Image 1,1,83,
138,,Surface,3,Image 1,1,84,
137,,Surface,3,Image 1,1,85,
91,,Surface,3,Image 1,1,86,
92,,Surface,3,Image 1,1,87,
109,,Surface,3,Image 1,1,88,
93,,Surface,3,Image 1,1,89,
110,,Surface,3,Image 1,1,90,
165,,Surface,3,Image 1,1,91,
114,,Surface,3,Image 1,1,92,
93,,Surface,3,Image 1,1,93,
96,,Surface,3,Image 1,1,94,
138,,Surface,3,Image 1,1,95,
108,,Surface,3,Image 1,1,96,
111,,Surface,3,Image 1,1,97,
123,,Surface,3,Image 1,1,98,
92,,Surface,3,Image 1,1,99,
