
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
32,,Surface,3,Image 1,1,0,
32,,Surface,3,Image 1,1,1,
32,,Surface,3,Image 1,1,2,
37,,Surface,3,Image 1,1,3,
37,,Surface,3,Image 1,1,4,
43,,Surface,3,Image 1,1,5,
42,,Surface,3,Image 1,1,6,
37,,Surface,3,Image 1,1,7,
37,,Surface,3,Image 1,1,8,
48,,Surface,3,Image 1,1,9,
41,,Surface,3,Image 1,1,10,
37,,Surface,3,Image 1,1,11,
37,,Surface,3,Image 1,1,12,
37,,Surface,3,Image 1,1,13,
32,,Surface,3,Image 1,1,14,
37,,Surface,3,Image 1,1,15,
16,,Surface,3,Image 1,1,16,
21,,Surface,3,Image 1,1,17,
43,,Surface,3,Image 1,1,18,
80,,Surface,3,Image 1,1,19,
48,,Surface,3,Image 1,1,20,
91,,Surface,3,Image 1,1,21,
101,,Surface,3,Image 1,1,22,
144,,Surface,3,Image 1,1,23,
219,,Surface,3,Image 1,1,24,
48,,Surface,3,Image 1,1,25,
37,,Surface,3,Image 1,1,26,
53,,Surface,3,Image 1,1,27,
37,,Surface,3,Image 1,1,28,
224,,Surface,3,Image 1,1,29,
192,,Surface,3,Image 1,1,30,
32,,Surface,3,Image 1,1,31,
32,,Surface,3,Image 1,1,32,
32,,Surface,3,Image 1,1,33,
37,,Surface,3,Image 1,1,34,
32,,Surface,3,Image 1,1,35,
53,,Surface,3,Image 1,1,36,
32,,Surface,3,Image 1,1,37,
32,,Surface,3,Image 1,1,38,
37,,Surface,3,Image 1,1,39,
32,,Surface,3,Image 1,1,40,
27,,Surface,3,Image 1,1,41,
27,,Surface,3,Image 1,1,42,
27,,Surface,3,Image 1,1,43,
27,,Surface,3,Image 1,1,44,
32,,Surface,3,Image 1,1,45,
27,,Surface,3,Image 1,1,46,
32,,Surface,3,Image 1,1,47,
27,,Surface,3,Image 1,1,48,
37,,Surface,3,Image 1,1,49,
37,,Surface,3,Image 1,1,50,
32,,Surface,3,Image 1,1,51,
27,,Surface,3,Image 1,1,52,
21,,Surface,3,Image 1,1,53,
32,,Surface,3,Image 1,1,54,
48,,Surface,3,Image 1,1,55,
53,,Surface,3,Image 1,1,56,
53,,Surface,3,Image 1,1,57,
74,,Surface,3,Image 1,1,58,
43,,Surface,3,Image 1,1,59,
48,,Surface,3,Image 1,1,60,
69,,Surface,3,Image 1,1,61,
48,,Surface,3,Image 1,1,62,
85,,Surface,3,Image 1,1,63,
42,,Surface,3,Image 1,1,64,
27,,Surface,3,Image 1,1,65,
165,,Surface,3,Image 1,1,66,
91,,Surface,3,Image 1,1,67,
213,,Surface,3,Image 1,1,68,
64,,Surface,3,Image 1,1,69,
80,,Surface,3,Image 1,1,70,
133,,Surface,3,Image 1,1,71,
96,,Surface,3,Image 1,1,72,
53,,Surface,3,Image 1,1,73,
69,,Surface,3,Image 1,1,74,
64,,Surface,3,Image 1,1,75,
69,,Surface,3,Image 1,1,76,
128,,Surface,3,Image 1,1,77,
64,,Surface,3,Image 1,1,78,
64,,Surface,3,Image 1,1,79,
69,,Surface,3,Image 1,1,80,
43,,Surface,3,Image 1,1,81,
154,,Surface,3,Image 1,1,82,
96,,Surface,3,Image 1,1,83,
101,,Surface,3,Image 1,1,84,
69,,Surface,3,Image 1,1,85,
43,,Surface,3,Image 1,1,86,
133,,Surface,3,Image 1,1,87,
144,,Surface,3,Image 1,1,88,
64,,Surface,3,Image 1,1,89,
53,,Surface,3,Image 1,1,90,
69,,Surface,3,Image 1,1,91,
53,,Surface,3,Image 1,1,92,
59,,Surface,3,Image 1,1,93,
59,,Surface,3,Image 1,1,94,
69,,Surface,3,Image 1,1,95,
53,,Surface,3,Image 1,1,96,
149,,Surface,3,Image 1,1,97,
75,,Surface,3,Image 1,1,98,
85,,Surface,3,Image 1,1,99,
75,,Surface,3,Image 1,1,100,
58,,Surface,3,Image 1,1,101,
133,,Surface,3,Image 1,1,102,
48,,Surface,3,Image 1,1,103,
53,,Surface,3,Image 1,1,104,
48,,Surface,3,Image 1,1,105,
32,,Surface,3,Image 1,1,106,
53,,Surface,3,Image 1,1,107,
101,,Surface,3,Image 1,1,108,
139,,Surface,3,Image 1,1,109,
48,,Surface,3,Image 1,1,110,
43,,Surface,3,Image 1,1,111,
48,,Surface,3,Image 1,1,112,
42,,Surface,3,Image 1,1,113,
42,,Surface,3,Image 1,1,114,
37,,Surface,3,Image 1,1,115,
85,,Surface,3,Image 1,1,116,
48,,Surface,3,Image 1,1,117,
32,,Surface,3,Image 1,1,118,
64,,Surface,3,Image 1,1,119,
32,,Surface,3,Image 1,1,120,
43,,Surface,3,Image 1,1,121,
128,,Surface,3,Image 1,1,122,
255,,Surface,3,Image 1,1,123,
64,,Surface,3,Image 1,1,124,
37,,Surface,3,Image 1,1,125,
208,,Surface,3,Image 1,1,126,
32,,Surface,3,Image 1,1,127,
122,,Surface,3,Image 1,1,128,
37,,Surface,3,Image 1,1,129,
16,,Surface,3,Image 1,1,130,
112,,Surface,3,Image 1,1,131,
43,,Surface,3,Image 1,1,132,
218,,Surface,3,Image 1,1,133,
255,,Surface,3,Image 1,1,134,
